t,NDVI,NIRv,EVI2,PPI
2017-01-07,,,,
2017-01-27,,,,
2017-02-06,,,,
2017-02-16,,,,
2017-02-26,,,,
2017-03-08,,,,
2017-03-18,,,,
2017-03-20,,,,
2017-03-23,,,,
2017-03-28,,,,
2017-04-02,,,,
2017-04-07,0.366161,0.08959432,0.21550077,0.186362
2017-04-12,0.3641974,0.089899585,0.21571833,0.1931677
2017-04-17,0.3736731,0.0940212,0.22349411,0.21601233
2017-04-22,0.40381044,0.10416663,0.243122,0.26525685
2017-04-27,0.4022923,0.104559235,0.24351682,0.27295953
2017-05-02,,,,
2017-05-07,,,,
2017-05-12,0.54606044,0.16452055,0.35002425,0.638388
2017-05-17,0.5533307,0.16983508,0.35841903,0.6911027
2017-05-22,0.59455806,0.19579755,0.39944482,0.96879035
2017-05-27,0.64318407,0.22485724,0.44463184,1.1059364
2017-06-01,0.65914506,0.23452304,0.4594042,1.190845
2017-06-06,0.7624745,0.29469228,0.5512657,1.8089135
2017-06-11,0.73525625,0.2839084,0.53391284,1.7482209
2017-06-16,0.6197597,0.23499493,0.45446163,1.3793483
2017-06-21,0.672057,0.24679936,0.47811946,1.4253097
2017-06-26,0.74421465,0.27969956,0.53081316,1.9888548
2017-07-01,0.7551293,0.28883496,0.5439486,2.201621
2017-07-06,,,,
2017-07-11,0.7936674,0.31837904,0.58519703,1.7753001
2017-07-16,0.79391325,0.31750527,0.5841679,1.7461666
2017-07-21,0.79421437,0.31644493,0.5829159,1.7475473
2017-07-26,,,,
2017-07-31,0.8080233,0.3440691,0.61793417,1.7924724
2017-08-05,0.80846345,0.34231955,0.6159509,1.7271626
2017-08-10,0.80895627,0.340395,0.61376005,1.6667522
2017-08-15,,,,
2017-08-20,0.7744323,0.29650703,0.5553856,1.570795
2017-08-25,0.7724273,0.29048672,0.54770344,1.5416662
2017-08-30,0.7602676,0.26688075,0.51624227,1.5675255
2017-09-04,0.7657098,0.23936959,0.47906917,1.0220371
2017-09-09,0.7739218,0.22919019,0.4647929,0.8770219
2017-09-14,,,,
2017-09-19,,,,
2017-09-24,,,,
2017-09-29,,,,
2017-10-04,0.5834607,0.17830966,0.37456992,0.5286744
