t,NDVI,NIRv,EVI2,PPI
2017-01-07,,,,
2017-01-27,0.4332959,0.083600394,0.20568915,0.0946815
2017-02-06,,,,
2017-02-16,0.53541213,0.088632405,0.21616814,0.11068747
2017-02-26,,,,
2017-03-08,,,,
2017-03-18,,,,
2017-03-20,,,,
2017-03-23,,,,
2017-03-28,,,,
2017-04-02,,,,
2017-04-07,0.5576195,0.103567556,0.24947622,0.22173512
2017-04-12,0.5560721,0.104187496,0.25056595,0.23100756
2017-04-17,0.5743605,0.10675868,0.25572932,0.24193268
2017-04-22,0.62182343,0.11285562,0.26641348,0.26276273
2017-04-27,0.6207319,0.11350255,0.26758236,0.27154395
2017-05-02,,,,
2017-05-07,,,,
2017-05-12,0.74671274,0.12721014,0.29310906,0.30769226
2017-05-17,0.7441088,0.12861824,0.2958268,0.31980997
2017-05-22,0.73703194,0.13416526,0.30629924,0.35917807
2017-05-27,0.7233044,0.13809931,0.31420544,0.39222425
2017-06-01,0.644309,0.13919853,0.31622437,0.44796297
2017-06-06,0.65467656,0.14715867,0.32984564,0.49874592
2017-06-11,0.81801975,0.1699815,0.36834314,0.5712792
2017-06-16,0.80948395,0.17062761,0.3697819,0.58134484
2017-06-21,0.8167895,0.18484299,0.3934278,0.6650007
2017-06-26,0.8406781,0.18693963,0.39664128,0.66518676
2017-07-01,0.8531282,0.18737929,0.39707807,0.65621465
2017-07-06,0.80642104,0.17944953,0.38446316,0.63074243
2017-07-11,0.6938657,0.16088952,0.35033086,0.56901336
2017-07-16,0.7474992,0.16436999,0.3588468,0.55984956
2017-07-21,0.83181363,0.17434119,0.375305,0.56940764
2017-07-26,,,,
2017-07-31,0.8193951,0.1608714,0.35236916,0.48010483
2017-08-05,0.8198189,0.16005018,0.35091877,0.46811005
2017-08-10,0.82085353,0.15874058,0.3486587,0.45367932
2017-08-15,0.82279235,0.15655409,0.3447222,0.43999225
2017-08-20,0.82784593,0.15517528,0.34211627,0.4195161
2017-08-25,0.8429952,0.15311666,0.33766136,0.394945
2017-08-30,0.83733475,0.15216453,0.33615327,0.38643748
2017-09-04,0.7809698,0.14454478,0.32351354,0.36174017
2017-09-09,0.7818642,0.14343834,0.32151178,0.34543282
2017-09-14,,,,
2017-09-19,,,,
2017-09-24,,,,
2017-09-29,,,,
2017-10-04,,,,
2017-10-09,0.8807576,0.118698165,0.26921874,0.16954382
2017-10-14,0.86836386,0.117419496,0.26749378,0.15901664
2017-10-19,0.81186473,0.113491416,0.26297322,0.14745605
2017-10-24,0.77059174,0.11006496,0.25712463,0.1382641
2017-10-29,0.73366493,0.105558716,0.24764644,0.12606472
2017-11-03,0.75286144,0.10546949,0.24763285,0.11733077
2017-11-08,0.7541441,0.10483845,0.24635324,0.110098146
2017-11-13,0.512403,0.08489185,0.20590813,0.09004306
2017-11-18,0.51477474,0.08454085,0.20531932,0.08383671
2017-11-23,0.51716304,0.08419249,0.20472993,0.083096154
2017-11-28,0.22299643,0.042837426,0.11131146,0.00893499
2017-12-03,0.22584626,0.04299839,0.11198045,0.008705245
2017-12-08,0.22825788,0.04313254,0.11253764,0.008528285
2017-12-13,,,,
2017-12-18,0.06876291,0.015427232,0.041957997,-0.043305457
2017-12-23,0.06901278,0.015471874,0.042089637,-0.04312515
2017-12-28,0.06830038,0.0153444605,0.041713983,-0.043642383
2018-01-02,,,,
2018-01-07,,,,
2018-01-12,,,,
2018-01-17,,,,
2018-01-22,0.4800346,0.085940294,0.21036705,0.087075785
2018-01-27,0.477504,0.08621234,0.21073575,0.09207288
2018-02-01,0.47503844,0.086482026,0.21109678,0.09756502
2018-02-06,,,,
2018-02-11,,,,
2018-02-16,,,,
2018-02-21,,,,
2018-02-26,,,,
2018-03-03,,,,
2018-03-08,,,,
2018-03-13,,,,
2018-03-18,,,,
2018-03-23,,,,
2018-03-28,,,,
2018-04-02,,,,
2018-04-07,,,,
2018-04-12,,,,
2018-04-17,,,,
2018-04-22,,,,
2018-04-27,,,,
2018-05-02,,,,
2018-05-07,,,,
2018-05-12,,,,
2018-05-17,,,,
2018-05-22,,,,
2018-06-01,,,,
2018-06-06,,,,
2018-06-11,0.8328243,0.18418466,0.39181966,0.6464818
2018-06-16,0.8327487,0.1843767,0.39214027,0.65033233
2018-06-21,0.83172035,0.18568443,0.39432827,0.66013485
2018-06-26,0.82448924,0.21123257,0.43714574,0.94231004
2018-07-01,0.8245577,0.21104369,0.4368506,0.9365853
2018-07-06,0.7897279,0.19068357,0.4016035,0.75124955
2018-07-11,0.78992265,0.19027852,0.40095982,0.74165344
2018-07-16,0.7901738,0.18975984,0.4001345,0.7331471
2018-07-21,0.82142675,0.17541173,0.377303,0.59841156
2018-07-26,0.82134646,0.17328931,0.37371948,0.57301587
2018-07-31,0.81866676,0.16619934,0.36158717,0.5158454
2018-08-05,0.8124098,0.16550577,0.36065346,0.51197374
2018-08-10,0.8113525,0.1633457,0.35697615,0.4918083
2018-08-15,0.8118094,0.15322217,0.3389654,0.42185035
2018-08-20,0.7963132,0.15115903,0.33588785,0.4189434
2018-08-25,0.78865385,0.14957982,0.33322293,0.4029006
2018-08-30,0.80525166,0.13636902,0.3082706,0.3173869
2018-09-04,0.8103436,0.13548711,0.3064916,0.30385807
2018-09-09,0.83229417,0.13519841,0.30503052,0.28536057
2018-09-14,0.84566617,0.13455538,0.3030488,0.27141437
2018-09-19,,,,
2018-09-24,0.5787455,0.10975575,0.26163682,0.22621088
2018-09-29,0.6010012,0.110052094,0.26252666,0.21312211
2018-10-04,0.73735476,0.11575975,0.27109128,0.19333157
2018-10-09,0.86791223,0.120809436,0.2747088,0.17682193
2018-10-19,0.86397344,0.12124544,0.27547553,0.16485041
2018-10-24,0.8645655,0.12056394,0.27413383,0.15533683
2018-10-29,,,,
2018-11-03,,,,
2018-11-08,,,,
2018-11-18,0.789925,0.09855201,0.2314715,0.085081115
2018-11-23,0.7911765,0.09789343,0.23010486,0.07999277
2018-11-28,,,,
2018-12-03,,,,
2018-12-08,0.12094179,0.025350988,0.06558286,-0.027256511
2018-12-13,0.2863199,0.05395754,0.13456538,0.025250468
2018-12-18,0.3106854,0.056250922,0.14187497,0.028096972
2018-12-23,0.3012496,0.055194102,0.13934806,0.026498588
2018-12-28,0.07943201,0.01980269,0.048867736,-0.034444485
2019-01-02,0.07783793,0.019423649,0.047887433,-0.035693932
2019-01-07,,,,
2019-01-12,0.23386195,0.06891634,0.15585227,0.06272373
2019-01-17,0.43264773,0.08478002,0.20257898,0.093431756
2019-01-22,0.44128025,0.08619652,0.20631076,0.10148004
2019-01-27,0.44747826,0.08726326,0.20870952,0.11303898
2019-02-01,0.29520315,0.074484594,0.17479903,0.13495882
2019-02-06,0.29239327,0.07442764,0.17421986,0.087914914
2019-02-11,0.29261374,0.07496617,0.17517248,0.09413976
2019-02-16,0.37037176,0.07816488,0.19358718,0.10152135
2019-02-21,0.4245308,0.08673431,0.21461664,0.127352
2019-02-26,0.45844278,0.09210476,0.22666124,0.14603315
2019-03-03,,,,
2019-03-08,,,,
2019-03-13,,,,
2019-03-18,,,,
2019-03-23,,,,
2019-03-28,,,,
2019-04-02,,,,
2019-04-07,,,,
2019-04-12,,,,
2019-04-17,,,,
2019-04-22,,,,
2019-04-27,,,,
2019-05-02,,,,
2019-05-07,,,,
2019-05-12,,,,
2019-05-17,,,,
2019-05-27,0.711226,0.13131319,0.30179012,0.35327253
2019-06-01,0.7108804,0.131669,0.30243894,0.35768193
2019-06-06,0.7106102,0.13194928,0.3029493,0.36114913
2019-06-11,,,,
2019-06-16,,,,
2019-06-21,0.7655332,0.16841203,0.3669622,0.5915174
2019-06-26,0.7655614,0.16836564,0.3668841,0.5906597
2019-07-01,0.7656498,0.16822052,0.36663985,0.5880133
2019-07-06,,,,
2019-07-11,0.8311623,0.18551587,0.3942593,0.65450287
2019-07-16,0.831371,0.18499576,0.39339295,0.647957
2019-07-21,0.81560737,0.18142979,0.38774893,0.6266575
2019-07-26,0.7690157,0.17205998,0.37249374,0.58920175
2019-07-31,0.76948184,0.17129867,0.37122557,0.57497126
2019-08-05,,,,
2019-08-10,0.7956631,0.1656461,0.36178684,0.5079841
2019-08-15,0.7962498,0.16464691,0.3600606,0.5086854
2019-08-20,0.78817874,0.1529334,0.3390652,0.42803794
2019-08-25,0.79279256,0.14970556,0.33324176,0.39938754
2019-08-30,0.8253381,0.1467114,0.32670796,0.3632053
2019-09-04,0.8524107,0.14426287,0.3209731,0.3303008
