t,NDVI,NIRv,EVI2,PPI
2017-01-04,,,,
2017-01-07,,,,
2017-01-14,,,,
2017-01-24,0.3800325,0.06785824,0.1782858,0.00924928
2017-01-27,0.3754537,0.06783336,0.17795624,0.009908561
2017-02-03,0.36587283,0.0677748,0.17720295,0.011535618
2017-02-06,,,,
2017-02-13,0.30866563,0.05422342,0.14734271,-0.009856732
2017-02-16,0.30581644,0.054123256,0.14692192,-0.010189759
2017-02-23,0.30004165,0.053916436,0.14604338,-0.011005511
2017-02-26,,,,
2017-03-05,,,,
2017-03-08,0.35609838,0.080604576,0.19939989,0.05483637
2017-03-15,0.35293144,0.08066332,0.19911946,0.059468746
2017-03-17,0.3521268,0.08068331,0.19905461,0.060785834
2017-03-18,0.3517383,0.080693886,0.19902456,0.061444644
2017-03-20,0.35099018,0.08071614,0.19896923,0.06275772
2017-03-23,0.37010223,0.09870909,0.22983487,0.122273736
2017-03-25,0.3778554,0.10740971,0.24370298,0.15438914
2017-03-28,0.38122225,0.10897025,0.24658728,0.16305685
2017-03-30,0.3945812,0.11376665,0.2558855,0.18019542
2017-04-02,0.46050632,0.13622665,0.2981124,0.25420716
2017-04-04,0.49772155,0.1492943,0.3214879,0.30055013
2017-04-07,0.520279,0.15926124,0.3389402,0.34205502
2017-04-09,0.528741,0.16399671,0.34677517,0.3626533
2017-04-12,0.5362579,0.16836524,0.35349354,0.3872384
2017-04-14,0.5409976,0.17102765,0.35761043,0.40284336
2017-04-17,0.54000443,0.17158937,0.35822025,0.41312897
2017-04-22,,,,
2017-04-24,,,,
2017-04-27,,,,
2017-04-29,,,,
2017-05-02,0.83246773,0.43775824,0.72416586,2.6377966
2017-05-04,0.8322483,0.43887147,0.72522444,2.7843602
2017-05-07,0.8319351,0.44048095,0.72675085,2.89754
2017-05-09,0.8317368,0.44151106,0.7277253,1.8758621
2017-05-12,0.8700154,0.36970145,0.660375,1.9162074
2017-05-14,0.8698074,0.37042248,0.66121066,1.946566
2017-05-17,0.8693903,0.37132347,0.66223323,1.9828644
2017-05-19,0.8692351,0.37199965,0.6630143,2.009675
2017-05-22,0.87429506,0.3757397,0.6683169,2.074648
2017-05-24,0.8872191,0.38324818,0.6793674,2.1803901
2017-05-27,0.9040513,0.3981262,0.6996477,2.5198314
2017-05-29,0.9066567,0.40791315,0.7114907,2.7384
2017-06-01,0.90765005,0.4258386,0.7321023,3.1105633
2017-06-03,0.90807474,0.43404543,0.741334,3.302324
2017-06-06,0.89732325,0.42925447,0.73381615,3.2285805
2017-06-08,0.8745679,0.40780038,0.70532054,2.817649
