t,NDVI,NIRv,EVI2,PPI
2017-01-04,,,,
2017-01-07,,,,
2017-01-14,,,,
2017-01-24,,,,
2017-01-27,,,,
2017-02-03,,,,
2017-02-06,,,,
2017-02-13,0.46791396,0.096898824,0.23709615,0.0895869
2017-02-16,0.46655002,0.09704739,0.23727387,0.09285844
2017-02-23,0.46364456,0.09738194,0.2376762,0.100727774
2017-02-26,,,,
2017-03-05,,,,
2017-03-08,,,,
2017-03-15,0.47355986,0.10550371,0.25304723,0.14618188
2017-03-17,0.47496542,0.10541919,0.25301751,0.1476617
2017-03-18,0.47637,0.1052962,0.25291502,0.14789583
2017-03-20,0.48269838,0.10461612,0.25217444,0.14572847
2017-03-23,0.49428955,0.102960624,0.2498161,0.13938034
2017-03-25,0.4945588,0.102455854,0.24886577,0.13927808
2017-03-28,0.4876183,0.1023918,0.24836071,0.14365655
2017-03-30,0.4838434,0.102799304,0.248861,0.14808334
2017-04-02,0.4812165,0.104009375,0.25080538,0.15631197
2017-04-04,0.4804784,0.10521278,0.25284106,0.16324025
2017-04-07,0.47956672,0.10905995,0.25935462,0.18255247
2017-04-09,0.47892815,0.111148395,0.26277417,0.19380952
2017-04-12,0.4779016,0.11232093,0.26461002,0.20232171
2017-04-14,0.47721502,0.112547874,0.26492438,0.20550926
2017-04-17,0.47852653,0.11318723,0.2660743,0.21073502
2017-04-22,0.48194897,0.114384376,0.26829255,0.21943307
2017-04-24,0.48136213,0.11460087,0.26859558,0.22236612
2017-04-27,0.48051807,0.11491752,0.26903784,0.22663543
2017-04-29,0.47997952,0.115122706,0.26932377,0.22938964
2017-05-02,0.4792105,0.11542,0.26973712,0.2333635
2017-05-04,,,,
2017-05-07,0.5143887,0.14838256,0.32290578,0.40156123
2017-05-09,0.5139743,0.14862691,0.32320592,0.40541166
2017-05-12,0.52133304,0.120872684,0.2815547,0.25190318
2017-05-14,0.521105,0.12053248,0.28107196,0.2509567
2017-05-17,0.52473915,0.12114264,0.28249654,0.2533227
2017-05-19,0.52999663,0.12309228,0.28611386,0.26179963
2017-05-22,0.54437524,0.12984674,0.2981659,0.29172704
2017-05-24,0.5533682,0.13507754,0.307245,0.31614676
2017-05-27,0.5613215,0.1425609,0.31971514,0.3544429
2017-05-29,0.5618983,0.1458129,0.32483697,0.37341958
2017-06-01,0.56314975,0.15085095,0.33267412,0.4034682
2017-06-03,0.56601906,0.15440631,0.33828816,0.42414945
2017-06-06,0.5707123,0.15827207,0.34448957,0.44642416
2017-06-08,0.58071655,0.163425,0.3531543,0.4728285
2017-06-11,0.60709554,0.17812283,0.3773831,0.55103374
