t,NDVI,NIRv,EVI2,PPI
2017-01-03,,,,
2017-01-13,,,,
2017-02-02,,,,
2017-02-12,,,,
2017-02-22,,,,
2017-03-04,,,,
2017-03-14,0.81247467,0.09062492,0.21874493,0.14510748
2017-03-19,0.81182384,0.09107092,0.21972248,0.15294948
2017-03-24,,,,
2017-03-29,,,,
2017-04-03,0.70750266,0.09257398,0.22825158,0.20008303
2017-04-08,0.70624703,0.09324326,0.22969124,0.20975614
2017-04-13,0.7050446,0.093909934,0.23111913,0.21928424
2017-04-18,,,,
2017-04-23,,,,
2017-04-28,,,,
2017-05-03,,,,
2017-05-08,,,,
2017-05-13,,,,
2017-05-18,0.72824186,0.12545812,0.2923142,0.46014106
2017-05-23,0.7336662,0.1273834,0.29579276,0.47928977
2017-05-28,0.76028657,0.13445103,0.30818826,0.52609134
2017-06-02,0.7742921,0.13840465,0.31501156,0.54674727
2017-06-07,,,,
2017-06-12,,,,
2017-06-17,0.74470323,0.14840423,0.33394715,0.66043514
2017-06-22,0.74467677,0.1484383,0.33400783,0.66137636
2017-06-27,0.7447237,0.14837809,0.3339006,0.6597369
2017-07-02,0.8140198,0.12840474,0.29493827,0.45301616
2017-07-07,0.8141665,0.12818088,0.29450256,0.44927102
2017-07-12,0.8143699,0.12787262,0.29390204,0.44413576
2017-07-17,,,,
2017-07-22,,,,
2017-07-27,,,,
2017-08-01,,,,
2017-08-06,,,,
2017-08-11,,,,
2017-08-16,,,,
2017-08-21,,,,
2017-08-26,,,,
2017-08-31,,,,
2017-09-05,,,,
2017-09-10,,,,
2017-09-15,0.746956,0.12610017,0.2931129,0.35872707
2017-09-20,0.74808425,0.125216,0.29140744,0.34060767
2017-09-25,0.7491253,0.12444396,0.28991157,0.3232548
2017-09-30,,,,
2017-10-05,,,,
2017-10-10,0.8420159,0.11179327,0.26066777,0.20447126
2017-10-15,0.8427636,0.11113008,0.2592959,0.19233087
2017-10-20,0.8436015,0.11041075,0.2578036,0.18028429
2017-10-25,,,,
2017-10-30,,,,
2017-11-04,,,,
2017-11-09,,,,
2017-11-14,,,,
2017-11-19,,,,
2017-11-24,,,,
2017-11-29,,,,
2017-12-09,,,,
2017-12-14,,,,
2017-12-19,,,,
2017-12-24,,,,
2017-12-29,,,,
2018-01-03,,,,
2018-01-08,,,,
2018-01-13,,,,
2018-01-18,,,,
2018-01-23,,,,
2018-01-28,,,,
2018-02-02,,,,
2018-02-07,,,,
2018-02-12,,,,
2018-02-17,,,,
2018-02-22,,,,
2018-02-27,,,,
2018-03-04,,,,
2018-03-09,,,,
2018-03-14,,,,
2018-03-19,,,,
2018-03-24,,,,
2018-03-29,,,,
2018-04-03,,,,
2018-04-08,,,,
2018-04-13,0.68727756,0.10321386,0.2507359,0.27457544
2018-04-18,0.68608975,0.10391668,0.25217047,0.285994
2018-04-23,0.6849824,0.10459438,0.25354803,0.29695022
2018-04-28,,,,
2018-05-03,0.7219997,0.11659116,0.27571315,0.37724057
2018-05-08,0.7212399,0.11723287,0.27697086,0.388328
2018-05-13,0.7436657,0.12378914,0.28882375,0.43271562
2018-05-18,0.81013745,0.14276277,0.32192773,0.55260664
2018-05-23,0.79667455,0.14378956,0.32437888,0.5811751
2018-05-28,0.76130456,0.14585063,0.32920808,0.6286676
2018-06-02,0.7609938,0.14626348,0.32995605,0.6351356
2018-06-07,,,,
2018-06-12,,,,
2018-06-17,,,,
2018-06-22,0.82699513,0.15092723,0.33585963,0.62209004
2018-06-27,0.8271714,0.15083809,0.3357096,0.6214276
2018-07-02,0.82557726,0.14985871,0.33401766,0.6119739
2018-07-07,0.80934644,0.14499505,0.32577106,0.58719933
2018-07-12,0.7958163,0.14365293,0.32361352,0.5890352
2018-07-17,0.79884684,0.13953884,0.31631765,0.5451381
2018-07-22,0.8056463,0.12668256,0.28981963,0.4546595
2018-07-27,0.8060344,0.12614305,0.28878134,0.4448866
2018-08-01,0.81919503,0.13126726,0.29996753,0.45443916
2018-08-06,0.81966615,0.13055722,0.29859465,0.44171527
2018-08-11,0.8201913,0.12978163,0.29709136,0.4280898
2018-08-16,,,,
2018-08-21,,,,
2018-08-26,,,,
2018-08-31,,,,
2018-09-05,,,,
2018-09-10,,,,
2018-09-20,0.66596437,0.096137665,0.23720518,0.21320403
2018-09-25,0.7087119,0.09964042,0.24278213,0.21057948
2018-09-30,0.8724898,0.11480651,0.26504803,0.2285838
2018-10-05,0.8699272,0.11504428,0.26571116,0.22034709
2018-10-10,0.87167674,0.10972355,0.25487646,0.18979742
2018-10-15,0.8524997,0.10385651,0.24401149,0.16416138
2018-10-20,0.8562979,0.10526149,0.24661805,0.16031943
2018-10-25,0.8640284,0.106357194,0.24833222,0.15470012
2018-10-30,,,,
2018-11-04,,,,
2018-11-09,0.7387795,0.100770555,0.24310228,0.13728306
2018-11-14,0.74099714,0.099899136,0.24123797,0.12749164
2018-11-19,0.7433597,0.09898455,0.23927182,0.118486434
2018-11-24,,,,
2018-11-29,,,,
2018-12-04,,,,
2018-12-09,,,,
2018-12-14,,,,
2018-12-19,,,,
2018-12-24,,,,
2018-12-29,,,,
2019-01-03,,,,
2019-01-08,,,,
2019-01-13,,,,
2019-01-18,,,,
2019-01-23,,,,
2019-01-28,,,,
2019-02-02,,,,
2019-02-07,,,,
2019-02-12,0.78815264,0.10024282,0.23997329,0.14058198
2019-02-17,0.7867456,0.10098694,0.24156958,0.15096398
2019-02-22,0.81046796,0.10114597,0.24064836,0.1551098
2019-02-27,0.8747169,0.101003796,0.23668495,0.15090375
2019-03-04,0.8741041,0.10163472,0.23801965,0.16066608
2019-03-09,,,,
2019-03-14,,,,
2019-03-19,,,,
2019-03-24,0.819101,0.10294319,0.244094,0.20673348
2019-03-29,0.8182409,0.10373564,0.24576016,0.21796909
2019-04-03,0.8173826,0.10456199,0.2474915,0.22930738
2019-04-08,,,,
2019-04-13,0.7780144,0.102964416,0.24638636,0.2453611
2019-04-18,0.77712655,0.10372577,0.24797828,0.25581545
2019-04-23,0.7762984,0.104458876,0.24950616,0.265856
2019-04-28,,,,
2019-05-03,,,,
2019-05-08,,,,
2019-05-13,,,,
2019-05-18,,,,
2019-05-23,,,,
2019-05-28,0.81195265,0.13777846,0.3126187,0.5206992
2019-06-02,0.81304145,0.14076264,0.31816104,0.5535627
2019-06-07,0.8183643,0.15287969,0.34019604,0.64414555
