t,NDVI,NIRv,EVI2,PPI
2017-01-02,,,,
2017-01-12,0.64663595,0.1516233,0.33971944,0.39216968
2017-02-01,,,,
2017-02-11,,,,
2017-02-21,0.6063344,0.15036768,0.33579186,0.5307009
2017-03-03,,,,
2017-03-13,0.53231245,0.1528781,0.33310404,0.71104157
2017-03-18,0.530499,0.15378217,0.33419237,0.74564886
2017-03-23,,,,
2017-04-02,0.6394492,0.21042421,0.4270497,2.597445
2017-04-07,0.61625516,0.20574138,0.41760778,2.3500404
2017-04-12,0.5809426,0.19545296,0.398687,1.8448181
2017-04-17,0.55465823,0.18684362,0.38312593,1.5890704
2017-04-22,0.52330434,0.17584921,0.3633791,1.3457649
2017-04-27,0.46115896,0.15152599,0.32019076,0.9552788
2017-05-02,0.47549248,0.1503889,0.32130247,0.9208897
2017-05-07,0.46752417,0.14104432,0.3071809,0.7970022
2017-05-12,0.45866644,0.13668936,0.2996849,0.75515777
2017-05-17,,,,
2017-05-22,,,,
2017-05-27,0.33439997,0.10057667,0.2269122,0.470977
2017-06-01,0.33176026,0.10025462,0.22591576,0.47171178
2017-06-06,0.31612307,0.09771432,0.21906385,0.45940557
2017-06-11,0.27826086,0.092514805,0.20295852,0.43608695
2017-06-16,0.25820598,0.083701886,0.18656875,0.36517224
2017-06-21,0.24122924,0.07341554,0.16891105,0.2839716
2017-06-26,0.23708327,0.068625145,0.16145891,0.24645515
2017-07-01,0.24364865,0.071931235,0.16753824,0.27000093
2017-07-06,0.24624519,0.07198508,0.16823731,0.26865053
2017-07-11,0.24623485,0.06606182,0.1598842,0.2209892
2017-07-16,0.24872842,0.06811623,0.16338883,0.2349048
2017-07-21,0.23864841,0.066588625,0.15899058,0.22614506
2017-07-26,0.22800262,0.06311272,0.15165576,0.20263451
2017-07-31,0.2147838,0.060481083,0.1448636,0.18659604
2017-08-05,0.19724943,0.05622167,0.13465396,0.16028786
2017-08-10,0.2030208,0.0589764,0.13987815,0.17646119
2017-08-15,0.20253637,0.05904211,0.13984238,0.17508677
2017-08-20,0.1806323,0.05195241,0.1245391,0.13075943
2017-08-25,0.19074732,0.052897632,0.12841904,0.13216911
2017-08-30,0.22642207,0.057006255,0.14232841,0.14627354
2017-09-04,0.23710877,0.061800778,0.15171237,0.17148961
2017-09-09,0.25026184,0.06543176,0.15977684,0.18747692
2017-09-14,0.2508248,0.05432341,0.14212295,0.11517759
2017-09-19,0.2612643,0.066475324,0.16346781,0.1820332
2017-09-24,0.25429583,0.071519025,0.16944449,0.21178676
2017-09-29,0.24991205,0.06980893,0.1660603,0.1968183
2017-10-04,0.24044243,0.07011389,0.16429846,0.19629239
2017-10-09,0.2407953,0.07037169,0.16473433,0.19174255
2017-10-14,0.23415087,0.071317405,0.16433531,0.19345824
2017-10-19,0.23595233,0.06917606,0.1619357,0.17430517
2017-10-24,0.25821328,0.061690975,0.15545896,0.12395699
2017-10-29,0.26551673,0.06335825,0.1593412,0.12581614
2017-11-03,0.27327883,0.06280829,0.15967314,0.11718028
2017-11-08,0.29016832,0.059518676,0.15627915,0.09582307
2017-11-13,0.30396503,0.06388882,0.1655881,0.107570246
2017-11-18,0.2922367,0.06139428,0.15983343,0.096533574
2017-11-23,0.2837028,0.059040383,0.15466869,0.08628083
2017-11-28,,,,
2017-12-08,0.21478528,0.059741627,0.143828,0.09514217
2017-12-13,0.29372007,0.057712525,0.15341061,0.07337288
2017-12-18,0.36661935,0.06363661,0.17036188,0.08136947
2017-12-23,0.3791765,0.06975788,0.18289755,0.09944006
2017-12-28,0.38518015,0.07166508,0.18687703,0.105342835
2018-01-02,,,,
2018-01-07,,,,
2018-01-12,,,,
2018-01-17,,,,
2018-01-22,0.52325904,0.114916824,0.27243418,0.26489973
2018-01-27,0.5221984,0.116449215,0.27498645,0.28178304
2018-02-01,0.5247291,0.12395128,0.2876776,0.332616
2018-02-06,0.5390111,0.13449176,0.3057915,0.40517876
2018-02-11,0.5116866,0.1316685,0.2989412,0.41679406
2018-02-16,0.40172094,0.110141814,0.2526516,0.3436477
2018-02-21,0.5079294,0.1488797,0.32420477,0.6072466
2018-02-26,0.5502469,0.1705274,0.36049178,0.86169165
2018-03-03,0.53946495,0.17171916,0.36055377,0.9342205
2018-03-08,,,,
2018-03-13,0.65711457,0.20339297,0.41941062,1.5256611
2018-03-18,0.6556763,0.20484582,0.4212997,1.654498
2018-03-23,0.6664105,0.21440499,0.4357596,2.5933647
2018-03-28,0.6985871,0.23999088,0.4741727,
2018-04-02,0.6974393,0.24175104,0.47635323,
2018-04-07,,,,
2018-04-12,0.65687287,0.20230469,0.4178496,1.7043743
2018-04-17,0.65581965,0.20358102,0.41953984,1.8092741
2018-04-22,0.6524311,0.20303848,0.41841736,1.8298901
2018-04-27,0.6443354,0.19899379,0.41186148,1.6966671
2018-05-02,0.6434993,0.20000863,0.41319743,1.7716563
2018-05-07,0.7180018,0.27555242,0.5224595,
2018-05-12,0.69956386,0.26815793,0.5103034,
2018-05-17,0.6113068,0.22725683,0.44436145,
2018-05-22,0.5446277,0.19382162,0.39025542,2.2652361
2018-05-27,0.5489924,0.18865664,0.38450277,1.8499721
2018-06-01,0.54698056,0.18911678,0.3847346,1.8990564
2018-06-06,0.49250728,0.19141442,0.37591988,2.9592144
2018-06-11,0.48050416,0.16441265,0.340583,1.2557157
2018-06-16,0.48020455,0.1452992,0.31510746,0.8750089
2018-06-21,0.42676038,0.13004196,0.28508648,0.7283161
2018-06-26,0.3677779,0.11566372,0.25419188,0.6124198
2018-07-01,0.34108117,0.10592376,0.23552556,0.52617717
2018-07-06,0.30588767,0.08923243,0.20533992,0.38529974
2018-07-11,0.29339898,0.08731818,0.19999363,0.37442836
2018-07-16,0.2844972,0.08737959,0.19801113,0.37900794
2018-07-21,0.27102962,0.08459038,0.19105515,0.35999274
2018-07-26,0.25965068,0.08277206,0.18578504,0.34823516
2018-07-31,0.24276341,0.0775786,0.1746736,0.3098502
2018-08-05,0.22736783,0.07471926,0.16677709,0.2910638
2018-08-10,0.21960555,0.07181755,0.16095644,0.26811782
2018-08-15,0.20644802,0.06685695,0.15099238,0.23182325
2018-08-20,0.19823484,0.06488538,0.14612056,0.21723187
2018-08-25,0.20902552,0.070958294,0.15671773,0.25593016
2018-08-30,0.20250164,0.06916534,0.15255119,0.24088535
2018-09-04,0.17949109,0.06241144,0.13720778,0.19617447
2018-09-09,0.19315878,0.05378995,0.1302629,0.13010907
2018-09-14,0.21222632,0.050495047,0.12944156,0.10241419
2018-09-19,0.21006627,0.05710678,0.13898577,0.13974719
2018-09-24,0.21243095,0.05737864,0.13991667,0.13716842
2018-09-29,0.21662062,0.058951072,0.1431293,0.14146881
2018-10-04,0.22713059,0.06338471,0.15183999,0.16000937
2018-10-09,0.2200354,0.062257793,0.14859474,0.15079014
2018-10-14,0.21557064,0.06081996,0.14552453,0.13934506
2018-10-19,0.30093032,0.0474142,0.13391948,0.054192692
2018-10-24,0.31140503,0.049278192,0.1383871,0.05837108
2018-10-29,0.3570514,0.05908321,0.16081868,0.08825681
2018-11-03,0.39820802,0.067265555,0.17905334,0.110251755
2018-11-08,0.41051307,0.06912839,0.18324032,0.11138595
2018-11-13,,,,
2018-11-18,,,,
2018-11-23,,,,
2018-11-28,,,,
2018-12-03,,,,
2018-12-08,0.6596728,0.13383739,0.30950674,0.281276
2018-12-13,0.6601944,0.13363676,0.3091537,0.2763943
2018-12-18,0.66049916,0.1335201,0.30894813,0.27362174
2018-12-23,,,,
2018-12-28,0.14005636,0.05652169,0.116154306,0.095252216
2019-01-02,0.12897836,0.0536745,0.108707935,0.086907946
2019-01-07,0.10990925,0.048785813,0.09562923,0.07210769
2019-01-12,0.32370758,0.09593205,0.21832445,0.23022941
2019-01-17,0.6133036,0.13873215,0.3170043,0.34300095
2019-01-22,0.6302463,0.16189797,0.35550985,0.50084853
2019-01-27,0.6291459,0.16238247,0.3562035,0.5221125
2019-02-01,0.63073707,0.16219538,0.35600695,0.5370231
2019-02-06,0.63815296,0.16133744,0.35507685,0.5420056
2019-02-11,0.6386431,0.16519275,0.36118373,0.5977477
2019-02-16,0.63817763,0.16987054,0.36842307,0.6702067
2019-02-21,0.63872665,0.1793512,0.3828466,0.8186367
2019-02-26,0.64628285,0.18890308,0.39758852,1.0025942
2019-03-03,0.64700854,0.198604,0.41159442,1.2952161
2019-03-08,0.6671058,0.21846104,0.4413928,
2019-03-13,0.67971826,0.22273076,0.4486902,
2019-03-18,0.6799061,0.22590654,0.45302254,
2019-03-23,0.66882473,0.22652853,0.45246837,
2019-03-28,0.6402205,0.21825701,0.43760777,
2019-04-02,0.63632363,0.21423791,0.43173888,
2019-04-07,0.6363195,0.21255606,0.42949706,3.9478874
2019-04-12,0.64294237,0.21328218,0.43135697,3.8332496
2019-04-17,0.6419301,0.21333277,0.43129125,4.178122
2019-04-22,0.6435991,0.21004078,0.4270608,2.6059577
2019-04-27,0.65194386,0.20617957,0.42274955,2.0709448
2019-05-02,0.63494897,0.19567345,0.40616533,1.6207612
2019-05-07,0.6183626,0.19104561,0.3977892,1.5343617
2019-05-12,0.60373956,0.189985,0.39454058,1.5733402
2019-05-17,0.57681304,0.18337876,0.38187978,1.4621205
2019-05-22,0.5046905,0.16378197,0.34425876,1.1575214
2019-05-27,0.4738366,0.15264875,0.32403246,1.0013433
2019-06-01,0.36245978,0.112894475,0.24939163,0.5812058
2019-06-06,0.35052598,0.11173511,0.2452596,0.5810945
2019-06-11,0.34443524,0.1111676,0.24313152,0.5816499
2019-06-16,0.27911714,0.08869596,0.19839196,0.39874423
2019-06-21,0.27482396,0.08751361,0.19578126,0.39051896
2019-06-26,0.2548385,0.08207655,0.18361817,0.35230833
2019-07-01,0.24244033,0.08032903,0.17799321,0.34331504
2019-07-06,0.23231137,0.07838921,0.17267609,0.33092856
2019-07-11,0.2364691,0.07606056,0.17103036,0.30706722
2019-07-16,0.22576958,0.07084581,0.1614907,0.26713783
2019-07-21,0.2132164,0.06595903,0.1517924,0.23198017
2019-07-26,0.20535211,0.062047664,0.14457904,0.20339222
2019-07-31,0.19165637,0.057807013,0.1353016,0.17523152
2019-08-05,0.1940336,0.059672806,0.13837989,0.1866706
2019-08-10,0.19690463,0.0605652,0.14033319,0.19035079
2019-08-15,0.19063005,0.05772682,0.13491328,0.16981341
2019-08-20,0.18389694,0.057612974,0.13284533,0.16913153
2019-08-25,0.17631617,0.05888676,0.13206746,0.17840973
2019-08-30,0.16668053,0.049229704,0.1171042,0.112864055
2019-09-04,0.17478785,0.04958861,0.11978104,0.11093568
2019-09-09,0.18529095,0.053649962,0.12806536,0.13148144
2019-09-14,0.18928207,0.054621436,0.13042645,0.13358691
2019-09-19,,,,
2019-09-24,0.21689755,0.044534206,0.12019054,0.06415175
2019-09-29,0.21798417,0.04445198,0.12019965,0.061793447
2019-10-04,0.21468562,0.043923177,0.11878773,0.057982042
2019-10-09,0.21652521,0.04451878,0.12010951,0.05876223
2019-10-14,0.22000988,0.04505183,0.12155397,0.058785085
2019-10-19,0.3214438,0.057302892,0.15509667,0.09361813
