t,NDVI,NIRv,EVI2,PPI
2017-01-07,0.19837147,0.0050935606,0.018432459,-0.1025385
2017-01-10,0.19713576,0.005079989,0.018385354,-0.1040599
2017-01-27,,,,
2017-01-30,,,,
2017-02-06,,,,
2017-02-09,0.38987082,0.049785633,0.13953999,-0.031769224
2017-02-16,0.41627258,0.052604668,0.14622019,-0.028668487
2017-02-19,0.43944117,0.05501892,0.15171528,-0.025173824
2017-02-26,0.438866,0.059263706,0.16159382,-0.014956769
2017-03-01,0.42832097,0.057931483,0.15863113,-0.01794008
2017-03-08,0.42872855,0.059712533,0.16266376,-0.013612098
2017-03-11,0.42695352,0.058735542,0.16056378,-0.0167202
2017-03-18,0.41935524,0.055995915,0.15447153,-0.025490416
2017-03-21,0.46514973,0.077181414,0.19969368,0.037960064
2017-03-23,0.46435496,0.077335715,0.19997835,0.03912082
2017-03-26,0.46326554,0.077584215,0.20044193,0.040926248
2017-03-28,0.46255252,0.07775079,0.20075014,0.042139024
2017-03-31,0.54200566,0.102906935,0.24834743,0.11943341
2017-04-02,0.5710625,0.111210965,0.26485747,0.1453625
2017-04-05,0.64858246,0.13802852,0.3141851,0.23098773
2017-04-07,0.6675627,0.1472487,0.33023447,0.26516032
2017-04-10,0.69719386,0.16549784,0.36117613,0.33804092
2017-04-12,0.71934474,0.18207301,0.3884805,0.4097525
2017-04-15,0.76569915,0.22142017,0.4508712,0.6019758
2017-04-17,0.8015615,0.25286806,0.4985653,0.77916074
2017-04-20,0.8364511,0.28034386,0.5393559,0.9606529
2017-04-22,0.84959155,0.29110163,0.55511296,1.0519954
2017-04-25,0.8596195,0.30296955,0.5720293,1.1617371
2017-04-27,0.8641048,0.30973485,0.5814776,1.2091377
2017-04-30,0.8826078,0.33601087,0.6183086,1.4448127
2017-05-02,0.88846356,0.34376138,0.6286803,1.5501478
2017-05-05,0.88827646,0.34502113,0.6302534,1.5683324
2017-05-07,0.8881603,0.3458113,0.6312381,1.5832671
2017-05-10,0.8854161,0.34954664,0.63574916,1.6445441
2017-05-12,0.8698003,0.3674389,0.6561661,1.9459287
2017-05-15,0.8637452,0.38823488,0.67969203,2.3115077
2017-05-17,0.8697073,0.38912517,0.6817014,2.3137038
2017-05-20,0.88175136,0.3909582,0.68571377,2.3366766
2017-05-22,0.88810164,0.39362025,0.68978894,2.368529
2017-05-25,0.8808309,0.40548712,0.702451,2.580072
2017-05-27,0.8722283,0.41321313,0.70963687,2.6998703
2017-05-30,0.87429947,0.41751072,0.7148379,2.7006001
2017-06-01,0.88911414,0.42137426,0.72195256,2.6962047
2017-06-04,0.9001059,0.42995667,0.7335372,2.7472637
2017-06-06,0.8977327,0.433773,0.73736405,2.8412447
2017-06-09,0.8907744,0.43193755,0.73408204,2.8717449
2017-06-11,0.8864919,0.42445278,0.72503877,2.7937589
2017-06-14,0.8823582,0.41546887,0.7142705,2.7741237
2017-06-16,0.87603873,0.41082484,0.707867,2.7281992
2017-06-19,0.8581615,0.40618873,0.6991481,2.7108152
2017-06-21,0.855549,0.40550527,0.6978493,2.701333
2017-06-24,0.8563781,0.40650138,0.69912636,2.7273312
2017-06-26,0.8614589,0.41275752,0.7071013,2.7922962
2017-06-29,0.8771932,0.42154846,0.7200354,2.8189447
2017-07-01,0.8798951,0.41519034,0.71351606,2.7827852
2017-07-04,0.8830819,0.4024945,0.6997603,2.5863254
2017-07-06,0.88635004,0.39719054,0.69423425,2.47007
2017-07-09,0.89301044,0.39370048,0.6912625,2.3992531
2017-07-11,0.8981438,0.38817757,0.68548185,2.3140204
2017-07-14,0.8960903,0.3822331,0.6780059,2.193715
2017-07-16,0.89375186,0.38275427,0.67832595,2.2022927
2017-07-19,0.8910574,0.38516125,0.68086123,2.2452412
2017-07-21,0.8895763,0.38650438,0.6822582,2.2764113
2017-07-24,0.87116873,0.38340014,0.6757215,2.2775168
2017-07-26,0.8370991,0.36712858,0.6508128,2.1143472
2017-07-29,0.83606976,0.36306852,0.6459518,2.0224595
2017-07-31,0.8371718,0.3597938,0.64228076,1.9455489
2017-08-03,0.8507924,0.35719553,0.6414045,1.852568
2017-08-05,0.86515534,0.3567329,0.64296764,1.8058912
2017-08-08,0.8772483,0.35523352,0.64271796,1.7319357
2017-08-10,0.8724027,0.3478568,0.6329297,1.6284811
2017-08-13,0.84018046,0.31961393,0.59340525,1.32373
2017-08-15,0.8366561,0.31349447,0.5851432,1.2524132
2017-08-18,0.84314626,0.31241855,0.5844067,1.2231612
2017-08-20,0.8507926,0.31459513,0.5879726,1.2275926
2017-08-23,0.8554189,0.31243795,0.5855414,1.185141
2017-08-25,0.84973806,0.30597678,0.576486,1.1244706
2017-08-28,0.838652,0.30020365,0.56779295,1.0738248
2017-08-30,0.8401011,0.30529842,0.5744673,1.1195357
2017-09-02,0.85366386,0.3128814,0.585329,1.1660787
2017-09-04,0.8559706,0.30399576,0.57379746,1.0690383
2017-09-07,0.8533618,0.27931207,0.5399506,0.8537957
2017-09-09,0.85256195,0.26798478,0.5238905,0.76844275
2017-09-12,0.85412055,0.26251203,0.51599896,0.7217406
2017-09-14,0.85446066,0.2667217,0.5220004,0.74085927
2017-09-17,0.8479134,0.2927326,0.557805,0.915684
2017-09-19,0.83984774,0.30360883,0.5715543,1.0084834
2017-09-22,0.8183455,0.28943637,0.55067724,0.9035134
2017-09-24,0.80009687,0.27239218,0.5260488,0.7874887
2017-09-27,0.7838352,0.2574404,0.50410295,0.6947261
2017-09-29,0.7784045,0.25211212,0.4962376,0.65811616
2017-10-02,0.78322375,0.2236352,0.45477423,0.4955116
2017-10-04,0.7868508,0.20918033,0.43224487,0.42472887
2017-10-07,0.78475076,0.20597583,0.42724773,0.40268946
2017-10-09,0.7780234,0.20171244,0.42041144,0.38241214
2017-10-12,0.73864466,0.18798651,0.3977304,0.33678547
2017-10-14,0.7124964,0.18020009,0.38468522,0.3120003
2017-10-17,0.6872321,0.17209697,0.3710689,0.28379336
2017-10-19,0.6765351,0.1677559,0.36363044,0.26790023
2017-10-22,0.6527864,0.1605028,0.35068417,0.24526902
2017-10-24,0.6105843,0.15107952,0.33354485,0.22275856
2017-10-27,0.51653457,0.13082244,0.2950748,0.17736523
2017-10-29,0.47712564,0.1219595,0.2775278,0.15630747
2017-11-01,0.45018667,0.11561638,0.26477835,0.13921277
2017-11-03,0.45097822,0.11552021,0.26472408,0.13637763
2017-11-06,0.4967878,0.09345667,0.22858052,0.06580464
2017-11-08,0.49757755,0.09335445,0.22842738,0.06431784
2017-11-11,0.51018745,0.09149277,0.22540188,0.05618665
2017-11-13,0.519301,0.090266615,0.22326191,0.05110622
2017-11-16,0.53454185,0.08668989,0.21638343,0.039934255
2017-11-18,0.5351685,0.082713954,0.20835035,0.030674089
2017-11-21,0.50765914,0.074945346,0.1922831,0.016472934
2017-11-23,0.49882492,0.0721611,0.18617596,0.011434262
2017-11-26,0.52194506,0.07271775,0.18653227,0.010824368
2017-11-28,0.5423755,0.073812544,0.18819836,0.011519123
2017-12-01,0.5605434,0.07473407,0.18952593,0.011958417
2017-12-03,0.5611717,0.074654154,0.18936244,0.011619341
2017-12-06,-0.07173041,-0.007283948,-0.029580195,-0.12909618
2017-12-08,-0.07097807,-0.007198115,-0.029239906,-0.1278349
2017-12-11,-0.06991073,-0.0070768814,-0.028759167,-0.1260979
2017-12-13,-0.06938168,-0.0070170197,-0.028521752,-0.12525888
2017-12-16,-0.08046123,-0.0071522677,-0.029923884,-0.12474185
2017-12-18,-0.10095862,-0.007732887,-0.034085803,-0.12615815
2017-12-21,0.114330046,0.005071852,0.015875166,-0.09956806
2017-12-23,0.11613295,0.005207259,0.016504187,-0.09927615
2017-12-26,0.1294756,0.005922621,0.019833075,-0.09775905
2017-12-28,0.13749802,0.006353825,0.021515245,-0.09726322
2017-12-31,0.13940044,0.006435484,0.021722294,-0.09782903
2018-01-02,0.13786039,0.0063359425,0.021303846,-0.09871402
2018-01-05,0.13604628,0.0062202397,0.020817913,-0.10009301
2018-01-07,-0.15345605,-0.013164574,-0.057464927,-0.14535408
2018-01-10,0.25783545,0.0367634,0.103482746,-0.044937503
2018-01-12,0.25690475,0.03673879,0.10337237,-0.045461264
2018-01-15,0.25548753,0.036701072,0.10320272,-0.04629552
2018-01-17,0.2544656,0.03667369,0.10307921,-0.04692626
2018-01-20,0.2529478,0.036632784,0.102894016,-0.047911428
2018-01-22,0.2518804,0.036603875,0.102762595,-0.048641235
2018-01-25,,,,
2018-01-27,,,,
2018-01-30,,,,
2018-02-01,,,,
2018-02-04,0.36522076,0.05461892,0.14949259,-0.016762
2018-02-06,0.36428663,0.054630775,0.1494812,-0.016937574
2018-02-09,0.362579,0.053902186,0.14793879,-0.019058578
2018-02-11,0.361603,0.05344201,0.14695294,-0.020486008
2018-02-14,0.36010686,0.052540112,0.1449944,-0.023266563
2018-02-16,0.35909295,0.051963273,0.1437078,-0.025135895
2018-02-19,0.35767224,0.051365703,0.14233209,-0.027312897
2018-02-21,0.35666776,0.050870635,0.14117411,-0.029092923
2018-02-24,,,,
2018-02-26,,,,
2018-03-01,,,,
2018-03-03,,,,
2018-03-06,0.38772997,0.05792909,0.15826662,-0.014017299
2018-03-08,0.38694233,0.057981312,0.15835102,-0.013965385
2018-03-11,0.38806596,0.05698766,0.15629,-0.01754816
2018-03-13,0.38877273,0.056338593,0.15492114,-0.019957075
2018-03-16,0.39120868,0.05518531,0.15247057,-0.024423046
2018-03-18,0.3951155,0.055141494,0.15243886,-0.025385734
2018-03-21,0.40434384,0.059106346,0.16123421,-0.0138574
2018-03-23,0.4008915,0.060878225,0.16493517,-0.0075120237
2018-03-26,0.3817451,0.059158683,0.1608643,-0.010820154
2018-03-28,0.36776936,0.057338674,0.15663457,-0.015356143
2018-03-31,0.36559078,0.056466352,0.1546918,-0.018399762
2018-04-02,0.39548427,0.058176998,0.1589245,-0.016643865
2018-04-05,0.41690168,0.059871946,0.16277964,-0.013832553
2018-04-07,0.41774032,0.06005535,0.1631901,-0.013428917
2018-04-10,0.41848496,0.060338788,0.16380405,-0.012683405
2018-04-12,0.41999945,0.06076534,0.16471443,-0.011425745
2018-04-15,0.5162249,0.09404727,0.23286732,0.09791462
2018-04-17,0.52053064,0.096766144,0.23804311,0.108531594
2018-04-20,0.547065,0.1080811,0.25940406,0.14923473
2018-04-22,0.57116926,0.11842382,0.27840993,0.18700002
2018-04-25,0.6182188,0.13884062,0.314709,0.26365846
2018-04-27,0.64605033,0.15143628,0.3363328,0.3136597
2018-04-30,0.68864363,0.17471738,0.37512287,0.41498283
