t,NDVI,NIRv,EVI2,PPI
2017-01-01,0.8352666,0.2212663,0.4539527,0.6553172
2017-01-31,,,,
2017-02-10,0.88164973,0.22581647,0.4618481,0.8638495
2017-02-20,0.8604291,0.22745512,0.4645859,0.96610194
2017-03-02,,,,
2017-03-12,,,,
2017-03-22,,,,
2017-03-27,,,,
2017-04-01,0.8564071,0.22278602,0.45749316,1.2411959
2017-04-06,0.8524823,0.22237897,0.45685628,1.2766986
2017-04-11,0.83648103,0.21406625,0.44375002,1.1872098
2017-04-16,0.8242391,0.21080372,0.4385299,1.1607357
2017-04-21,0.8132568,0.21180882,0.44002217,1.211085
2017-04-26,0.81182617,0.21452722,0.44428805,1.2854402
2017-05-01,0.8098402,0.2208012,0.4539722,1.467512
2017-05-06,0.8093701,0.2220229,0.45582813,1.5176066
2017-05-11,0.8464605,0.25600815,0.50794756,1.9550556
2017-05-16,0.85106194,0.26037663,0.5145002,2.0552106
2017-05-21,0.87182534,0.2761493,0.5381356,2.1109934
2017-05-26,0.8676052,0.27838615,0.541102,2.1026027
2017-05-31,0.8488134,0.27088162,0.5294434,2.131255
2017-06-05,0.8313263,0.27273363,0.53098124,2.1392868
2017-06-10,0.82650965,0.27264148,0.5305247,2.145827
2017-06-15,0.83130294,0.26521394,0.5204359,2.0496538
2017-06-20,0.8352227,0.26494887,0.5203393,2.0704994
2017-06-25,0.8237529,0.25434828,0.50461024,2.0931044
2017-06-30,0.8192823,0.25148752,0.5001752,2.1312041
2017-07-05,0.823059,0.25301656,0.5026707,2.0978014
2017-07-10,0.79831606,0.23585078,0.4764838,1.9341354
2017-07-15,0.7917237,0.22916651,0.4662777,1.7994899
2017-07-20,0.79408365,0.23128866,0.46951205,1.8039019
2017-07-25,0.79400903,0.23245202,0.47123113,1.8203331
2017-07-30,0.7922688,0.2245198,0.45935333,1.621923
2017-08-04,0.7663843,0.21211374,0.43958902,1.3367211
2017-08-09,0.7540521,0.20492892,0.42814222,1.185129
2017-08-14,0.7991897,0.21933495,0.45174703,1.3996397
2017-08-19,0.8162977,0.22311896,0.45799163,1.4245396
2017-08-24,0.80788064,0.21833935,0.45041078,1.3211759
2017-08-29,0.79078084,0.2082231,0.434295,1.1138387
2017-09-03,0.7942066,0.20992877,0.4370343,1.1218336
2017-09-08,0.8250448,0.2306812,0.46970353,1.5048956
2017-09-13,0.81788534,0.22607474,0.4625431,1.3779222
2017-09-18,0.82677776,0.23102757,0.47030577,1.4266901
2017-09-23,0.8397607,0.23122332,0.47089997,1.3685582
2017-09-28,0.8361223,0.2220892,0.45672902,1.1164184
2017-10-03,0.8351377,0.220062,0.45352077,1.054655
2017-10-08,0.84984905,0.22246979,0.4573857,1.0363562
2017-10-13,0.8588394,0.22420731,0.46010974,1.0229542
2017-10-18,0.84278536,0.21806473,0.45030904,0.9166083
2017-10-23,0.8501652,0.21664737,0.44803163,0.8514801
2017-10-28,0.8540711,0.2176699,0.44967943,0.8357409
2017-11-02,0.8157748,0.20285416,0.4260422,0.6694178
2017-11-07,0.7961911,0.19444172,0.412246,0.5923509
2017-11-12,0.8716502,0.2129308,0.44167387,0.67669016
2017-11-17,0.8656547,0.21136837,0.43922505,0.6427297
2017-11-22,0.8407238,0.20894961,0.43555674,0.6242015
2017-11-27,0.85649496,0.2135368,0.44302848,0.62797666
2017-12-02,0.8716819,0.21609974,0.44671023,0.6267504
2017-12-07,,,,
2017-12-12,0.86802167,0.22310725,0.45770025,0.659282
2017-12-17,0.86665636,0.22189532,0.4557542,0.6649598
2017-12-22,0.86410344,0.2208013,0.45401764,0.64427215
2017-12-27,0.8625951,0.22042166,0.45334917,0.64121765
2018-01-01,,,,
2018-01-06,,,,
2018-01-11,,,,
2018-01-16,0.82175064,0.21057467,0.438069,0.64589113
2018-01-21,0.8211003,0.21146375,0.43946263,0.6827575
2018-01-26,0.8204166,0.21241297,0.4409461,0.70600796
2018-01-31,,,,
2018-02-05,0.84976935,0.21629468,0.44737485,0.7656619
2018-02-10,0.8455449,0.21756509,0.4493906,0.8279225
2018-02-15,0.8290702,0.2197306,0.4526828,0.902569
2018-02-20,0.8205736,0.22136816,0.45507166,0.9797607
2018-02-25,,,,
2018-03-02,,,,
2018-03-07,,,,
2018-03-12,,,,
2018-03-17,,,,
