t,NDVI,NIRv,EVI2,PPI
2017-01-07,,,,
2017-01-10,,,,
2017-01-27,,,,
2017-01-30,,,,
2017-02-06,,,,
2017-02-09,,,,
2017-02-16,,,,
2017-02-19,,,,
2017-02-26,,,,
2017-03-01,,,,
2017-03-08,,,,
2017-03-11,,,,
2017-03-18,,,,
2017-03-21,,,,
2017-03-23,,,,
2017-03-26,,,,
2017-03-28,,,,
2017-03-31,,,,
2017-04-02,,,,
2017-04-05,,,,
2017-04-07,,,,
2017-04-10,,,,
2017-04-12,,,,
2017-04-15,0.3880602,0.09830185,0.23193224,0.2339576
2017-04-17,0.38726848,0.0984449,0.2320484,0.2370229
2017-04-20,0.38606623,0.09865543,0.23221181,0.24155684
2017-04-22,0.3852775,0.09879103,0.23231308,0.24448252
2017-04-25,0.38412762,0.09899286,0.23246364,0.24879573
2017-04-27,0.38341752,0.09912314,0.23256314,0.25153548
2017-04-30,0.38223726,0.09930852,0.23267747,0.25561097
2017-05-02,,,,
2017-05-05,,,,
2017-05-07,,,,
2017-05-10,0.33738086,0.086691536,0.20626615,0.20707504
2017-05-12,0.33693892,0.08677007,0.2063161,0.20864256
2017-05-15,0.34613216,0.092077255,0.21579628,0.23780753
2017-05-17,0.3596932,0.097111255,0.225383,0.26478314
2017-05-20,0.37910324,0.10440665,0.2390603,0.30652535
2017-05-22,0.38075617,0.105026305,0.24023479,0.31134316
2017-05-25,0.37855557,0.103429124,0.23768224,0.30264944
2017-05-27,0.3875887,0.10495203,0.2413663,0.30903322
2017-05-30,0.42435527,0.1092427,0.2528223,0.31981868
2017-06-01,0.4541521,0.1092517,0.25594652,0.30506045
2017-06-04,0.4844509,0.11028586,0.26003408,0.29784375
2017-06-06,0.52062315,0.1270923,0.2906187,0.38837263
2017-06-09,0.57235634,0.17939113,0.3741944,0.7959329
2017-06-11,0.5664223,0.18502341,0.38105214,0.8697447
2017-06-14,0.5632005,0.18896954,0.3858941,0.9189819
2017-06-16,0.579102,0.19539681,0.39692944,0.94979644
2017-06-19,0.61875856,0.20503993,0.4156525,1.0286988
2017-06-21,0.64297545,0.2115168,0.42759204,1.0565193
2017-06-24,0.6783731,0.23716614,0.46637192,1.2897849
2017-06-26,0.69203156,0.25427264,0.49034974,1.4857024
2017-06-29,0.700204,0.26291347,0.50244516,1.5870209
2017-07-01,0.70516163,0.26316667,0.5035842,1.5736834
2017-07-04,0.7158078,0.2614461,0.503181,1.5900142
2017-07-06,0.7175187,0.26105204,0.50294405,1.5641525
2017-07-09,0.7174273,0.26098087,0.5028563,1.5718524
2017-07-11,0.71611464,0.26210448,0.504187,1.6016171
2017-07-14,0.70714444,0.25832233,0.49813497,1.5665672
2017-07-16,0.70290506,0.25216252,0.4896251,1.5044124
2017-07-19,0.6960993,0.24025618,0.47317442,1.3342358
2017-07-21,0.6914038,0.23238873,0.46210188,1.2389498
2017-07-24,0.6862444,0.22383125,0.4498829,1.1205544
2017-07-26,0.6816832,0.21669762,0.43952617,1.0313116
2017-07-29,0.6800925,0.23907349,0.4690805,1.3567783
2017-07-31,0.68034303,0.23866226,0.4685803,1.342405
2017-08-03,0.6807336,0.23802613,0.4678051,1.3128934
2017-08-05,0.68101573,0.23757038,0.46724856,1.2928385
2017-08-08,0.6679203,0.23161069,0.45776236,1.2316356
2017-08-10,0.63813084,0.21880941,0.43690237,1.1166048
2017-08-13,0.6149755,0.20638217,0.41715193,0.97012603
2017-08-15,0.6183957,0.20491919,0.41565186,0.94036514
2017-08-18,0.6314809,0.20343909,0.41531667,0.8898544
2017-08-20,0.6399201,0.20106758,0.4130218,0.8398174
2017-08-23,0.64542264,0.19721864,0.40816805,0.7804017
2017-08-25,0.64525,0.19547512,0.40565315,0.75715804
2017-08-28,0.6434587,0.1940922,0.40347964,0.7373964
2017-08-30,0.6421885,0.19340168,0.40235522,0.7264513
2017-09-02,0.6301124,0.17890057,0.38022125,0.60290885
2017-09-04,0.62613684,0.17116196,0.36830124,0.54333144
2017-09-07,0.62367976,0.17169204,0.36894098,0.5409126
2017-09-09,0.61970454,0.17295684,0.3705452,0.54734844
2017-09-12,0.6095227,0.17590071,0.374009,0.56837106
2017-09-14,0.6003501,0.17601596,0.37325993,0.57066065
2017-09-17,0.56785905,0.16642189,0.35583696,0.5165001
2017-09-19,0.5527589,0.15864849,0.34281912,0.4683334
2017-09-22,0.5465852,0.14999221,0.32933083,0.40977526
2017-09-24,0.5437817,0.14460108,0.32087374,0.37509346
2017-09-27,0.52532685,0.1338198,0.3024024,0.3194684
2017-09-29,0.51010275,0.12768656,0.2912973,0.29098332
2017-10-02,0.4906001,0.120633446,0.2783008,0.25819886
2017-10-04,0.48209953,0.11691163,0.27153403,0.24080084
2017-10-07,0.47687244,0.11435796,0.26693705,0.22638811
2017-10-09,0.47623807,0.1141709,0.26656023,0.2224441
2017-10-12,0.469455,0.1124986,0.26319814,0.21246107
2017-10-14,0.4616938,0.11057076,0.25934714,0.20357364
2017-10-17,0.44790918,0.10776595,0.25346783,0.19156677
2017-10-19,0.43853912,0.106597036,0.2505769,0.18671447
2017-10-22,0.4234896,0.10604238,0.2478766,0.18468241
2017-10-24,0.4136707,0.10529239,0.2454928,0.18161088
2017-10-27,0.40557882,0.10271918,0.24055384,0.16915983
2017-10-29,0.40520796,0.09964192,0.23572668,0.15478832
2017-11-01,0.40855914,0.09787063,0.23327008,0.14355622
2017-11-03,0.41060022,0.09848236,0.23445876,0.14265254
2017-11-06,0.41308385,0.09945013,0.23626462,0.1415407
2017-11-08,0.41462675,0.09998853,0.2372816,0.14052317
2017-11-11,0.4176944,0.10149476,0.23996615,0.14104107
2017-11-13,,,,
2017-11-16,,,,
2017-11-18,,,,
2017-11-21,,,,
2017-11-23,,,,
2017-11-26,,,,
2017-11-28,,,,
2017-12-01,,,,
2017-12-03,,,,
2017-12-06,,,,
2017-12-08,,,,
2017-12-11,,,,
2017-12-13,,,,
2017-12-16,,,,
2017-12-18,,,,
2017-12-21,,,,
2017-12-23,,,,
2017-12-26,,,,
2017-12-28,,,,
2017-12-31,,,,
2018-01-02,,,,
2018-01-05,,,,
2018-01-07,,,,
2018-01-10,,,,
2018-01-12,,,,
2018-01-15,,,,
2018-01-17,,,,
2018-01-20,,,,
2018-01-22,,,,
2018-01-25,,,,
2018-01-27,,,,
2018-01-30,,,,
2018-02-01,,,,
2018-02-04,,,,
2018-02-06,,,,
2018-02-09,,,,
2018-02-11,,,,
2018-02-14,,,,
2018-02-16,,,,
2018-02-19,,,,
2018-02-21,,,,
2018-02-24,,,,
2018-02-26,,,,
2018-03-01,,,,
2018-03-03,,,,
2018-03-06,,,,
2018-03-08,,,,
2018-03-11,,,,
2018-03-13,,,,
2018-03-16,,,,
2018-03-18,,,,
2018-03-21,,,,
2018-03-23,,,,
2018-03-26,,,,
2018-03-28,,,,
2018-03-31,,,,
2018-04-02,,,,
2018-04-05,,,,
2018-04-07,,,,
2018-04-10,,,,
2018-04-12,,,,
2018-04-15,,,,
2018-04-17,,,,
2018-04-20,,,,
2018-04-22,,,,
2018-04-25,,,,
2018-04-27,,,,
2018-04-30,,,,
2018-05-02,,,,
2018-05-05,,,,
2018-05-07,,,,
2018-05-10,,,,
2018-05-12,,,,
2018-05-15,,,,
2018-05-17,,,,
2018-05-20,,,,
2018-05-22,,,,
2018-05-25,,,,
2018-05-30,,,,
2018-06-01,,,,
2018-06-04,0.44055825,0.1358083,0.29420802,0.49913046
2018-06-06,0.4404079,0.1358787,0.29427725,0.5005941
2018-06-09,0.44020438,0.13597436,0.29437122,0.50257945
2018-06-11,0.44010004,0.13602349,0.29441944,0.50359774
2018-06-14,0.63413674,0.19668193,0.40470907,0.82079595
2018-06-16,0.64604235,0.20304379,0.4152922,0.8479569
2018-06-19,0.65155005,0.21056475,0.42645478,0.91995496
2018-06-21,0.65129673,0.21484713,0.43235517,0.98918253
2018-06-24,0.6454181,0.21826234,0.436338,1.0536717
2018-06-26,0.6405067,0.21767725,0.43464744,1.0700792
2018-06-29,0.65251493,0.22218588,0.44247875,1.1328158
2018-07-01,0.669181,0.22838646,0.45329225,1.1524403
2018-07-04,0.6846993,0.23487628,0.46392885,1.1743371
2018-07-06,0.693827,0.24020019,0.47216457,1.2089317
2018-07-09,0.7064531,0.25063932,0.48768085,1.3510568
2018-07-11,0.7083817,0.2520346,0.48976952,1.3782693
2018-07-14,0.71076024,0.25016543,0.48766714,1.33959
2018-07-16,0.7166954,0.24614854,0.48313874,1.2816079
2018-07-19,0.72413504,0.24124373,0.47741044,1.2309644
2018-07-21,0.72272927,0.24090044,0.47685498,1.2488749
2018-07-24,0.7100539,0.2409465,0.47563034,1.2609415
2018-07-26,0.7047162,0.23837462,0.47151136,1.2206007
2018-07-29,0.7025684,0.22962108,0.45934814,1.0960587
2018-07-31,0.6979615,0.22203657,0.44837365,1.0245253
2018-08-03,0.68095446,0.21187106,0.43237105,0.9532965
2018-08-05,0.67291737,0.21128541,0.43066728,0.9543791
2018-08-08,0.6735436,0.2265849,0.45152298,1.1186131
2018-08-10,0.6767253,0.23480582,0.4627321,1.2074049
2018-08-13,0.67274773,0.2299415,0.4558971,1.1336302
2018-08-15,0.6632253,0.22137728,0.44331127,1.0313009
2018-08-18,0.64713866,0.2139434,0.43124327,0.98355913
2018-08-20,0.6433215,0.21262197,0.42891762,0.95776933
2018-08-23,0.64691204,0.20913497,0.42430016,0.90812945
2018-08-25,0.64751685,0.2018117,0.41408902,0.84346366
2018-08-28,0.6370919,0.18790485,0.39385563,0.70220107
2018-08-30,0.62946033,0.18382016,0.3873494,0.6577623
2018-09-02,0.62489396,0.1794517,0.38047954,0.61673796
2018-09-04,0.6239663,0.17415436,0.37232426,0.57444924
2018-09-07,0.61543125,0.16065942,0.35012335,0.48825374
2018-09-09,0.60112613,0.15104097,0.33377331,0.43003437
2018-09-12,0.5820626,0.14743258,0.32784975,0.4018263
2018-09-14,0.57750154,0.14991887,0.33182776,0.41108596
2018-09-17,0.5661209,0.15086295,0.3325261,0.4145639
2018-09-19,0.5586264,0.1476647,0.32696947,0.39508456
2018-09-22,0.5538513,0.14235905,0.3183551,0.36063576
2018-09-24,0.55338943,0.14014135,0.3148236,0.3444271
2018-09-27,0.548687,0.13687639,0.30923888,0.32312566
2018-09-29,0.5392312,0.13361162,0.303289,0.3066538
2018-10-02,0.5197916,0.12780483,0.29249164,0.2803632
2018-10-04,0.50809824,0.12454773,0.2863386,0.26567462
2018-10-07,0.490495,0.12111716,0.2792993,0.25076172
2018-10-09,0.48014885,0.119100995,0.27507022,0.24173166
2018-10-12,0.47282103,0.1169181,0.27062032,0.2291926
2018-10-17,0.42328665,0.105696894,0.24783525,0.18980753
2018-10-19,0.40538773,0.100504436,0.23769301,0.17148231
2018-10-22,0.40522102,0.097135,0.23223792,0.15457939
2018-10-24,0.39918473,0.0941963,0.22677416,0.1427942
2018-10-27,0.3800278,0.0889885,0.21612899,0.12535276
2018-10-29,0.3665961,0.08571065,0.20921066,0.11497715
2018-11-01,0.3292332,0.078082375,0.19208309,0.09448321
2018-11-03,,,,
2018-11-06,,,,
2018-11-08,,,,
2018-11-11,,,,
2018-11-16,,,,
2018-11-18,,,,
2018-11-21,,,,
2018-11-23,,,,
2018-11-26,,,,
2018-11-28,,,,
2018-12-01,,,,
2018-12-03,,,,
2018-12-06,,,,
2018-12-08,,,,
2018-12-11,,,,
2018-12-13,,,,
2018-12-16,,,,
2018-12-18,,,,
2018-12-21,,,,
2018-12-23,,,,
2018-12-26,,,,
2018-12-28,,,,
2018-12-31,,,,
2019-01-02,,,,
2019-01-05,,,,
2019-01-07,,,,
2019-01-10,,,,
2019-01-12,,,,
2019-01-15,,,,
2019-01-17,,,,
2019-01-20,,,,
2019-01-22,,,,
2019-01-25,,,,
2019-01-27,,,,
2019-01-30,,,,
2019-02-01,,,,
2019-02-04,,,,
2019-02-06,,,,
2019-02-09,,,,
2019-02-11,,,,
2019-02-14,,,,
2019-02-16,,,,
2019-02-19,,,,
2019-02-21,,,,
2019-02-24,,,,
2019-02-26,,,,
2019-03-01,,,,
2019-03-03,,,,
2019-03-06,,,,
2019-03-08,,,,
2019-03-11,,,,
2019-03-13,,,,
2019-03-16,,,,
2019-03-18,,,,
2019-03-21,,,,
2019-03-23,,,,
2019-03-26,,,,
2019-03-28,,,,
2019-03-31,,,,
2019-04-02,,,,
