t,NDVI,NIRv,EVI2,PPI
2017-01-07,,,,
2017-01-10,,,,
2017-01-27,,,,
2017-01-30,,,,
2017-02-06,,,,
2017-02-09,0.9578744,0.14798927,0.32365024,0.14677502
2017-02-16,0.95709455,0.15148766,0.33021924,0.16994575
2017-02-19,0.9568129,0.15277992,0.33263394,0.18013701
2017-02-26,,,,
2017-03-01,,,,
2017-03-08,0.9255657,0.12784113,0.28787485,0.15480196
2017-03-11,0.92528856,0.12844014,0.28906155,0.16163258
2017-03-18,0.9247247,0.12969801,0.29154745,0.17745048
2017-03-20,0.8224502,0.11496281,0.2685515,0.15537669
2017-03-21,0.822297,0.11509133,0.26881525,0.15726647
2017-03-23,0.82200325,0.115341,0.2693271,0.16101263
2017-03-26,0.8215897,0.11570053,0.27006304,0.16657595
2017-03-28,0.8213319,0.11592995,0.27053192,0.17022584
2017-03-31,0.82096785,0.11626209,0.27120975,0.17563888
2017-04-02,0.8207128,0.11650434,0.27170315,0.17927605
2017-04-05,,,,
2017-04-07,,,,
2017-04-10,,,,
2017-04-12,,,,
2017-04-15,,,,
2017-04-17,,,,
2017-04-20,,,,
2017-04-22,,,,
2017-04-25,0.7974996,0.13194504,0.30290234,0.27879724
2017-04-27,0.7971994,0.13230431,0.30359516,0.28320706
2017-04-30,0.7967625,0.13283856,0.30462357,0.28974345
2017-05-02,0.7964905,0.13317849,0.30527675,0.29389128
2017-05-05,0.7974446,0.13388564,0.3065758,0.30050242
2017-05-07,0.80557555,0.13548487,0.30927238,0.30753386
2017-05-10,0.8311649,0.13994856,0.3165546,0.32341424
2017-05-12,0.8348749,0.14085898,0.318087,0.32868204
2017-05-15,0.831964,0.14125247,0.31896216,0.3348193
2017-05-17,0.8165024,0.1412253,0.31960848,0.34256208
2017-05-20,0.7794761,0.14140652,0.32125893,0.3620914
2017-05-22,0.7773753,0.14187849,0.32218513,0.3674057
2017-05-25,0.788358,0.1431247,0.32414487,0.37192425
2017-05-27,0.798834,0.14421237,0.32578757,0.37489882
2017-05-30,0.8084126,0.14534107,0.3275025,0.3791918
2017-06-01,0.8117312,0.14580904,0.32823065,0.3815964
2017-06-04,0.80320895,0.1470882,0.33091158,0.39411294
2017-06-06,0.79973197,0.14774486,0.3321686,0.40076885
2017-06-09,0.7996172,0.14792056,0.33249196,0.40307572
2017-06-11,0.79955834,0.14801095,0.33265826,0.40426233
2017-06-14,0.79948,0.1481316,0.33288014,0.40584615
2017-06-16,0.7994486,0.14818001,0.33296913,0.4064817
2017-06-19,,,,
2017-06-21,,,,
2017-06-24,,,,
2017-06-26,,,,
2017-06-29,0.85081136,0.17926404,0.38643336,0.58090144
2017-07-01,0.8521202,0.17984746,0.3874307,0.5830968
2017-07-04,0.8546594,0.18101388,0.38941255,0.5878784
2017-07-06,0.8566078,0.18188988,0.39088944,0.5913353
2017-07-09,0.8594837,0.18316175,0.39301604,0.59625083
2017-07-11,0.8611462,0.18382998,0.39412162,0.5982099
2017-07-14,0.86557,0.18588221,0.39750093,0.60773164
2017-07-16,,,,
2017-07-19,,,,
2017-07-21,,,,
2017-07-24,,,,
2017-07-26,,,,
2017-07-29,,,,
2017-07-31,,,,
2017-08-03,,,,
2017-08-05,,,,
2017-08-08,,,,
2017-08-10,,,,
2017-08-13,,,,
2017-08-15,,,,
2017-08-18,0.8476761,0.14560993,0.3254204,0.3318652
2017-08-20,0.8479195,0.14519142,0.32463565,0.3264454
2017-08-23,0.8531248,0.1467075,0.32745224,0.32559797
2017-08-25,0.85993373,0.14940763,0.33239186,0.3308825
2017-08-28,0.8743368,0.15607297,0.3442444,0.34921628
2017-08-30,0.88087225,0.15909368,0.3494508,0.3566293
2017-09-02,0.8946444,0.16597971,0.36134094,0.3767337
2017-09-04,0.8948404,0.1654715,0.36041853,0.36922666
2017-09-07,,,,
2017-09-09,,,,
2017-09-12,,,,
2017-09-14,,,,
2017-09-17,0.78411937,0.16960779,0.37089702,0.403898
2017-09-19,0.7844324,0.16928096,0.37033537,0.39519885
2017-09-22,0.79832035,0.121739104,0.28171423,0.19160417
2017-09-24,0.7988469,0.121216066,0.2812316,0.18343796
2017-09-27,0.7997484,0.121060245,0.28148812,0.17486921
2017-09-29,0.8001862,0.12248368,0.28437325,0.17527975
2017-10-02,0.80328053,0.12746736,0.29389396,0.18469411
2017-10-04,0.82504493,0.13566843,0.3085509,0.20167542
2017-10-07,0.9096747,0.15710439,0.3442326,0.24370398
2017-10-09,0.9229685,0.1585123,0.34606805,0.23963566
2017-10-12,0.92330927,0.15766025,0.34448537,0.22874722
2017-10-14,0.9235528,0.15705794,0.34336475,0.22153535
2017-10-17,0.9239497,0.15608619,0.34155333,0.21068098
2017-10-19,,,,
2017-10-22,,,,
2017-10-24,,,,
2017-10-27,,,,
2017-10-29,,,,
2017-11-01,,,,
2017-11-03,,,,
2017-11-06,0.914036,0.14517108,0.32105318,0.14237331
2017-11-08,0.9146678,0.1440113,0.31884104,0.13607919
2017-11-11,0.9157127,0.1421228,0.31522566,0.12674034
2017-11-13,0.91645014,0.1408131,0.3127086,0.12083835
2017-11-16,0.9176701,0.13868918,0.30860955,0.112116866
2017-11-18,0.91851825,0.13724425,0.30580872,0.106704734
2017-11-21,0.91991264,0.13492532,0.30129293,0.09876878
2017-11-23,,,,
2017-11-26,,,,
2017-11-28,,,,
2017-12-01,,,,
2017-12-03,,,,
2017-12-06,,,,
2017-12-08,,,,
2017-12-11,,,,
2017-12-13,,,,
2017-12-16,,,,
2017-12-18,,,,
2017-12-21,,,,
2017-12-23,,,,
2017-12-26,,,,
2017-12-28,,,,
2017-12-31,0.79935116,0.124920905,0.2874152,0.0802745
2018-01-02,0.7969898,0.12586738,0.28931823,0.08279818
2018-01-05,0.7933112,0.12738456,0.2923481,0.087040335
2018-01-07,0.79049814,0.12858105,0.2947199,0.0905714
2018-01-10,0.78639185,0.13038608,0.29826903,0.09624228
2018-01-12,0.7834141,0.13173984,0.30090848,0.10079691
2018-01-15,0.7791792,0.13373204,0.30475846,0.10803466
2018-01-17,,,,
2018-01-20,0.8224993,0.12641853,0.2901734,0.094015576
2018-01-22,0.8204141,0.12775111,0.2928298,0.09891005
2018-01-25,0.81755,0.12963109,0.29655376,0.10646214
2018-01-27,0.8157193,0.13086279,0.29897872,0.111883804
2018-01-30,0.6002052,0.098313466,0.24153154,0.080539696
2018-02-01,0.58730656,0.09719138,0.23939346,0.082149714
2018-02-04,0.62679815,0.103106275,0.25088376,0.09263989
2018-02-06,0.6353696,0.103738114,0.2525061,0.09536482
2018-02-09,0.6926583,0.112008855,0.2674717,0.109314695
2018-02-11,0.73000234,0.117388874,0.2767921,0.118864395
2018-02-14,0.76934046,0.123351865,0.28684708,0.13147385
2018-02-16,0.80277157,0.12817529,0.2946713,0.14111713
2018-02-19,0.9450418,0.14387439,0.3171936,0.15974517
2018-02-21,0.94314694,0.14509203,0.31962124,0.16732006
2018-02-24,0.9396633,0.14704508,0.32352638,0.17957242
2018-02-26,0.93711525,0.1483957,0.32622102,0.1883111
2018-03-01,0.9280559,0.14893603,0.3277491,0.19869763
2018-03-03,0.90944743,0.14539276,0.3220586,0.19690506
2018-03-06,0.88241214,0.13935341,0.31179458,0.19155581
2018-03-08,0.8629809,0.13399172,0.302478,0.18374802
2018-03-11,0.8847516,0.13877815,0.31061202,0.19956073
2018-03-13,0.9060507,0.1435061,0.31860104,0.21389946
2018-03-16,0.929082,0.14883281,0.32736108,0.23272732
2018-03-18,0.928946,0.1492272,0.32810447,0.23873004
2018-03-21,0.928755,0.14979154,0.32916692,0.24766882
2018-03-23,0.92863613,0.15014987,0.32984075,0.2535554
2018-03-26,0.91978556,0.15057641,0.33126926,0.26410097
2018-03-28,0.90153694,0.15087704,0.33296382,0.2748995
2018-03-31,0.9013333,0.15134166,0.33383483,0.28360283
2018-04-02,0.90119046,0.1516797,0.33446765,0.28944758
2018-04-05,0.89609456,0.15134002,0.3341316,0.2962338
2018-04-07,0.866571,0.14588767,0.32564345,0.2871432
2018-04-10,0.7825149,0.12975396,0.29925385,0.25151604
2018-04-12,0.77038527,0.12777765,0.29597235,0.2501664
2018-04-15,0.77544236,0.12679464,0.29392427,0.24908091
2018-04-17,0.78903705,0.1234955,0.28704363,0.23399943
2018-04-20,0.8058328,0.1197587,0.27897686,0.21790418
2018-04-22,0.8081341,0.1194817,0.2783153,0.21848643
2018-04-25,0.8048658,0.122000925,0.28339243,0.23330723
2018-04-27,0.8091643,0.13070706,0.29992518,0.27246
2018-04-30,0.8067783,0.13477401,0.3078074,0.29564813
2018-05-02,0.80235994,0.1323893,0.3035337,0.28833032
2018-05-05,0.79886687,0.12935431,0.29793555,0.27864784
2018-05-07,0.801603,0.12936723,0.29784793,0.27985057
2018-05-10,0.8041265,0.13216257,0.30309305,0.2952669
2018-05-12,0.78431386,0.13359968,0.30651325,0.31157053
2018-05-15,0.75294346,0.13418172,0.30826524,0.33040252
2018-05-17,0.7385128,0.13273898,0.305943,0.33084366
2018-05-20,0.7782834,0.14124493,0.32063904,0.36267942
2018-05-22,0.83871984,0.1532657,0.34079853,0.4044373
2018-05-25,0.86833173,0.16078673,0.35327455,0.4362848
2018-05-30,0.85683507,0.16975611,0.3697934,0.50103545
2018-06-01,0.84317476,0.17337362,0.37657282,0.5345811
2018-06-04,0.7870079,0.17313068,0.3769575,0.57301253
2018-06-06,0.74867874,0.16914925,0.36996344,0.5737551
2018-06-09,0.7433426,0.16451356,0.36231363,0.5439213
2018-06-11,0.75794625,0.16313902,0.36019704,0.52387595
2018-06-14,0.77937394,0.16266327,0.35932827,0.50746536
2018-06-16,0.79949886,0.16235119,0.35843563,0.49383643
2018-06-19,,,,
2018-06-21,,,,
2018-06-24,0.87884414,0.16788764,0.3655921,0.48589277
2018-06-26,0.8777515,0.16938096,0.3683032,0.49559122
2018-06-29,0.8743944,0.17152448,0.3722481,0.5106268
2018-07-01,0.8715313,0.17236827,0.3738529,0.5171112
2018-07-04,0.8664528,0.17085975,0.37138382,0.50901276
2018-07-06,0.8635326,0.16822974,0.3668339,0.4927259
2018-07-09,0.85995024,0.16517392,0.3615277,0.47385213
2018-07-11,0.85573864,0.16864799,0.36786747,0.4965841
2018-07-14,0.85257703,0.17394206,0.37725687,0.53122795
2018-07-16,0.8517153,0.17227387,0.3743716,0.51867193
2018-07-19,0.84720236,0.1695922,0.36981127,0.5008723
2018-07-21,0.8421916,0.16845255,0.36796588,0.494254
2018-07-24,0.8365402,0.16782518,0.36704373,0.48991224
2018-07-26,0.8372699,0.16719036,0.36590183,0.48288244
2018-07-29,0.8432104,0.16334471,0.3588891,0.452099
2018-07-31,0.8482878,0.15864299,0.35026777,0.41950545
2018-08-03,0.8548536,0.15161322,0.3371806,0.374442
2018-08-05,0.85849315,0.14779711,0.32995734,0.350826
2018-08-08,0.86180794,0.14423604,0.3231485,0.3282972
2018-08-10,0.86437625,0.1413826,0.3176456,0.31129524
2018-08-13,0.5934574,0.09074243,0.22665854,0.16415456
2018-08-15,0.5939719,0.09054866,0.22626428,0.16171668
2018-08-18,0.81415296,0.14746085,0.33107084,0.34858844
2018-08-20,0.8144584,0.14705233,0.3303115,0.3429779
2018-08-23,0.8149061,0.14642741,0.32914904,0.3344354
2018-08-25,0.81521463,0.14600429,0.3283606,0.3286253
2018-08-28,0.8156837,0.14537227,0.32718062,0.31988984
2018-08-30,0.8160062,0.14494598,0.32638323,0.31394497
2018-09-02,0.82317495,0.1794567,0.3873757,0.48695466
2018-09-04,0.8234927,0.17893682,0.38648617,0.4771759
2018-09-07,0.8239622,0.1781862,0.3851992,0.4626813
2018-09-09,0.82426685,0.17771158,0.3843839,0.45311064
2018-09-12,0.82467484,0.17709753,0.383327,0.43932533
2018-09-14,0.82490444,0.17676905,0.3827606,0.43051556
2018-09-17,0.82527065,0.17625773,0.38187766,0.41712168
2018-09-19,,,,
2018-09-22,,,,
2018-09-24,,,,
2018-09-27,,,,
2018-09-29,,,,
2018-10-02,,,,
2018-10-04,,,,
2018-10-07,0.8678249,0.14833137,0.33032417,0.22503555
2018-10-09,0.8691988,0.14915623,0.3317961,0.2223206
2018-10-12,0.86175126,0.1504628,0.33458367,0.22058856
2018-10-14,0.85175407,0.15104873,0.33610946,0.21972294
2018-10-17,0.8266111,0.15077311,0.33656648,0.21725513
2018-10-19,0.8183576,0.15178527,0.3386033,0.21719144
