t,NDVI,NIRv,EVI2,PPI
2017-01-03,,,,
2017-01-13,,,,
2017-01-16,,,,
2017-01-26,,,,
2017-02-02,,,,
2017-02-05,,,,
2017-02-12,0.6264798,0.09176427,0.22869088,0.12331848
2017-02-15,0.6264798,0.09176427,0.22869088,0.12331845
2017-02-22,0.6264798,0.09176427,0.22869086,0.12331844
2017-02-25,,,,
2017-03-04,,,,
2017-03-07,,,,
2017-03-14,,,,
2017-03-17,,,,
2017-03-19,,,,
2017-03-24,0.66310775,0.110249795,0.26471928,0.18569063
2017-03-27,0.66310775,0.110249795,0.26471928,0.18569066
2017-03-29,0.66310775,0.110249795,0.26471928,0.18569066
2017-04-01,0.6639914,0.11078909,0.26577574,0.18756631
2017-04-03,0.6696167,0.114332244,0.27260843,0.20011061
2017-04-06,0.6755324,0.11825712,0.27997625,0.21451297
2017-04-08,0.6755324,0.11825712,0.27997625,0.214513
2017-04-11,0.6754616,0.11832356,0.28010252,0.21481076
2017-04-13,0.6750562,0.118732356,0.28086936,0.21667875
2017-04-16,0.67408985,0.11995934,0.28307596,0.22270906
2017-04-18,0.734107,0.15406784,0.3439153,0.35540336
2017-04-21,0.734107,0.15406784,0.3439153,0.35540336
2017-04-23,0.734107,0.15406784,0.3439153,0.35540336
2017-04-26,0.734107,0.15406784,0.3439153,0.35540336
2017-04-28,,,,
2017-05-01,0.706285,0.12620206,0.29434887,0.2391231
2017-05-03,0.7062849,0.12620206,0.29434887,0.23912308
2017-05-06,0.706285,0.12620206,0.29434887,0.2391231
2017-05-08,0.706285,0.12620206,0.29434887,0.2391231
2017-05-11,0.7062849,0.12620206,0.29434887,0.23912308
2017-05-13,0.706285,0.12620206,0.29434887,0.2391231
2017-05-16,,,,
2017-05-18,,,,
2017-05-21,0.7766483,0.15590848,0.3461358,0.36092043
2017-05-23,0.77303386,0.15566953,0.34580442,0.36106527
2017-05-26,0.76651555,0.155537,0.34572187,0.36291477
2017-05-28,0.762665,0.1560729,0.34674588,0.3672624
2017-06-02,0.77084565,0.16574013,0.3634141,0.4175005
2017-06-05,0.7791908,0.1710415,0.37236258,0.4464119
2017-06-07,0.78239053,0.17252646,0.37484574,0.4550123
2017-06-10,0.78239053,0.17252646,0.37484574,0.4550123
2017-06-12,,,,
2017-06-15,0.7601105,0.17266548,0.37527397,0.4658252
2017-06-17,0.7601105,0.17266549,0.375274,0.46582526
2017-06-20,0.7601105,0.17266548,0.375274,0.4658252
2017-06-22,0.7601105,0.17266548,0.375274,0.4658252
2017-06-25,0.7601105,0.17266549,0.375274,0.46582526
2017-06-27,0.7601105,0.17266548,0.37527397,0.4658252
2017-06-30,0.7927432,0.20128512,0.42287976,0.6056067
2017-07-02,0.7927432,0.20128512,0.4228798,0.6056067
2017-07-05,0.7927432,0.20128512,0.4228798,0.6056067
2017-07-07,0.7927432,0.20128512,0.4228798,0.60560673
2017-07-10,0.7927432,0.20128512,0.4228798,0.60560673
2017-07-12,0.7927432,0.20128512,0.4228798,0.6056067
2017-07-15,0.79274327,0.20128512,0.4228798,0.6056067
2017-07-17,,,,
2017-07-20,,,,
2017-07-22,,,,
2017-07-25,,,,
2017-07-27,,,,
2017-07-30,,,,
2017-08-01,,,,
2017-08-04,,,,
2017-08-06,,,,
2017-08-09,0.82122123,0.18297996,0.39269403,0.47585493
2017-08-11,0.82122123,0.18297996,0.39269403,0.47585505
2017-08-14,0.82106984,0.1830755,0.39285937,0.4764446
2017-08-16,0.82057375,0.18338996,0.3934011,0.47840333
2017-08-19,0.81861657,0.18649423,0.39864105,0.49738488
2017-08-21,0.8196418,0.19717363,0.41630515,0.56443685
2017-08-24,0.8194631,0.20296,0.42566356,0.60265106
2017-08-26,0.8174945,0.19790459,0.4175614,0.5664638
2017-08-29,0.8070099,0.18550035,0.3973171,0.4926289
2017-08-31,0.7982621,0.17699437,0.383181,0.44788465
2017-09-03,0.7880946,0.16800383,0.36800873,0.40413806
2017-09-05,0.7790529,0.16045867,0.3550786,0.36965442
2017-09-08,,,,
2017-09-10,,,,
2017-09-13,,,,
2017-09-15,,,,
2017-09-18,0.721139,0.16610369,0.3648813,0.42651242
2017-09-20,0.721139,0.1661037,0.36488137,0.4265125
2017-09-23,0.7331671,0.16625147,0.36520407,0.42156026
2017-09-25,0.7414749,0.16637534,0.3654172,0.41840923
2017-09-28,0.75885993,0.16668752,0.36583868,0.41246316
2017-09-30,0.77092373,0.16694276,0.36611262,0.4088101
2017-10-03,0.7844422,0.16726282,0.3664025,0.40514037
2017-10-05,0.7963442,0.16757189,0.3666435,0.40226096
2017-10-08,0.7398443,0.1529382,0.34204492,0.3511145
2017-10-10,0.7398443,0.1529382,0.34204492,0.35111448
2017-10-13,0.7398446,0.15293755,0.34204382,0.3511111
2017-10-15,0.7398449,0.15293694,0.34204274,0.35110784
2017-10-18,0.7398459,0.15293477,0.34203905,0.35109642
2017-10-20,0.7398473,0.1529316,0.34203357,0.35107967
2017-10-23,0.7472319,0.15435585,0.34442914,0.3552089
2017-10-25,0.76592255,0.1580355,0.35039714,0.3672161
2017-10-28,0.76592356,0.15803911,0.35040328,0.36723396
2017-10-30,0.76592356,0.15803911,0.35040328,0.3672339
2017-11-02,0.767773,0.15670724,0.3481469,0.3588798
2017-11-04,0.77255887,0.15342204,0.34235477,0.3399595
2017-11-07,0.7790168,0.1493892,0.33475363,0.3195671
2017-11-09,0.7800527,0.14878686,0.3335666,0.31676397
2017-11-12,0.7800527,0.14878686,0.3335666,0.316764
2017-11-14,0.7800527,0.14878684,0.3335666,0.316764
2017-11-17,0.30966756,0.036227524,0.10868208,-0.032828435
2017-11-19,0.30966753,0.036227517,0.10868207,-0.032828454
2017-11-22,0.3096675,0.036227517,0.108682066,-0.032828465
2017-11-24,0.30966753,0.036227517,0.108682066,-0.032828458
2017-11-27,0.30966747,0.036227517,0.108682066,-0.032828458
2017-11-29,0.30966747,0.036227513,0.108682066,-0.032828454
2017-12-02,0.30966753,0.036227517,0.108682066,-0.032828458
2017-12-07,,,,
2017-12-09,,,,
2017-12-12,,,,
2017-12-14,,,,
2017-12-17,,,,
2017-12-19,,,,
2017-12-22,,,,
2017-12-24,,,,
2017-12-27,,,,
2017-12-29,,,,
2018-01-01,,,,
2018-01-03,,,,
2018-01-06,,,,
2018-01-08,,,,
2018-01-11,,,,
2018-01-13,,,,
2018-01-16,,,,
