t,NDVI,NIRv,EVI2,PPI
2017-01-01,0.14886913,0.027652498,0.07867569,-0.059392873
2017-01-08,0.19146998,0.032920435,0.09402322,-0.043087997
2017-01-11,0.25756878,0.038387574,0.11159992,-0.02908281
2017-01-18,0.25997648,0.03831522,0.11144737,-0.029707912
2017-01-28,,,,
2017-01-31,,,,
2017-02-07,,,,
2017-02-10,,,,
2017-02-17,,,,
2017-02-20,0.42679757,0.053812414,0.15072298,0.006528657
2017-02-27,0.4266047,0.05374543,0.15057896,0.006311473
2017-03-02,0.42645803,0.053695735,0.15047033,0.006151534
2017-03-09,0.410149,0.052105315,0.14705761,0.0025348938
2017-03-12,,,,
2017-03-19,,,,
2017-03-22,0.4837341,0.061578296,0.16786507,0.02580171
2017-03-24,0.4833428,0.062176853,0.16919558,0.027950492
2017-03-27,0.48924026,0.065046966,0.17542242,0.037155673
2017-03-29,0.4982071,0.0684806,0.18274619,0.04791669
2017-04-01,0.52268857,0.07728882,0.2010717,0.07541833
2017-04-03,0.5387675,0.08388114,0.21442729,0.09660054
2017-04-06,0.55393064,0.091843404,0.23019128,0.12344208
2017-04-08,0.5601102,0.09569473,0.23768096,0.13689831
2017-04-11,0.5680389,0.10356958,0.252696,0.16614784
2017-04-13,,,,
2017-04-16,0.7796028,0.18341215,0.39257044,0.46680507
2017-04-18,0.7811981,0.18715768,0.39885667,0.48657802
2017-04-21,0.7840193,0.19458035,0.4110832,0.528559
2017-04-23,0.78595847,0.20036516,0.42040673,0.56466216
2017-04-26,0.79214305,0.21081053,0.4369447,0.6323967
2017-04-28,0.8039702,0.2192139,0.4502108,0.68536544
2017-05-01,0.81947476,0.22669576,0.46183237,0.73301494
2017-05-06,0.8344471,0.25033534,0.49789423,0.9105587
2017-05-08,0.84128594,0.2644879,0.5187314,1.0286721
2017-05-11,0.8481593,0.27838045,0.53892833,1.1743783
2017-05-13,0.85416603,0.28579372,0.54978716,1.2570777
2017-05-16,0.8674073,0.2910799,0.5582365,1.3031898
2017-05-18,0.8730589,0.29289952,0.56125873,1.3155153
2017-05-21,0.8669735,0.30384192,0.5758774,1.5067818
2017-05-23,0.861211,0.31426442,0.5892437,1.7457927
2017-05-26,0.8702132,0.31925017,0.596657,1.8330572
2017-05-28,0.8842574,0.3178887,0.5961504,1.7418611
2017-05-31,0.8955827,0.31762928,0.5968168,1.7228783
2017-06-02,0.89641464,0.31921723,0.5991001,1.7606128
2017-06-05,0.89075667,0.320312,0.60018915,1.8173954
2017-06-07,0.8636087,0.31707874,0.59359276,1.877551
2017-06-10,0.79448915,0.30720603,0.572874,1.9612033
2017-06-12,0.7859147,0.30574173,0.56978095,1.965399
2017-06-15,0.79944104,0.29681158,0.5602016,1.6482815
2017-06-17,0.83316934,0.2796167,0.5406495,1.2081016
2017-06-20,0.8730124,0.27042678,0.5299017,1.0277632
2017-06-22,0.8784891,0.2748344,0.5364289,1.0664921
2017-06-25,0.8789669,0.28245452,0.5472949,1.169391
2017-06-27,0.8766978,0.28318813,0.5479385,1.1894579
2017-06-30,0.86272633,0.26122454,0.51435596,0.99039567
2017-07-02,0.8514658,0.23894729,0.4805663,0.78884906
2017-07-05,0.85462373,0.2465524,0.49281487,0.8667216
2017-07-07,0.8579894,0.25238445,0.5024654,0.89713377
2017-07-10,0.86537653,0.27196014,0.5315823,1.0680737
2017-07-12,0.86881673,0.28178802,0.5458485,1.176609
2017-07-15,0.86897856,0.28150508,0.54552984,1.1680281
2017-07-17,0.8665148,0.27061394,0.5298823,1.0341883
2017-07-20,0.8664169,0.25286803,0.5039404,0.8587829
2017-07-22,0.8675496,0.24414526,0.49087834,0.7810505
2017-07-25,0.8676528,0.2339011,0.47519794,0.7008883
2017-07-27,0.86330944,0.22708133,0.4645912,0.65569943
2017-07-30,0.8579793,0.22927946,0.46801585,0.67495185
2017-08-01,0.85515094,0.23193185,0.4720858,0.6964999
2017-08-04,0.85047454,0.23595548,0.478156,0.73171073
2017-08-06,0.84722745,0.23871751,0.48223794,0.7581787
2017-08-09,0.8384194,0.24680792,0.49364853,0.84942025
2017-08-11,0.7785561,0.30543402,0.5680986,1.8364283
2017-08-14,0.7785561,0.30543402,0.56809855,1.8364279
2017-08-16,0.7785561,0.30543402,0.5680985,1.8364272
2017-08-19,0.8079854,0.21304654,0.4417794,0.6084027
2017-08-21,0.8081944,0.21175967,0.43982401,0.5992035
2017-08-24,0.81553763,0.21367003,0.4429445,0.6060455
2017-08-26,0.8255897,0.21669449,0.44782576,0.61830294
2017-08-29,0.84209335,0.22372049,0.45895323,0.6536278
2017-08-31,0.8437432,0.22761856,0.46498406,0.6805432
2017-09-03,0.83802015,0.23403552,0.47462797,0.73616433
2017-09-05,0.8340322,0.2359435,0.4773422,0.757692
2017-09-08,0.82795864,0.22788766,0.46495906,0.699399
2017-09-10,0.8243224,0.2206936,0.4538934,0.6486795
2017-09-13,0.8215033,0.21526794,0.44551674,0.6116032
2017-09-15,0.8211895,0.21437322,0.44410717,0.60539997
2017-09-18,0.821795,0.2152072,0.44541633,0.6098956
2017-09-20,0.821795,0.21520717,0.44541633,0.6098955
2017-09-23,0.81439143,0.20630318,0.43082315,0.5661388
2017-09-28,0.8094382,0.21116017,0.43842342,0.60097224
2017-09-30,0.8069227,0.21367231,0.44229153,0.6199481
2017-10-03,0.80320364,0.21744005,0.44801325,0.64993113
2017-10-05,0.8010729,0.21962638,0.45129007,0.668822
2017-10-08,0.77699786,0.21104886,0.43718275,0.62893325
2017-10-10,0.72731894,0.17694129,0.3808163,0.4563875
2017-10-13,0.72731906,0.17694129,0.3808163,0.4563875
2017-10-15,0.72731906,0.17694129,0.3808163,0.4563875
2017-10-18,0.72731906,0.17694129,0.3808163,0.45638752
2017-10-20,0.72731894,0.17694126,0.38081628,0.45638743
2017-10-23,0.72731906,0.17694129,0.3808163,0.45638752
2017-10-25,,,,
2017-10-28,0.6147348,0.09747945,0.23873916,0.135125
2017-10-30,0.60856307,0.097135074,0.23821369,0.13513324
2017-11-02,0.5963725,0.09644297,0.23710997,0.13512732
2017-11-04,0.5868887,0.095893264,0.23618884,0.13510016
2017-11-07,0.5715306,0.09464582,0.23394716,0.13365372
2017-11-09,0.5555875,0.09099465,0.22708601,0.12271809
2017-11-12,0.51281536,0.07604138,0.1977947,0.07412336
2017-11-14,0.50866413,0.07391262,0.19344872,0.06699713
2017-11-17,0.5086642,0.073912635,0.19344872,0.066997156
2017-11-19,0.5086642,0.07391263,0.19344872,0.06699714
2017-11-22,0.50866413,0.07391263,0.19344872,0.06699715
2017-11-24,,,,
2017-11-27,,,,
2017-11-29,,,,
2017-12-02,0.47040015,0.047048554,0.13433556,-0.021833725
2017-12-04,0.47040015,0.047048554,0.13433555,-0.021833733
2017-12-07,0.4704001,0.047048546,0.13433555,-0.021833736
2017-12-09,0.4704001,0.047048546,0.13433555,-0.021833736
2017-12-12,0.47040015,0.047048554,0.13433555,-0.021833733
2017-12-14,0.47040015,0.047048554,0.13433556,-0.021833725
2017-12-17,0.3867596,0.043149352,0.12585098,-0.026164345
2017-12-19,0.3867596,0.043149356,0.12585098,-0.026164344
2017-12-22,0.3867596,0.043149356,0.12585099,-0.026164342
2017-12-24,0.3867596,0.043149356,0.12585098,-0.026164345
2017-12-27,0.38675964,0.04314936,0.12585099,-0.026164332
2017-12-29,0.3867596,0.043149352,0.12585096,-0.026164355
2018-01-01,0.3321604,0.037230313,0.10895539,-0.04421983
2018-01-03,0.011063744,0.0021568986,0.006358839,-0.15410234
2018-01-06,0.011063731,0.0021568963,0.006358833,-0.15410236
2018-01-08,0.011063731,0.0021568963,0.006358833,-0.15410236
2018-01-11,0.011063744,0.0021568986,0.006358839,-0.15410234
2018-01-13,0.011063739,0.0021568977,0.0063588363,-0.15410236
2018-01-16,,,,
2018-01-18,,,,
2018-01-21,,,,
2018-01-23,,,,
2018-01-26,,,,
2018-01-28,,,,
2018-01-31,0.51457065,0.045470756,0.12820034,-0.030682152
2018-02-02,0.51457065,0.045470756,0.12820034,-0.030682156
2018-02-05,0.51457065,0.04547075,0.12820034,-0.030682154
2018-02-07,0.51457065,0.04547075,0.12820034,-0.030682154
2018-02-10,0.51457065,0.045470756,0.12820034,-0.030682156
2018-02-12,0.51457065,0.045470756,0.12820034,-0.030682152
2018-02-15,,,,
2018-02-17,,,,
2018-02-20,0.38333455,0.049150642,0.14008509,-0.004554337
2018-02-22,0.37717497,0.04928872,0.14030607,-0.0032656572
2018-02-25,0.3658421,0.04956327,0.1406701,-0.00076953665
2018-02-27,0.35771155,0.0497758,0.14088728,0.0011214154
2018-03-02,0.34647775,0.05008853,0.14110708,0.0038686981
2018-03-04,0.34041718,0.050265018,0.14117764,0.0054125036
2018-03-07,0.30020994,0.050889466,0.14065108,0.013540251
2018-03-09,,,,
2018-03-12,,,,
2018-03-14,,,,
2018-03-17,0.437397,0.054097492,0.15141234,0.006050769
2018-03-19,0.4373541,0.05409881,0.15141496,0.006061562
2018-03-22,0.4372761,0.054101493,0.15141971,0.0060826605
2018-03-24,0.43722084,0.054103613,0.15142299,0.006098815
2018-03-27,0.43714544,0.054106817,0.15142727,0.0061225933
2018-03-29,0.43710527,0.054108676,0.15142941,0.0061361524
2018-04-01,0.42772827,0.07141508,0.18799287,0.071222246
2018-04-03,0.42840856,0.071504116,0.18819904,0.07144253
2018-04-06,0.42840865,0.07150413,0.18819909,0.071442574
2018-04-08,0.42840856,0.071504116,0.18819904,0.07144253
2018-04-11,0.63157713,0.14398623,0.32046622,0.3387014
2018-04-13,0.66860247,0.15450048,0.3414265,0.37203693
2018-04-16,0.76613915,0.18945229,0.40294534,0.5012971
2018-04-18,0.78490514,0.1961745,0.4140054,0.5298196
2018-04-21,0.8062655,0.2026505,0.42454922,0.5569596
2018-04-23,0.8194538,0.20669062,0.43104944,0.57482225
2018-04-26,0.83287895,0.21083379,0.43765527,0.5940874
2018-04-28,0.8436619,0.21418235,0.44295052,0.61060226
2018-05-01,0.89845043,0.2972284,0.5687835,1.3540343
2018-05-03,0.8969015,0.2994842,0.5718468,1.393592
2018-05-06,0.8934316,0.3029169,0.5764399,1.4592597
2018-05-08,0.89064676,0.30512905,0.579318,1.5127544
2018-05-11,0.8865968,0.30700025,0.5815662,1.5652864
2018-05-13,0.8852109,0.30727494,0.58184224,1.5828681
2018-05-16,0.8849542,0.3082926,0.58327526,1.6000074
2018-05-18,0.8855134,0.30890647,0.5841801,1.605347
2018-05-21,0.89706796,0.30757633,0.5828241,1.514307
2018-05-23,0.91195345,0.29107812,0.56062627,1.2512746
2018-05-26,0.8969193,0.28158784,0.54671997,1.1363848
2018-05-31,0.88456935,0.27048263,0.53034145,1.0117049
2018-06-02,0.8806233,0.2671073,0.5252862,0.9817453
2018-06-05,0.87781185,0.26475266,0.5217373,0.9624063
2018-06-07,0.87781185,0.2647527,0.52173734,0.96240646
2018-06-10,0.8682648,0.30088437,0.5718559,1.4945308
2018-06-12,0.8682648,0.30088437,0.57185584,1.4945301
2018-06-15,0.87487394,0.29517546,0.5645871,1.3874338
2018-06-17,0.87932014,0.2914763,0.55977696,1.3082981
2018-06-20,0.88796604,0.284511,0.55048245,1.1916116
2018-06-22,0.89199746,0.2810566,0.5456816,1.1387742
2018-06-25,0.8856856,0.2824562,0.54655015,1.1936153
2018-06-27,0.88146865,0.28365576,0.54771686,1.211001
2018-06-30,0.8837115,0.28270888,0.54732144,1.182034
2018-07-02,0.88405055,0.28223753,0.54698825,1.1742586
2018-07-05,0.87711954,0.2843612,0.5497805,1.2127445
2018-07-07,0.8728761,0.29000643,0.55743915,1.3030305
2018-07-10,0.87388194,0.30354688,0.5760404,1.5214014
2018-07-12,0.87833595,0.3088088,0.58344036,1.611068
2018-07-15,0.8839692,0.30963776,0.5849093,1.5896358
2018-07-17,0.88598984,0.30833638,0.58322424,1.5738196
2018-07-20,0.8850143,0.29654613,0.5669261,1.3823417
2018-07-22,0.8783912,0.26682836,0.5241282,1.0178328
2018-07-25,0.86798847,0.23413914,0.4745031,0.7229928
2018-07-27,0.86649686,0.23187932,0.4714299,0.6992084
2018-07-30,0.8633314,0.23633587,0.4787795,0.72501755
2018-08-01,0.85947186,0.2388169,0.4825141,0.7473988
2018-08-04,0.8543384,0.23972614,0.48374763,0.76074886
2018-08-06,0.85418385,0.23906188,0.48273435,0.75562006
2018-08-09,0.85626316,0.2353779,0.4771845,0.7242898
2018-08-11,0.8530675,0.23219,0.47222677,0.7036701
2018-08-14,0.82685226,0.23750353,0.47913697,0.7806828
2018-08-16,0.8173653,0.24003738,0.48227817,0.8197296
2018-08-19,0.82564133,0.23638934,0.47752723,0.77140534
