t,NDVI,NIRv,EVI2,PPI
2017-01-28,,,,
2017-01-31,0.42947534,0.12101173,0.26823598,0.5722185
2017-02-07,0.42947525,0.121011704,0.26823592,0.5722181
2017-02-10,0.42947528,0.121011704,0.26823592,0.5722182
2017-02-17,,,,
2017-02-20,,,,
2017-02-27,,,,
2017-03-02,,,,
2017-03-09,,,,
2017-03-12,0.7465893,0.14518459,0.326453,0.4873802
2017-03-19,0.7465893,0.14518459,0.326453,0.48738018
2017-03-21,0.7465893,0.14518459,0.326453,0.48738018
2017-03-22,0.73792666,0.14497173,0.32616308,0.4901326
2017-03-24,0.727617,0.14524756,0.32709628,0.49607638
2017-03-27,0.70465046,0.14672789,0.3296909,0.5240638
2017-03-29,0.6943415,0.14812128,0.33213446,0.5428212
2017-04-01,0.7484568,0.13497835,0.30744776,0.42123055
2017-04-03,0.7516764,0.1331257,0.3044241,0.40199855
2017-04-06,0.76423025,0.12775797,0.29476726,0.35595024
2017-04-08,0.76662105,0.12700467,0.29327387,0.35022214
2017-04-11,0.76662105,0.12700465,0.29327387,0.35022208
2017-04-13,0.76662105,0.12700467,0.29327387,0.35022214
2017-04-16,0.76662105,0.12700467,0.29327387,0.35022214
2017-04-18,,,,
2017-04-21,,,,
2017-04-23,,,,
2017-04-26,0.73049235,0.12133505,0.28347078,0.32992983
2017-04-28,0.73049235,0.12133505,0.28347078,0.3299299
2017-05-01,0.7351764,0.120839365,0.28255075,0.32508063
2017-05-06,0.7597681,0.1187834,0.27832815,0.30393177
2017-05-08,0.7687554,0.11822901,0.2770104,0.29766512
2017-05-11,0.771608,0.117540576,0.27563292,0.29275808
2017-05-13,0.7638831,0.116914526,0.27474615,0.29186934
2017-05-16,0.7605908,0.11666936,0.2744055,0.29163468
2017-05-18,0.7610683,0.11673106,0.27452037,0.2917567
2017-05-21,0.7613518,0.117105685,0.27526137,0.29360124
2017-05-26,0.74186134,0.12375403,0.28890264,0.33797076
2017-05-28,0.732949,0.12702061,0.29534015,0.36168614
2017-05-31,0.72911525,0.12850747,0.29821184,0.372945
2017-06-02,0.72911525,0.12850745,0.29821184,0.37294492
2017-06-05,0.72911525,0.12850745,0.29821184,0.37294495
2017-06-07,,,,
2017-06-10,0.7936306,0.14811239,0.33203498,0.4915068
2017-06-12,0.7936306,0.14811239,0.33203498,0.49150673
2017-06-15,0.7941016,0.14904417,0.33369285,0.4994382
2017-06-17,0.79559135,0.15210514,0.33909506,0.5283231
2017-06-20,0.7868256,0.16655853,0.36408094,0.65625215
2017-06-22,0.72310793,0.17238715,0.37387517,0.74240714
2017-06-25,0.6576926,0.1649924,0.3603599,0.75617695
2017-06-27,0.6488772,0.1572042,0.34779754,0.68725175
2017-06-30,0.69006455,0.15531881,0.34579784,0.63088435
2017-07-02,0.7347562,0.1575281,0.3497526,0.6202711
2017-07-05,0.79284304,0.16154967,0.3559143,0.62107825
2017-07-07,0.849258,0.1654951,0.36114743,0.6123859
2017-07-10,0.86708206,0.1748133,0.3767765,0.65902
2017-07-12,0.86708206,0.1748133,0.37677643,0.6590199
2017-07-15,0.86708206,0.1748133,0.3767765,0.6590201
2017-07-17,0.86708206,0.1748133,0.3767765,0.6590201
2017-07-20,0.86708206,0.1748133,0.37677643,0.6590199
2017-07-22,0.86708206,0.1748133,0.3767765,0.65902
2017-07-25,0.83584386,0.16918786,0.36693054,0.6505401
2017-07-27,0.83584386,0.16918786,0.36693054,0.65054005
2017-07-30,0.83584386,0.16918786,0.36693054,0.6505402
2017-08-01,0.83584386,0.16918786,0.36693054,0.6505402
2017-08-04,0.83584386,0.16918786,0.36693054,0.65054005
2017-08-06,0.83584386,0.16918786,0.36693054,0.6505401
2017-08-09,0.86506504,0.08917973,0.21216182,0.14283195
2017-08-11,0.86506504,0.08917973,0.21216182,0.14283195
2017-08-14,0.86506504,0.08917974,0.21216184,0.14283198
2017-08-16,0.86506504,0.08917974,0.21216184,0.14283198
2017-08-19,0.86506504,0.08917973,0.21216182,0.14283195
2017-08-21,0.86506504,0.08917973,0.21216182,0.14283195
2017-08-24,,,,
2017-08-26,,,,
2017-08-29,0.80123264,0.15978222,0.3516672,0.5999554
2017-08-31,0.80621296,0.16083075,0.35348415,0.5954061
2017-09-03,0.81594,0.1629058,0.35703614,0.60244465
2017-09-05,0.82342964,0.16452062,0.35976264,0.6097995
2017-09-08,0.83458465,0.16694242,0.36379388,0.62375337
2017-09-10,0.84103525,0.16834809,0.36610377,0.63272315
2017-09-13,0.8589147,0.17224944,0.37240642,0.6447432
2017-09-15,,,,
2017-09-18,,,,
2017-09-20,,,,
2017-09-23,,,,
2017-09-28,,,,
2017-09-30,,,,
2017-10-03,,,,
2017-10-05,,,,
2017-10-08,,,,
2017-10-10,,,,
2017-10-13,0.5635374,0.10892947,0.26099056,0.32628638
2017-10-15,0.5635374,0.10892947,0.26099056,0.32628638
2017-10-18,0.5635374,0.10892947,0.26099056,0.3262864
2017-10-20,0.5635374,0.10892947,0.26099056,0.32628638
2017-10-23,0.5635375,0.10892948,0.26099056,0.32628644
2017-10-25,0.5635374,0.10892947,0.26099056,0.32628644
2017-10-28,0.46948564,0.103694834,0.24693641,0.34973708
2017-10-30,0.42948386,0.104198016,0.24303319,0.38797045
2017-11-02,0.47603634,0.103062145,0.24368969,0.35225055
2017-11-04,0.5023661,0.10245399,0.24494782,0.330754
2017-11-07,0.58635443,0.103676386,0.25041375,0.29762098
2017-11-09,0.6422133,0.10574482,0.25420555,0.2875611
2017-11-12,0.69222474,0.10799662,0.25742522,0.28196937
2017-11-14,0.69222474,0.10799662,0.25742522,0.28196937
2017-11-17,,,,
2017-11-19,,,,
2018-01-23,,,,
2018-01-26,,,,
2018-01-28,,,,
2018-01-31,,,,
2018-02-02,,,,
2018-02-05,,,,
2018-02-07,,,,
2018-02-10,,,,
2018-02-12,,,,
2018-02-15,0.3837168,0.09706816,0.22866525,0.33666828
