t,NDVI,NIRv,EVI2,PPI
2017-02-10,,,,
2017-02-13,,,,
2017-02-16,,,,
2017-02-20,,,,
2017-02-23,,,,
2017-02-26,,,,
2017-03-02,,,,
2017-03-05,,,,
2017-03-08,,,,
2017-03-12,,,,
2017-03-15,,,,
2017-03-17,,,,
2017-03-18,,,,
2017-03-20,,,,
2017-03-22,,,,
2017-03-23,,,,
2017-03-25,,,,
2017-03-27,,,,
2017-03-28,,,,
2017-03-30,,,,
2017-04-01,,,,
2017-04-02,,,,
2017-04-04,,,,
2017-04-06,,,,
2017-04-07,,,,
2017-04-09,,,,
2017-04-11,,,,
2017-04-12,,,,
2017-04-14,,,,
2017-04-16,,,,
2017-04-17,,,,
2017-04-21,,,,
2017-04-22,,,,
2017-04-24,,,,
2017-04-26,,,,
2017-04-27,,,,
2017-04-29,,,,
2017-05-01,,,,
2017-05-02,,,,
2017-05-04,,,,
2017-05-06,,,,
2017-05-07,,,,
2017-05-09,,,,
2017-05-11,,,,
2017-05-12,,,,
2017-05-14,,,,
2017-05-16,,,,
2017-05-17,,,,
2017-05-19,,,,
2017-05-21,,,,
2017-05-22,,,,
2017-05-24,,,,
2017-05-26,,,,
2017-05-27,0.5595097,0.093088485,0.2328811,0.28402236
2017-05-29,0.5595097,0.093088485,0.2328811,0.28402236
2017-05-31,0.5595097,0.093088485,0.2328811,0.28402233
2017-06-01,0.5634062,0.093009904,0.2326811,0.28228045
2017-06-03,0.5701382,0.09350372,0.23365718,0.28279483
2017-06-05,0.5847462,0.0946679,0.2358939,0.28458637
2017-06-06,0.5945923,0.09564805,0.23775142,0.28704688
2017-06-08,0.61136055,0.09802697,0.24225555,0.29577962
2017-06-10,0.6185887,0.10003817,0.24611433,0.30597177
2017-06-11,0.6202774,0.10073275,0.24745315,0.30986425
2017-06-13,0.626057,0.10137018,0.24861357,0.3117837
2017-06-15,0.6338043,0.10105848,0.24785928,0.30673373
2017-06-16,0.6369516,0.100876,0.24743463,0.3043444
2017-06-18,0.64052975,0.10079441,0.24719197,0.3024727
2017-06-20,0.642317,0.10091849,0.24738108,0.30269867
2017-06-21,0.64240515,0.10108799,0.2476996,0.30387536
2017-06-23,0.64262795,0.10136366,0.24820462,0.30588096
2017-06-25,0.61220956,0.111590765,0.26816618,0.39043292
2017-06-26,0.61220956,0.111590795,0.26816618,0.39043295
2017-06-28,0.61220956,0.11159078,0.26816618,0.39043292
2017-06-30,,,,
2017-07-01,,,,
2017-07-03,,,,
2017-07-05,,,,
2017-07-06,,,,
2017-07-08,,,,
2017-07-10,,,,
2017-07-11,,,,
2017-07-13,,,,
2017-07-15,,,,
2017-07-16,,,,
2017-07-18,0.7071384,0.11693272,0.27697548,0.3858248
2017-07-20,0.70758903,0.112580925,0.2685786,0.35600865
2017-07-21,0.7075864,0.11226075,0.2679562,0.3537209
2017-07-23,0.7076162,0.11159373,0.2666559,0.34896094
2017-07-25,0.7076332,0.11090522,0.2653104,0.34416547
2017-07-26,0.7076361,0.11055815,0.26463082,0.34179106
2017-07-28,0.70763093,0.109869175,0.26327905,0.33716103
2017-07-30,0.70761424,0.10920088,0.26196423,0.3327737
2017-07-31,0.7076035,0.10887908,0.2613298,0.33069593
2017-08-02,0.7075812,0.10826772,0.26012194,0.32680443
2017-08-04,0.81111956,0.1764679,0.3825357,1.0934839
2017-08-05,0.81111956,0.17646788,0.38253567,1.0934837
2017-08-07,,,,
2017-08-09,,,,
2017-08-10,,,,
2017-08-12,,,,
2017-08-14,,,,
2017-08-15,,,,
2017-08-17,,,,
2017-08-19,,,,
2017-08-20,,,,
2017-08-22,,,,
2017-08-24,0.707768,0.10695473,0.25745586,0.31902546
2017-08-25,0.707768,0.10695473,0.25745586,0.31902543
2017-08-27,0.7077598,0.10694953,0.25744587,0.31899622
2017-08-29,0.7063035,0.10660088,0.2568167,0.31715566
2017-08-30,0.7052299,0.106526814,0.2567165,0.3169778
2017-09-01,0.701771,0.10616744,0.25614336,0.31571862
2017-09-03,0.6974534,0.10613115,0.25622618,0.31698707
2017-09-04,0.6959305,0.10638745,0.25678083,0.3192551
2017-09-06,0.6948464,0.10733492,0.25867707,0.32600027
2017-09-08,0.69508535,0.10851679,0.26098436,0.33390686
2017-09-09,0.6956593,0.10906842,0.26204598,0.33743352
2017-09-11,0.6966786,0.11006266,0.26395398,0.34387317
2017-09-13,0.69941586,0.11282651,0.26922193,0.36238065
2017-09-14,0.69941586,0.11282651,0.2692219,0.3623806
2017-09-16,,,,
2017-09-18,,,,
2017-09-19,,,,
2017-09-21,,,,
2017-09-23,,,,
2017-09-24,,,,
2017-09-26,,,,
2017-09-28,,,,
2017-09-29,,,,
2017-10-01,,,,
2017-10-03,,,,
2017-10-04,,,,
2017-10-06,,,,
2017-10-08,,,,
2017-10-09,,,,
2017-10-11,,,,
2017-10-13,,,,
2017-10-14,,,,
2017-10-16,,,,
2017-10-18,,,,
2017-10-19,,,,
2017-10-21,,,,
2017-10-23,,,,
2017-10-24,,,,
2017-10-26,,,,
2017-10-28,,,,
2017-10-29,,,,
2018-02-10,,,,
2018-02-13,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-18,,,,
2018-02-20,,,,
2018-02-21,,,,
2018-02-23,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-28,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-05,,,,
2018-03-07,,,,
2018-03-08,,,,
2018-03-10,,,,
2018-03-12,,,,
2018-03-13,,,,
2018-03-15,,,,
2018-03-17,,,,
2018-03-18,,,,
2018-03-20,,,,
2018-03-22,,,,
2018-03-23,,,,
2018-03-25,,,,
2018-03-27,,,,
2018-03-28,,,,
2018-03-30,,,,
2018-04-01,,,,
2018-04-02,,,,
2018-04-04,,,,
2018-04-06,,,,
2018-04-07,,,,
2018-04-09,,,,
2018-04-11,,,,
2018-04-12,,,,
2018-04-14,,,,
2018-04-16,,,,
2018-04-17,,,,
2018-04-19,,,,
2018-04-21,,,,
2018-04-22,,,,
2018-04-24,,,,
2018-04-26,,,,
2018-04-27,,,,
2018-04-29,,,,
2018-05-01,,,,
2018-05-02,,,,
2018-05-04,0.43717366,0.07773167,0.19932407,0.22879839
2018-05-06,0.43717366,0.07773167,0.19932407,0.22879839
2018-05-07,0.43717366,0.07773168,0.19932409,0.22879842
2018-05-09,0.43717366,0.07773168,0.19932409,0.22879842
2018-05-11,0.43717366,0.07773167,0.19932406,0.22879839
2018-05-12,0.54536444,0.086203106,0.21750805,0.24518624
2018-05-14,0.5534236,0.08693251,0.21929553,0.24706042
2018-05-16,0.57915276,0.0891462,0.22434904,0.25215623
2018-05-17,0.5952935,0.09046517,0.22707954,0.25479144
2018-05-19,0.61404383,0.09228584,0.23058437,0.2594677
2018-05-21,0.61934984,0.09384265,0.23364909,0.2670939
2018-05-22,0.619234,0.09516652,0.23632614,0.27531096
2018-05-24,0.61890537,0.099398546,0.24475043,0.30267838
2018-05-26,0.6186988,0.10269454,0.25117707,0.3253686
2018-05-29,0.61862123,0.104175426,0.25402787,0.33605585
2018-05-31,0.61862123,0.10417544,0.2540279,0.3360559
2018-06-01,0.6186213,0.10417544,0.25402793,0.33605593
2018-06-03,0.61862123,0.10417544,0.25402793,0.33605593
2018-06-05,,,,
2018-06-06,,,,
2018-06-08,,,,
2018-06-10,,,,
2018-06-11,,,,
2018-06-13,,,,
2018-06-15,,,,
2018-06-16,,,,
2018-06-18,,,,
2018-06-20,,,,
2018-06-21,,,,
2018-06-23,,,,
2018-06-25,0.6528442,0.09188394,0.22882251,0.2446664
2018-06-26,0.65262294,0.09350628,0.23216343,0.2540968
2018-06-28,0.65251285,0.094203435,0.23359153,0.25821337
2018-06-30,0.64948213,0.0951055,0.23553067,0.26464835
2018-07-01,0.6478657,0.09563802,0.23666056,0.26843247
2018-07-03,0.64276195,0.09672893,0.23900087,0.27697095
2018-07-05,0.63624036,0.09773401,0.24115418,0.2857041
2018-07-06,0.63337433,0.098229416,0.24219503,0.2899299
2018-07-08,0.6304273,0.099197246,0.2441798,0.29724035
2018-07-10,0.63148385,0.100464076,0.24668178,0.3050155
