t,NDVI,NIRv,EVI2,PPI
2017-01-16,0.4527236,0.14014532,0.29296273,0.47077572
2017-01-19,0.45054835,0.14000826,0.2925228,0.4725838
2017-01-26,0.39090252,0.13561234,0.2774007,0.43187875
2017-01-29,0.38232455,0.1348556,0.27470055,0.41494924
2017-02-05,,,,
2017-02-08,0.42929393,0.1177909,0.26121783,0.26087165
2017-02-15,0.42929393,0.1177909,0.26121783,0.26087165
2017-02-18,0.42929393,0.1177909,0.26121783,0.26087165
2017-02-25,,,,
2017-02-28,,,,
2017-03-07,,,,
2017-03-10,,,,
2017-03-17,,,,
2017-03-19,,,,
2017-03-20,0.6803362,0.2796267,0.5180463,0.94092447
2017-03-27,0.75581336,0.3107334,0.5666327,1.1460682
2017-03-30,0.757893,0.31026897,0.5664382,1.1489025
2017-04-01,0.759245,0.30997097,0.5662941,1.1477448
2017-04-06,0.778364,0.35647255,0.62347555,0.8937595
2017-04-09,0.7834509,0.37245017,0.6419069,0.9739322
2017-04-11,0.7834509,0.37245017,0.6419069,0.9739322
2017-04-14,0.7758277,0.36970425,0.6372641,0.99356294
2017-04-16,0.76261014,0.36501697,0.62908864,1.0447468
2017-04-19,0.75269395,0.36079887,0.6222399,1.153576
2017-04-21,0.74345094,0.35407186,0.61293083,1.4050326
2017-04-24,0.7232427,0.33953163,0.5926795,1.3296682
2017-04-26,0.7142489,0.3331371,0.5837137,1.2621242
2017-04-29,0.7093418,0.32978764,0.57893914,1.2178026
2017-05-01,0.7093418,0.3297877,0.57893914,1.2178026
2017-05-04,0.8268684,0.36428335,0.63910407,1.437996
2017-05-06,0.8268684,0.36428335,0.63910407,1.4379957
2017-05-09,0.8268684,0.36428335,0.63910407,1.4379961
2017-05-11,0.8268684,0.36428335,0.63910407,1.4379961
2017-05-14,0.8268684,0.36428335,0.63910407,1.4379957
2017-05-16,0.8268684,0.36428335,0.63910407,1.437996
2017-05-19,0.7595821,0.31571856,0.5748588,1.2392755
2017-05-21,0.7567074,0.31349263,0.57186294,1.214047
2017-05-24,0.7495741,0.3063091,0.5622458,1.1407814
2017-05-26,0.74381405,0.30021614,0.55387205,1.0862902
2017-05-29,0.73588836,0.2898422,0.53940594,1.0514075
2017-06-03,0.73100513,0.2788045,0.5238937,1.0461384
2017-06-05,0.73296076,0.27710685,0.5219156,1.1858735
2017-06-08,0.830926,0.38596618,0.665353,1.1941464
2017-06-10,0.830926,0.38596618,0.665353,1.1941464
2017-06-13,0.8213161,0.3626783,0.636087,1.0143524
2017-06-15,0.81831723,0.35683265,0.6287986,0.9638153
2017-06-18,0.8111849,0.3456743,0.61440754,0.8798715
