t,NDVI,NIRv,EVI2,PPI
2017-01-16,0.61732614,0.22776347,0.4455346,0.6679883
2017-01-19,0.61813784,0.227803,0.4457315,0.6674728
2017-01-26,0.64218843,0.22898221,0.4511976,0.6535309
2017-01-29,0.6466432,0.23003605,0.4532152,0.65625364
2017-02-05,0.67225116,0.2507736,0.48357219,0.76605994
2017-02-08,0.67681926,0.24825896,0.48114872,0.74458116
2017-02-15,0.6884079,0.24295637,0.4760914,0.6989699
2017-02-18,0.6974967,0.2433484,0.47782272,0.6933286
2017-02-25,0.71497405,0.24428356,0.48118895,0.6841865
2017-02-28,,,,
2017-03-07,0.82587737,0.32984108,0.6052289,1.2351937
2017-03-10,0.82587737,0.32984108,0.6052289,1.2351936
2017-03-17,0.82587737,0.32984108,0.6052289,1.2351937
2017-03-20,0.84584606,0.37369597,0.6594591,1.990983
2017-03-25,0.84584606,0.37369594,0.65945905,1.9909825
2017-03-27,0.84584606,0.37369594,0.65945905,1.9909822
2017-03-30,0.845846,0.37369594,0.65945905,1.9909819
2017-04-01,0.84584606,0.37369597,0.65945905,1.990983
2017-04-06,0.8918089,0.4102366,0.7110567,2.5050588
2017-04-09,0.88779557,0.41318557,0.71369314,2.6329107
2017-04-11,0.88479483,0.4154459,0.7156845,2.7357137
2017-04-14,0.8816902,0.4198401,0.7200004,2.8346999
2017-04-16,0.8841704,0.42432866,0.7254752,2.7655535
2017-04-19,0.8586735,0.39832813,0.69133687,2.294594
2017-04-21,0.8045544,0.35039172,0.6263519,1.5088294
2017-04-24,0.68743885,0.26408514,0.5025228,0.86811006
2017-04-26,0.6425025,0.23610179,0.45990866,0.72428906
2017-04-29,0.61711323,0.22142398,0.43695205,0.65323776
2017-05-01,0.6137325,0.21941236,0.43383366,0.6415855
2017-05-04,0.60779107,0.21619654,0.4287084,0.6249729
2017-05-06,0.65308285,0.24030948,0.4654749,0.7683426
2017-05-09,0.7892032,0.38709062,0.6616109,2.19076
2017-05-11,0.7892032,0.38709062,0.6616109,2.1907604
2017-05-14,0.7892032,0.38709062,0.6616109,2.1907597
2017-05-16,0.7892032,0.38709062,0.6616109,2.1907604
2017-05-19,0.79735637,0.37913838,0.65566385,2.0980775
2017-05-21,0.81884855,0.36162245,0.6415433,1.6994548
2017-05-24,0.84286445,0.34757683,0.62906855,1.3908235
2017-05-26,0.84449846,0.3478833,0.62961805,1.3931149
2017-05-29,0.8426466,0.35063323,0.63263863,1.4366804
2017-06-03,0.7715182,0.31173068,0.5748606,1.1243194
2017-06-05,0.61545324,0.22166875,0.43772942,0.62900406
2017-06-08,0.6100271,0.21985511,0.43450344,0.62259066
2017-06-10,0.6004654,0.21665996,0.4287979,0.61132514
2017-06-13,0.5597207,0.20116848,0.40182522,0.55261594
2017-06-15,0.5279475,0.18783617,0.3789002,0.5002362
2017-06-18,0.50410354,0.17584921,0.3590417,0.45010564
2017-06-20,0.49589032,0.17206395,0.3526258,0.43467933
2017-06-23,0.4872642,0.16990806,0.3481926,0.42820874
2017-06-25,0.48206687,0.16899884,0.3459943,0.42642015
2017-06-28,0.47105068,0.16873886,0.34333658,0.4316961
2017-06-30,,,,
2017-07-03,,,,
2017-07-05,,,,
2017-07-10,0.702535,0.23827854,0.47205567,0.6546587
2017-07-13,0.69699633,0.23392493,0.46554193,0.63388115
2017-07-15,0.69328076,0.23105188,0.4612199,0.6204101
2017-07-18,0.6857862,0.22537094,0.4526173,0.5943049
2017-07-20,0.68080115,0.22167535,0.44697955,0.5776827
2017-07-23,0.67541647,0.217757,0.44096518,0.56035125
2017-07-25,0.6708465,0.21449038,0.43592137,0.5461226
2017-07-28,0.7158707,0.23372754,0.46701062,0.6210531
2017-07-30,0.7158707,0.23372754,0.46701062,0.6210532
2017-08-02,0.711801,0.23364365,0.46646732,0.62364364
2017-08-04,0.7060114,0.23360202,0.46577474,0.62781286
2017-08-07,0.69383687,0.23369834,0.4644474,0.63792354
2017-08-09,0.69019264,0.23374987,0.46403587,0.64111286
2017-08-12,0.6980863,0.23307502,0.46409598,0.6301998
2017-08-14,0.7055072,0.23232214,0.46395713,0.6196734
2017-08-17,0.71155936,0.23346367,0.46617648,0.6214739
2017-08-19,0.7165232,0.23792152,0.47274175,0.64348143
2017-08-22,0.7114848,0.23642239,0.470083,0.63927877
2017-08-24,0.6948858,0.22567405,0.45362902,0.5907345
2017-08-27,0.655736,0.2013467,0.41568077,0.48768386
2017-08-29,0.6370232,0.19047283,0.39830962,0.44453162
2017-09-01,0.62342495,0.18286078,0.38598397,0.41523728
2017-09-03,0.62342495,0.18286079,0.38598397,0.4152373
2017-09-06,0.6585148,0.2408596,0.46890214,0.7104501
2017-09-08,0.6585148,0.2408596,0.46890214,0.7104501
2017-09-11,0.6585148,0.2408596,0.46890214,0.7104501
2017-09-13,0.6585148,0.2408596,0.46890214,0.7104501
2017-09-16,0.6585148,0.2408596,0.46890214,0.7104501
2017-09-18,0.6585148,0.2408596,0.46890214,0.7104501
2017-09-21,0.6999804,0.23412898,0.4658516,0.63633585
2017-09-23,0.6999804,0.23412897,0.4658516,0.6363358
2017-09-26,0.6916307,0.23132664,0.46114105,0.6264438
2017-09-28,0.6767121,0.22632113,0.45267433,0.6088651
2017-10-01,0.6193433,0.20708694,0.41949907,0.5421677
2017-10-03,0.5687008,0.1901183,0.38936177,0.4840431
2017-10-06,0.5609494,0.18793197,0.38512596,0.47741184
2017-10-08,0.6442268,0.2172359,0.43627515,0.5815992
2017-10-11,0.706222,0.24121521,0.4758672,0.6775269
2017-10-13,0.68100554,0.23563541,0.4652456,0.66614085
2017-10-16,0.6163682,0.2227339,0.438901,0.6407586
2017-10-18,0.57623684,0.2172798,0.42476305,0.639675
2017-10-21,0.556922,0.22095641,0.4250013,0.67936146
2017-10-23,0.63066816,0.24675588,0.47109562,0.7839183
2017-10-26,0.7473283,0.28225547,0.5343385,0.9175214
2017-10-28,0.75650394,0.28612384,0.54051465,0.9373125
2017-10-31,0.7474678,0.2841623,0.5367556,0.93363595
2017-11-02,0.7389957,0.28136995,0.5320092,0.9219864
2017-11-05,0.73165184,0.28058827,0.52992284,0.925345
2017-11-07,0.7340279,0.2831778,0.533419,0.9450412
2017-11-10,0.7391263,0.28289816,0.5336925,0.9382954
2017-11-12,0.7390474,0.2734558,0.5217286,0.8646339
2017-11-15,0.73337054,0.26339865,0.5079916,0.7989574
2017-11-17,0.7277112,0.26181835,0.5051771,0.79437834
2017-11-20,0.7073754,0.258705,0.4982672,0.7953948
2017-11-22,0.68732345,0.25524873,0.49073994,0.7939595
2017-11-25,0.66909605,0.25198013,0.48354182,0.79223675
2017-11-27,0.66481227,0.25114003,0.48173133,0.79140913
2017-11-30,0.66481227,0.25114003,0.4817312,0.791409
2017-12-02,,,,
2017-12-05,0.47484633,0.16024294,0.33282092,0.39296436
2017-12-07,0.47484633,0.16024296,0.33282092,0.39296442
2017-12-10,0.47484633,0.16024294,0.33282092,0.39296442
2017-12-12,0.47484633,0.16024294,0.33282092,0.3929644
2017-12-15,0.47109765,0.1583287,0.32956013,0.3846371
2017-12-17,0.46292675,0.1535888,0.32127792,0.3645412
2017-12-20,0.45445496,0.1475776,0.31023812,0.34042192
2017-12-22,0.4512655,0.14522862,0.305717,0.33203384
2017-12-25,0.4512655,0.1452286,0.30571696,0.33203378
2017-12-27,0.45126545,0.1452286,0.30571696,0.33203378
2017-12-30,,,,
2018-01-01,,,,
2018-01-04,0.6522194,0.21426737,0.43293306,0.5654833
2018-01-06,0.6522194,0.21426737,0.43293306,0.5654833
2018-01-09,0.65389234,0.20688212,0.42302567,0.5231515
2018-01-11,0.65503854,0.2020234,0.416351,0.49655366
2018-01-14,0.65741825,0.1924504,0.4028213,0.44670272
2018-01-16,0.65905845,0.18624695,0.39377487,0.41601607
2018-01-19,0.6668877,0.1850783,0.39256746,0.40643755
2018-01-21,0.70846015,0.22446735,0.4532553,0.5782652
2018-01-24,0.7419698,0.27426046,0.52358747,0.8624432
2018-01-26,0.7419698,0.27426046,0.52358747,0.86244327
2018-01-29,0.7422326,0.2750954,0.5246925,0.8682528
2018-01-31,0.7438227,0.28023133,0.53144157,0.90509254
2018-02-05,0.7673721,0.30079344,0.5605453,1.0504616
2018-02-08,0.7818481,0.30273595,0.56509113,1.0474871
2018-02-10,0.78951615,0.3035516,0.56717724,1.0438515
2018-02-13,0.79485106,0.30376893,0.56816286,1.0376878
2018-02-15,0.79672253,0.30368713,0.56830114,1.0339444
2018-02-18,0.76804686,0.29662323,0.555662,1.0052146
2018-02-20,0.7573464,0.29502398,0.5521187,1.004556
2018-02-23,0.7551487,0.29599562,0.55300325,1.0151525
2018-02-25,0.75348985,0.29674068,0.5536694,1.0236077
2018-02-28,0.7510819,0.29784003,0.5546336,1.0366198
2018-03-02,0.74972624,0.29846823,0.555175,1.0443543
2018-03-05,0.746115,0.30017388,0.55661017,1.0665425
2018-03-07,,,,
2018-03-10,,,,
2018-03-12,,,,
2018-03-15,0.81298566,0.3351396,0.60977775,1.2828422
2018-03-17,0.81298566,0.33513957,0.6097777,1.2828419
2018-03-20,0.81298566,0.33513957,0.6097777,1.2828417
2018-03-22,0.81298566,0.33513957,0.6097777,1.2828417
2018-03-25,0.81298566,0.33513957,0.6097777,1.2828419
2018-03-27,0.81298566,0.3351396,0.60977775,1.2828422
2018-03-30,,,,
2018-04-01,,,,
2018-04-04,,,,
2018-04-06,,,,
2018-04-09,,,,
2018-04-11,,,,
2018-04-14,0.88286185,0.39151376,0.68751085,2.1393812
2018-04-16,0.8820197,0.39217353,0.68817097,2.161913
2018-04-19,0.8818366,0.39481458,0.69131064,2.232678
2018-04-21,0.88256395,0.3972794,0.6943684,2.2730398
2018-04-24,0.88637835,0.40219006,0.7008191,2.4011576
2018-04-26,0.88991463,0.4052707,0.7050399,2.458712
2018-04-29,0.8430764,0.36052245,0.6451077,1.5185661
2018-05-01,0.71722806,0.26335147,0.50661725,0.8058353
2018-05-04,0.6477995,0.22344941,0.44471082,0.6239353
2018-05-06,0.6337646,0.21813677,0.43563634,0.60442305
2018-05-09,0.61494607,0.21189502,0.42450032,0.5826416
2018-05-11,0.612726,0.21184891,0.42404267,0.58336043
2018-05-14,0.6623678,0.22948715,0.45480326,0.64515114
2018-05-16,0.7022482,0.24274544,0.47774273,0.69005674
2018-05-19,0.7350119,0.25668925,0.50028306,0.7462638
2018-05-21,0.75555354,0.2698534,0.5201078,0.81174177
2018-05-24,0.78972083,0.29711112,0.55960435,0.96988285
2018-05-26,0.80648017,0.3113236,0.57980025,1.0633228
2018-05-29,0.8173195,0.3195122,0.591528,1.1184877
2018-05-31,0.82014954,0.3206718,0.5933627,1.1239984
2018-06-03,0.81945634,0.31627813,0.58776397,1.0845218
2018-06-05,,,,
2018-06-08,,,,
2018-06-10,,,,
2018-06-13,0.54764706,0.18068084,0.3725987,0.45950645
