t,NDVI,NIRv,EVI2,PPI
2017-01-04,0.090804495,0.01154606,0.03812339,-0.1197493
2017-01-07,0.090804495,0.011546059,0.038123388,-0.119749315
2017-01-14,0.09080446,0.011546056,0.038123377,-0.119749315
2017-01-24,0.28932828,0.08066483,0.18828999,0.14537576
2017-01-27,0.28932822,0.08066482,0.18828996,0.1453757
2017-02-03,0.28932825,0.08066482,0.18828996,0.1453757
2017-02-06,,,,
2017-02-13,0.25299606,0.06360818,0.1563306,0.07429493
2017-02-16,0.25299606,0.06360818,0.15633057,0.07429492
2017-02-23,0.25299606,0.06360818,0.1563306,0.07429494
2017-02-26,,,,
2017-03-05,,,,
2017-03-08,,,,
2017-03-15,0.34067017,0.09828076,0.2231067,0.21528552
2017-03-17,0.34649155,0.10068472,0.22749378,0.22581409
2017-03-18,0.3522221,0.10296209,0.23170188,0.23569995
2017-03-20,0.36574546,0.108350754,0.24161309,0.2594109
2017-03-23,0.4141529,0.12597238,0.27440017,0.33756486
2017-03-25,0.4560143,0.14012823,0.30050912,0.40352443
2017-03-28,0.5002342,0.15572135,0.32828575,0.48553732
2017-03-30,0.52081066,0.16659644,0.34597084,0.5597354
2017-04-02,0.54756886,0.18848418,0.37891313,0.79069537
2017-04-04,0.56408465,0.20358638,0.4009592,0.91383284
2017-04-07,0.59053814,0.21583386,0.42136657,0.85709685
2017-04-09,0.6009822,0.2147499,0.42185533,0.80748427
2017-04-12,0.60567117,0.21196777,0.41913444,0.83321244
2017-04-14,0.6063868,0.21166205,0.4189454,0.835422
2017-04-17,0.60123044,0.20787738,0.41359475,0.7852256
2017-04-22,0.557697,0.17428382,0.36387143,0.5638296
2017-04-24,0.55118364,0.17241469,0.3605751,0.54913855
2017-04-27,0.54739803,0.17461945,0.3631639,0.5748957
2017-04-29,0.5484489,0.17815232,0.3680458,0.59094495
2017-05-02,0.56624085,0.19514012,0.3932207,0.7178536
2017-05-04,0.62328,0.2385531,0.4577147,1.0116758
2017-05-07,0.63438827,0.24886328,0.47244006,1.1678665
2017-05-09,0.64110065,0.25470954,0.4807725,1.2860142
2017-05-12,0.65824574,0.24968545,0.47706026,1.2264853
2017-05-14,0.6875585,0.249661,0.48179865,1.2288523
2017-05-17,0.7327719,0.25542483,0.49504313,1.2373593
2017-05-19,0.7477144,0.26398996,0.50803113,1.2546638
2017-05-22,0.7702608,0.28480443,0.5377392,1.0290687
2017-05-24,0.7813738,0.29698133,0.5546275,1.0062095
2017-05-27,0.7892544,0.31282184,0.575449,1.0641929
2017-05-29,0.78993315,0.31961507,0.5838754,1.0320421
2017-06-01,0.7885851,0.32287583,0.5876302,1.0451616
2017-06-03,0.78686345,0.32151392,0.5856462,0.9986904
2017-06-06,0.7927392,0.32370153,0.5890008,0.9775112
2017-06-08,0.8123444,0.33459327,0.605095,0.95988923
2017-06-11,0.8259789,0.3465473,0.62144196,0.9833846
2017-06-13,0.82585907,0.35218245,0.6282518,0.9988355
2017-06-16,0.82096165,0.36025453,0.63716495,1.109918
2017-06-18,0.81577593,0.36279684,0.639298,1.1395907
2017-06-21,0.8091661,0.35424173,0.6283157,1.0781796
2017-06-23,0.8036092,0.3300525,0.59879106,0.99758536
2017-06-26,0.7967421,0.30456054,0.56629634,0.9824764
2017-06-28,0.7928027,0.30457017,0.56585926,0.9976678
2017-07-01,0.7654595,0.3037089,0.56173444,1.2412086
2017-07-03,0.73781824,0.28421304,0.5340415,1.4606526
2017-07-06,0.6925599,0.24135348,0.4727432,0.85096335
2017-07-08,0.6685677,0.22295094,0.44432497,0.6955688
2017-07-11,0.68431324,0.23254974,0.45931673,0.75818354
2017-07-13,0.7296143,0.2594648,0.5017824,0.96361357
2017-07-16,0.7745886,0.28613642,0.5424864,1.3724666
2017-07-18,0.78317386,0.29221803,0.5510753,1.50308
2017-07-21,0.77319354,0.282073,0.5362282,1.4323145
2017-07-23,0.75169593,0.25766045,0.50114864,1.0515758
2017-07-26,0.6977039,0.20614961,0.42270172,0.60965383
2017-07-28,0.6693484,0.18356493,0.38616258,0.5015222
2017-07-31,0.7493201,0.25120762,0.48942298,0.8408181
2017-08-02,0.84060466,0.37342432,0.6556079,1.2223772
2017-08-05,0.8656992,0.4296425,0.72225696,1.3537221
2017-08-07,0.8657967,0.43544555,0.72855735,1.2919669
2017-08-10,0.8659134,0.44412836,0.7378591,1.3770046
2017-08-12,0.86596584,0.44915596,0.7431775,1.3863779
2017-08-15,0.79925156,0.39226297,0.6674572,1.2278696
2017-08-17,0.77938527,0.37131324,0.6403542,1.2091066
2017-08-20,0.8006149,0.3836566,0.65854245,1.2433844
2017-08-22,0.81717217,0.39177126,0.6710273,1.2678516
2017-08-25,0.8395194,0.3938749,0.6780741,1.3357886
2017-08-27,0.84404254,0.38211405,0.66584677,1.3405393
2017-08-30,0.8315186,0.35091785,0.6277077,1.201362
2017-09-01,0.8212212,0.33692163,0.6093865,1.260147
2017-09-04,0.8152402,0.32997367,0.60006666,1.2358519
2017-09-06,0.8152402,0.32997367,0.60006666,1.235852
2017-09-09,,,,
2017-09-11,,,,
2017-09-14,0.7188102,0.26757044,0.5107416,1.1884681
2017-09-16,0.7188102,0.26757044,0.5107416,1.1884683
2017-09-19,0.71618974,0.2694702,0.51260436,1.1666291
2017-09-21,0.7144289,0.2707261,0.5137723,1.1863658
2017-09-24,0.7108823,0.27321082,0.5159464,1.2306114
2017-09-26,0.7085333,0.2748259,0.517269,1.2668902
2017-09-29,0.7096235,0.2760981,0.5185998,1.2527224
2017-10-01,0.7238948,0.28158915,0.5270379,1.0874927
2017-10-04,0.73767275,0.28602087,0.53459316,0.98371184
2017-10-06,0.73815364,0.2837967,0.53211296,1.0337234
2017-10-09,0.7373348,0.27325413,0.5188829,1.127547
2017-10-11,0.73474836,0.26343626,0.50587374,1.148742
2017-10-14,0.72215503,0.25233203,0.48965248,1.060046
2017-10-16,0.70837814,0.24773765,0.4819116,1.051225
2017-10-19,0.68697524,0.23879914,0.46766326,1.076303
2017-10-21,0.6781143,0.23558551,0.46234092,1.0335267
2017-10-24,0.6742048,0.2385339,0.46555626,1.0971105
2017-10-26,0.668943,0.24002843,0.4666934,1.1016419
2017-10-29,0.6412269,0.2265491,0.4453145,0.92740655
2017-10-31,0.63534623,0.22017796,0.436195,0.8514363
2017-11-03,0.6312657,0.21328682,0.42654127,0.7794297
2017-11-05,0.6285538,0.2089162,0.42032105,0.7388529
2017-11-08,0.6190081,0.2034159,0.41162795,0.7009258
2017-11-10,0.5649194,0.19350724,0.39042124,0.67142826
2017-11-13,0.5048238,0.18062034,0.36277205,0.62428856
2017-11-15,0.50208193,0.17671585,0.35741705,0.59311044
2017-11-18,0.48706353,0.16678861,0.34207535,0.5405907
2017-11-20,0.47190687,0.1598655,0.3303812,0.50784016
2017-11-23,0.4593366,0.15495223,0.321718,0.48847705
2017-11-28,0.4575113,0.15155771,0.316972,0.48571303
2017-11-30,0.43301603,0.1390969,0.29576674,0.41032517
2017-12-03,0.41869634,0.13459384,0.28705376,0.3883981
2017-12-05,0.41824722,0.13578726,0.28859487,0.39635783
2017-12-08,0.41764382,0.1376314,0.2909253,0.40891755
2017-12-10,0.41734618,0.13873464,0.29228973,0.41658607
2017-12-13,0.41055763,0.13963535,0.29195803,0.42705166
2017-12-15,,,,
2017-12-18,,,,
2017-12-20,,,,
2017-12-23,,,,
2017-12-25,,,,
2017-12-28,,,,
2017-12-30,,,,
2018-01-02,,,,
2018-01-04,,,,
2018-01-07,,,,
2018-01-09,,,,
2018-01-12,,,,
2018-01-14,,,,
2018-01-17,,,,
2018-01-19,,,,
2018-01-22,,,,
2018-01-24,,,,
2018-01-27,,,,
2018-01-29,,,,
2018-02-01,,,,
2018-02-03,,,,
2018-02-06,,,,
2018-02-08,,,,
2018-02-11,,,,
2018-02-13,,,,
2018-02-16,,,,
2018-02-18,,,,
2018-02-21,,,,
2018-02-23,,,,
2018-02-26,,,,
2018-02-28,,,,
2018-03-03,,,,
2018-03-05,,,,
2018-03-08,,,,
2018-03-10,,,,
2018-03-13,,,,
2018-03-15,,,,
2018-03-18,,,,
2018-03-20,,,,
2018-03-23,,,,
2018-03-25,,,,
2018-03-28,0.31261396,0.07374527,0.182331,0.10482732
2018-03-30,0.31261396,0.07374527,0.18233101,0.10482733
2018-04-02,0.34280387,0.08412027,0.20311695,0.1438999
2018-04-04,0.3471748,0.085669,0.20619744,0.14969471
2018-04-07,0.35717195,0.08965337,0.2138215,0.16512513
2018-04-09,0.3662825,0.09377618,0.22144216,0.18178271
2018-04-12,0.41319352,0.115918316,0.26058558,0.28533146
2018-04-14,0.4916329,0.15201013,0.32311112,0.4583126
2018-04-17,0.58267146,0.19584186,0.3946591,0.82601064
2018-04-19,0.6131337,0.20884095,0.416829,0.8902013
2018-04-22,0.6455395,0.22889435,0.44818008,1.0667487
2018-04-24,0.6586624,0.24014007,0.46436438,1.0522336
2018-04-27,0.66875666,0.25225636,0.4808995,1.0031786
2018-04-29,0.67317796,0.25794548,0.48859182,1.0075834
2018-05-02,0.6782431,0.2706322,0.504745,1.0186976
2018-05-04,0.6458342,0.22245029,0.44307825,0.8593211
2018-05-07,,,,
2018-05-09,,,,
2018-05-12,,,,
2018-05-14,,,,
2018-05-17,0.84267795,0.53571945,0.82263327,
2018-05-19,0.84267807,0.5357194,0.82263315,
2018-05-22,0.84267807,0.5357194,0.82263315,
2018-05-24,0.84267795,0.5357195,0.82263327,
2018-05-29,0.83185637,0.18055877,0.38509765,0.39395168
2018-06-01,0.832201,0.17338824,0.3748329,0.38017452
2018-06-03,0.83234125,0.17171319,0.37219974,0.37533385
2018-06-06,0.83234125,0.17171319,0.37219974,0.3753339
2018-06-08,0.83234125,0.17171319,0.37219974,0.3753339
2018-06-11,0.8426071,0.36851004,0.6513946,1.1399409
2018-06-13,0.84010136,0.37372792,0.6570364,1.1697408
2018-06-16,0.8284968,0.37430972,0.6558139,1.277394
2018-06-18,0.8160728,0.36801523,0.6465007,1.2957952
2018-06-21,0.7811886,0.33593208,0.60305,1.5207621
2018-06-23,0.7522774,0.31038466,0.5671741,1.1155963
2018-06-26,0.70992553,0.27657992,0.5184532,1.009868
2018-06-28,0.6807671,0.2519767,0.48354965,0.9925599
2018-07-01,0.6348199,0.21802941,0.43360186,0.7463537
2018-07-03,0.62414944,0.21305871,0.42507157,0.72204804
2018-07-06,0.6625745,0.24388489,0.4707595,0.9818935
2018-07-08,0.69045615,0.2634807,0.50010955,1.0297842
2018-07-11,0.71533173,0.27790725,0.52217036,1.105175
2018-07-13,0.7275306,0.28639284,0.534533,1.2411938
2018-07-16,0.74620575,0.3063774,0.56143254,1.3224099
2018-07-18,0.75870043,0.32341728,0.5832426,1.2276704
2018-07-21,0.7675382,0.33747694,0.60065657,1.1536134
2018-07-23,0.7694954,0.34041655,0.60427046,1.1050411
2018-07-26,0.7909935,0.3444391,0.611555,0.9715417
2018-07-28,0.8010647,0.34640083,0.6146688,0.90249306
2018-07-31,0.80048573,0.34759828,0.61591446,0.9455588
2018-08-02,0.7996538,0.34930712,0.61767566,0.91616136
2018-08-05,0.7978503,0.35409105,0.6226895,0.9302293
2018-08-07,0.79742014,0.3599204,0.62926894,0.96292764
2018-08-10,0.7989708,0.38345093,0.6560194,0.9316654
2018-08-12,0.7986501,0.39284587,0.66604483,0.9378483
2018-08-15,0.79389524,0.39209986,0.66380066,0.89791995
2018-08-17,0.7889349,0.39009443,0.66018414,0.9118842
2018-08-20,0.7819082,0.38615122,0.6533831,0.85105324
2018-08-22,0.77895725,0.3769438,0.641682,0.7611926
2018-08-25,0.78261507,0.35315558,0.61658263,0.8447061
2018-08-27,0.784612,0.35211542,0.616598,0.88377416
2018-08-30,0.78030765,0.34540093,0.6091623,0.9393461
2018-09-01,0.769569,0.32549542,0.58489245,0.91112834
2018-09-04,0.7560013,0.30070105,0.55275834,1.0215029
2018-09-06,0.7528423,0.2921684,0.54172176,1.0041519
2018-09-09,0.74442315,0.27936977,0.52543545,1.0331558
2018-09-11,0.733564,0.26955527,0.51243,1.143009
2018-09-14,0.7011662,0.24753234,0.4810418,1.0167253
2018-09-16,0.69050765,0.24040085,0.4700969,0.884824
2018-09-19,0.7088029,0.2483902,0.4827653,0.95245177
2018-09-21,0.72594327,0.25846553,0.49802926,1.0773289
2018-09-24,0.74969846,0.27443862,0.52150494,1.3971596
2018-09-26,0.75866634,0.28069502,0.53042865,1.4341676
2018-09-29,0.75555056,0.28068453,0.5294409,1.2902763
2018-10-01,0.7543225,0.28183097,0.5303405,1.1610112
2018-10-04,0.7603238,0.2892629,0.539979,1.043455
2018-10-06,0.76093817,0.29074532,0.54171765,1.0235422
2018-10-09,0.753983,0.28628343,0.5350305,1.0532285
2018-10-11,0.7499786,0.28347144,0.5309122,1.046229
2018-10-16,0.6793588,0.24452698,0.47280794,1.2551626
2018-10-19,0.63395184,0.2237891,0.43979332,1.0524087
2018-10-21,0.6062149,0.212316,0.42083135,0.9369836
2018-10-24,0.5525027,0.19019713,0.38362482,0.74600357
2018-10-26,0.5304626,0.18060802,0.36742586,0.66984594
2018-10-29,0.52844965,0.17799115,0.3635444,0.63723296
2018-10-31,0.5372598,0.18020713,0.36784366,0.64516664
2018-11-03,0.5735815,0.1912259,0.38784137,0.7104802
2018-11-05,,,,
2018-11-08,0.5419757,0.17153129,0.35732302,0.5609863
2018-11-10,0.5419757,0.17153129,0.35732302,0.5609862
2018-11-15,0.5454657,0.16394578,0.34723923,0.5017037
2018-11-18,0.5481055,0.15814649,0.33920965,0.4579507
2018-11-20,0.54977727,0.15444854,0.33394107,0.43637305
2018-11-23,0.5482819,0.14936855,0.32616287,0.4121785
2018-11-25,0.5414907,0.1438807,0.3170821,0.38038817
2018-11-28,0.4814126,0.11848677,0.2737766,0.26077315
2018-11-30,0.4814126,0.11848677,0.2737766,0.26077315
2018-12-03,0.35689765,0.11005903,0.23963714,0.27476877
2018-12-05,0.34913257,0.10964399,0.23802948,0.27595016
2018-12-08,0.34525743,0.10943039,0.23711766,0.27660498
2018-12-10,0.34525743,0.10943039,0.23711766,0.27660498
2018-12-13,0.34525743,0.10943039,0.23711766,0.27660492
2018-12-15,0.3452574,0.10943039,0.23711766,0.2766049
2018-12-18,0.33181664,0.097373046,0.22011212,0.21401933
2018-12-20,0.3318167,0.09737306,0.22011214,0.21401934
