t,NDVI,NIRv,EVI2,PPI
2017-01-04,0.05811482,0.0071563777,0.02422001,-0.12631337
2017-01-07,0.0581148,0.0071563763,0.024220005,-0.12631339
2017-01-14,0.05811478,0.0071563725,0.024219997,-0.12631339
2017-01-24,0.24047919,0.057575375,0.14504951,0.065824345
2017-01-27,0.24047914,0.05757536,0.14504947,0.065824285
2017-02-03,0.24047914,0.05757536,0.14504947,0.06582429
2017-02-06,,,,
2017-02-13,0.21633135,0.049063895,0.12693459,0.032091353
2017-02-16,0.21633133,0.049063895,0.12693457,0.032091346
2017-02-23,0.21633135,0.049063902,0.12693459,0.032091368
2017-02-26,,,,
2017-03-05,,,,
2017-03-08,,,,
2017-03-15,0.24370714,0.06057697,0.15020587,0.07955893
2017-03-17,0.24509874,0.06117788,0.15135883,0.08219944
2017-03-18,0.24646598,0.061716653,0.15242177,0.0845357
2017-03-20,0.24973424,0.06297753,0.15492067,0.09002564
2017-03-23,0.26325598,0.066640005,0.16288428,0.10536333
2017-03-25,0.2768673,0.06924091,0.16906258,0.11605344
2017-03-28,0.29277176,0.071874775,0.17540868,0.12820509
2017-03-30,0.29960987,0.074223466,0.17993876,0.14259332
2017-04-02,0.30854967,0.0803754,0.19051023,0.20390001
2017-04-04,0.31619987,0.08555818,0.1994055,0.17469266
2017-04-07,0.33860523,0.093421325,0.21513943,0.20282131
2017-04-09,0.35090727,0.09505927,0.21992402,0.20546655
2017-04-12,0.35732213,0.09457045,0.22047795,0.23713309
2017-04-14,0.3592726,0.09491814,0.22139463,0.22761615
2017-04-17,0.36136532,0.09570224,0.22306806,0.2255843
2017-04-22,0.3629697,0.09293331,0.21973468,0.20293348
2017-04-24,0.36237302,0.094142616,0.22153966,0.20951428
2017-04-27,0.36383474,0.097861625,0.2273427,0.230187
2017-04-29,0.3681181,0.101057656,0.23271774,0.24765576
2017-05-02,0.37277946,0.103707954,0.2373972,0.2608111
2017-05-04,0.38235757,0.10676874,0.24330801,0.27537784
2017-05-07,0.3818068,0.10620744,0.24243896,0.27180442
2017-05-09,0.3813857,0.10575208,0.24172698,0.26898196
2017-05-12,0.48641968,0.1249094,0.28344756,0.35439065
2017-05-14,0.48641968,0.1249094,0.28344756,0.35439065
2017-05-17,0.4928956,0.12795672,0.28883395,0.34121603
2017-05-19,0.5018203,0.13225228,0.29635388,0.33356634
2017-05-22,0.5227716,0.14284556,0.31449807,0.3731907
2017-05-24,0.53214335,0.14867888,0.32403958,0.36976048
2017-05-27,0.53757656,0.15675215,0.336214,0.41290012
2017-05-29,0.53947717,0.16236739,0.34452754,0.42865947
2017-06-01,0.5465682,0.17407565,0.36210117,0.5184824
2017-06-03,0.55134475,0.1833681,0.37543303,0.5977231
2017-06-06,0.5609261,0.19437394,0.39134052,0.7053033
2017-06-08,0.58446157,0.19211094,0.3921612,0.6421457
2017-06-11,0.61698574,0.18764295,0.3895565,0.5423632
2017-06-13,0.62029207,0.1905249,0.39395276,0.5582626
2017-06-16,0.6206733,0.19786178,0.40443853,0.61574507
2017-06-18,0.6214211,0.20187016,0.41018108,0.6511691
2017-06-21,0.62091535,0.1995168,0.40704486,0.6378531
2017-06-23,0.617206,0.18647057,0.38841826,0.5476735
2017-06-26,0.6124439,0.17259583,0.36780593,0.47014123
2017-06-28,0.61373997,0.17388022,0.37006837,0.48378816
2017-07-01,0.62425244,0.18893534,0.39402863,0.701557
2017-07-03,0.62922317,0.1940866,0.4022001,0.70488715
2017-07-06,0.6323667,0.19031852,0.39729884,0.6657527
2017-07-08,0.63625455,0.1885502,0.39514482,0.6472095
2017-07-11,0.6628844,0.20088333,0.41547856,0.72879326
2017-07-13,0.6813466,0.21038054,0.4305989,0.8205791
2017-07-16,0.68927455,0.2095035,0.42982504,0.75726205
2017-07-18,0.6865282,0.20139138,0.41766876,0.6924958
2017-07-21,0.66989917,0.17351264,0.37421194,0.5387775
2017-07-23,0.6524353,0.15001565,0.33546624,0.38835967
2017-07-26,0.62671846,0.12330097,0.28862694,0.25953197
2017-07-28,0.607094,0.10622089,0.25691605,0.18896222
2017-07-31,0.72925466,0.24313408,0.4784246,0.9847655
2017-08-02,0.73240954,0.24806996,0.48573688,1.0351437
2017-08-05,0.7349824,0.25484186,0.4951383,1.1483085
2017-08-07,0.7364443,0.25948676,0.5014675,1.1949713
2017-08-10,0.73852503,0.26643753,0.51082057,1.3026809
2017-08-12,0.73967427,0.2704626,0.51617306,1.2728641
2017-08-15,0.67222494,0.23588996,0.4627069,0.96852
2017-08-17,0.6513829,0.22264758,0.44257343,0.83788115
2017-08-20,0.67228705,0.23108353,0.4565065,0.9049522
2017-08-22,0.68872243,0.23675191,0.46611524,0.95140815
2017-08-25,0.71281224,0.24031784,0.47376043,0.9592976
2017-08-27,0.72183126,0.23682937,0.47002998,0.9004092
2017-08-30,0.7228053,0.22733645,0.4570596,0.8056469
2017-09-01,0.7195638,0.22322033,0.45097426,0.7754015
2017-09-04,0.7179557,0.22199048,0.44896674,0.75894165
2017-09-06,0.7179323,0.22216664,0.4491353,0.7582587
2017-09-09,0.85507125,0.42897958,0.71767247,1.9107225
2017-09-11,0.85507125,0.42897958,0.7176724,1.9107218
2017-09-14,0.6788048,0.22018889,0.4441742,0.9177411
2017-09-16,0.6788048,0.22018889,0.4441742,0.9177412
2017-09-19,0.6763632,0.21862377,0.44171163,0.9060171
2017-09-21,0.67475504,0.21762094,0.44010928,0.9027293
2017-09-24,0.67157686,0.21570487,0.43699196,0.8840069
2017-09-26,0.6695066,0.21450394,0.4349989,0.86746514
2017-09-29,0.65119684,0.20496559,0.4196634,0.77515924
