t,NDVI,NIRv,EVI2,PPI
2017-01-03,,,,
2017-01-13,,,,
2017-01-16,,,,
2017-01-26,,,,
2017-02-02,,,,
2017-02-05,,,,
2017-02-12,0.69469166,0.18787467,0.39705497,0.3842388
2017-02-15,0.69469166,0.18787467,0.39705494,0.3842388
2017-02-22,0.6946917,0.18787469,0.39705497,0.3842389
2017-02-25,,,,
2017-03-04,,,,
2017-03-07,0.8103147,0.34924555,0.62537307,1.6222837
2017-03-14,0.8103147,0.34924555,0.6253731,1.6222843
2017-03-17,0.8103147,0.34924555,0.6253731,1.6222843
2017-03-19,0.8103147,0.34924555,0.62537307,1.6222835
2017-03-24,0.9059366,0.4008004,0.70196956,1.7497711
2017-03-27,0.9057271,0.40391082,0.70560676,1.8057851
2017-03-29,0.9050567,0.41417533,0.71745104,2.00604
2017-04-01,0.9014602,0.46788555,0.7756578,2.0946224
2017-04-03,0.897832,0.502091,0.8096617,1.7929558
2017-04-06,0.8925394,0.5122404,0.8182442,1.8361363
2017-04-08,0.8894968,0.5069554,0.8122702,1.8245922
2017-04-11,0.88693166,0.5025473,0.80723387,1.9532163
2017-04-13,0.8860813,0.50109583,0.80556464,1.8782481
2017-04-16,0.85671014,0.45445022,0.75003874,2.2597625
2017-04-18,0.7029402,0.26334202,0.49585542,0.7806112
2017-04-21,0.7600201,0.22185673,0.43806916,0.5386203
2017-04-23,0.76411045,0.21477816,0.430037,0.49210882
2017-04-26,0.7839732,0.18895882,0.39730346,0.3749498
2017-04-28,0.8101759,0.1679628,0.36577287,0.26004335
2017-05-01,0.82917607,0.18617684,0.3961653,0.29215577
2017-05-03,0.81121206,0.25390226,0.501375,0.6139065
2017-05-06,0.8006549,0.3370257,0.6091222,1.1774628
2017-05-08,0.8054045,0.3458697,0.62049353,1.2568808
2017-05-11,0.81952953,0.3378505,0.61318755,1.1305851
2017-05-13,0.82523,0.3303319,0.6047548,1.0639002
2017-05-16,0.8260502,0.31726822,0.58838505,1.0605052
2017-05-18,0.82482505,0.3121033,0.5815964,1.0938538
2017-05-21,0.81022674,0.29625967,0.5602553,0.9293145
2017-05-23,0.7771913,0.27616408,0.53012073,0.8170656
2017-05-26,0.7559792,0.2705431,0.51946175,0.82070076
2017-05-28,0.7512451,0.2717685,0.5204132,0.8396392
2017-06-02,0.74032986,0.27467185,0.522553,0.8882848
2017-06-05,0.7296193,0.2776234,0.52456653,0.9448249
2017-06-07,,,,
2017-06-10,,,,
2017-06-12,,,,
2017-06-15,,,,
2017-06-17,,,,
2017-06-20,,,,
2017-06-22,,,,
2017-06-25,,,,
2017-06-27,,,,
2017-06-30,0.7448637,0.22390114,0.45395568,0.5250144
2017-07-02,0.7452354,0.22693428,0.45838526,0.54108053
2017-07-05,0.7459118,0.23294346,0.46706167,0.5741393
2017-07-07,0.74638647,0.23762543,0.47373155,0.601134
2017-07-10,0.7470182,0.24465437,0.483599,0.64396006
2017-07-12,0.7473431,0.24873725,0.48925146,0.6702612
2017-07-15,0.74809533,0.2600749,0.50464875,0.74992
2017-07-17,,,,
2017-07-20,,,,
2017-07-22,,,,
2017-07-25,,,,
2017-07-27,,,,
2017-07-30,0.7393192,0.27721182,0.5268145,0.8600837
2017-08-01,0.7393192,0.2772118,0.5268145,0.8600837
2017-08-04,0.7393192,0.2772118,0.52681446,0.8600837
2017-08-06,0.7393192,0.27721176,0.5268145,0.8600837
2017-08-09,0.7393192,0.27721176,0.5268145,0.86008364
2017-08-11,0.7393192,0.27721182,0.5268145,0.8600839
2017-08-14,0.7393192,0.27721182,0.5268145,0.8600838
2017-08-16,,,,
2017-08-19,,,,
2017-08-21,,,,
2017-08-24,0.80531156,0.2743445,0.5301738,0.7821029
2017-08-26,0.80531156,0.2743445,0.53017384,0.782103
2017-08-29,0.80531156,0.2743445,0.5301738,0.782103
2017-08-31,0.80531156,0.2743445,0.5301738,0.782103
2017-09-03,0.80531156,0.2743445,0.53017384,0.782103
2017-09-05,0.80531156,0.2743445,0.5301738,0.7821029
2017-09-08,,,,
2017-09-10,,,,
2017-09-13,,,,
2017-09-15,,,,
2017-09-18,0.82967776,0.3423133,0.61904836,1.5533301
2017-09-20,0.8314666,0.34473267,0.6224703,1.5754997
2017-09-23,0.83496267,0.34956974,0.6292185,1.5944989
2017-09-25,0.83765763,0.35337955,0.6344515,1.6166898
2017-09-28,0.84167784,0.35916817,0.6422748,1.5893927
2017-09-30,0.8440068,0.36256957,0.64680475,1.6168916
2017-10-03,0.73632824,0.21610488,0.4412648,0.50222135
2017-10-05,0.64242023,0.14377709,0.32134804,0.2447832
2017-10-08,0.65667504,0.15441185,0.33862966,0.26511744
2017-10-10,0.6887819,0.17524588,0.37452576,0.3313486
2017-10-13,0.8190784,0.30005202,0.56524837,0.9196885
2017-10-15,0.86836994,0.37026653,0.6596616,1.7577449
2017-10-18,0.8867299,0.39214692,0.6885462,1.8447566
2017-10-20,0.8893165,0.390038,0.6865175,1.8564651
2017-10-23,0.89201385,0.38784155,0.68437254,1.8479486
2017-10-25,0.8942288,0.3860407,0.68258965,1.8387173
2017-10-28,,,,
2017-10-30,,,,
2017-11-02,0.88969356,0.40550616,0.70436007,1.7293288
2017-11-04,0.88969356,0.40550616,0.70436007,1.729329
2017-11-07,0.88969356,0.40550622,0.70436007,1.7293297
2017-11-09,0.88969356,0.40550622,0.70436007,1.7293297
2017-11-12,0.8887697,0.40002376,0.6972398,1.6237224
2017-11-14,0.8839485,0.3866518,0.67618865,1.5120727
2017-11-17,0.84301406,0.30705658,0.57075346,1.1488088
2017-11-19,0.84597874,0.31026435,0.57689816,1.1576096
2017-11-22,0.84861887,0.31660742,0.5873092,1.1815598
2017-11-24,0.8492065,0.31916094,0.59097356,1.1959512
2017-11-27,0.8404413,0.32138312,0.59259665,1.2320937
2017-11-29,0.8236286,0.32321522,0.5908987,1.3249896
2017-12-02,0.6810182,0.36212754,0.6057933,2.2152262
2017-12-07,0.6810181,0.36212754,0.6057933,2.2152252
2017-12-09,0.6810182,0.36212757,0.6057933,2.2152262
2017-12-12,,,,
2017-12-14,,,,
2017-12-17,,,,
2017-12-19,,,,
2017-12-22,,,,
2017-12-24,,,,
2017-12-27,,,,
2017-12-29,,,,
2018-01-01,,,,
2018-01-03,,,,
2018-01-06,,,,
2018-01-08,,,,
2018-01-11,,,,
2018-01-13,,,,
2018-01-16,,,,
