t,NDVI,NIRv,EVI2,PPI
2017-01-08,,,,
2017-01-18,0.34558824,0.07678273,0.19150335,0.075218536
2017-01-28,0.27503243,0.06887262,0.16911998,0.060375076
2017-02-07,,,,
2017-02-17,,,,
2017-02-27,0.53656083,0.086578146,0.21968767,0.07221439
2017-03-09,,,,
2017-03-19,,,,
2017-03-21,,,,
2017-03-24,,,,
2017-03-29,0.46568224,0.08724796,0.21995664,0.08762094
2017-04-03,0.46568224,0.087247945,0.2199566,0.08762092
2017-04-08,0.46568224,0.08724795,0.21995664,0.087620944
2017-04-13,,,,
2017-04-18,,,,
2017-04-23,,,,
2017-04-28,,,,
2017-05-08,0.8569964,0.31018952,0.58328617,1.1433624
2017-05-13,0.8625595,0.33436695,0.6149534,1.5094188
2017-05-18,0.86620003,0.3612992,0.6488022,1.897348
2017-05-23,0.9238231,0.3881763,0.6899096,2.144986
2017-05-28,0.9224385,0.3878356,0.689339,2.1512518
2017-06-02,0.9161891,0.38630185,0.6867313,2.1849258
2017-06-07,0.90152,0.37139776,0.66672087,2.0638402
2017-06-12,0.8642054,0.32949942,0.60874903,1.2981888
2017-06-17,0.8642054,0.32949942,0.60874903,1.2981888
2017-06-22,,,,
2017-06-27,,,,
2017-07-02,,,,
2017-07-07,0.9240948,0.36904958,0.66648585,1.9420607
2017-07-12,0.922966,0.36907357,0.6663897,1.9566342
2017-07-17,0.9178206,0.36918667,0.66592747,1.9641657
2017-07-22,0.9151025,0.36924896,0.66566724,1.9591167
2017-07-27,0.90415674,0.3295456,0.61360407,1.2508148
2017-08-01,0.90415674,0.3295456,0.61360407,1.2508148
2017-08-06,0.8866144,0.320972,0.60081077,1.1717145
2017-08-11,0.8383627,0.29721892,0.5649883,0.99282235
2017-08-16,0.8679128,0.30836245,0.58242077,1.0613168
2017-08-21,0.8842023,0.31451035,0.5919299,1.1039499
2017-08-26,0.8915614,0.3064759,0.58143985,1.0128199
2017-08-31,0.8915614,0.3064759,0.5814399,1.01282
2017-09-05,0.8915614,0.3064759,0.5814399,1.01282
2017-09-10,0.50134385,0.21372983,0.3997819,0.72162294
2017-09-15,0.5013439,0.21372983,0.39978194,0.721623
2017-09-20,0.5013439,0.21372983,0.39978194,0.7216228
2017-09-30,0.8158029,0.29286245,0.55605006,1.0199442
2017-10-05,0.8158029,0.29286247,0.55605006,1.0199443
2017-10-10,0.62989753,0.17427483,0.37218428,0.38915017
2017-10-15,0.6200107,0.16595863,0.35895792,0.3574354
2017-10-20,0.567211,0.1281757,0.29562017,0.21377593
2017-10-25,0.532555,0.10839723,0.2599574,0.14930603
2017-10-30,0.57474667,0.0992952,0.24421027,0.10737492
2017-11-04,0.57474667,0.0992952,0.24421026,0.10737491
2017-11-09,0.57474667,0.0992952,0.24421027,0.10737492
2017-11-14,,,,
2017-11-19,,,,
2017-11-24,,,,
2017-11-29,,,,
2017-12-04,,,,
2017-12-09,,,,
2017-12-14,,,,
2017-12-19,,,,
2017-12-24,,,,
2017-12-29,,,,
2018-01-03,,,,
2018-01-08,,,,
2018-01-13,,,,
2018-01-18,,,,
2018-01-23,,,,
2018-01-28,,,,
2018-02-02,,,,
2018-02-07,,,,
2018-02-12,,,,
2018-02-17,,,,
2018-02-22,,,,
2018-02-27,0.2873533,0.07616604,0.18260841,0.08549799
2018-03-04,0.2873533,0.07616604,0.18260841,0.085498
2018-03-09,0.28735334,0.076166056,0.18260844,0.08549803
2018-03-14,,,,
2018-03-19,0.43665797,0.08070484,0.20638421,0.07091844
2018-03-24,0.43665797,0.08070483,0.2063842,0.07091843
2018-03-29,0.42406768,0.081822395,0.20785268,0.077223234
2018-04-03,0.39846298,0.08564306,0.21274039,0.0962114
2018-04-08,0.41090333,0.085423194,0.21344255,0.09269031
2018-04-13,0.5360821,0.108803466,0.26121396,0.14648993
2018-04-18,0.62540734,0.12892494,0.2995828,0.1959122
2018-04-23,0.7188243,0.17867298,0.38543034,0.35700065
2018-04-28,0.89278716,0.33406663,0.6181782,1.3669671
2018-05-03,0.89953053,0.3502734,0.63977396,1.6274949
2018-05-08,0.91647345,0.39600372,0.69819415,2.0845077
2018-05-13,0.9162487,0.38571134,0.6858542,2.1824021
2018-05-18,0.9161061,0.38031697,0.6792477,2.0983975
2018-05-23,,,,
2018-06-02,0.8934259,0.4003691,0.700004,2.310564
2018-06-07,0.8893077,0.39342484,0.69118553,2.3405256
2018-06-12,0.88133454,0.38295972,0.67784435,2.416279
2018-06-17,0.8392879,0.33109814,0.60856575,1.464387
2018-06-22,,,,
2018-06-27,,,,
2018-07-02,,,,
2018-07-07,,,,
2018-07-12,,,,
2018-07-17,,,,
2018-07-22,,,,
2018-07-27,,,,
2018-08-01,0.86363596,0.3683803,0.6570427,2.07747
2018-08-06,0.86363596,0.3683803,0.6570427,2.0774698
2018-08-11,0.86363596,0.3683803,0.6570427,2.07747
2018-08-16,0.9065775,0.3105256,0.58787906,1.0337636
2018-08-21,0.9065775,0.31052557,0.58787906,1.0337634
2018-08-26,0.90776813,0.31196755,0.5899095,1.0450984
2018-08-31,0.91149026,0.31650913,0.59618706,1.0970708
2018-09-05,0.9074862,0.3119544,0.5897093,1.0520102
2018-09-10,0.892347,0.29808217,0.56962776,0.9404508
2018-09-15,0.8833596,0.29913062,0.57052064,0.9659351
2018-09-20,0.8802082,0.29241538,0.5609581,0.90931314
2018-09-25,0.8816294,0.291072,0.55901146,0.9009052
2018-09-30,0.88179237,0.2969376,0.5669185,0.9552833
2018-10-05,0.85860366,0.28019762,0.5421874,0.8481371
2018-10-10,0.7622977,0.22935635,0.46357986,0.5965199
2018-10-15,0.66392064,0.18125537,0.38589537,0.40231198
2018-10-20,0.6315992,0.1661808,0.36059192,0.348594
2018-10-25,,,,
2018-10-30,0.52821547,0.098139964,0.2413075,0.11377724
2018-11-04,0.52821547,0.098139964,0.24130751,0.113777265
2018-11-09,0.52821547,0.098139964,0.2413075,0.11377726
2018-11-14,,,,
2018-11-19,,,,
2018-11-24,0.55339545,0.092758834,0.2315074,0.08987301
2018-11-29,0.55339545,0.092758834,0.23150744,0.089873046
2018-12-04,0.55339545,0.092758834,0.2315074,0.08987302
2018-12-09,0.22643355,0.05938115,0.14427096,0.033360135
2018-12-14,0.22643352,0.05938114,0.14427093,0.033360094
2018-12-19,0.22643355,0.05938115,0.14427094,0.033360124
2018-12-24,,,,
2018-12-29,,,,
2019-01-03,,,,
2019-01-08,,,,
2019-01-13,,,,
2019-01-18,0.1346112,0.011596047,0.040927142,-0.12630878
2019-01-23,0.13461119,0.011596046,0.04092714,-0.1263088
2019-01-28,0.1346112,0.011596048,0.040927142,-0.12630878
2019-02-02,0.34401202,0.09241336,0.21636976,0.13575768
2019-02-07,0.34401202,0.09241334,0.21636976,0.13575765
2019-02-12,0.398183,0.08578954,0.21063077,0.098454684
2019-02-17,0.447434,0.07911198,0.20311469,0.063426614
2019-02-22,0.46908018,0.0808533,0.20750853,0.065295555
2019-02-27,0.51702905,0.08409746,0.21497235,0.06726453
2019-03-04,0.51702905,0.08409745,0.21497232,0.06726453
2019-03-09,,,,
2019-03-14,,,,
2019-03-19,,,,
2019-03-24,,,,
2019-03-29,0.4006943,0.0747219,0.19331333,0.05705176
2019-04-03,0.4006943,0.074721895,0.19331333,0.05705173
2019-04-08,0.4006943,0.0747219,0.19331333,0.057051748
2019-04-13,0.5332398,0.101566836,0.24722572,0.124393165
2019-04-18,0.6203541,0.1607864,0.35160288,0.32652512
2019-04-23,0.63116556,0.1687885,0.36546487,0.3546272
2019-04-28,0.63514966,0.172939,0.37199333,0.37271193
2019-05-03,0.8525161,0.3342949,0.6139458,1.5085299
2019-05-08,0.8525161,0.3342949,0.6139458,1.5085301
2019-05-13,0.86180735,0.34283844,0.6257187,1.6217604
2019-05-18,0.9128045,0.39461803,0.69614446,2.1891983
2019-05-23,0.9128045,0.39461806,0.69614446,2.1891983
2019-05-28,0.90698284,0.39945573,0.7011412,2.1781087
2019-06-02,0.90476716,0.39790136,0.6989656,2.1975307
2019-06-07,0.8930703,0.38341305,0.68001443,2.2420316
2019-06-12,0.8810683,0.33848548,0.6231269,1.4488455
2019-06-17,0.8778027,0.32015166,0.59904563,1.1737474
2019-06-22,0.90605855,0.34070665,0.62848425,1.4150637
2019-06-27,0.90605855,0.34070665,0.62848425,1.4150637
2019-07-02,0.90605855,0.34070665,0.62848425,1.4150637
2019-07-07,,,,
2019-07-12,0.9104402,0.3781845,0.67611545,2.1334865
2019-07-17,0.9104402,0.37818444,0.6761155,2.133487
2019-07-22,0.9104402,0.37818444,0.67611545,2.1334858
2019-07-27,,,,
2019-08-01,,,,
2019-08-06,,,,
2019-08-11,,,,
2019-08-16,,,,
2019-08-21,,,,
2019-08-26,0.89155823,0.2939722,0.56421846,0.89815015
2019-08-31,0.8933821,0.294323,0.5648069,0.8987905
2019-09-05,0.89821506,0.29390618,0.56445426,0.88750154
2019-09-10,0.8766057,0.28280059,0.5471202,0.8451339
2019-09-15,0.886495,0.29343304,0.5628996,0.90633714
2019-09-20,0.8990765,0.30165076,0.5750325,0.9595434
2019-09-25,,,,
2019-09-30,,,,
2019-10-05,0.83873284,0.1845096,0.395147,0.3331178
2019-10-10,0.81822777,0.18934537,0.40351346,0.36057076
2019-10-15,0.7469694,0.21238041,0.43782932,0.50909686
2019-10-20,0.67985594,0.19411068,0.4062324,0.45688063
2019-10-25,0.5197539,0.105318636,0.254177,0.14098805
2019-10-30,0.51869816,0.10484303,0.25331202,0.13948205
2019-11-04,,,,
2019-11-09,0.5995722,0.091318056,0.22798367,0.07765025
2019-11-14,0.5995722,0.091318056,0.22798368,0.07765026
2019-11-19,0.5879816,0.08912946,0.2238294,0.07261096
2019-11-24,0.54656297,0.08117287,0.2082609,0.054117676
2019-11-29,0.5465629,0.08117287,0.20826088,0.054117672
2019-12-04,,,,
2019-12-09,0.34418643,0.04121556,0.11856016,-0.04618517
2019-12-14,0.34418643,0.041215558,0.11856014,-0.04618517
2019-12-19,0.34418643,0.04121556,0.11856016,-0.04618517
2019-12-24,,,,
2019-12-29,0.40371343,0.06628087,0.17660826,0.028021732
2020-01-03,0.40371343,0.066280864,0.17660826,0.02802173
2020-01-08,0.4037135,0.06628088,0.17660826,0.02802175
2020-01-13,,,,
2020-01-18,0.35814998,0.044448905,0.12754767,-0.03592614
2020-01-23,0.35814998,0.044448905,0.12754767,-0.03592614
2020-01-28,0.4891817,0.06735455,0.1789116,0.018878892
2020-02-02,0.5731611,0.08008036,0.20586053,0.046097606
2020-02-07,0.5731611,0.08008035,0.20586053,0.0460976
2020-02-12,,,,
2020-02-17,,,,
2020-02-22,,,,
2020-02-27,,,,
2020-03-03,,,,
2020-03-08,,,,
2020-03-13,0.49342713,0.0799459,0.20640601,0.058098003
2020-03-18,0.4934271,0.07994589,0.206406,0.058097985
2020-03-23,0.48964238,0.08003987,0.20657462,0.05904236
2020-03-28,0.48136792,0.08105263,0.20847867,0.06377438
2020-04-02,0.4907493,0.08409635,0.21460949,0.07212399
2020-04-07,0.4942983,0.08650357,0.21935694,0.07944642
2020-04-12,0.5019974,0.09054853,0.22728556,0.09150068
2020-04-17,0.58720547,0.11947756,0.28231904,0.17205976
2020-04-22,0.71534723,0.18204156,0.39054608,0.37381384
2020-04-27,0.805166,0.2582838,0.50659853,0.76066506
2020-05-02,0.8575707,0.33551502,0.615604,1.5378952
2020-05-07,0.87004447,0.36089754,0.649012,1.9360704
2020-05-12,0.90826964,0.37523758,0.67196506,2.0554404
2020-05-17,0.9107112,0.37614423,0.673418,2.0743961
2020-05-22,0.9218169,0.38028455,0.67993504,2.099655
2020-05-27,0.92578214,0.3832024,0.6839645,2.031955
2020-06-01,0.883561,0.39671785,0.6934839,1.8995672
2020-06-06,0.883561,0.39671785,0.6934839,1.8995667
2020-06-11,,,,
2020-06-16,,,,
2020-06-21,,,,
2020-06-26,0.89196205,0.30319017,0.5768373,0.97658414
2020-07-01,0.89196205,0.30319017,0.5768373,0.97658414
2020-07-06,0.89196205,0.3031902,0.5768373,0.9765841
2020-07-11,,,,
2020-07-16,,,,
2020-07-21,0.8360444,0.27400386,0.5330665,0.8030994
2020-07-26,0.82838905,0.26550552,0.52066237,0.7522518
2020-07-31,0.79011977,0.22679627,0.4623105,0.5469272
2020-08-05,0.7955834,0.22295281,0.45666978,0.52365977
2020-08-10,0.87829036,0.276401,0.53863114,0.78260314
2020-08-15,0.87856495,0.27585846,0.53786725,0.77887684
2020-08-20,0.8794965,0.27418834,0.53541636,0.76417786
2020-08-25,0.873368,0.26959565,0.52856696,0.7392323
2020-08-30,0.8533672,0.2552384,0.506842,0.66492474
2020-09-04,0.85918355,0.25630808,0.50858414,0.6675682
2020-09-09,0.8747138,0.25934723,0.51335615,0.67526865
2020-09-14,0.8585219,0.25744298,0.50999224,0.6779798
2020-09-19,0.8576191,0.26025724,0.5139809,0.69936574
2020-09-24,0.8611801,0.2622887,0.5170257,0.71131057
2020-09-29,,,,
2020-10-04,,,,
2020-10-09,,,,
2020-10-14,,,,
2020-10-19,,,,
2020-10-24,,,,
2020-10-29,,,,
2020-11-03,0.55471504,0.08432085,0.21462049,0.062819675
2020-11-08,0.55471504,0.08432085,0.21462046,0.06281967
2020-11-13,0.55471504,0.08432085,0.21462046,0.06281966
2020-11-18,,,,
2020-11-23,,,,
2020-11-28,,,,
2020-12-03,0.001320056,0.00056229794,0.0013201532,-0.16207983
2020-12-08,0.0013200857,0.00056230056,0.001320163,-0.16207983
2020-12-13,0.0013200598,0.00056229817,0.0013201546,-0.16207984
2020-12-18,,,,
2020-12-23,,,,
2020-12-28,,,,
2021-01-02,,,,
2021-01-07,,,,
2021-01-12,0.2215229,0.05755029,0.14166233,0.027606897
2021-01-17,0.22152293,0.0575503,0.14166234,0.027606927
2021-01-22,0.22152291,0.057550296,0.14166231,0.027606908
2021-01-27,0.378918,0.08282575,0.20555627,0.09051287
2021-02-01,0.378918,0.08282575,0.20555626,0.09051287
2021-02-06,0.37891796,0.082825735,0.20555624,0.090512834
2021-02-11,,,,
2021-02-16,,,,
2021-02-21,0.42343783,0.069975026,0.18495804,0.037244953
2021-02-26,0.43928307,0.071737625,0.18888518,0.040464703
2021-03-03,0.48676082,0.07804293,0.20245166,0.05310582
2021-03-08,0.5121075,0.081292935,0.20916083,0.059259813
2021-03-13,,,,
2021-03-18,0.29248923,0.07123041,0.17529488,0.06558745
2021-03-23,0.2924892,0.07123042,0.17529488,0.06558745
2021-03-28,0.29248923,0.07123042,0.17529489,0.06558748
2021-04-02,,,,
2021-04-07,,,,
2021-04-12,,,,
2021-04-17,,,,
2021-04-22,0.45725027,0.08241182,0.21046573,0.07269829
2021-04-27,0.45725033,0.08241183,0.21046573,0.072698295
2021-05-02,0.45725027,0.08241182,0.21046571,0.072698265
2021-05-07,0.8184701,0.24145605,0.485268,0.6126836
2021-05-12,0.8184701,0.24145602,0.485268,0.6126836
2021-05-17,0.8184701,0.241456,0.485268,0.6126836
2021-05-22,,,,
2021-05-27,0.8830181,0.41453335,0.7140566,2.193807
2021-06-01,0.8830181,0.41453332,0.7140566,2.1938045
2021-06-06,0.8840398,0.41354552,0.71314377,2.2030714
2021-06-11,0.91506654,0.35375673,0.6456342,1.5257727
2021-06-16,0.9162093,0.3459335,0.63616526,1.4541299
2021-06-21,0.9098637,0.3421482,0.6307205,1.4119961
2021-06-26,0.9057799,0.34190914,0.6300138,1.420211
2021-07-01,0.9195212,0.3512303,0.643167,1.5794635
2021-07-06,0.9195212,0.3512303,0.643167,1.5794632
2021-07-11,0.9195212,0.3512303,0.643167,1.5794636
2021-07-16,0.90318847,0.34776178,0.6372104,1.5638031
2021-07-21,0.90318835,0.34776178,0.6372104,1.563803
2021-07-26,0.87257177,0.3294382,0.6103493,1.3667943
2021-07-31,0.69578505,0.23117137,0.45970762,0.6696948
2021-08-05,0.80423874,0.2797165,0.53707296,0.929545
2021-08-10,0.90622854,0.3220844,0.6037992,1.1435758
2021-08-15,0.90627486,0.3172131,0.59716254,1.0941428
2021-08-20,0.9062206,0.3122376,0.59032166,1.0406288
2021-08-25,,,,
2021-08-30,,,,
2021-09-04,0.9019355,0.31110838,0.5881807,1.0436507
2021-09-09,0.8998977,0.30956826,0.5859289,1.0346773
2021-09-14,0.89033294,0.30245224,0.57534623,0.9850675
2021-09-19,0.8850779,0.29862994,0.56953514,0.96340406
2021-09-24,,,,
2021-09-29,0.84938765,0.26279557,0.5169597,0.73042566
2021-10-04,0.843448,0.26136988,0.5146095,0.7238317
2021-10-09,0.8165742,0.2549285,0.50376844,0.7037349
2021-10-14,0.78018713,0.2382827,0.47747356,0.6320962
2021-10-19,0.6917132,0.1921227,0.40359107,0.44142765
2021-10-24,0.6206364,0.16087638,0.35107368,0.33415002
2021-10-29,0.5650151,0.12445288,0.28879288,0.2046102
2021-11-03,0.5518952,0.112379126,0.26720637,0.1606583
2021-11-08,,,,
2021-11-13,,,,
2021-11-18,0.5457852,0.090944454,0.22630364,0.08734343
2021-11-23,0.5457852,0.09094448,0.22630364,0.08734344
2021-11-28,0.57797736,0.08785611,0.22118935,0.070309944
2021-12-03,0.565126,0.085704096,0.21746993,0.0650715
2021-12-08,0.483583,0.081367224,0.20691404,0.06510055
2021-12-13,0.32755923,0.07153103,0.18065627,0.059778232
2021-12-18,,,,
2021-12-23,,,,
2021-12-28,0.406526,0.06070137,0.16472004,0.00987524
2022-01-02,0.43233728,0.06459565,0.17339005,0.018665161
2022-01-07,0.5140882,0.07839844,0.20272012,0.050450463
2022-01-12,0.56059027,0.0861191,0.21792291,0.06729247
2022-01-17,,,,
2022-01-22,,,,
2022-01-27,,,,
2022-02-01,,,,
2022-02-06,,,,
2022-02-11,0.5401353,0.07994933,0.20652124,0.05037998
2022-02-16,0.5401353,0.07994933,0.20652124,0.050379988
2022-02-21,0.30730137,0.053635962,0.1372687,-0.0055394955
2022-02-26,0.13867082,0.034578443,0.087112404,-0.04603932
2022-03-03,0.13867082,0.034578443,0.087112404,-0.04603931
2022-03-08,0.49824554,0.08159823,0.20953016,0.06273102
2022-03-13,0.49824554,0.08159823,0.20953013,0.06273102
2022-03-18,0.4947253,0.08183532,0.20998697,0.064124085
2022-03-23,0.482946,0.08237773,0.21089095,0.068028025
2022-03-28,0.4739229,0.08122192,0.20847528,0.06579261
2022-04-02,0.46934274,0.0806399,0.2072345,0.06466654
2022-04-07,0.4752084,0.084654175,0.21513133,0.07703981
2022-04-12,0.47506237,0.084751844,0.21528451,0.077447675
2022-04-17,0.47391045,0.084534146,0.21417163,0.077803776
2022-04-22,0.46053782,0.08137859,0.19966666,0.07785653
2022-04-27,,,,
2022-05-02,,,,
2022-05-07,0.89576447,0.3665603,0.65929466,1.9434912
2022-05-12,0.89576447,0.3665603,0.65929466,1.9434906
2022-05-17,0.89576447,0.3665603,0.65929466,1.9434915
2022-05-22,0.90254647,0.37877172,0.67367643,1.6494894
2022-05-27,0.90254647,0.37877172,0.67367643,1.6494901
2022-06-01,0.90254647,0.37877172,0.67367643,1.649489
2022-06-06,0.9214577,0.35685557,0.6503358,1.7362376
2022-06-11,0.9214576,0.35685557,0.6503358,1.7362373
2022-06-16,0.91624403,0.36446413,0.6595081,1.9026399
2022-06-21,0.9034743,0.38204926,0.67961967,2.0823174
2022-06-26,0.909298,0.35619956,0.64838815,1.7662358
2022-07-01,0.912868,0.3425393,0.6311571,1.4674293
2022-07-06,0.8943937,0.39434305,0.692603,1.9490465
2022-07-11,0.8943937,0.3943431,0.692603,1.9490476
2022-07-16,0.89410806,0.37600324,0.6708333,2.0361524
2022-07-21,0.8930518,0.31952557,0.5991171,1.1610007
2022-07-26,0.8930518,0.3195256,0.5991171,1.1610008
2022-07-31,0.9071401,0.3169585,0.5966287,1.1048768
2022-08-05,0.9074716,0.31810784,0.5982002,1.1182326
2022-08-10,0.9075058,0.3235096,0.60539556,1.1893749
2022-08-15,0.89809984,0.32506642,0.60672957,1.2348803
2022-08-20,0.8875555,0.3289646,0.6109032,1.3241401
2022-08-25,0.87179595,0.34285918,0.62679696,1.6295044
2022-08-30,0.87179595,0.34285918,0.62679696,1.6295055
2022-09-04,,,,
2022-09-09,,,,
2022-09-14,,,,
2022-09-19,,,,
2022-09-24,0.56242776,0.108738296,0.26292172,0.13972892
2022-09-29,0.6996412,0.27999905,0.5222254,1.139749
2022-10-04,0.70389134,0.2726623,0.51438636,1.0417719
2022-10-09,0.7276283,0.23881027,0.4740136,0.68631613
2022-10-14,0.74520326,0.22116232,0.4497947,0.56547385
2022-10-19,,,,
2022-10-24,,,,
2022-10-29,,,,
2022-11-03,0.54456997,0.07643848,0.19874212,0.039348107
2022-11-08,0.54456997,0.07643848,0.19874212,0.0393481
2022-11-13,0.54456997,0.07643848,0.1987421,0.03934809
2022-11-18,,,,
2022-11-23,,,,
2022-11-28,,,,
2022-12-03,,,,
2022-12-08,,,,
2022-12-13,0.30776408,0.061123405,0.15972567,0.026361814
2022-12-18,0.30776408,0.061123405,0.15972567,0.026361821
2022-12-23,0.30776408,0.061123416,0.15972568,0.026361834
2022-12-28,,,,
2023-01-02,,,,
2023-01-07,,,,
2023-01-12,,,,
2023-01-17,,,,
2023-01-22,,,,
2023-01-27,,,,
2023-02-01,,,,
2023-02-06,,,,
2023-02-11,,,,
2023-02-16,,,,
2023-02-21,,,,
2023-02-26,0.48606095,0.08069414,0.20763168,0.061931767
2023-03-03,0.48606092,0.08069413,0.20763168,0.06193175
2023-03-08,0.48606092,0.08069413,0.20763168,0.061931748
2023-03-13,0.44820362,0.07681295,0.1992294,0.055695646
2023-03-18,0.44530827,0.07472708,0.19506976,0.049255937
2023-03-23,0.43050152,0.06524196,0.17556162,0.020642018
2023-03-28,0.42138845,0.060239937,0.16485585,0.0059596165
2023-04-02,,,,
2023-04-07,0.41606945,0.084495984,0.2119939,0.08845577
2023-04-12,0.41606945,0.08449598,0.21199389,0.08845573
2023-04-17,0.41606945,0.08449597,0.21199389,0.08845574
2023-04-22,,,,
2023-04-27,,,,
2023-05-02,,,,
2023-05-07,,,,
2023-05-12,,,,
2023-05-17,0.9095196,0.37128386,0.666908,1.9031457
2023-05-22,0.91096604,0.37400225,0.67046285,1.9260927
2023-05-27,0.9164459,0.38786745,0.6881167,1.941694
2023-06-01,0.91233313,0.40086555,0.7030253,1.9573715
2023-06-06,0.90763843,0.40990508,0.7131492,2.0237143
2023-06-11,,,,
2023-06-16,,,,
2023-06-21,0.91758317,0.42491272,0.7319514,2.0501227
2023-06-26,0.91758317,0.42491272,0.7319514,2.0501225
