t,NDVI,NIRv,EVI2,PPI
2017-01-04,,,,
2017-01-07,,,,
2017-01-14,,,,
2017-01-24,,,,
2017-01-27,,,,
2017-02-03,,,,
2017-02-06,,,,
2017-02-13,,,,
2017-02-16,,,,
2017-02-23,,,,
2017-02-26,,,,
2017-03-05,,,,
2017-03-08,,,,
2017-03-15,,,,
2017-03-17,,,,
2017-03-18,,,,
2017-03-20,,,,
2017-03-23,0.63492215,0.20204063,0.414354,0.77404934
2017-03-25,0.63492215,0.20204063,0.414354,0.77404934
2017-03-28,0.63492215,0.20204066,0.414354,0.7740494
2017-03-30,0.63492215,0.20204066,0.414354,0.7740494
2017-04-02,0.63492215,0.20204063,0.414354,0.77404934
2017-04-04,0.63492215,0.20204063,0.414354,0.77404934
2017-04-07,,,,
2017-04-09,,,,
2017-04-12,,,,
2017-04-14,,,,
2017-04-17,0.86603224,0.36276937,0.65103954,1.4012249
2017-04-22,0.86603224,0.3627694,0.65103954,1.4012252
2017-04-24,0.86603224,0.3627694,0.65103954,1.4012262
2017-04-27,0.86603224,0.3627694,0.65103954,1.401226
2017-04-29,0.86603224,0.36276937,0.65103954,1.4012244
2017-05-02,0.86603224,0.36276937,0.6510395,1.4012249
2017-05-04,,,,
2017-05-07,,,,
2017-05-09,,,,
2017-05-12,0.8935675,0.40152994,0.70148325,2.2463624
2017-05-14,0.8935675,0.40152994,0.70148325,2.24635
2017-05-17,0.8935675,0.40152994,0.7014832,2.246337
2017-05-19,0.8935675,0.40152994,0.7014832,2.2463403
2017-05-22,0.8901872,0.3960807,0.6946188,2.1474981
2017-05-24,0.8733219,0.37954557,0.67249566,2.199193
2017-05-27,0.8361029,0.35431063,0.63640946,2.1362996
2017-05-29,0.8217563,0.34722254,0.6255261,2.0587988
2017-06-01,0.8285029,0.35083145,0.63102895,2.1321986
2017-06-03,0.8483494,0.36116555,0.6466836,2.1543012
2017-06-06,0.8733928,0.38110372,0.67420185,2.702028
2017-06-08,0.8890017,0.39365062,0.69114614,1.7494019
2017-06-11,0.70748866,0.28359288,0.5248162,0.5660999
2017-06-13,0.68449247,0.259194,0.49270102,0.57470626
2017-06-16,0.58754903,0.18136449,0.37937948,0.5693706
2017-06-18,0.5699362,0.16914818,0.35989517,0.4894794
2017-06-21,0.56313807,0.16110216,0.34748808,0.44295692
2017-06-23,0.55856943,0.15599364,0.33946612,0.41445744
2017-06-26,0.55359375,0.15068194,0.33100203,0.4096729
2017-06-28,0.5493377,0.14633383,0.3239774,0.4015482
2017-07-01,,,,
2017-07-03,,,,
2017-07-06,,,,
2017-07-08,,,,
