t,NDVI,NIRv,EVI2,PPI
2017-01-03,,,,
2017-01-13,,,,
2017-02-02,0.30456987,0.086803064,0.19684544,0.166618
2017-02-12,,,,
2017-02-22,,,,
2017-03-04,,,,
2017-03-14,0.37163243,0.09599366,0.21867,0.19321522
2017-03-19,0.37163243,0.09599365,0.21867,0.19321531
2017-03-24,,,,
2017-03-29,,,,
2017-04-03,0.45998025,0.17520264,0.34205207,0.48625278
2017-04-08,0.45998025,0.17520262,0.34205207,0.48625273
2017-04-13,0.45998022,0.17520262,0.34205207,0.48625278
2017-04-18,,,,
2017-04-23,,,,
2017-04-28,,,,
2017-05-03,,,,
2017-05-08,,,,
2017-05-13,,,,
2017-05-18,,,,
2017-05-23,,,,
2017-05-28,0.58271515,0.20268513,0.4014907,0.5840209
2017-06-02,0.59260935,0.20853664,0.4111025,0.62451905
2017-06-07,0.63334376,0.23491558,0.4526703,0.7132287
2017-06-12,0.65726477,0.2520304,0.47852018,0.8128067
2017-06-17,,,,
2017-06-22,,,,
2017-06-27,,,,
2017-07-02,,,,
2017-07-07,,,,
2017-07-12,,,,
2017-07-17,,,,
2017-07-22,,,,
2017-07-27,,,,
2017-08-01,0.6347482,0.29087645,0.509444,0.2024839
2017-08-06,0.6347482,0.29087648,0.509444,0.20248398
2017-08-11,0.6347482,0.29087645,0.509444,0.20248395
2017-08-16,,,,
2017-08-21,,,,
2017-08-26,,,,
2017-08-31,,,,
2017-09-05,,,,
2017-09-10,,,,
2017-09-15,,,,
2017-09-20,,,,
2017-09-25,,,,
2017-09-30,,,,
2017-10-05,,,,
2017-10-10,0.36072153,0.10280577,0.22589652,0.19375339
2017-10-15,0.35992962,0.10218393,0.22466248,0.19272615
2017-10-20,0.3553539,0.09947129,0.21555015,0.15728621
2017-10-25,0.38612077,0.11085739,0.23355824,0.1921597
2017-10-30,0.42309222,0.1364321,0.27163297,0.26874903
2017-11-04,0.42309222,0.1364321,0.271633,0.26874897
2017-11-09,,,,
2017-11-14,0.49079388,0.16113542,0.31540897,0.40253878
2017-11-19,0.49079385,0.1611354,0.31540895,0.40253833
2017-11-24,0.49079394,0.16113544,0.31540897,0.40253878
2017-11-29,,,,
2017-12-09,,,,
2017-12-14,,,,
2017-12-19,,,,
2017-12-24,,,,
2017-12-29,,,,
2018-01-03,,,,
2018-01-08,,,,
2018-01-13,,,,
2018-01-18,,,,
2018-01-23,,,,
2018-01-28,,,,
2018-02-02,,,,
2018-02-07,,,,
2018-02-12,,,,
2018-02-17,0.55391884,0.17060743,0.3525039,0.51646984
2018-02-22,0.54316556,0.16961883,0.35038894,0.51169705
2018-02-27,0.49709415,0.16509518,0.33951557,0.47975573
2018-03-04,0.46942362,0.15833484,0.32565063,0.44164407
2018-03-09,0.428653,0.13963331,0.29254815,0.35138798
2018-03-14,,,,
2018-03-19,,,,
2018-03-24,,,,
2018-03-29,,,,
2018-04-03,0.6640973,0.2595814,0.48718974,0.732386
2018-04-08,0.6640973,0.25958145,0.48718974,0.73238623
2018-04-13,0.6825491,0.26088488,0.4915017,0.74036056
2018-04-18,0.74425745,0.26606408,0.50441515,0.8088851
2018-04-23,0.74425745,0.26606408,0.50441515,0.8088852
2018-04-28,,,,
2018-05-03,0.7793303,0.31554338,0.57083064,1.3073634
2018-05-08,0.7793303,0.31554338,0.5708306,1.307363
2018-05-13,0.7793303,0.31554338,0.57083064,1.3073633
2018-05-18,,,,
2018-05-23,0.76016986,0.2820415,0.5298652,1.0813345
2018-05-28,0.76129,0.28429264,0.53296465,1.075766
2018-06-02,0.76469135,0.2943018,0.545894,1.1460081
2018-06-07,0.740464,0.29450142,0.54125464,1.0035436
2018-06-12,0.7556769,0.2788289,0.5294655,1.0322328
2018-06-17,,,,
2018-06-22,0.6038057,0.17100096,0.3607358,0.42350805
2018-06-27,0.5876857,0.16702051,0.35360962,0.4114178
2018-07-02,0.5030026,0.14494582,0.3125977,0.33521903
2018-07-07,0.391851,0.108675756,0.24494186,0.19601421
2018-07-12,0.34622994,0.09356699,0.21535282,0.14611438
2018-07-17,0.24057257,0.08771029,0.18513863,0.14743531
2018-07-22,0.23917758,0.08732995,0.18429334,0.14619
2018-07-27,0.23286483,0.08453689,0.17911386,0.13607371
2018-08-01,0.2246145,0.08081032,0.17222364,0.122650124
2018-08-06,0.20746692,0.07400863,0.15827736,0.100068964
2018-08-11,0.20746686,0.07400861,0.15827732,0.10006888
2018-08-16,,,,
2018-08-21,,,,
2018-08-26,,,,
2018-08-31,,,,
2018-09-05,,,,
2018-09-10,,,,
2018-09-20,,,,
2018-09-25,0.21978784,0.048997227,0.12516715,-0.00078233646
2018-09-30,0.22142535,0.049702823,0.1265347,0.0016093527
2018-10-05,0.22872016,0.05359345,0.1335471,0.01620748
2018-10-10,0.23462777,0.05966752,0.14232516,0.05814737
2018-10-15,0.24847193,0.07080671,0.159005,0.056172572
2018-10-20,0.26675776,0.08133008,0.17662668,0.1062032
2018-10-25,0.2739074,0.08504718,0.1830638,0.13005428
2018-10-30,,,,
2018-11-04,,,,
2018-11-09,0.36545253,0.12106469,0.24089733,0.02755648
2018-11-14,0.36545253,0.12106471,0.24089734,0.027556505
2018-11-19,0.36545253,0.12106471,0.24089734,0.02755647
2018-11-24,,,,
2018-11-29,,,,
2018-12-04,,,,
2018-12-09,,,,
2018-12-14,0.42382076,0.1950816,0.33904853,0.06549714
2018-12-19,0.42382082,0.1950816,0.33904853,0.065497145
2018-12-24,0.42382076,0.19508162,0.33904853,0.065497145
2018-12-29,,,,
2019-01-03,,,,
2019-01-08,,,,
2019-01-13,,,,
2019-01-18,,,,
2019-01-23,,,,
2019-01-28,,,,
2019-02-02,,,,
2019-02-07,,,,
2019-02-12,,,,
2019-02-17,,,,
2019-02-22,0.25352,0.06390203,0.15087737,0.044973385
2019-02-27,0.25352007,0.06390204,0.1508774,0.04497343
2019-03-04,0.2535201,0.06390204,0.1508774,0.04497344
2019-03-09,,,,
2019-03-14,0.29332197,0.06347204,0.1540009,0.03843409
2019-03-19,0.29332197,0.06347204,0.1540009,0.0384341
2019-03-24,0.2868281,0.06557056,0.15718995,0.0466191
2019-03-29,0.27912277,0.072464965,0.1665737,0.073553815
2019-04-03,0.27616036,0.07597232,0.17228803,0.09036925
2019-04-08,0.2669989,0.08604329,0.1862093,0.13048705
