t,NDVI,NIRv,EVI2,PPI
2017-01-03,,,,
2017-01-13,0.34931567,0.106558084,0.23441534,0.22692539
2017-01-16,0.3493157,0.1065581,0.23441534,0.22692545
2017-01-26,,,,
2017-02-02,,,,
2017-02-05,,,,
2017-02-12,0.46551856,0.106308974,0.25028387,0.1859064
2017-02-15,0.46513018,0.10599435,0.24974547,0.18466392
2017-02-22,0.45307022,0.096884295,0.23360923,0.15074965
2017-02-25,0.4511257,0.095522635,0.23110242,0.14597374
2017-03-04,,,,
2017-03-07,,,,
2017-03-14,,,,
2017-03-17,0.51831234,0.108784296,0.25514582,0.18893898
2017-03-19,0.51831234,0.108784296,0.25514582,0.18893898
2017-03-24,0.51831234,0.108784296,0.25514582,0.18893898
2017-03-27,0.51717544,0.10863664,0.25488624,0.18851201
2017-03-29,0.51046747,0.10775419,0.25328928,0.18605505
2017-04-01,0.49261734,0.10534094,0.24847646,0.18032615
2017-04-03,0.50402176,0.11527733,0.26824427,0.21206117
2017-04-06,0.5269623,0.1164508,0.2700858,0.21715227
2017-04-08,0.55455333,0.124906085,0.28553292,0.24703118
2017-04-11,0.5823664,0.13414796,0.3014653,0.29021272
2017-04-13,0.586021,0.13574558,0.30398193,0.30366796
2017-04-16,0.5875635,0.13732156,0.30641934,0.30587938
2017-04-18,0.5976924,0.14422762,0.31829968,0.33341697
2017-04-21,0.62556857,0.16235177,0.35005835,0.43194243
2017-04-23,0.6276906,0.16138746,0.34892815,0.41903841
2017-04-26,0.63005596,0.16027558,0.34741923,0.40696615
2017-04-28,0.6315168,0.15957172,0.34644136,0.39749706
2017-05-01,0.6360728,0.16089572,0.34841132,0.40893042
2017-05-03,0.6479076,0.16833156,0.36073875,0.44195664
2017-05-06,0.6539858,0.1735027,0.3692164,0.46079606
2017-05-08,0.655692,0.1753443,0.37225956,0.47268373
2017-05-11,0.65816224,0.17811652,0.37680897,0.4920047
2017-05-13,0.659549,0.17973088,0.37944105,0.5048273
2017-05-16,0.7375931,0.20318265,0.420683,0.57472694
2017-05-18,0.769917,0.21158247,0.43519866,0.58435917
2017-05-21,0.76752996,0.21262126,0.4367341,0.5779362
2017-05-23,0.7649039,0.21460924,0.43968764,0.5795414
2017-05-26,0.7627572,0.22043109,0.44834396,0.6162236
2017-05-28,0.76586664,0.22493298,0.45513925,0.64024377
2017-06-02,0.78938645,0.24028331,0.47860843,0.74025524
2017-06-05,0.8033339,0.24516042,0.4866769,0.7528106
2017-06-07,0.8202648,0.24756761,0.49182138,0.7431764
2017-06-10,0.8376751,0.24997729,0.49677968,0.73402995
2017-06-12,0.8392035,0.2507523,0.49800953,0.74105144
2017-06-15,0.83467466,0.2530474,0.50091624,0.7552477
2017-06-17,0.83181393,0.25446987,0.50266576,0.76412165
2017-06-20,0.8299583,0.25915205,0.5092526,0.8074245
2017-06-22,0.8289264,0.2686019,0.5224069,0.8910868
2017-06-25,0.8280267,0.27936122,0.5366861,0.99971193
2017-06-27,0.8355606,0.31659442,0.58852315,1.3667057
