t,NDVI,NIRv,EVI2,PPI
2017-01-18,,,,
2017-01-28,,,,
2017-01-31,,,,
2017-02-07,,,,
2017-02-10,,,,
2017-02-17,,,,
2017-02-20,,,,
2017-02-27,,,,
2017-03-02,,,,
2017-03-09,,,,
2017-03-12,,,,
2017-03-19,,,,
2017-03-21,,,,
2017-03-22,,,,
2017-03-24,,,,
2017-03-27,,,,
2017-03-29,,,,
2017-04-01,,,,
2017-04-03,,,,
2017-04-06,,,,
2017-04-08,,,,
2017-04-11,0.6334979,0.09286834,0.23075996,0.16112319
2017-04-13,0.6334979,0.09286836,0.23075996,0.16112319
2017-04-16,0.6335452,0.092940554,0.23090757,0.16139111
2017-04-18,0.6335452,0.092940554,0.23090757,0.16139114
2017-04-21,0.6335452,0.092940554,0.23090757,0.16139111
2017-04-23,0.6335452,0.09294055,0.23090757,0.16139111
2017-04-26,0.6151991,0.090548314,0.2266779,0.15542147
2017-04-28,0.6137375,0.09032288,0.22618656,0.1550526
2017-05-01,0.61393243,0.090331934,0.22619592,0.15502396
2017-05-06,0.6146016,0.0904556,0.22637807,0.15528604
2017-05-08,0.61411446,0.09065387,0.22676429,0.15609601
2017-05-11,0.608565,0.090599485,0.22668016,0.15719056
2017-05-13,0.60299474,0.089240424,0.22399789,0.15334414
2017-05-16,0.60013497,0.08779551,0.22121294,0.14820807
2017-05-18,0.59854895,0.08714014,0.21994953,0.14595968
2017-05-21,0.59383065,0.08653465,0.21874705,0.14473651
2017-05-26,0.5890143,0.08900144,0.22389123,0.15483986
2017-05-28,0.58875036,0.09035239,0.22662467,0.16003534
2017-05-31,0.5911401,0.09192397,0.22974283,0.16561285
2017-06-02,0.60569566,0.09776264,0.24120578,0.18543491
2017-06-05,0.64494026,0.11562863,0.27517825,0.25291216
2017-06-07,0.6502049,0.11828835,0.2801071,0.2640653
2017-06-10,0.6627659,0.12017693,0.28357446,0.26888886
2017-06-12,0.69297844,0.12469517,0.29168665,0.2805729
2017-06-15,0.7279682,0.12899216,0.29902372,0.28988007
2017-06-17,0.73159117,0.12819795,0.2973645,0.2855591
2017-06-20,0.7273077,0.1251367,0.29114857,0.2771611
2017-06-22,0.72468394,0.123836026,0.28828356,0.27281237
2017-06-25,0.6400156,0.13197935,0.2967201,0.3998569
2017-06-27,0.64100224,0.13954188,0.31125385,0.44110954
2017-06-30,0.7474317,0.17163199,0.37192097,0.5824518
2017-07-02,0.7502582,0.1711288,0.3713783,0.5800217
2017-07-05,0.76045525,0.17033237,0.37099874,0.576002
2017-07-07,0.7706335,0.16975345,0.37055254,0.54941565
2017-07-10,0.78411186,0.1683646,0.3683802,0.5204171
2017-07-12,0.7947412,0.1658671,0.3640122,0.49318218
2017-07-15,0.8035153,0.1630754,0.35896805,0.46586564
2017-07-17,0.80481255,0.16267052,0.35822132,0.46177158
2017-07-20,0.80481255,0.16267054,0.35822132,0.46177164
2017-07-22,0.80481255,0.16267054,0.35822132,0.4617716
2017-07-25,0.784356,0.15931162,0.3527482,0.44967353
2017-07-27,0.784356,0.15931162,0.35274822,0.44967353
2017-07-30,0.784356,0.15931162,0.35274822,0.44967362
2017-08-01,0.784356,0.15931162,0.35274822,0.44967362
2017-08-04,0.784356,0.15931162,0.35274822,0.44967353
2017-08-06,0.784356,0.15931162,0.3527482,0.44967353
2017-08-09,0.8517359,0.16482642,0.36063105,0.45238087
2017-08-11,0.8517359,0.16482642,0.36063102,0.45238078
2017-08-14,0.8517359,0.16482642,0.36063105,0.45238087
2017-08-16,0.8517359,0.16482642,0.36063105,0.45238087
2017-08-19,0.8517359,0.16482642,0.36063102,0.45238078
2017-08-21,0.8517359,0.16482642,0.36063105,0.45238087
2017-08-24,,,,
2017-08-26,,,,
2017-08-29,0.7189799,0.10214206,0.2471511,0.17883416
2017-08-31,0.7189799,0.102142066,0.2471511,0.17883416
2017-09-03,0.71897995,0.10214206,0.24715108,0.17883414
2017-09-05,0.71897995,0.10214206,0.24715108,0.17883414
2017-09-08,0.7189799,0.102142066,0.2471511,0.17883416
2017-09-10,0.7189799,0.10214206,0.2471511,0.17883416
2017-09-13,,,,
2017-09-15,,,,
2017-09-18,,,,
2017-09-20,,,,
2017-09-23,,,,
2017-09-28,,,,
2017-09-30,,,,
2017-10-03,,,,
2017-10-05,,,,
2017-10-08,,,,
2017-10-10,,,,
2017-10-13,,,,
2017-10-15,,,,
2017-10-18,0.5973059,0.120520994,0.28193447,0.306568
2017-10-20,0.5973059,0.120521,0.28193447,0.306568
2017-10-23,0.59730583,0.120520994,0.28193444,0.30656794
2017-10-25,0.59730583,0.120520994,0.28193444,0.30656794
2017-10-28,0.50956225,0.09649471,0.23235914,0.2213646
2017-10-30,0.50013345,0.09352864,0.22634016,0.2109945
2017-11-02,0.3331232,0.04600387,0.12748697,0.044890556
2017-11-04,0.3331232,0.04600387,0.12748697,0.044890556
2017-11-07,0.3331232,0.04600387,0.12748697,0.044890556
2017-11-09,0.3331232,0.04600388,0.12748699,0.044890575
2017-11-12,,,,
2017-11-14,,,,
2017-11-17,-0.23700267,-0.01808624,-0.08655964,-0.16139959
2017-11-19,-0.2370027,-0.01808624,-0.086559646,-0.16139959
2017-11-22,-0.23700264,-0.01808624,-0.08655963,-0.16139957
2017-11-24,-0.23700264,-0.018086238,-0.08655963,-0.16139959
2018-01-18,,,,
2018-01-21,,,,
2018-01-23,,,,
2018-01-26,,,,
2018-01-28,,,,
2018-01-31,,,,
2018-02-02,,,,
2018-02-05,,,,
2018-02-07,,,,
2018-02-10,,,,
2018-02-12,,,,
2018-02-15,,,,
2018-02-17,,,,
2018-02-20,,,,
2018-02-22,,,,
2018-02-25,,,,
2018-02-27,,,,
2018-03-02,,,,
2018-03-04,,,,
2018-03-07,,,,
2018-03-09,,,,
2018-03-12,,,,
2018-03-14,,,,
2018-03-17,,,,
2018-03-19,,,,
2018-03-22,,,,
2018-03-24,,,,
2018-03-27,,,,
2018-03-29,,,,
2018-04-01,,,,
2018-04-03,,,,
2018-04-06,,,,
2018-04-08,,,,
2018-04-11,,,,
2018-04-13,,,,
2018-04-16,0.6025475,0.09699645,0.2391176,0.1830187
2018-04-18,0.6025475,0.096996434,0.23911758,0.18301864
2018-04-21,0.6025475,0.096996434,0.23911758,0.18301865
2018-04-23,0.6025475,0.096996434,0.23911758,0.18301865
2018-04-26,0.6025475,0.096996434,0.23911758,0.18301864
2018-04-28,0.6025475,0.09699645,0.2391176,0.1830187
2018-05-01,0.5794684,0.09055862,0.22748752,0.1634432
2018-05-03,0.58063865,0.09054572,0.22744842,0.16313767
2018-05-06,0.5864632,0.09052611,0.22734068,0.1617918
2018-05-08,0.5923908,0.09052358,0.22725321,0.16050711
2018-05-11,0.60529333,0.09054447,0.22707655,0.15786186
2018-05-13,0.61383015,0.09056248,0.22693798,0.15616702
2018-05-16,0.64807713,0.09962387,0.24452059,0.18323022
2018-05-18,0.6948631,0.12005179,0.2831703,0.25773007
2018-05-21,0.7136426,0.13079771,0.30284306,0.3048749
2018-05-23,0.71907854,0.1331846,0.30713308,0.31554046
2018-05-26,0.73635894,0.13696606,0.31373385,0.32902065
2018-05-31,0.7794818,0.14827794,0.33328396,0.37584615
2018-06-02,0.78454655,0.15369204,0.3428622,0.40797582
2018-06-05,0.7702068,0.16690692,0.36575368,0.53273684
2018-06-07,0.76289463,0.17342597,0.37638456,0.6042282
2018-06-10,0.76897603,0.17519617,0.3797944,0.6169664
2018-06-12,0.77749276,0.17441519,0.3787693,0.5868139
2018-06-15,0.7850276,0.17376672,0.3776508,0.5706623
2018-06-17,0.78761405,0.17355399,0.3772268,0.5738297
2018-06-20,0.78761405,0.17355399,0.37722674,0.57382953
2018-06-22,,,,
2018-06-25,,,,
2018-06-27,,,,
2018-06-30,0.77733433,0.16221066,0.35612208,0.5134661
2018-07-02,0.77929175,0.16373423,0.35910824,0.5189316
2018-07-05,0.7827264,0.1667616,0.36489028,0.5310089
2018-07-07,0.78508615,0.16912764,0.36927646,0.5418815
2018-07-10,0.78898245,0.17104457,0.37296045,0.5425434
2018-07-12,0.7908346,0.16935222,0.37017652,0.5224457
2018-07-15,0.78797615,0.16835794,0.36834943,0.5246191
2018-07-17,0.78440386,0.16973071,0.37063807,0.5402621
2018-07-20,0.76867455,0.17150302,0.37366897,0.57451993
2018-07-22,0.7495195,0.16995397,0.37090504,0.5736568
2018-07-25,0.7409488,0.16530383,0.3629552,0.5325064
2018-07-27,0.7436349,0.163843,0.36058468,0.5184077
2018-07-30,0.7510949,0.16417041,0.36133516,0.516573
2018-08-01,0.7565806,0.16478787,0.36247265,0.5143229
2018-08-04,0.78141415,0.1719727,0.37492076,0.552834
2018-08-06,0.7943102,0.18132529,0.39026642,0.64607537
2018-08-09,0.7943102,0.18132529,0.3902664,0.64607525
2018-08-11,0.7943102,0.18132529,0.3902664,0.6460752
2018-08-14,0.79430425,0.18005118,0.3882285,0.62957937
2018-08-16,0.794265,0.17700481,0.38317248,0.597951
2018-08-19,0.7941651,0.17343509,0.37690058,0.5679094
2018-08-21,0.8066771,0.16682054,0.36555132,0.49187925
2018-08-24,0.7833644,0.1570609,0.3487226,0.4375508
2018-08-26,0.7677769,0.15210389,0.33973086,0.41058078
2018-08-29,0.75885874,0.15099278,0.3377276,0.40857673
2018-08-31,0.75598645,0.15278687,0.34121045,0.4225537
2018-09-03,0.752182,0.15705535,0.3490386,0.45818263
2018-09-05,0.7517982,0.15913902,0.35262987,0.47902104
2018-09-08,0.75214,0.16067985,0.35518554,0.49250883
2018-09-10,0.75214,0.16067983,0.35518554,0.49250877
2018-09-13,0.6383746,0.13167058,0.30418286,0.35146704
2018-09-15,0.6383747,0.13167058,0.30418286,0.3514671
2018-09-18,0.6770798,0.13409758,0.30825457,0.34765586
2018-09-20,0.68154585,0.1334865,0.30716455,0.3425915
2018-09-23,0.7048749,0.13461594,0.30909187,0.3433403
2018-09-25,0.7274929,0.1373228,0.31374475,0.34977373
2018-09-28,0.75003976,0.13976476,0.31786445,0.35198125
2018-09-30,0.7567702,0.13971129,0.31763294,0.34787828
2018-10-03,0.75744104,0.13787173,0.31423792,0.33704117
2018-10-05,0.73602986,0.12797289,0.29632497,0.29211223
2018-10-08,0.70729184,0.11809268,0.2778175,0.25666592
2018-10-10,0.7044721,0.11794449,0.27764222,0.2566069
2018-10-13,0.6938412,0.117382705,0.27685842,0.25720632
2018-10-15,0.6846802,0.1168969,0.2760197,0.2588387
2018-10-18,0.6768578,0.116483375,0.2751789,0.26120067
2018-10-20,0.6742328,0.11634543,0.27487063,0.2622412
2018-10-23,0.7040901,0.11946802,0.27984053,0.2723857
2018-10-25,0.7201601,0.12115498,0.2823252,0.28015468
2018-10-28,0.7201601,0.12115498,0.2823252,0.28015468
2018-10-30,0.7201601,0.12115498,0.2823252,0.28015468
2018-11-02,0.7201601,0.12115498,0.2823252,0.28015468
2018-11-04,0.7201601,0.121154964,0.2823252,0.28015465
2018-11-07,,,,
2018-11-09,,,,
2018-11-12,,,,
2018-11-14,,,,
2018-11-17,0.24047884,0.06901948,0.1593008,0.17496946
2018-11-19,0.24047878,0.06901947,0.15930079,0.1749694
2018-11-22,0.24047884,0.06901948,0.1593008,0.17496946
2018-11-24,0.24047878,0.069019474,0.15930079,0.17496943
2019-01-18,,,,
2019-01-21,,,,
2019-01-23,,,,
2019-01-26,,,,
2019-01-28,,,,
2019-01-31,,,,
2019-02-02,,,,
2019-02-05,,,,
2019-02-07,,,,
2019-02-10,,,,
2019-02-12,,,,
2019-02-15,,,,
2019-02-17,,,,
2019-02-20,,,,
2019-02-22,,,,
2019-02-25,,,,
2019-02-27,,,,
2019-03-02,,,,
2019-03-04,,,,
2019-03-07,,,,
2019-03-09,,,,
2019-03-12,,,,
2019-03-14,,,,
2019-03-17,,,,
2019-03-19,,,,
2019-03-22,,,,
2019-03-24,,,,
2019-03-27,,,,
2019-03-29,,,,
2019-04-01,,,,
2019-04-03,,,,
2019-04-06,,,,
2019-04-08,,,,
2019-04-11,0.58562684,0.095182344,0.23525101,0.18022113
2019-04-13,0.5857283,0.09525625,0.23541148,0.18048394
2019-04-16,0.58581126,0.09292587,0.23128663,0.17114665
2019-04-18,0.5898564,0.09286757,0.2312936,0.16999125
2019-04-21,0.59735847,0.09287221,0.23145597,0.16840115
2019-04-23,0.6011691,0.093204886,0.23218487,0.1689501
2019-04-26,0.6061018,0.094772466,0.2353958,0.1741695
2019-04-28,0.6105554,0.09589858,0.23761551,0.1778023
2019-05-01,0.6129857,0.095500685,0.2366268,0.17638548
2019-05-03,0.61280274,0.094528705,0.23449713,0.17320679
2019-05-08,0.55792195,0.065266386,0.17400411,0.07849713
2019-05-11,0.59595716,0.0934819,0.23321143,0.17104644
2019-05-13,0.59569144,0.0939829,0.23420288,0.17309728
2019-05-16,0.5951527,0.09497271,0.23615183,0.17719294
2019-05-18,0.5947217,0.0957414,0.23765646,0.180415
2019-05-21,0.5940566,0.09689123,0.23989262,0.18530524
2019-05-23,0.59366053,0.09755684,0.24117905,0.18817596
2019-05-26,0.70982933,0.123503804,0.28936306,0.26914483
2019-05-28,0.76205313,0.13470596,0.30895212,0.30612248
2019-05-31,0.76205313,0.13470596,0.30895212,0.30612248
2019-06-02,0.76205313,0.13470596,0.30895212,0.30612248
2019-06-05,0.77068996,0.1389761,0.3166408,0.3249519
2019-06-07,0.78731924,0.1476742,0.3320761,0.36737183
2019-06-10,0.79504603,0.15193878,0.3395393,0.39084008
2019-06-12,0.79504603,0.15193878,0.3395393,0.39084008
2019-06-15,0.7957555,0.1529274,0.3413299,0.3962432
2019-06-17,0.7971279,0.15494783,0.34493768,0.40876418
2019-06-20,0.7977669,0.15594205,0.34668824,0.4157668
2019-06-22,0.7977669,0.15594205,0.34668824,0.4157668
2019-06-25,0.8040915,0.15837625,0.35084748,0.43021998
2019-06-27,0.81687057,0.16338311,0.35933182,0.46076766
2019-06-30,0.8230915,0.16586293,0.36349988,0.47528335
2019-07-02,0.8230915,0.16586293,0.36349988,0.47528335
