t,NDVI,NIRv,EVI2,PPI
2017-01-16,,,,
2017-01-26,,,,
2017-02-05,,,,
2017-02-15,0.37241325,0.098086044,0.2248741,0.20195086
2017-02-25,0.33297652,0.09575535,0.21752232,0.2022635
2017-03-07,,,,
2017-03-17,0.5315613,0.16371681,0.34633657,0.4776488
2017-03-19,0.5315613,0.16371681,0.34633657,0.4776488
2017-03-27,,,,
2017-04-01,0.7117593,0.25649944,0.4953677,1.1541662
2017-04-06,0.7117593,0.25649944,0.49536774,1.1541669
2017-04-11,0.7117593,0.25649944,0.49536774,1.1541668
2017-04-16,0.8736033,0.37261826,0.6634226,1.7470868
2017-04-21,0.8736032,0.37261826,0.6634226,1.7470855
2017-04-26,0.88184875,0.3968558,0.6932866,1.766239
2017-05-01,0.90657,0.4592431,0.7671117,1.5383618
2017-05-06,0.9135168,0.41475216,0.7189872,1.6663963
2017-05-11,0.9119115,0.37854838,0.6758286,1.7332928
2017-05-16,0.89263827,0.3402951,0.6258846,1.889499
2017-05-21,0.887971,0.3431517,0.62904745,1.932412
2017-05-26,0.87478805,0.3518602,0.63808846,1.8731515
2017-06-05,0.8438223,0.2943042,0.56019044,1.3585949
2017-06-10,0.8056626,0.2630817,0.5143093,0.96690243
2017-06-15,0.68795484,0.21031836,0.43052524,0.64612854
2017-06-20,0.37697712,0.103450164,0.23696646,0.22546767
2017-06-25,0.3617844,0.09768368,0.22641417,0.1982375
2017-06-30,0.29208365,0.08052471,0.18843162,0.13825014
2017-07-05,0.2872226,0.080979645,0.1879174,0.14362814
2017-07-10,0.25658715,0.072622105,0.16987576,0.11327368
2017-07-15,0.17157507,0.049161088,0.116888896,0.026008002
2017-07-20,0.17157508,0.04916109,0.11688891,0.026008014
2017-07-25,,,,
2017-07-30,0.1541995,0.042546947,0.10277821,0.0009616278
2017-08-04,0.1541995,0.042546947,0.10277821,0.0009616291
2017-08-09,0.16533454,0.045423903,0.109724306,0.011054831
2017-08-14,0.2022759,0.054922745,0.13226202,0.044689793
2017-08-19,0.21322857,0.05702404,0.13791849,0.051415894
2017-08-24,0.23952557,0.06048035,0.14882731,0.060762122
2017-08-29,0.1828178,0.04421526,0.11219313,0.0022899855
2017-09-03,0.15423365,0.03726888,0.09494143,-0.02232366
2017-09-08,0.17147717,0.07942559,0.1487141,0.17733537
2017-09-13,0.16508415,0.0730572,0.13955615,0.14905573
2017-09-18,0.18557811,0.041671216,0.10805397,-0.0089055095
2017-09-23,0.18744442,0.04217815,0.10927356,-0.0070959195
2017-09-28,0.18744446,0.042178158,0.10927357,-0.007095899
2017-10-03,0.397961,0.1220564,0.26512536,0.32853734
2017-10-08,0.40453148,0.12589443,0.27162522,0.3476662
2017-10-13,0.43772557,0.14656657,0.30540785,0.43400443
2017-10-18,0.47918874,0.17114271,0.34490076,0.5300743
2017-10-23,0.5407365,0.18765084,0.37689704,0.5849644
2017-10-28,0.58604103,0.22633712,0.43325052,0.80865294
2017-11-02,0.60798293,0.24539821,0.46069026,0.9563412
2017-11-07,0.65297914,0.24898013,0.47351784,0.8709697
2017-11-12,0.6536729,0.24744463,0.47162938,0.85489964
2017-11-17,0.65181607,0.24112451,0.46304885,0.79295874
2017-11-22,0.63446504,0.23414929,0.45171252,0.77147424
2017-11-27,0.64481,0.23710488,0.4566742,0.76417
2017-12-02,0.6555521,0.2405647,0.46231502,0.7733449
2017-12-07,,,,
2017-12-12,,,,
2017-12-17,,,,
2017-12-22,,,,
2017-12-27,,,,
2018-01-01,,,,
2018-01-06,,,,
2018-01-11,,,,
2018-01-16,,,,
2018-01-21,,,,
2018-01-26,,,,
2018-01-31,,,,
2018-02-05,0.53514415,0.16029751,0.33852044,0.3844754
2018-02-10,0.53409654,0.16080424,0.33901277,0.38935408
2018-02-15,0.52950823,0.16314213,0.34124312,0.3946514
2018-02-20,0.5177524,0.16028203,0.3358672,0.37767452
2018-02-25,0.48598495,0.14669621,0.3130562,0.3470551
2018-03-02,0.47558776,0.14026196,0.30227572,0.31081796
2018-03-07,0.46943378,0.13689771,0.29628238,0.29986277
2018-03-12,,,,
2018-03-17,0.5940643,0.17651626,0.37055254,0.48264256
2018-03-22,0.5940643,0.17651626,0.37055257,0.48264265
2018-03-27,0.5940643,0.17651626,0.37055257,0.48264268
2018-04-01,0.69207144,0.27027267,0.5087509,1.3636482
2018-04-06,0.69207144,0.27027267,0.5087509,1.3636483
2018-04-11,0.6920715,0.27027267,0.50875086,1.363648
2018-04-16,0.61487335,0.28452215,0.5076277,1.4936752
2018-04-21,0.6148733,0.28452212,0.5076277,1.4936738
2018-04-26,0.61487335,0.28452218,0.5076277,1.4936763
2018-05-01,0.82197064,0.38212353,0.6628952,1.0754304
2018-05-06,0.82175374,0.3784955,0.65887207,1.0666969
2018-05-11,0.8207237,0.3620448,0.64025074,1.0966191
2018-05-16,0.8160919,0.33626664,0.6093907,1.3303087
2018-05-21,0.7992555,0.2916803,0.55174696,1.5617056
2018-05-26,0.7915841,0.32157892,0.588213,1.6764244
2018-05-31,0.7884122,0.33738562,0.6064477,1.4381955
