t,NDVI,NIRv,EVI2,PPI
2017-01-10,,,,
2017-01-30,,,,
2017-02-09,,,,
2017-02-19,,,,
2017-03-01,,,,
2017-03-11,,,,
2017-03-21,,,,
2017-03-26,,,,
2017-03-31,,,,
2017-04-05,,,,
2017-04-10,,,,
2017-04-15,,,,
2017-04-20,,,,
2017-04-25,,,,
2017-04-30,,,,
2017-05-05,,,,
2017-05-10,,,,
2017-05-15,,,,
2017-05-20,0.33348212,0.085906856,0.20456186,0.14989972
2017-05-25,0.38051698,0.097120576,0.22813235,0.18644986
2017-05-30,0.488871,0.12874451,0.29025722,0.30012435
2017-06-04,0.5414573,0.14429045,0.31925794,0.35982123
2017-06-09,0.659391,0.26036426,0.49107546,1.2237298
2017-06-14,0.659391,0.26036426,0.49107546,1.2237303
2017-06-19,0.6976206,0.2719695,0.51265466,1.2913512
2017-06-24,0.8243731,0.31091097,0.580685,1.5921957
2017-06-29,0.83006525,0.3120064,0.5828563,1.6223572
2017-07-04,0.8478644,0.31551954,0.5895819,1.6613109
2017-07-09,0.84726614,0.31535143,0.58930355,1.6599277
2017-07-14,0.79684037,0.28768998,0.54821485,1.3915004
2017-07-19,0.79684037,0.28768998,0.5482148,1.3915007
2017-07-24,0.75142014,0.08665752,0.21172386,0.064955845
2017-07-29,0.7510078,0.08668679,0.21181029,0.0650909
2017-08-03,0.74961656,0.08683123,0.21218726,0.0657301
2017-08-08,0.65001786,0.09060557,0.22671421,0.09537293
2017-08-13,0.66648453,0.19085653,0.40140298,0.545825
2017-08-18,0.6615108,0.1883105,0.3972248,0.5333011
2017-08-23,0.6379403,0.17661525,0.37781242,0.4783646
2017-08-28,0.62486166,0.17038289,0.36731136,0.45062628
2017-09-02,0.56640655,0.14639276,0.325887,0.3507305
2017-09-07,0.5639727,0.14834985,0.32871586,0.36221895
2017-09-12,0.5538239,0.15734687,0.34121332,0.41806427
2017-09-17,0.5259479,0.14669053,0.32235238,0.3736432
2017-09-22,0.41694877,0.090717904,0.22253324,0.14851327
2017-09-27,0.41694877,0.090717904,0.22253324,0.14851327
2017-10-02,0.356625,0.082405165,0.20260781,0.12891704
2017-10-07,0.35433054,0.08224123,0.20206219,0.12880743
2017-10-12,0.34214082,0.08115327,0.19872528,0.12730253
2017-10-17,0.32782495,0.07873172,0.19282319,0.12060854
2017-10-22,0.32306448,0.077697955,0.19045877,0.11740138
2017-10-27,0.23102316,0.048637632,0.12909108,0.015853185
2017-11-01,0.23102312,0.04863762,0.12909107,0.015853157
2017-11-06,0.23102312,0.04863762,0.12909107,0.01585315
2017-11-11,,,,
2017-11-16,,,,
2017-11-21,,,,
2017-11-26,,,,
2017-12-01,,,,
2017-12-06,,,,
2017-12-11,,,,
2017-12-16,,,,
2017-12-21,,,,
2017-12-26,,,,
2017-12-31,,,,
2018-01-05,,,,
2018-01-10,,,,
2018-01-15,,,,
2018-01-20,,,,
2018-01-25,,,,
2018-01-30,,,,
2018-02-04,,,,
2018-02-09,,,,
2018-02-14,,,,
2018-02-19,,,,
2018-02-24,,,,
2018-03-01,,,,
2018-03-06,,,,
2018-03-11,,,,
2018-03-16,,,,
2018-03-21,,,,
2018-03-26,,,,
2018-03-31,,,,
2018-04-05,,,,
2018-04-10,,,,
2018-04-15,,,,
2018-04-20,,,,
2018-04-25,,,,
2018-04-30,,,,
2018-05-05,,,,
2018-05-10,,,,
2018-05-15,,,,
2018-05-20,,,,
2018-05-25,,,,
2018-05-30,,,,
2018-06-04,,,,
2018-06-09,0.74407697,0.24070252,0.47674242,0.90358555
2018-06-14,0.75494164,0.24631818,0.48567843,0.95292926
2018-06-19,0.7928995,0.27259722,0.5254156,1.1735674
2018-06-24,0.8120467,0.2869353,0.5465284,1.2979585
2018-06-29,0.82996404,0.3338785,0.61012036,1.7325706
2018-07-04,0.82996404,0.3338785,0.61012036,1.7325704
2018-07-09,0.8152496,0.32392874,0.59598434,1.7917099
2018-07-14,0.77206534,0.291992,0.5503939,1.5737778
2018-07-19,0.7850471,0.2812826,0.5382988,1.3104774
2018-07-24,0.7821986,0.27522102,0.52993774,1.2115474
2018-07-29,0.7728036,0.25898203,0.50720465,1.0198745
2018-08-03,0.7698746,0.25055364,0.49534222,0.9357816
2018-08-08,,,,
2018-08-13,,,,
2018-08-18,,,,
2018-08-23,0.69363755,0.19607936,0.41111687,0.559915
2018-08-28,0.6896097,0.19017221,0.40195784,0.5253509
2018-09-02,0.6682306,0.16285007,0.3580098,0.3855428
2018-09-07,0.6276136,0.1478353,0.33175832,0.3309369
2018-09-12,0.54071873,0.14209588,0.31680316,0.34335107
2018-09-17,0.44496062,0.11229411,0.26094666,0.23555069
2018-09-22,0.41841307,0.09701673,0.23361379,0.17483294
2018-09-27,0.47859162,0.114360586,0.2675651,0.23268202
2018-10-02,0.44320172,0.10966494,0.25661188,0.22352917
2018-10-07,0.41218048,0.10147546,0.24012332,0.19651617
2018-10-12,0.41275245,0.09780244,0.23408467,0.1801304
2018-10-17,0.40596533,0.09636931,0.23100573,0.17587838
2018-10-22,0.38239184,0.091306955,0.22000583,0.16075058
2018-10-27,0.3823918,0.091306955,0.22000581,0.16075058
2018-11-01,,,,
2018-11-06,,,,
2018-11-11,0.2554836,0.0631214,0.15577197,0.07037689
2018-11-16,0.2554835,0.063121386,0.15577193,0.070376836
2018-11-21,0.25548357,0.063121386,0.15577196,0.070376866
2018-11-26,,,,
2018-12-01,,,,
2018-12-06,,,,
2018-12-11,,,,
2018-12-16,,,,
2018-12-21,,,,
2018-12-26,,,,
2018-12-31,,,,
2019-01-05,,,,
2019-01-10,,,,
2019-01-15,,,,
2019-01-20,,,,
2019-01-25,,,,
2019-01-30,,,,
2019-02-04,,,,
2019-02-09,,,,
2019-02-14,,,,
2019-02-19,,,,
2019-02-24,,,,
2019-03-01,,,,
2019-03-06,,,,
2019-03-11,,,,
2019-03-16,,,,
2019-03-21,,,,
2019-03-26,,,,
2019-03-31,,,,
2019-04-05,,,,
2019-04-10,,,,
2019-04-15,,,,
2019-04-20,,,,
2019-04-25,,,,
2019-04-30,,,,
2019-05-05,,,,
2019-05-10,,,,
2019-05-15,,,,
2019-05-20,,,,
2019-05-25,0.38121367,0.0943194,0.22473939,0.1738536
2019-05-30,0.4619534,0.12164588,0.2759284,0.27785847
2019-06-04,0.4756043,0.12660883,0.28515157,0.29701176
2019-06-09,0.537977,0.15102269,0.32923293,0.39822432
2019-06-14,0.6575299,0.20650154,0.4224096,0.69818693
2019-06-19,0.6575299,0.20650154,0.4224096,0.698187
2019-06-24,0.8391502,0.31325328,0.5851528,1.5556574
2019-06-29,0.843352,0.31926024,0.59338206,1.6043749
