t,NDVI,NIRv,EVI2,PPI
2017-01-10,,,,
2017-01-30,,,,
2017-02-09,,,,
2017-02-19,0.7554526,0.118127644,0.2779366,0.33012536
2017-03-01,,,,
2017-03-11,0.7041169,0.10998362,0.26389676,0.3005398
2017-03-21,,,,
2017-03-26,,,,
2017-03-31,0.781068,0.12323277,0.2868298,0.34901112
2017-04-05,0.7762956,0.12221831,0.28508186,0.34474322
2017-04-10,0.7550256,0.11772758,0.2772459,0.32625923
2017-04-15,0.74238044,0.11692993,0.27618077,0.32646376
2017-04-20,0.7379083,0.12136671,0.28488654,0.35591054
2017-04-25,0.7379083,0.12136671,0.28488657,0.35591054
2017-04-30,,,,
2017-05-05,,,,
2017-05-10,0.724593,0.07656665,0.19325139,0.13114905
2017-05-15,0.7323179,0.08499856,0.21123257,0.16600995
2017-05-20,0.75357044,0.12491331,0.29096374,0.3748026
2017-05-25,0.7439378,0.14145459,0.32193205,0.5075576
2017-05-30,0.72729933,0.14333315,0.32559806,0.5358383
2017-06-04,0.70794594,0.13919844,0.31846833,0.50963503
2017-06-09,0.6717085,0.12520742,0.2934798,0.41604578
2017-06-14,0.71472055,0.13663086,0.3137342,0.48277053
2017-06-19,0.7176379,0.13794221,0.31599918,0.4933345
2017-06-24,0.70858246,0.13581233,0.31222904,0.48197666
2017-06-29,0.72867525,0.14157599,0.3223144,0.5206226
2017-07-04,0.73803043,0.14594217,0.33001935,0.5539729
2017-07-09,0.738502,0.14727166,0.33239245,0.56597215
2017-07-14,0.73665786,0.14894666,0.33541337,0.5822845
2017-07-19,0.72136384,0.14940168,0.3363723,0.5979133
2017-07-24,0.7328786,0.14542602,0.3292479,0.5481974
2017-07-29,0.74049586,0.14033009,0.31993258,0.49717796
2017-08-03,0.7393226,0.13862823,0.3168377,0.48415163
2017-08-08,0.7432217,0.14260618,0.32401338,0.51530313
2017-08-13,0.74462837,0.14251222,0.3238389,0.51287746
2017-08-18,0.7501045,0.14211686,0.32302836,0.50490314
2017-08-23,0.7448336,0.13900085,0.3175106,0.4811202
2017-08-28,0.72152793,0.13088457,0.30315053,0.430407
2017-09-02,0.7417962,0.1371816,0.31306458,0.48980474
2017-09-07,0.7728361,0.15039052,0.33721957,0.5713106
2017-09-12,0.7627146,0.1518223,0.340173,0.5859209
2017-09-17,0.7576593,0.14418429,0.32664442,0.5180942
2017-09-22,0.7701175,0.14347844,0.3250861,0.5024525
2017-09-27,0.7838735,0.14329523,0.32435805,0.49136466
2017-10-02,0.7824123,0.14304563,0.32398516,0.48962072
2017-10-07,0.7780833,0.14262185,0.32334456,0.48944154
2017-10-12,0.779661,0.14379592,0.32545954,0.49801692
2017-10-17,0.77743965,0.14142601,0.32118842,0.4798822
2017-10-22,0.77409196,0.14070573,0.31995034,0.47652617
2017-10-27,0.77467823,0.13974318,0.31813827,0.46918473
2017-11-01,0.7704591,0.14516571,0.32815495,0.5171013
2017-11-06,0.76793647,0.14843152,0.33407655,0.5490345
2017-11-11,0.788903,0.14160699,0.32094347,0.4811771
2017-11-16,0.7914812,0.14274272,0.32296723,0.48846406
2017-11-21,0.803073,0.14814202,0.33247325,0.5278211
2017-11-26,0.80364406,0.14985257,0.33554032,0.5449558
2017-12-01,0.8010748,0.14942351,0.33476806,0.5444476
2017-12-06,,,,
2017-12-11,0.79352796,0.14651844,0.32957345,0.5284939
2017-12-16,0.7927596,0.14625575,0.32912865,0.52681434
2017-12-21,0.7892994,0.14507319,0.32707524,0.5165546
2017-12-26,0.78749925,0.14445859,0.32597336,0.511338
2017-12-31,0.78454286,0.1367672,0.311947,0.44998085
2018-01-05,0.78454286,0.13676721,0.311947,0.44998097
2018-01-10,0.78454286,0.1367672,0.311947,0.44998085
2018-01-15,0.7406296,0.13165554,0.3039051,0.43264014
2018-01-20,0.7406297,0.13165556,0.30390516,0.43264022
2018-01-25,0.7406297,0.13165556,0.30390516,0.43264022
2018-01-30,0.8013506,0.1377808,0.3134287,0.44301724
2018-02-04,0.8016104,0.1379793,0.3138063,0.44404384
2018-02-09,0.79757595,0.13826789,0.3145639,0.44704548
2018-02-14,0.76470435,0.1344757,0.3086952,0.4355695
2018-02-19,0.7489578,0.13249323,0.30542603,0.43018907
2018-02-24,,,,
2018-03-01,,,,
2018-03-06,,,,
2018-03-11,,,,
2018-03-16,,,,
2018-03-21,0.7490817,0.13549167,0.31104517,0.44992834
2018-03-26,0.7490817,0.13549167,0.31104514,0.44992834
2018-03-31,0.7490817,0.13549167,0.31104517,0.44992834
2018-04-05,,,,
2018-04-10,0.69413906,0.12606981,0.294909,0.4079241
2018-04-15,0.70120126,0.12681995,0.29617983,0.4096555
2018-04-20,0.74006397,0.13139683,0.30379546,0.4224174
2018-04-25,0.7806531,0.13895945,0.31659096,0.45608696
2018-04-30,0.77018064,0.13839808,0.31590596,0.4579535
2018-05-05,0.7596285,0.13682479,0.31331304,0.45225015
2018-05-10,,,,
2018-05-15,0.6524293,0.13477731,0.31050882,0.50428426
2018-05-20,0.65961236,0.13379593,0.30889234,0.49060214
2018-05-25,0.6977493,0.1295813,0.30128855,0.4328006
2018-05-30,0.72253823,0.12758315,0.297112,0.40486592
2018-06-04,0.7489734,0.12766819,0.29649583,0.3929307
2018-06-09,0.7489734,0.12766819,0.29649583,0.39293066
2018-06-14,0.74559605,0.12776314,0.2967819,0.395214
2018-06-19,0.73570305,0.12808383,0.29764262,0.40263698
2018-06-24,0.73440325,0.13023633,0.3016963,0.41884342
2018-06-29,0.7324205,0.13778748,0.31548542,0.48049912
2018-07-04,0.7338446,0.13409474,0.3088535,0.4478219
2018-07-09,0.72700554,0.13069825,0.30275673,0.4255109
2018-07-14,0.71152896,0.12790875,0.29792476,0.41307655
2018-07-19,0.73584765,0.13132884,0.30369675,0.4253879
2018-07-24,0.74803764,0.13391,0.30813637,0.4383027
2018-07-29,0.75053334,0.13459884,0.30933833,0.44197258
2018-08-03,0.75246626,0.1348646,0.30974683,0.44329262
2018-08-08,0.68709457,0.14563286,0.32988128,0.58057046
2018-08-13,0.68709457,0.14563286,0.32988128,0.58057034
2018-08-18,0.7003476,0.14217634,0.32391033,0.53571117
2018-08-23,0.75603026,0.13260326,0.30559388,0.42301935
2018-08-28,0.7675084,0.13575187,0.31112963,0.43936905
2018-09-02,0.78048795,0.13853113,0.3158659,0.45281535
2018-09-07,0.78653336,0.13884497,0.3162636,0.4514394
2018-09-12,0.7878663,0.13868989,0.31591058,0.44987726
2018-09-17,,,,
2018-09-22,0.7784128,0.1451283,0.32806584,0.5064832
2018-09-27,0.7783185,0.14490333,0.32767257,0.50435215
2018-10-02,0.7778182,0.14388274,0.32582015,0.49636105
