t,NDVI,NIRv,EVI2,PPI
2017-01-07,,,,
2017-01-10,,,,
2017-01-27,,,,
2017-01-30,,,,
2017-02-06,,,,
2017-02-09,,,,
2017-02-16,,,,
2017-02-19,,,,
2017-02-26,,,,
2017-03-01,,,,
2017-03-08,,,,
2017-03-11,,,,
2017-03-18,,,,
2017-03-21,,,,
2017-03-23,,,,
2017-03-26,,,,
2017-03-28,,,,
2017-03-31,,,,
2017-04-02,,,,
2017-04-05,,,,
2017-04-07,,,,
2017-04-10,,,,
2017-04-12,,,,
2017-04-15,0.3991853,0.09625937,0.23011152,0.21284874
2017-04-17,0.39908358,0.09625526,0.23009472,0.2128823
2017-04-20,0.39888823,0.09624755,0.23006222,0.21294849
2017-04-22,0.39874113,0.09624187,0.2300375,0.21299966
2017-04-25,0.39852807,0.096233875,0.23000139,0.21307595
2017-04-27,0.39840832,0.096229486,0.22998092,0.21311995
2017-04-30,0.39808986,0.09621822,0.2299257,0.21324112
2017-05-02,,,,
2017-05-05,,,,
2017-05-07,,,,
2017-05-10,0.3563413,0.084072776,0.20483686,0.16837858
2017-05-12,0.3563413,0.08407277,0.20483686,0.16837855
2017-05-15,0.36601093,0.08893366,0.21389288,0.1886647
2017-05-17,0.37970307,0.0934495,0.22272491,0.2071542
2017-05-20,0.39926186,0.099938326,0.23522432,0.2352493
2017-05-22,0.4011944,0.10040285,0.23619364,0.2373347
2017-05-25,0.39949962,0.098787785,0.23357819,0.22908667
2017-05-27,0.40861818,0.09999836,0.23660976,0.23202291
2017-05-30,0.4449547,0.10332032,0.24562833,0.23566495
2017-06-01,0.47425312,0.10279659,0.24687807,0.22220962
2017-06-04,0.5040629,0.103236474,0.24915507,0.2142333
2017-06-06,0.53942496,0.118373334,0.27744827,0.2761588
2017-06-09,0.58986413,0.16599055,0.35705143,0.5512751
2017-06-11,0.584207,0.1712428,0.36420873,0.61411434
2017-06-14,0.5812119,0.17487557,0.3691879,0.63645774
2017-06-16,0.5966772,0.18048906,0.37901446,0.6742513
2017-06-19,0.6351167,0.188618,0.39478546,0.70382005
2017-06-21,0.65852106,0.19415168,0.40497568,0.7395783
2017-06-24,0.6926562,0.21705873,0.44084513,0.8837339
2017-06-26,0.7057895,0.23249902,0.4635567,1.0416647
2017-06-29,0.7136029,0.24032632,0.47498566,1.0878568
2017-07-01,0.71832407,0.24057153,0.4758915,1.0964613
2017-07-04,0.7284985,0.23900767,0.4750344,1.0944192
2017-07-06,0.73006773,0.23878105,0.47490513,1.0928332
2017-07-09,0.72984934,0.23898469,0.47517896,1.1038454
2017-07-11,0.7284798,0.24026236,0.4768707,1.1315216
2017-07-14,0.7196441,0.23729768,0.47196367,1.1327041
2017-07-16,0.71541125,0.23196962,0.4642068,1.0615463
2017-07-19,0.7086154,0.2215193,0.44898587,0.9600577
2017-07-21,0.7039029,0.2146253,0.43877524,0.8834803
2017-07-24,0.698631,0.20723224,0.4276697,0.8121708
2017-07-26,0.69400203,0.20100258,0.41818213,0.7515522
2017-07-29,0.6920537,0.22229485,0.44805717,0.9941663
2017-07-31,0.6920537,0.22229485,0.44805717,0.9941665
2017-08-03,0.6920537,0.22229487,0.44805717,0.9941665
2017-08-05,0.6920537,0.22229485,0.44805714,0.9941662
2017-08-08,0.6789005,0.21755007,0.44021073,0.9599888
2017-08-10,0.6495744,0.2063562,0.42160884,0.8729388
2017-08-13,0.62643766,0.19554228,0.40391245,0.78784156
2017-08-15,0.62938833,0.19452949,0.40279725,0.77287
2017-08-18,0.64158934,0.19361496,0.40274692,0.7431971
2017-08-20,0.6494347,0.19172174,0.40075263,0.7084039
2017-08-23,0.6541894,0.18868354,0.3966937,0.6701973
2017-08-25,0.6535801,0.1874847,0.39485872,0.6594393
2017-08-28,0.65114194,0.18687955,0.39374262,0.65707076
2017-08-30,0.6494167,0.18670939,0.39333558,0.65785486
2017-09-02,0.63678825,0.17348278,0.37265715,0.55475545
2017-09-04,0.6323427,0.16644503,0.36154953,0.50669956
2017-09-07,0.6291005,0.16763836,0.3631987,0.5175274
2017-09-09,0.6246024,0.16934544,0.36551252,0.5335067
2017-09-12,0.6136318,0.17296065,0.3700762,0.5714065
2017-09-14,0.60390836,0.17356718,0.37006897,0.58572024
2017-09-17,0.57061654,0.16483697,0.35386208,0.54269683
2017-09-19,0.5548806,0.15755571,0.34146497,0.49922034
2017-09-22,0.54764754,0.14949398,0.32869446,0.44731355
2017-09-24,0.5441202,0.14445125,0.32067782,0.41644913
2017-09-27,0.5245489,0.13411221,0.30278713,0.36431557
2017-09-29,0.5085447,0.12820727,0.2919716,0.3381379
2017-10-02,0.48784506,0.121420905,0.27928624,0.30857185
2017-10-04,0.47856334,0.11784342,0.27268538,0.2936359
2017-10-07,0.47226745,0.11548961,0.26831844,0.28434458
2017-10-09,0.47107834,0.115409024,0.2680562,0.2845481
2017-10-12,0.46339685,0.11384416,0.26476148,0.27947745
2017-10-14,0.4549788,0.1119515,0.26088217,0.27289248
2017-10-17,0.44012097,0.10916598,0.25486526,0.2642463
2017-10-19,0.42999166,0.107999474,0.2518246,0.26242152
2017-10-22,0.41371325,0.107429124,0.24877347,0.26686117
2017-10-24,0.40303928,0.10664414,0.24610884,0.26726812
2017-10-27,0.3936594,0.10403571,0.24091771,0.25634104
2017-10-29,0.39245754,0.10095956,0.23611362,0.2397651
2017-11-01,0.3945445,0.09927136,0.23376098,0.22986527
2017-11-03,0.39572716,0.099962,0.23496178,0.23301293
2017-11-06,0.39685512,0.1010463,0.23675814,0.23826364
2017-11-08,0.39748353,0.101660654,0.23776692,0.24127576
2017-11-11,0.39913604,0.10331117,0.24044566,0.2495084
2017-11-13,,,,
2017-11-16,,,,
2017-11-18,,,,
2017-11-21,,,,
2017-11-23,,,,
2017-11-26,,,,
2017-11-28,,,,
2017-12-01,,,,
2017-12-03,,,,
2017-12-06,,,,
2017-12-08,,,,
2017-12-11,,,,
2017-12-13,,,,
2017-12-16,,,,
2017-12-18,,,,
2017-12-21,,,,
2017-12-23,,,,
2017-12-26,,,,
2017-12-28,,,,
2017-12-31,,,,
2018-01-02,,,,
2018-01-05,,,,
2018-01-07,,,,
2018-01-10,,,,
2018-01-12,,,,
2018-01-15,,,,
2018-01-17,,,,
2018-01-20,,,,
2018-01-22,,,,
2018-01-25,,,,
2018-01-27,,,,
2018-01-30,,,,
2018-02-01,,,,
2018-02-04,,,,
2018-02-06,,,,
2018-02-09,,,,
2018-02-11,,,,
2018-02-14,,,,
2018-02-16,,,,
2018-02-19,,,,
2018-02-21,,,,
2018-02-24,,,,
2018-02-26,,,,
2018-03-01,,,,
2018-03-03,,,,
2018-03-06,,,,
2018-03-08,,,,
2018-03-11,,,,
2018-03-13,,,,
2018-03-16,,,,
2018-03-18,,,,
2018-03-21,,,,
2018-03-23,,,,
2018-03-26,,,,
2018-03-28,,,,
2018-03-31,,,,
2018-04-02,,,,
2018-04-05,,,,
2018-04-07,,,,
2018-04-10,,,,
2018-04-12,,,,
2018-04-15,,,,
2018-04-17,,,,
2018-04-20,,,,
2018-04-22,,,,
2018-04-25,,,,
2018-04-27,,,,
2018-04-30,,,,
2018-05-02,,,,
2018-05-05,,,,
2018-05-07,,,,
2018-05-10,,,,
2018-05-12,,,,
2018-05-15,,,,
2018-05-17,,,,
2018-05-20,,,,
2018-05-22,,,,
2018-05-25,,,,
2018-05-30,,,,
2018-06-01,,,,
2018-06-04,0.46128964,0.1279879,0.28636608,0.3629351
2018-06-06,0.46128964,0.1279879,0.28636608,0.36293513
2018-06-09,0.46128964,0.1279879,0.28636608,0.36293516
2018-06-11,0.46128964,0.1279879,0.28636608,0.36293516
2018-06-14,0.649753,0.18066259,0.38298705,0.5760246
2018-06-16,0.66135246,0.18628083,0.39260644,0.6028823
2018-06-19,0.6667294,0.19304271,0.4031667,0.6377539
2018-06-21,0.6664989,0.19698085,0.40900013,0.67525214
2018-06-24,0.6608466,0.2002766,0.4134278,0.7305326
2018-06-26,0.65608436,0.19990203,0.41224608,0.744075
2018-06-29,0.6676311,0.20392145,0.41929057,0.77272975
2018-07-01,0.6836556,0.20939054,0.42889526,0.79925746
2018-07-04,0.69851017,0.21520379,0.43850252,0.80905867
2018-07-06,0.70722,0.22006932,0.4461968,0.838581
2018-07-09,0.7192568,0.22968327,0.4609775,0.9437246
2018-07-11,0.7210052,0.23113878,0.46318486,0.9702263
2018-07-14,0.72312117,0.2297198,0.46142232,0.9446571
2018-07-16,0.72870815,0.22619395,0.4569753,0.9085005
2018-07-19,0.73567003,0.22197464,0.45150402,0.8804834
2018-07-21,0.7341565,0.22198807,0.45147118,0.8875015
2018-07-24,0.7216561,0.22270465,0.4516435,0.9017724
2018-07-26,0.7162848,0.22074625,0.44835854,0.89280236
2018-07-29,0.7138811,0.21318924,0.43725857,0.8186986
2018-07-31,0.7091846,0.20657866,0.42724916,0.75973177
2018-08-03,0.6923052,0.19788332,0.41314828,0.7211003
2018-08-05,0.6842134,0.19781998,0.41239598,0.73091745
2018-08-08,0.6843829,0.21274443,0.43375388,0.87783456
2018-08-10,0.6871592,0.22086908,0.44526285,0.9470439
2018-08-13,0.68280166,0.21705715,0.43962884,0.90562326
2018-08-15,0.6731697,0.20957753,0.4282578,0.83295757
2018-08-18,0.6568968,0.20343727,0.41794834,0.8129945
2018-08-20,0.6527596,0.20270693,0.41643715,0.810197
2018-08-23,0.6556516,0.2000654,0.41268134,0.76817656
2018-08-25,0.6558071,0.19353378,0.4031779,0.72412187
2018-08-28,0.6448837,0.18096972,0.3843665,0.62250733
2018-08-30,0.6368898,0.177553,0.3787643,0.59523785
2018-09-02,0.6316292,0.17403947,0.3730138,0.56994313
2018-09-04,0.63018364,0.16935115,0.3655693,0.538955
2018-09-07,0.6209286,0.15689038,0.3446149,0.46904945
2018-09-09,0.6061927,0.14795655,0.32919806,0.41876265
2018-09-12,0.5863741,0.1450624,0.3244001,0.39979726
2018-09-14,0.58119875,0.14790145,0.32896414,0.41603568
2018-09-17,0.5688788,0.14942755,0.33056685,0.43116745
2018-09-19,0.56072307,0.14663427,0.32556978,0.41829264
2018-09-22,0.5548994,0.14187841,0.3176922,0.39217606
2018-09-24,0.5537222,0.139993,0.31461698,0.3815409
2018-09-27,0.54793745,0.13719194,0.30967927,0.36825478
2018-09-29,0.53773934,0.13419674,0.30409703,0.35621583
2018-10-02,0.5171431,0.12870982,0.29370427,0.33516186
2018-10-04,0.50467795,0.12561978,0.28774032,0.3237618
2018-10-07,0.4859666,0.122369975,0.28083938,0.31440625
2018-10-09,0.47501364,0.12041084,0.27660605,0.308605
2018-10-12,0.466796,0.11833252,0.27221,0.30095235
2018-10-17,0.41528296,0.106901534,0.24870694,0.2608328
2018-10-19,0.39652836,0.10158366,0.23822996,0.24031222
2018-10-22,0.3952514,0.098257095,0.23281968,0.22388284
2018-10-24,0.38839084,0.09527813,0.22722448,0.21133788
2018-10-27,0.36780688,0.089875154,0.21603194,0.19145791
2018-10-29,0.3533687,0.08643451,0.20865956,0.179252
2018-11-01,0.31419665,0.07826767,0.19014566,0.1516867
2018-11-03,,,,
2018-11-06,,,,
2018-11-08,,,,
2018-11-11,,,,
2018-11-16,,,,
2018-11-18,,,,
2018-11-21,,,,
2018-11-23,,,,
2018-11-26,,,,
2018-11-28,,,,
2018-12-01,,,,
2018-12-03,,,,
2018-12-06,,,,
2018-12-08,,,,
2018-12-11,,,,
2018-12-13,,,,
2018-12-16,,,,
2018-12-18,,,,
2018-12-21,,,,
2018-12-23,,,,
2018-12-26,,,,
2018-12-28,,,,
2018-12-31,,,,
2019-01-02,,,,
2019-01-05,,,,
2019-01-07,,,,
2019-01-10,,,,
2019-01-12,,,,
2019-01-15,,,,
2019-01-17,,,,
2019-01-20,,,,
2019-01-22,,,,
2019-01-25,,,,
2019-01-27,,,,
2019-01-30,,,,
2019-02-01,,,,
2019-02-04,,,,
2019-02-06,,,,
2019-02-09,,,,
2019-02-11,,,,
2019-02-14,,,,
2019-02-16,,,,
2019-02-19,,,,
2019-02-21,,,,
2019-02-24,,,,
2019-02-26,,,,
2019-03-01,,,,
2019-03-03,,,,
2019-03-06,,,,
2019-03-08,,,,
2019-03-11,,,,
2019-03-13,,,,
2019-03-16,,,,
2019-03-18,,,,
2019-03-21,,,,
2019-03-23,,,,
2019-03-26,,,,
2019-03-28,,,,
2019-03-31,,,,
2019-04-02,,,,
