t,NDVI,NIRv,EVI2,PPI
2017-01-07,,,,
2017-01-10,,,,
2017-01-13,,,,
2017-01-27,0.16990922,0.016655596,0.054992147,-0.07901905
2017-01-30,0.16990925,0.0166556,0.054992154,-0.07901905
2017-02-02,0.16990925,0.0166556,0.054992154,-0.07901905
2017-02-06,0.16990927,0.016655602,0.054992165,-0.07901903
2017-02-09,,,,
2017-02-12,,,,
2017-02-16,,,,
2017-02-19,,,,
2017-02-22,,,,
2017-02-26,,,,
2017-03-01,,,,
2017-03-04,0.3312297,0.055613592,0.15190761,0.020531021
2017-03-08,0.3312297,0.055613585,0.15190761,0.020531012
2017-03-11,0.33122972,0.055613596,0.15190762,0.020531032
2017-03-14,0.33122972,0.055613592,0.15190762,0.020531027
2017-03-18,0.3431957,0.061114386,0.16363125,0.03537513
2017-03-21,0.32604066,0.0648434,0.16931672,0.049281105
2017-03-23,0.3114555,0.065524496,0.16902135,0.05371144
2017-03-24,0.30336717,0.06609216,0.16904432,0.056842875
2017-03-26,0.28924376,0.0678674,0.17006963,0.06505033
2017-03-28,0.28187373,0.07033071,0.17280264,0.07465878
2017-03-29,0.28201458,0.07184631,0.17516339,0.0798099
2017-03-31,0.29160756,0.07552458,0.18244813,0.090612754
2017-04-02,0.30949602,0.07945667,0.19143312,0.100580566
2017-04-03,0.3179659,0.08057822,0.19449839,0.10268334
2017-04-05,0.32935104,0.08112428,0.19685088,0.102365516
2017-04-07,0.33870268,0.07992866,0.1957519,0.096728414
2017-04-08,0.33640113,0.07890588,0.19355729,0.09384171
2017-04-10,0.34084043,0.07536633,0.18780966,0.08136322
2017-04-12,0.34785482,0.071749106,0.18220478,0.06849035
2017-04-13,0.3503849,0.072297215,0.18365417,0.069820814
2017-04-15,0.35684413,0.080732934,0.1984348,0.09782743
2017-04-17,0.36390185,0.08511139,0.20693207,0.11061867
2017-04-18,0.36614946,0.08824127,0.21251029,0.12050421
2017-04-20,0.36973208,0.09710746,0.22735254,0.1502222
2017-04-22,0.37225875,0.10681722,0.2423457,0.18544906
2017-04-23,0.3731545,0.1105753,0.24785294,0.19987917
2017-04-25,0.3741747,0.11506409,0.25423142,0.21776491
2017-04-27,0.37477487,0.11781085,0.25803235,0.22908436
2017-04-28,0.3907264,0.123135924,0.2683917,0.24571298
2017-04-30,0.4703125,0.15009217,0.31941393,0.33298737
2017-05-02,0.51588994,0.1635982,0.3451192,0.37558332
2017-05-03,0.51776695,0.16352564,0.34527695,0.37416354
2017-05-05,0.5229696,0.16333508,0.34566984,0.37038073
2017-05-07,0.5299862,0.16310425,0.34610695,0.36561853
2017-05-08,0.5338934,0.16298936,0.34630978,0.3631265
2017-05-10,0.54152465,0.16279387,0.34663403,0.3585661
2017-05-12,0.5477612,0.16266264,0.3468379,0.35512012
2017-05-13,0.6057557,0.18412502,0.384817,0.43324384
2017-05-15,0.7567125,0.24900845,0.4918553,0.74245155
2017-05-17,0.7823413,0.2714175,0.5252444,0.900657
2017-05-18,0.7823413,0.2714175,0.5252445,0.900657
2017-05-20,0.78422403,0.2726162,0.52705413,0.91063523
2017-05-22,0.79031336,0.27652672,0.5329405,0.9445698
2017-05-23,0.79732007,0.28109005,0.5397767,0.9873967
2017-05-25,0.8208407,0.29591718,0.56191176,1.1456116
2017-05-27,0.8411388,0.30697897,0.5785688,1.2916518
2017-05-28,0.84860885,0.30929026,0.58236134,1.3166299
2017-05-30,0.8645468,0.31151158,0.58681315,1.3019413
2017-06-01,0.8792545,0.31318238,0.5903014,1.2832013
2017-06-02,0.884437,0.31515247,0.5933467,1.3067778
2017-06-04,0.88818336,0.32169345,0.6022908,1.444295
2017-06-06,0.8874917,0.32934627,0.61211735,1.602944
2017-06-07,0.88622046,0.33212483,0.615529,1.6622949
2017-06-09,0.8847462,0.33544955,0.61956567,1.6715387
2017-06-11,0.8775123,0.34542125,0.6317042,1.9860576
2017-06-12,0.88669175,0.3385758,0.6239537,1.7562563
2017-06-14,0.896411,0.33493787,0.62054527,1.7842548
2017-06-16,0.90078026,0.33528462,0.62147015,1.780945
2017-06-17,0.9000608,0.33723995,0.6239536,1.8485987
2017-06-19,0.89866513,0.34120667,0.62896,2.00955
2017-06-21,0.89728653,0.3449936,0.6336836,2.1439762
2017-06-22,0.8967042,0.34646443,0.6354987,2.173641
2017-06-24,0.89564615,0.34821436,0.6376028,2.2269363
2017-06-26,0.89390206,0.34926987,0.63873976,2.2699194
2017-06-27,0.89164925,0.35068703,0.6402794,2.3530354
2017-06-29,0.88382655,0.35557812,0.64547217,2.47664
2017-07-01,0.8790994,0.35436758,0.6432889,2.0608299
2017-07-02,0.8783034,0.35059556,0.63836515,1.6767488
2017-07-04,0.8772511,0.33998471,0.6241827,1.3170285
2017-07-06,0.8754501,0.32795605,0.60706437,1.4485085
2017-07-07,0.8740802,0.322173,0.59839326,1.5268316
2017-07-09,0.87090766,0.31183407,0.5822659,1.5351697
2017-07-11,0.8678437,0.3025943,0.567128,1.4024233
2017-07-12,0.86068755,0.29929614,0.56280255,1.2978399
2017-07-14,0.8227017,0.29120517,0.55452216,1.1584432
2017-07-16,0.7842265,0.28087586,0.5382674,0.9877409
2017-07-17,0.7766912,0.27733672,0.53276426,0.9566814
2017-07-19,0.7717695,0.27503946,0.5291762,0.93814427
2017-07-21,0.7717695,0.27503946,0.5291762,0.93814427
2017-07-22,0.7717695,0.27503946,0.5291762,0.9381442
2017-07-24,0.7717695,0.27503946,0.5291762,0.93814427
2017-07-26,0.7717695,0.27503946,0.5291762,0.9381442
2017-07-27,0.7717695,0.2750395,0.5291762,0.9381445
2017-07-29,,,,
2017-07-31,,,,
2017-08-01,,,,
2017-08-03,,,,
2017-08-05,,,,
2017-08-06,,,,
2017-08-08,0.21457177,0.03623682,0.10402803,-0.024435619
2017-08-10,0.21457176,0.03623681,0.10402801,-0.024435626
2017-08-11,0.21457176,0.03623681,0.10402801,-0.02443564
2017-08-13,0.21457177,0.03623682,0.10402801,-0.024435624
2017-08-15,0.21457173,0.036236808,0.104027994,-0.024435647
2017-08-16,0.2146307,0.03626229,0.104083896,-0.024362966
2017-08-18,0.21487366,0.036370326,0.10431825,-0.024054024
2017-08-20,0.21556723,0.036707804,0.10502373,-0.023080193
2017-08-21,0.21594578,0.036912058,0.10543224,-0.022483712
2017-08-23,0.21633546,0.0371388,0.10587041,-0.021814724
2017-08-25,0.22307812,0.040741056,0.11323872,-0.011370809
2017-08-26,0.22307815,0.040741064,0.11323873,-0.011370796
2017-08-28,0.22307812,0.04074106,0.11323873,-0.011370801
2017-08-30,0.22307815,0.04074107,0.113238744,-0.011370776
2017-08-31,0.22307812,0.04074106,0.11323873,-0.011370797
2017-09-02,,,,
2017-09-04,,,,
2017-09-05,,,,
2017-09-07,,,,
2017-09-09,,,,
2017-09-10,,,,
2017-09-12,,,,
2017-09-14,,,,
2017-09-15,,,,
2017-09-17,,,,
2017-09-19,,,,
2017-09-20,,,,
2017-09-22,,,,
2017-09-24,,,,
2017-09-25,,,,
2017-09-27,,,,
2017-09-29,0.4237765,0.06656346,0.17731467,0.039836407
2017-09-30,0.4237765,0.06656346,0.17731467,0.0398364
2017-10-02,0.4237765,0.06656346,0.17731467,0.03983639
2017-10-04,0.4237765,0.06656346,0.17731467,0.039836403
2017-10-05,0.4237765,0.06656344,0.17731467,0.039836384
2017-10-07,0.4237765,0.06656344,0.17731467,0.039836384
2017-10-09,0.4237765,0.06656346,0.17731467,0.039836407
2017-10-10,0.4237765,0.06656346,0.17731467,0.03983639
2017-10-12,0.4237765,0.06656346,0.17731467,0.0398364
2017-10-14,,,,
2017-10-15,,,,
2017-10-17,,,,
2017-10-19,,,,
2017-10-20,,,,
2017-10-22,0.42975307,0.08134056,0.20463133,0.08311911
2017-10-24,0.42975304,0.081340544,0.20463133,0.083119094
2017-10-25,0.42975304,0.08134056,0.20463133,0.08311911
2017-10-27,0.42975304,0.08134056,0.20463133,0.08311911
2017-10-29,0.42975304,0.08134056,0.20463133,0.08311911
2017-10-30,0.43032697,0.081240594,0.20450072,0.082663596
2017-11-01,0.4327162,0.08076708,0.20385548,0.08057078
2017-11-03,0.43948895,0.07952965,0.2019952,0.075128995
2017-11-04,0.44281587,0.078962386,0.20103256,0.072696
2017-11-06,0.44353977,0.07841084,0.19995898,0.07087166
2017-11-08,0.43927622,0.0780957,0.19921085,0.070655435
2017-11-09,0.43553558,0.077839,0.19858323,0.070509225
2017-11-11,0.42431322,0.0767619,0.1960415,0.06909748
2017-11-13,0.41030583,0.07510109,0.19213258,0.06628977
2017-11-14,0.39989263,0.073913895,0.1892903,0.06438332
2017-11-16,0.3739752,0.07085648,0.18131846,0.05908793
2017-11-18,0.34358302,0.065107346,0.16567005,0.044152398
2017-11-19,0.3352538,0.06193594,0.15885794,0.034456983
2017-11-21,0.32828453,0.057901464,0.15206134,0.022498013
2017-11-23,-0.08030214,-0.03516805,-0.06446101,-0.22825524
2017-11-24,-0.08030215,-0.03516806,-0.064461015,-0.22825524
2017-11-26,-0.045127086,-0.0098336395,-0.025948144,-0.1534543
2017-11-28,-0.04721499,-0.00927546,-0.026976854,-0.15214388
2017-11-29,-0.046128858,-0.00743148,-0.024602508,-0.1468373
2017-12-01,-0.036720946,-0.004756688,-0.017588543,-0.13862139
2017-12-03,-0.035901364,-0.004673647,-0.017220678,-0.13831627
2017-12-06,-0.035143368,-0.0045770206,-0.016853258,-0.1379939
2017-12-08,-0.034762584,-0.004520251,-0.016657693,-0.13781442
2017-12-11,-0.034762565,-0.004520248,-0.016657684,-0.13781442
2017-12-13,,,,
2017-12-18,,,,
2017-12-23,,,,
2017-12-28,-0.09639775,-0.017882977,-0.058089983,-0.18093307
2018-01-02,-0.07534275,-0.015830174,-0.04802574,-0.17339727
2018-01-05,-0.06530953,-0.015045101,-0.043533564,-0.17034802
2018-01-07,-0.056482337,-0.013857774,-0.03877204,-0.16630623
2018-01-08,-0.05310774,-0.013300259,-0.03679882,-0.16447935
2018-01-10,-0.04913115,-0.012574719,-0.034379005,-0.16214013
2018-01-12,-0.04673196,-0.012102123,-0.032872774,-0.1606338
2018-01-13,-0.04673196,-0.012102126,-0.03287278,-0.16063382
2018-01-15,-0.04673193,-0.012102119,-0.032872755,-0.16063379
2018-01-17,,,,
2018-01-18,,,,
2018-01-20,0.12950082,0.014989954,0.04947005,-0.081751384
2018-01-22,0.12950084,0.014989956,0.04947006,-0.08175138
2018-01-23,0.12950087,0.01498996,0.049470074,-0.08175136
2018-01-25,0.12950087,0.014989959,0.04947007,-0.08175136
2018-01-27,0.12950087,0.01498996,0.04947007,-0.08175137
2018-01-28,0.12950088,0.014989961,0.04947008,-0.08175136
2018-01-30,0.12950084,0.014989956,0.04947006,-0.08175137
2018-02-01,0.12950084,0.014989955,0.04947006,-0.08175138
2018-02-02,0.12950087,0.01498996,0.049470074,-0.08175136
2018-02-04,0.12950084,0.014989958,0.049470063,-0.08175137
2018-02-06,,,,
2018-02-07,,,,
2018-02-09,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-14,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-19,,,,
2018-02-21,,,,
2018-02-22,,,,
2018-02-24,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-03-01,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-06,,,,
2018-03-08,,,,
2018-03-09,,,,
2018-03-11,,,,
2018-03-13,,,,
2018-03-14,,,,
2018-03-16,,,,
2018-03-18,,,,
2018-03-19,,,,
2018-03-21,0.1889517,0.028733637,0.08593738,-0.044742122
2018-03-23,0.18895175,0.028733643,0.0859374,-0.044742115
2018-03-24,0.18509477,0.028919008,0.08599436,-0.04392308
2018-03-26,0.181001,0.029141553,0.08607154,-0.04296966
2018-03-28,0.1757176,0.02946243,0.086176135,-0.041625623
2018-03-29,0.17263418,0.029673167,0.08624788,-0.040763196
2018-03-31,0.16662456,0.030150766,0.08643111,-0.038861517
2018-04-02,0.16211304,0.030597953,0.08664991,-0.03714486
2018-04-03,0.1606709,0.030788781,0.08679076,-0.036445025
2018-04-05,0.1596679,0.03124518,0.0874815,-0.03496044
2018-04-07,0.16235024,0.03228237,0.08979979,-0.03197993
2018-04-08,0.16475284,0.03297375,0.09141939,-0.030043017
2018-04-10,0.16739398,0.034183826,0.09399008,-0.02651935
2018-04-12,0.16819553,0.035099268,0.09573667,-0.023743942
