t,NDVI,NIRv,EVI2,PPI
2017-01-04,,,,
2017-01-07,,,,
2017-01-14,,,,
2017-01-24,,,,
2017-01-27,,,,
2017-02-03,,,,
2017-02-06,,,,
2017-02-13,,,,
2017-02-16,0.4658538,0.09712502,0.23736688,0.13956185
2017-02-23,,,,
2017-02-26,,,,
2017-03-05,,,,
2017-03-08,,,,
2017-03-15,,,,
2017-03-17,0.47459486,0.10550186,0.2531313,0.21100558
2017-03-18,,,,
2017-03-20,,,,
2017-03-23,0.49322927,0.10323876,0.25024873,0.20608956
2017-03-25,,,,
2017-03-28,0.4865036,0.10269324,0.24882483,0.21273978
2017-03-30,,,,
2017-04-02,0.48090136,0.104097664,0.25093734,0.2250541
2017-04-04,,,,
2017-04-07,,,,
2017-04-09,0.4790766,0.11110147,0.26270843,0.2689898
2017-04-12,,,,
2017-04-14,,,,
2017-04-17,,,,
2017-04-22,,,,
2017-04-24,0.4812981,0.1146247,0.26862893,0.30747515
2017-04-27,,,,
2017-04-29,,,,
2017-05-02,,,,
2017-05-04,,,,
2017-05-07,,,,
2017-05-09,,,,
2017-05-12,0.5128848,0.14647296,0.31992877,0.5493041
2017-05-14,,,,
2017-05-17,0.52409935,0.121466756,0.28299218,0.35282087
2017-05-19,,,,
2017-05-22,0.5431737,0.13055246,0.29923317,0.40694916
2017-05-24,,,,
2017-05-27,0.5607571,0.14294589,0.32027677,0.4835325
2017-05-29,0.5612879,0.14624137,0.32545143,0.5098901
2017-06-01,,,,
2017-06-03,0.56600994,0.15441315,0.33829758,0.57378644
2017-06-06,,,,
2017-06-08,,,,
2017-06-11,,,,
2017-06-13,0.6111712,0.18222675,0.38372216,0.8215016
2017-06-16,,,,
2017-06-18,0.6175637,0.19314064,0.39981475,0.8342827
2017-06-21,,,,
2017-06-23,,,,
2017-06-26,0.64706826,0.18416734,0.38994312,0.7760637
2017-06-28,,,,
2017-07-01,0.77451193,0.17113173,0.37427568,0.54319054
2017-07-03,,,,
2017-07-06,0.66519177,0.18657719,0.39518657,0.7571473
2017-07-08,,,,
2017-07-11,,,,
2017-07-13,,,,
2017-07-16,0.6859885,0.20804359,0.42828882,1.0163902
2017-07-18,0.6862741,0.20543598,0.42456782,0.95696706
2017-07-21,0.6884337,0.20382725,0.42241886,0.93304265
2017-07-23,,,,
2017-07-26,,,,
2017-07-28,,,,
2017-07-31,,,,
2017-08-02,0.70105606,0.19793104,0.4145601,0.83404773
2017-08-05,0.7085556,0.20403774,0.42426702,0.8741443
2017-08-07,0.7136891,0.20875861,0.4316397,0.9109973
2017-08-10,,,,
2017-08-12,,,,
2017-08-15,,,,
