t,NDVI,NIRv,EVI2,PPI
2017-01-04,,,,
2017-01-14,,,,
2017-01-24,,,,
2017-02-03,,,,
2017-02-13,,,,
2017-02-23,,,,
2017-03-05,,,,
2017-03-15,,,,
2017-03-17,,,,
2017-03-20,,,,
2017-03-25,,,,
2017-03-30,,,,
2017-04-04,,,,
2017-04-09,,,,
2017-04-14,,,,
2017-04-24,0.7421924,0.12480116,0.28931275,0.8853843
2017-04-29,,,,
2017-05-04,,,,
2017-05-09,,,,
2017-05-14,,,,
2017-05-19,0.769471,0.13609837,0.30985606,1.0010443
2017-05-24,,,,
2017-05-29,0.45802736,0.14059149,0.3048829,
2017-06-03,,,,
2017-06-08,,,,
2017-06-13,,,,
2017-06-18,,,,
2017-06-23,,,,
2017-06-28,,,,
2017-07-03,,,,
2017-07-08,,,,
2017-07-13,,,,
2017-07-18,,,,
2017-07-23,,,,
2017-07-28,0.77562153,0.14252071,0.3231245,1.4687042
2017-08-02,,,,
2017-08-07,0.8237809,0.18908939,0.40156507,1.5952774
2017-08-12,,,,
2017-08-17,,,,
2017-08-22,,,,
2017-08-27,,,,
2017-09-01,,,,
2017-09-06,,,,
2017-09-11,,,,
2017-09-16,,,,
2017-09-21,,,,
2017-09-26,,,,
2017-10-01,,,,
2017-10-06,,,,
2017-10-11,,,,
2017-10-16,0.86223674,0.13168506,0.29690394,0.5329459
2017-10-21,,,,
2017-10-26,,,,
2017-10-31,,,,
2017-11-05,,,,
2017-11-10,,,,
2017-11-15,,,,
2017-11-20,,,,
2017-11-30,,,,
2017-12-05,,,,
2017-12-10,,,,
2017-12-15,,,,
2017-12-20,,,,
2017-12-25,,,,
2017-12-30,,,,
2018-01-04,,,,
2018-01-09,,,,
2018-01-14,,,,
2018-01-19,,,,
2018-01-24,,,,
2018-01-29,,,,
2018-02-03,,,,
2018-02-08,,,,
2018-02-13,,,,
2018-02-18,,,,
2018-02-23,,,,
2018-02-28,,,,
2018-03-05,,,,
2018-03-10,,,,
2018-03-15,,,,
2018-03-20,,,,
2018-03-25,,,,
2018-03-30,0.43394247,0.07886249,0.2010543,0.43044326
2018-04-04,,,,
2018-04-09,0.7613956,0.114864364,0.26941377,0.6542489
2018-04-14,,,,
2018-04-19,0.7617021,0.119446546,0.27845913,0.7516928
2018-04-24,,,,
2018-04-29,,,,
2018-05-04,0.7450639,0.13579296,0.30981803,0.9711079
2018-05-09,,,,
2018-05-14,0.7362318,0.14863256,0.3329029,1.188143
2018-05-19,,,,
2018-05-24,,,,
2018-05-29,0.8037234,0.16927473,0.3673428,1.4334904
2018-06-03,,,,
2018-06-08,,,,
2018-06-13,,,,
2018-06-18,0.75142413,0.18703133,0.39604053,1.7693475
2018-06-23,,,,
2018-06-28,,,,
2018-07-03,0.81862926,0.17247547,0.37198576,1.4750587
2018-07-08,,,,
2018-07-13,0.80173105,0.17938048,0.38383085,1.6107515
2018-07-18,,,,
2018-07-23,,,,
2018-07-28,0.734961,0.14903438,0.33323473,1.1506746
2018-08-02,0.71259,0.14693092,0.3299905,1.1645124
2018-08-07,0.76551414,0.14842814,0.33182794,1.1031204
2018-08-12,,,,
2018-08-17,,,,
2018-08-22,0.7950804,0.15223621,0.33785456,1.0754381
2018-08-27,,,,
2018-09-01,,,,
2018-09-06,,,,
2018-09-11,,,,
2018-09-16,0.8633433,0.17042202,0.36730736,0.84606475
2018-09-21,0.8422121,0.13398612,0.30228153,0.6524497
2018-09-26,0.86578065,0.13452327,0.30196932,0.6131412
2018-10-01,,,,
2018-10-06,,,,
2018-10-11,0.8807488,0.13357379,0.29912785,0.5265054
2018-10-16,0.8220081,0.121316105,0.27860337,0.45126167
2018-10-21,,,,
2018-10-26,,,,
2018-10-31,0.9218926,0.12894921,0.28743544,0.41057834
2018-11-05,,,,
2018-11-10,0.69213206,0.113407426,0.26844352,0.4022085
2018-11-15,,,,
2018-11-20,,,,
2018-11-25,,,,
2018-11-30,,,,
2018-12-05,0.9188965,0.10660561,0.24249394,0.21457767
2018-12-10,,,,
2018-12-15,,,,
2018-12-20,,,,
2018-12-25,,,,
2018-12-30,,,,
2019-01-04,,,,
2019-01-09,,,,
2019-01-14,,,,
2019-01-19,,,,
2019-01-24,,,,
2019-01-29,,,,
2019-02-03,,,,
2019-02-08,,,,
2019-02-13,,,,
2019-02-18,,,,
2019-02-23,,,,
2019-02-28,,,,
2019-03-05,,,,
2019-03-10,,,,
2019-03-15,,,,
2019-03-20,,,,
2019-03-25,,,,
2019-03-30,0.6846785,0.116447076,0.27431875,0.7034917
2019-04-04,0.67910564,0.11208412,0.26715416,0.738661
2019-04-09,0.5926863,0.11123573,0.26452827,0.7481541
2019-04-14,,,,
2019-04-19,0.7464805,0.12258907,0.2850155,0.8148591
2019-04-24,0.75446653,0.12518954,0.28976893,0.8630338
2019-04-29,,,,
2019-05-04,,,,
2019-05-09,,,,
2019-05-14,,,,
2019-05-19,0.728159,0.13731928,0.3132791,1.1589504
2019-05-24,,,,
2019-05-29,,,,
2019-06-03,0.78368145,0.15411368,0.34196225,1.3531586
2019-06-08,,,,
2019-06-13,,,,
2019-06-18,0.79982775,0.16864932,0.3665329,1.5628955
2019-06-23,,,,
2019-06-28,,,,
2019-07-03,,,,
2019-07-08,,,,
2019-07-13,,,,
2019-07-18,0.74225414,0.16070113,0.35337204,1.4350296
2019-07-23,0.76699394,0.15399669,0.34149194,1.2013274
2019-07-28,,,,
2019-08-02,,,,
2019-08-07,,,,
2019-08-12,,,,
2019-08-17,,,,
2019-08-22,0.7954727,0.1526066,0.33880916,1.1968529
2019-08-27,0.80679435,0.1331314,0.302746,0.7729759
2019-09-01,,,,
2019-09-06,,,,
2019-09-11,,,,
2019-09-16,,,,
2019-09-21,0.8223716,0.13290697,0.3014341,0.66996837
2019-09-26,,,,
2019-10-01,0.8506067,0.12843964,0.29141906,0.5742005
2019-10-06,,,,
2019-10-11,,,,
2019-10-16,,,,
2019-10-21,,,,
2019-10-26,,,,
2019-10-31,0.8630048,0.1325482,0.29808086,0.47313172
2019-11-05,,,,
2019-11-10,0.8106884,0.1183061,0.27247098,0.36263615
2019-11-15,,,,
2019-11-20,,,,
2019-11-30,,,,
2019-12-05,0.65229136,0.09529045,0.22643344,0.18973865
2019-12-10,,,,
2019-12-15,,,,
2019-12-20,,,,
2019-12-25,,,,
2019-12-30,,,,
2020-01-04,,,,
2020-01-09,,,,
2020-01-14,,,,
2020-01-19,,,,
2020-01-24,0.78531146,0.1169971,0.26861715,0.31122643
2020-01-29,,,,
2020-02-03,,,,
2020-02-08,,,,
2020-02-13,,,,
2020-02-18,,,,
2020-02-23,,,,
2020-02-28,,,,
2020-03-04,,,,
2020-03-09,,,,
2020-03-14,0.7894931,0.12370262,0.2850223,0.6070874
2020-03-19,,,,
2020-03-24,,,,
2020-03-29,,,,
2020-04-03,,,,
2020-04-08,0.74716175,0.11517462,0.27061066,0.67950535
2020-04-13,,,,
2020-04-18,,,,
2020-04-23,0.7311466,0.11978214,0.28027686,0.7942968
2020-04-28,,,,
2020-05-03,,,,
2020-05-08,0.6764501,0.12423787,0.29041046,0.98097026
2020-05-13,,,,
2020-05-18,0.7058922,0.13022657,0.30036885,0.98845583
2020-05-23,,,,
2020-05-28,,,,
2020-06-02,0.7466938,0.14262486,0.32203513,1.0907243
2020-06-07,,,,
2020-06-12,,,,
2020-06-17,,,,
2020-06-22,0.69336015,0.15854098,0.34924322,1.3872633
2020-06-27,,,,
2020-07-02,0.80352247,0.17314577,0.37280995,1.4142723
2020-07-07,,,,
2020-07-12,,,,
2020-07-17,,,,
