t,NDVI,NIRv,EVI2,PPI
2017-01-03,,,,
2017-01-13,,,,
2017-02-02,,,,
2017-02-12,,,,
2017-02-22,,,,
2017-03-04,,,,
2017-03-14,0.81244975,0.09064151,0.21878138,0.24726944
2017-03-19,,,,
2017-03-24,,,,
2017-03-29,,,,
2017-04-03,,,,
2017-04-08,0.7059279,0.093417704,0.23006545,0.3586036
2017-04-13,,,,
2017-04-18,,,,
2017-04-23,,,,
2017-04-28,,,,
2017-05-03,,,,
2017-05-08,,,,
2017-05-13,,,,
2017-05-18,,,,
2017-05-23,0.73325837,0.12780176,0.29658598,0.8521438
2017-05-28,0.7599336,0.13488238,0.30899698,0.9601956
2017-06-02,,,,
2017-06-07,,,,
2017-06-12,,,,
2017-06-17,,,,
2017-06-22,0.74447286,0.14870054,0.3344742,1.2907901
2017-06-27,,,,
2017-07-02,,,,
2017-07-07,0.8141036,0.12827672,0.29468912,0.76873946
2017-07-12,,,,
2017-07-17,,,,
2017-07-22,,,,
2017-07-27,,,,
2017-08-01,,,,
2017-08-06,,,,
2017-08-11,,,,
2017-08-16,,,,
2017-08-21,,,,
2017-08-26,,,,
2017-08-31,,,,
2017-09-05,,,,
2017-09-10,,,,
2017-09-15,,,,
2017-09-20,0.7479355,0.12533002,0.2916278,0.64437675
2017-09-25,,,,
2017-09-30,,,,
2017-10-05,,,,
2017-10-10,,,,
2017-10-15,0.8426103,0.11126425,0.25957373,0.33817172
2017-10-20,,,,
2017-10-25,,,,
2017-10-30,,,,
2017-11-04,,,,
2017-11-09,,,,
2017-11-14,,,,
2017-11-19,,,,
2017-11-24,,,,
2017-11-29,,,,
2017-12-09,,,,
2017-12-14,,,,
2017-12-19,,,,
2017-12-24,,,,
2017-12-29,,,,
2018-01-03,,,,
2018-01-08,,,,
2018-01-13,,,,
2018-01-18,,,,
2018-01-23,,,,
2018-01-28,,,,
2018-02-02,,,,
2018-02-07,,,,
2018-02-12,,,,
2018-02-17,,,,
2018-02-22,,,,
2018-02-27,,,,
2018-03-04,,,,
2018-03-09,,,,
2018-03-14,,,,
2018-03-19,,,,
2018-03-24,,,,
2018-03-29,,,,
2018-04-03,,,,
2018-04-08,,,,
2018-04-13,,,,
2018-04-18,0.68572915,0.10413498,0.2526148,0.49819356
2018-04-23,,,,
2018-04-28,,,,
2018-05-03,,,,
2018-05-08,0.720831,0.117584296,0.277658,0.6933499
2018-05-13,,,,
2018-05-18,0.80984426,0.14323519,0.32280844,1.0514948
2018-05-23,,,,
2018-05-28,0.7609668,0.14629959,0.3300214,1.1890482
2018-06-02,,,,
2018-06-07,,,,
2018-06-12,,,,
2018-06-17,,,,
2018-06-22,,,,
2018-06-27,0.82705104,0.15107249,0.33613884,1.1189992
2018-07-02,0.8254838,0.15003723,0.33434534,1.0837586
2018-07-07,0.8092715,0.14512083,0.3260038,1.044549
2018-07-12,0.7788127,0.16656023,0.36534077,1.6062198
2018-07-17,,,,
2018-07-22,0.8056325,0.126702,0.28985703,0.7986935
2018-07-27,,,,
2018-08-01,,,,
2018-08-06,0.81966424,0.13055986,0.29859975,0.7677511
2018-08-11,,,,
2018-08-16,,,,
2018-08-21,,,,
2018-08-26,,,,
2018-08-31,,,,
2018-09-05,,,,
2018-09-10,,,,
2018-09-20,0.66570884,0.09624536,0.23743153,0.36489427
2018-09-25,,,,
2018-09-30,0.87239367,0.11492841,0.26529697,0.4063118
2018-10-05,0.86980987,0.1151842,0.26599714,0.3900549
2018-10-10,0.87154,0.109875284,0.255191,0.33066487
2018-10-15,0.8523182,0.104015306,0.24434675,0.28450146
2018-10-20,0.85609037,0.10544549,0.24700512,0.2789703
2018-10-25,,,,
2018-10-30,,,,
2018-11-04,,,,
2018-11-09,,,,
2018-11-14,0.7402976,0.10017256,0.2418239,0.2246407
2018-11-19,,,,
2018-11-24,,,,
2018-11-29,,,,
2018-12-04,,,,
2018-12-09,,,,
2018-12-14,,,,
2018-12-19,,,,
2018-12-24,,,,
2018-12-29,,,,
2019-01-03,,,,
2019-01-08,,,,
2019-01-13,,,,
2019-01-18,,,,
2019-01-23,,,,
2019-01-28,,,,
2019-02-02,,,,
2019-02-07,,,,
2019-02-12,,,,
2019-02-17,0.78703165,0.100834355,0.2412427,0.25357604
2019-02-22,,,,
2019-02-27,0.8748239,0.10089568,0.23645592,0.25448027
2019-03-04,,,,
2019-03-09,,,,
2019-03-14,,,,
2019-03-19,,,,
2019-03-24,,,,
2019-03-29,0.8181863,0.103787184,0.24586833,0.37262678
2019-04-03,,,,
2019-04-08,,,,
2019-04-13,,,,
2019-04-18,0.7768974,0.1039264,0.24839692,0.4420651
2019-04-23,,,,
2019-04-28,,,,
2019-05-03,,,,
2019-05-08,,,,
2019-05-13,,,,
2019-05-18,,,,
2019-05-23,,,,
2019-05-28,,,,
2019-06-02,0.8127958,0.14117007,0.31892553,0.9854583
2019-06-07,0.8181395,0.15329905,0.34095895,1.2869482
2019-06-12,,,,
2019-06-17,,,,
2019-06-22,,,,
2019-06-27,0.83210427,0.15441056,0.34234285,1.228156
2019-07-02,,,,
2019-07-07,,,,
2019-07-12,,,,
2019-07-17,0.81837,0.15345234,0.34134394,1.2741973
2019-07-22,,,,
2019-07-27,,,,
2019-08-01,,,,
2019-08-06,,,,
2019-08-11,,,,
2019-08-16,,,,
2019-08-21,,,,
2019-08-26,0.6907792,0.14131935,0.32208943,1.1325625
2019-08-31,0.8235454,0.1350487,0.30711222,0.78563815
2019-09-05,,,,
2019-09-10,,,,
2019-09-15,,,,
2019-09-20,,,,
2019-09-25,,,,
2019-09-30,,,,
2019-10-05,,,,
2019-10-10,,,,
2019-10-15,,,,
2019-10-20,,,,
2019-10-25,,,,
2019-10-30,,,,
2019-11-04,,,,
2019-11-09,,,,
2019-11-14,,,,
2019-11-19,,,,
2019-11-24,0.85746247,0.12108672,0.27759212,0.28437448
2019-11-29,,,,
2019-12-04,0.9370732,0.113174036,0.25708467,0.20479351
2019-12-09,,,,
2019-12-14,,,,
2019-12-19,0.8469177,0.10430728,0.24437715,0.17597382
2019-12-24,,,,
2019-12-29,,,,
2020-01-03,,,,
2020-01-08,,,,
2020-01-13,,,,
2020-01-18,,,,
2020-01-23,,,,
2020-01-28,,,,
2020-02-02,,,,
2020-02-07,,,,
2020-02-12,,,,
2020-02-17,,,,
2020-02-22,,,,
2020-02-27,,,,
