t,NDVI,NIRv,EVI2,PPI
2017-01-18,,,,
2017-01-28,,,,
2017-01-31,,,,
2017-02-07,,,,
2017-02-10,,,,
2017-02-17,,,,
2017-02-20,,,,
2017-02-27,,,,
2017-03-02,,,,
2017-03-09,,,,
2017-03-12,,,,
2017-03-19,,,,
2017-03-21,,,,
2017-03-22,,,,
2017-03-24,,,,
2017-03-27,,,,
2017-03-29,,,,
2017-04-01,,,,
2017-04-03,,,,
2017-04-06,,,,
2017-04-08,,,,
2017-04-11,,,,
2017-04-13,,,,
2017-04-16,,,,
2017-04-18,0.62563986,0.095258236,0.23570487,0.29777047
2017-04-21,0.6349886,0.1118181,0.26915622,0.4175379
2017-04-23,,,,
2017-04-26,,,,
2017-04-28,,,,
2017-05-01,0.6019171,0.09392688,0.23356828,0.31890824
2017-05-06,0.60121197,0.09485324,0.23536381,0.33299103
2017-05-08,,,,
2017-05-11,,,,
2017-05-13,0.5277254,0.09165446,0.22906536,0.35298783
2017-05-16,0.58437634,0.09244197,0.2306782,0.33390692
2017-05-18,,,,
2017-05-21,0.57635605,0.091282405,0.22842552,0.3332792
2017-05-26,,,,
2017-05-28,0.5708533,0.09574478,0.23728526,0.3777281
2017-05-31,,,,
2017-06-02,,,,
2017-06-05,,,,
2017-06-07,0.63349223,0.12674126,0.29537976,0.6928416
2017-06-10,,,,
2017-06-12,,,,
2017-06-15,0.7139118,0.13960129,0.31857792,0.80654657
2017-06-17,,,,
2017-06-20,0.6525743,0.09678429,0.23739366,0.38549986
2017-06-22,0.80987394,0.22077718,0.45376506,2.2636087
2017-06-25,,,,
2017-06-27,,,,
2017-06-30,,,,
2017-07-02,0.6246854,0.18134628,0.3814897,1.2052817
2017-07-05,,,,
2017-07-07,0.7590494,0.18349662,0.39317375,1.4931636
2017-07-10,,,,
2017-07-12,,,,
2017-07-15,0.7937488,0.17607456,0.3814148,1.3250825
2017-07-17,,,,
2017-07-20,,,,
2017-07-22,,,,
2017-07-25,,,,
2017-07-27,,,,
2017-07-30,0.7752764,0.16955887,0.37051305,1.1691846
2017-08-01,,,,
2017-08-04,,,,
2017-08-06,,,,
2017-08-09,,,,
2017-08-11,,,,
2017-08-14,0.8468008,0.1729181,0.37499592,0.98570037
2017-08-16,,,,
2017-08-19,,,,
2017-08-21,,,,
2017-08-24,,,,
2017-08-26,,,,
2017-08-29,,,,
2017-08-31,,,,
2017-09-03,0.7146198,0.10406165,0.2511555,0.3037926
2017-09-05,,,,
2017-09-08,,,,
2017-09-10,,,,
2017-09-13,,,,
2017-09-15,,,,
2017-09-18,,,,
2017-09-20,,,,
2017-09-23,,,,
2017-09-28,,,,
2017-09-30,,,,
2017-10-03,,,,
2017-10-05,,,,
2017-10-08,,,,
2017-10-10,,,,
2017-10-13,,,,
2017-10-15,,,,
2017-10-18,,,,
2017-10-20,,,,
2017-10-23,0.6183503,0.11508999,0.27264914,0.2528563
2017-10-25,,,,
2017-10-28,,,,
2017-10-30,,,,
2017-11-02,0.384127,0.046323203,0.1297864,0.038513955
2017-11-04,,,,
2017-11-07,,,,
2017-11-09,,,,
2017-11-12,,,,
2017-11-14,,,,
2017-11-17,,,,
2017-11-19,,,,
2017-11-22,,,,
2017-11-24,-0.020362515,-0.0008487639,-0.0042581884,-0.034834754
2018-01-18,,,,
2018-01-21,,,,
2018-01-23,,,,
2018-01-26,,,,
2018-01-28,,,,
2018-01-31,,,,
2018-02-02,,,,
2018-02-05,,,,
2018-02-07,,,,
2018-02-10,,,,
2018-02-12,,,,
2018-02-15,,,,
2018-02-17,,,,
2018-02-20,,,,
2018-02-22,,,,
2018-02-25,,,,
2018-02-27,,,,
2018-03-02,,,,
2018-03-04,,,,
2018-03-07,,,,
2018-03-09,,,,
2018-03-12,,,,
2018-03-14,,,,
2018-03-17,,,,
2018-03-19,,,,
2018-03-22,,,,
2018-03-24,,,,
2018-03-27,,,,
2018-03-29,,,,
2018-04-01,,,,
2018-04-03,,,,
2018-04-06,,,,
2018-04-08,,,,
2018-04-11,,,,
2018-04-13,,,,
2018-04-16,,,,
2018-04-18,,,,
2018-04-21,0.59324056,0.099655636,0.24428265,0.34578568
2018-04-23,,,,
2018-04-26,,,,
2018-04-28,,,,
2018-05-01,,,,
2018-05-03,,,,
2018-05-06,0.5725025,0.09435411,0.23497075,0.34192818
2018-05-08,0.5782392,0.09452116,0.23526978,0.34260514
2018-05-11,0.5906623,0.09495929,0.23603126,0.34525132
2018-05-13,,,,
2018-05-16,,,,
2018-05-18,,,,
2018-05-21,0.7008027,0.1396543,0.31897807,0.79083467
2018-05-23,0.7063056,0.14238775,0.3238042,0.8349946
2018-05-26,0.7238274,0.14705424,0.3319527,0.9044675
2018-05-31,0.7683464,0.16024344,0.35460964,1.0980994
2018-06-02,,,,
2018-06-05,,,,
2018-06-07,0.7506848,0.18768232,0.39940208,1.2469666
2018-06-10,,,,
2018-06-12,0.7657635,0.18924722,0.40300828,1.5577602
2018-06-15,,,,
2018-06-17,,,,
2018-06-20,,,,
2018-06-22,,,,
2018-06-25,,,,
2018-06-27,,,,
2018-06-30,,,,
2018-07-02,,,,
2018-07-05,0.7309164,0.14039567,0.31919464,0.7729726
2018-07-07,0.7740577,0.18305868,0.3925272,1.3074254
2018-07-10,,,,
2018-07-12,,,,
2018-07-15,0.7774755,0.18158236,0.39057532,1.4433223
2018-07-17,0.7557113,0.18644379,0.39854532,1.5509232
2018-07-20,,,,
2018-07-22,0.7252168,0.18691352,0.39836425,1.5809009
2018-07-25,0.709439,0.16888142,0.36787555,1.4084978
2018-07-27,0.7328344,0.1742716,0.37776038,1.3573669
2018-07-30,,,,
2018-08-01,,,,
2018-08-04,,,,
2018-08-06,,,,
2018-08-09,,,,
2018-08-11,0.78729594,0.1903358,0.40503386,1.3588368
2018-08-14,,,,
2018-08-16,,,,
2018-08-19,0.8011751,0.17462052,0.3791239,1.1235734
2018-08-21,,,,
2018-08-24,,,,
2018-08-26,,,,
2018-08-29,0.75416785,0.15481766,0.34446448,0.8379456
2018-08-31,,,,
2018-09-03,0.74822086,0.16018263,0.35444182,0.90551364
2018-09-05,,,,
2018-09-08,,,,
2018-09-10,,,,
2018-09-13,,,,
2018-09-15,,,,
2018-09-18,,,,
2018-09-20,0.6447925,0.12737978,0.2966014,0.48807415
2018-09-23,0.66204274,0.11832698,0.2801365,0.37159905
2018-09-25,0.72821695,0.1369137,0.3129946,0.4910678
2018-09-28,0.75153154,0.13882315,0.3161246,0.47867444
2018-09-30,,,,
2018-10-03,,,,
2018-10-05,,,,
2018-10-08,,,,
2018-10-10,0.71164125,0.11496736,0.27181017,0.2755993
2018-10-13,,,,
2018-10-15,0.69546074,0.11287954,0.2681754,0.25252214
2018-10-18,,,,
2018-10-20,,,,
2018-10-23,,,,
2018-10-25,,,,
2018-10-28,0.7408332,0.11214167,0.26453504,0.19830641
2018-10-30,,,,
2018-11-02,,,,
2018-11-04,,,,
2018-11-07,,,,
2018-11-09,,,,
2018-11-12,,,,
2018-11-14,,,,
2018-11-17,,,,
2018-11-19,,,,
2018-11-22,,,,
2018-11-24,0.43086606,0.07876791,0.1986844,0.09342203
2019-01-18,,,,
2019-01-21,,,,
2019-01-23,,,,
2019-01-26,,,,
2019-01-28,,,,
2019-01-31,,,,
2019-02-02,,,,
2019-02-05,,,,
2019-02-07,,,,
2019-02-10,,,,
2019-02-12,,,,
2019-02-15,,,,
2019-02-17,,,,
2019-02-20,,,,
2019-02-22,,,,
2019-02-25,,,,
2019-02-27,,,,
2019-03-02,,,,
2019-03-04,,,,
2019-03-07,,,,
2019-03-09,,,,
2019-03-12,,,,
2019-03-14,,,,
2019-03-17,,,,
2019-03-19,,,,
2019-03-22,,,,
2019-03-24,,,,
2019-03-27,,,,
2019-03-29,,,,
2019-04-01,,,,
2019-04-03,,,,
2019-04-06,,,,
2019-04-08,,,,
2019-04-11,,,,
2019-04-13,,,,
2019-04-16,0.5835244,0.092704214,0.230625,0.29031393
2019-04-18,0.59425133,0.09714184,0.23959593,0.32040894
2019-04-21,0.58799016,0.09538957,0.2364756,0.31756645
2019-04-23,0.5914005,0.09590608,0.23758684,0.32284647
2019-04-26,,,,
2019-04-28,0.5994981,0.09926439,0.24430075,0.35490993
2019-05-01,0.5679316,0.08356929,0.21343607,0.2592865
2019-05-03,,,,
2019-05-08,,,,
2019-05-11,,,,
2019-05-13,,,,
2019-05-16,0.5792346,0.09991432,0.24578404,0.3978738
2019-05-18,0.5785554,0.100815356,0.24748576,0.40798634
2019-05-21,,,,
2019-05-23,,,,
2019-05-26,,,,
2019-05-28,,,,
2019-05-31,0.75016576,0.14534312,0.32859373,0.84230804
2019-06-02,,,,
2019-06-05,,,,
2019-06-07,,,,
2019-06-10,0.7840876,0.16511154,0.36292353,1.1817163
2019-06-12,,,,
2019-06-15,,,,
2019-06-17,,,,
2019-06-20,0.7867435,0.1697815,0.37099138,1.2721143
2019-06-22,,,,
2019-06-25,,,,
2019-06-27,,,,
2019-06-30,0.81342334,0.18070088,0.3891565,1.3807406
2019-07-02,,,,
2019-07-05,,,,
2019-07-07,,,,
2019-07-10,0.8146731,0.18685935,0.39923123,1.4104433
2019-07-12,0.8185722,0.2118198,0.439578,1.6056329
2019-07-15,,,,
2019-07-17,,,,
2019-07-20,0.80774885,0.17668928,0.38241282,1.2766106
2019-07-22,,,,
2019-07-25,0.79967475,0.1748383,0.3794185,1.2283952
2019-07-27,,,,
2019-07-30,,,,
2019-08-01,0.74963415,0.19500238,0.4118379,1.6136492
2019-08-04,0.7815211,0.20483927,0.42783538,1.6485177
2019-08-06,0.7688179,0.1999296,0.42015925,1.5538008
2019-08-09,,,,
2019-08-11,,,,
2019-08-14,,,,
2019-08-16,,,,
2019-08-19,,,,
2019-08-21,,,,
2019-08-24,,,,
2019-08-26,,,,
2019-08-29,0.80405617,0.15631236,0.3469151,0.7889531
2019-08-31,,,,
2019-09-03,,,,
2019-09-05,,,,
2019-09-08,,,,
2019-09-10,0.77769876,0.15142797,0.33862767,0.68978536
2019-09-13,,,,
2019-09-15,,,,
2019-09-18,0.7151241,0.15007372,0.33704063,0.69322485
2019-09-20,,,,
2019-09-23,0.74776286,0.15716806,0.34864295,0.70637584
2019-09-25,,,,
2019-09-28,0.7564613,0.16264689,0.35939148,0.6276238
2019-09-30,,,,
2019-10-03,,,,
2019-10-05,0.2938401,0.07081894,0.15624523,0.18541162
2019-10-08,,,,
2019-10-10,,,,
2019-10-13,,,,
2019-10-15,,,,
2019-10-18,,,,
2019-10-20,,,,
2019-10-23,,,,
2019-10-25,,,,
2019-10-28,,,,
2019-10-30,0.4438884,0.088473134,0.21824798,0.17157874
2019-11-02,,,,
2019-11-04,0.56656563,0.09054978,0.22545698,0.13751595
2019-11-07,,,,
2019-11-09,,,,
2019-11-12,,,,
2019-11-14,,,,
2019-11-17,,,,
2019-11-19,,,,
2019-11-22,,,,
2019-11-24,,,,
2019-11-29,,,,
2019-12-02,,,,
2019-12-09,,,,
2019-12-12,,,,
2019-12-19,,,,
2019-12-22,,,,
2019-12-29,,,,
2020-01-01,,,,
2020-01-08,,,,
2020-01-11,,,,
2020-01-18,,,,
2020-01-21,0.5077044,0.06916789,0.18157202,0.060362123
2020-01-23,,,,
2020-01-26,,,,
2020-01-28,,,,
2020-01-31,,,,
2020-02-02,,,,
2020-02-05,,,,
2020-02-07,,,,
2020-02-10,,,,
2020-02-12,,,,
2020-02-15,,,,
2020-02-17,,,,
2020-02-20,,,,
2020-02-22,,,,
2020-02-25,0.75404596,0.105450526,0.25138023,0.19164406
2020-02-27,0.7512018,0.107059576,0.25467756,0.20436887
2020-03-01,,,,
2020-03-03,,,,
2020-03-06,,,,
2020-03-08,0.625082,0.09444918,0.23427868,0.19933407
2020-03-11,,,,
2020-03-13,,,,
2020-03-16,0.6553015,0.09552809,0.23510325,0.21896915
2020-03-18,,,,
2020-03-21,,,,
2020-03-23,,,,
2020-03-26,,,,
2020-03-28,,,,
2020-03-31,,,,
2020-04-02,0.5672903,0.09337352,0.23196998,0.28281635
2020-04-05,0.6456034,0.09812341,0.2410307,0.28468603
2020-04-07,0.64639866,0.097864725,0.240621,0.28546467
2020-04-10,0.6416525,0.09608909,0.23726484,0.28281626
2020-04-12,,,,
2020-04-15,,,,
2020-04-17,,,,
2020-04-20,,,,
2020-04-22,0.5671024,0.093296684,0.23287868,0.31514376
2020-04-25,0.57302874,0.09795884,0.242034,0.35306728
2020-04-27,,,,
2020-04-30,,,,
2020-05-02,,,,
2020-05-05,0.61749935,0.100232296,0.24587172,0.36866465
2020-05-07,,,,
2020-05-10,,,,
2020-05-12,,,,
2020-05-15,,,,
2020-05-17,,,,
2020-05-20,,,,
2020-05-22,0.60704595,0.10369626,0.25275272,0.4259146
2020-05-25,,,,
2020-05-27,,,,
2020-05-30,0.66566926,0.118411504,0.28038755,0.5430437
2020-06-01,,,,
2020-06-04,,,,
2020-06-06,,,,
2020-06-09,,,,
2020-06-11,0.7718496,0.17103955,0.37316766,1.3363272
2020-06-14,0.7840567,0.1706593,0.37247062,1.3243601
2020-06-16,,,,
2020-06-19,0.80523515,0.18201493,0.39147198,1.3920567
2020-06-21,0.80562687,0.18732132,0.40028948,1.4809225
2020-06-24,0.8035801,0.1928121,0.40930104,1.5931153
2020-06-26,0.8043371,0.1949265,0.41273794,1.5733734
2020-06-29,,,,
2020-07-01,,,,
2020-07-04,,,,
2020-07-06,0.83123046,0.20721523,0.4324768,1.5738828
2020-07-09,,,,
2020-07-11,,,,
2020-07-14,0.8134219,0.20014179,0.421157,1.5993983
2020-07-16,,,,
2020-07-19,,,,
2020-07-21,,,,
2020-07-24,,,,
2020-07-26,0.8366313,0.19997536,0.4207566,1.5025734
2020-07-29,,,,
2020-07-31,,,,
2020-08-03,,,,
2020-08-05,0.8344001,0.19785145,0.417328,1.4028817
2020-08-08,0.8346487,0.19143449,0.40679947,1.2931134
2020-08-10,0.8312632,0.18938068,0.40352604,1.2751967
2020-08-13,,,,
