t,NDVI,NIRv,EVI2,PPI
2017-02-10,,,,
2017-02-13,,,,
2017-02-16,,,,
2017-02-20,,,,
2017-02-23,,,,
2017-02-26,,,,
2017-03-02,,,,
2017-03-05,,,,
2017-03-08,,,,
2017-03-12,,,,
2017-03-15,,,,
2017-03-17,,,,
2017-03-18,,,,
2017-03-20,,,,
2017-03-22,,,,
2017-03-23,,,,
2017-03-25,,,,
2017-03-27,,,,
2017-03-28,,,,
2017-03-30,,,,
2017-04-01,,,,
2017-04-02,,,,
2017-04-04,,,,
2017-04-06,,,,
2017-04-07,,,,
2017-04-09,,,,
2017-04-11,,,,
2017-04-12,,,,
2017-04-14,,,,
2017-04-16,,,,
2017-04-17,,,,
2017-04-21,,,,
2017-04-22,,,,
2017-04-24,,,,
2017-04-26,,,,
2017-04-27,,,,
2017-04-29,,,,
2017-05-01,,,,
2017-05-02,,,,
2017-05-04,,,,
2017-05-06,,,,
2017-05-07,,,,
2017-05-09,,,,
2017-05-11,,,,
2017-05-12,,,,
2017-05-14,,,,
2017-05-16,,,,
2017-05-17,,,,
2017-05-19,,,,
2017-05-21,,,,
2017-05-22,,,,
2017-05-24,,,,
2017-05-26,,,,
2017-05-27,,,,
2017-05-29,,,,
2017-05-31,,,,
2017-06-01,,,,
2017-06-03,0.5694857,0.093736,0.23415609,0.90739566
2017-06-05,,,,
2017-06-06,,,,
2017-06-08,0.6107176,0.09828799,0.24277699,0.99201995
2017-06-10,0.61813015,0.10036718,0.24676648,1.0505111
2017-06-11,,,,
2017-06-13,,,,
2017-06-15,0.6328835,0.10147955,0.2487018,1.0404868
2017-06-16,0.63596547,0.101331964,0.24834974,1.027269
2017-06-18,,,,
2017-06-20,0.62223417,0.103978746,0.2536979,1.1465737
2017-06-21,,,,
2017-06-23,,,,
2017-06-25,,,,
2017-06-26,,,,
2017-06-28,,,,
2017-06-30,,,,
2017-07-01,,,,
2017-07-03,,,,
2017-07-05,,,,
2017-07-06,,,,
2017-07-08,,,,
2017-07-10,,,,
2017-07-11,,,,
2017-07-13,,,,
2017-07-15,,,,
2017-07-16,,,,
2017-07-18,,,,
2017-07-20,,,,
2017-07-21,,,,
2017-07-23,,,,
2017-07-25,0.7094384,0.1097495,0.2629882,1.0693192
2017-07-26,0.70951426,0.10936117,0.26222214,1.0560768
2017-07-28,0.85120034,0.17086685,0.37182838,
2017-07-30,,,,
2017-07-31,,,,
2017-08-02,,,,
2017-08-04,,,,
2017-08-05,,,,
2017-08-07,,,,
2017-08-09,,,,
2017-08-10,,,,
2017-08-12,,,,
2017-08-14,,,,
2017-08-15,,,,
2017-08-17,,,,
2017-08-19,,,,
2017-08-20,,,,
2017-08-22,,,,
2017-08-24,,,,
2017-08-25,,,,
2017-08-27,,,,
2017-08-29,,,,
2017-08-30,0.71337557,0.10223407,0.24784945,0.66538167
2017-09-01,,,,
2017-09-03,0.71942097,0.10222855,0.24813247,0.6340978
2017-09-04,0.7055536,0.10164626,0.24699403,0.64555126
2017-09-06,0.70505476,0.10234196,0.2484065,0.6413185
2017-09-08,,,,
2017-09-09,,,,
2017-09-11,,,,
2017-09-13,,,,
2017-09-14,,,,
2017-09-16,,,,
2017-09-18,,,,
2017-09-19,,,,
2017-09-21,,,,
2017-09-23,,,,
2017-09-24,,,,
2017-09-26,,,,
2017-09-28,,,,
2017-09-29,,,,
2017-10-01,,,,
2017-10-03,,,,
2017-10-04,,,,
2017-10-06,,,,
2017-10-08,,,,
2017-10-09,,,,
2017-10-11,,,,
2017-10-13,,,,
2017-10-14,,,,
2017-10-16,,,,
2017-10-18,,,,
2017-10-19,,,,
2017-10-21,,,,
2017-10-23,,,,
2017-10-24,,,,
2017-10-26,,,,
2017-10-28,,,,
2017-10-29,,,,
2018-02-10,,,,
2018-02-13,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-18,,,,
2018-02-20,,,,
2018-02-21,,,,
2018-02-23,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-28,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-05,,,,
2018-03-07,,,,
2018-03-08,,,,
2018-03-10,,,,
2018-03-12,,,,
2018-03-13,,,,
2018-03-15,,,,
2018-03-17,,,,
2018-03-18,,,,
2018-03-20,,,,
2018-03-22,,,,
2018-03-23,,,,
2018-03-25,,,,
2018-03-27,,,,
2018-03-28,,,,
2018-03-30,,,,
2018-04-01,,,,
2018-04-02,,,,
2018-04-04,,,,
2018-04-06,,,,
2018-04-07,,,,
2018-04-09,,,,
2018-04-11,,,,
2018-04-12,,,,
2018-04-14,,,,
2018-04-16,,,,
2018-04-17,,,,
2018-04-19,,,,
2018-04-21,,,,
2018-04-22,,,,
2018-04-24,,,,
2018-04-26,,,,
2018-04-27,,,,
2018-04-29,,,,
2018-05-01,,,,
2018-05-02,,,,
2018-05-04,,,,
2018-05-06,,,,
2018-05-07,,,,
2018-05-09,,,,
2018-05-11,0.44179395,0.07698747,0.19810429,0.5776141
2018-05-12,,,,
2018-05-14,,,,
2018-05-16,,,,
2018-05-17,,,,
2018-05-19,0.61599606,0.091538064,0.22903547,0.7104729
2018-05-21,,,,
2018-05-22,,,,
2018-05-24,,,,
2018-05-26,0.61952686,0.10232747,0.2504563,1.0612814
2018-05-29,,,,
2018-05-31,,,,
2018-06-01,,,,
2018-06-03,,,,
2018-06-05,,,,
2018-06-06,,,,
2018-06-08,,,,
2018-06-10,,,,
2018-06-11,,,,
2018-06-13,,,,
2018-06-15,,,,
2018-06-16,,,,
2018-06-18,,,,
2018-06-20,,,,
2018-06-21,,,,
2018-06-23,,,,
2018-06-25,,,,
2018-06-26,,,,
2018-06-28,,,,
2018-06-30,,,,
2018-07-01,0.6471033,0.09598326,0.23737648,0.7908513
2018-07-03,0.64212257,0.09701492,0.23958918,0.83045954
2018-07-05,,,,
2018-07-06,0.63347447,0.10060388,0.24703863,0.96568686
2018-07-08,0.6301695,0.09930651,0.24440016,0.945154
2018-07-10,0.6314883,0.10045659,0.24666695,0.9782877
2018-07-11,,,,
2018-07-13,0.6365244,0.101765774,0.24913484,1.0047479
2018-07-15,0.6515391,0.10687715,0.2590088,1.1371338
2018-07-16,0.6431108,0.10104341,0.24754903,0.9553087
2018-07-18,0.6374527,0.09790937,0.24155429,0.8951163
2018-07-20,0.6459283,0.100710735,0.24683544,0.93313533
2018-07-21,,,,
2018-07-23,,,,
2018-07-25,0.64108676,0.101219,0.24796043,0.94575775
2018-07-26,,,,
2018-07-28,0.64438707,0.100261725,0.24600661,0.88663524
2018-07-30,,,,
2018-07-31,0.6410648,0.09944564,0.24459863,0.83420503
2018-08-02,,,,
2018-08-04,,,,
2018-08-05,,,,
2018-08-07,,,,
2018-08-09,,,,
2018-08-10,,,,
2018-08-12,,,,
2018-08-14,,,,
2018-08-15,,,,
2018-08-17,,,,
2018-08-19,,,,
2018-08-20,,,,
2018-08-22,0.69442666,0.10343247,0.2509242,0.7644411
2018-08-24,,,,
2018-08-25,,,,
2018-08-27,,,,
2018-08-29,0.6692457,0.10405514,0.25289202,0.7812527
2018-08-30,,,,
2018-09-01,0.6611491,0.09924939,0.24346758,0.66878116
2018-09-03,0.6593487,0.09636163,0.23768166,0.59168684
2018-09-04,,,,
2018-09-06,,,,
2018-09-08,0.6885974,0.098521404,0.24151167,0.58294654
2018-09-09,0.6837504,0.09429113,0.23274973,0.5076815
2018-09-11,,,,
2018-09-13,,,,
2018-09-14,,,,
2018-09-16,,,,
2018-09-18,0.7512406,0.107154205,0.2563315,0.5963212
2018-09-19,,,,
2018-09-21,0.7498769,0.103097275,0.24801792,0.5165738
2018-09-23,,,,
2018-09-24,,,,
2018-09-26,,,,
2018-09-28,0.6966784,0.08731729,0.21762227,0.31289965
2018-09-29,0.6132703,0.090959534,0.22804826,0.39180183
2018-10-01,,,,
2018-10-03,,,,
2018-10-04,0.7609219,0.092703015,0.22600274,0.30983064
2018-10-06,,,,
2018-10-08,,,,
2018-10-09,,,,
2018-10-11,,,,
2018-10-13,,,,
2018-10-14,,,,
2018-10-16,0.72744346,0.08477895,0.21029726,0.21258697
2018-10-18,,,,
2018-10-19,,,,
2018-10-21,,,,
