t,NDVI,NIRv,EVI2,PPI
2017-01-16,,,,
2017-01-26,,,,
2017-02-05,,,,
2017-02-15,0.38442805,0.0965911,0.22438139,0.16081506
2017-02-25,0.3420318,0.095058076,0.21825886,0.17935148
2017-03-07,,,,
2017-03-17,0.53207153,0.1634552,0.34604827,0.50884205
2017-03-19,,,,
2017-03-27,,,,
2017-04-01,,,,
2017-04-06,0.7070764,0.26423666,0.50451136,1.5218408
2017-04-11,,,,
2017-04-16,,,,
2017-04-21,0.8699234,0.3949788,0.68894815,1.9633678
2017-04-26,,,,
2017-05-01,0.9040586,0.49729285,0.8062527,0.98678094
2017-05-06,0.91012895,0.4493523,0.7572019,1.8802518
2017-05-11,,,,
2017-05-16,0.88799113,0.3721108,0.6650334,2.2750757
2017-05-21,,,,
2017-05-26,0.8690335,0.387293,0.679673,1.738808
2017-06-05,0.8363159,0.32482287,0.59903324,2.2842064
2017-06-10,0.7963846,0.28999928,0.5495588,2.0125134
2017-06-15,,,,
2017-06-20,0.35423025,0.10859362,0.23998696,0.37842765
2017-06-25,0.3319797,0.10101846,0.22532947,0.31370097
2017-06-30,,,,
2017-07-05,0.26367167,0.08261729,0.18465823,0.2153802
2017-07-10,,,,
2017-07-15,0.14793098,0.046940327,0.10717312,0.036674622
2017-07-20,,,,
2017-07-25,,,,
2017-07-30,,,,
2017-08-04,0.13430844,0.04027324,0.09413684,0.006270866
2017-08-09,,,,
2017-08-14,0.18529783,0.05399784,0.12673476,0.065719046
2017-08-19,,,,
2017-08-24,0.22582993,0.060355656,0.14582112,0.085736535
2017-08-29,0.17054896,0.043349486,0.108207226,0.010704544
2017-09-03,,,,
2017-09-08,0.17622587,0.08846715,0.16001223,0.25800854
2017-09-13,0.108438835,0.028366592,0.07106065,-0.047757823
2017-09-18,,,,
2017-09-23,0.1856718,0.042052895,0.10873689,0.0007811493
2017-09-28,,,,
2017-10-03,,,,
2017-10-08,0.4091554,0.12486389,0.2711228,0.33495724
2017-10-13,0.4440046,0.14467035,0.30421758,0.3915124
2017-10-18,0.4864958,0.16813482,0.34265655,0.4657683
2017-10-23,0.5486648,0.18326356,0.37259007,0.48193637
2017-10-28,0.5945692,0.21979828,0.4269814,0.6443257
2017-11-02,,,,
2017-11-07,0.6627718,0.23910092,0.4628098,0.62049764
2017-11-12,,,,
2017-11-17,0.66418785,0.22955453,0.45012197,0.5170656
2017-11-22,0.64869857,0.22227728,0.4387091,0.4869059
2017-11-27,0.6600484,0.22397141,0.44202068,0.45405823
2017-12-02,,,,
2017-12-07,,,,
2017-12-12,,,,
2017-12-17,,,,
2017-12-22,,,,
2017-12-27,,,,
2018-01-01,,,,
2018-01-06,,,,
2018-01-11,,,,
2018-01-16,,,,
2018-01-21,,,,
2018-01-26,,,,
2018-01-31,,,,
2018-02-05,,,,
2018-02-10,0.54580814,0.15573297,0.3332236,0.2860369
2018-02-15,0.539694,0.15854996,0.3361586,0.305811
2018-02-20,,,,
2018-02-25,0.49376282,0.14384724,0.31016302,0.28998896
2018-03-02,0.48208922,0.13799044,0.29995677,0.27685446
2018-03-07,,,,
2018-03-12,,,,
2018-03-17,,,,
2018-03-22,0.59287643,0.17737974,0.37165162,0.52655154
2018-03-27,,,,
2018-04-01,,,,
2018-04-06,0.6872207,0.27823982,0.5174135,1.5551941
2018-04-11,,,,
2018-04-16,,,,
2018-04-21,0.6050033,0.2979812,0.5182719,1.3328003
2018-04-26,,,,
2018-05-01,,,,
2018-05-06,0.81520694,0.40839764,0.68983805,1.2234678
2018-05-11,0.81373197,0.39271298,0.6730563,1.2265573
2018-05-16,,,,
2018-05-21,0.79072607,0.31861937,0.58449537,1.7337328
2018-05-26,0.78253853,0.35225245,0.6223976,1.5857346
2018-05-31,,,,
2018-06-05,,,,
2018-06-10,,,,
2018-06-15,,,,
2018-06-20,0.45342436,0.11045574,0.2567638,0.32539466
2018-06-25,0.4241228,0.10397654,0.24382368,0.29707664
2018-06-30,0.3930005,0.12269978,0.26758868,0.43084025
2018-07-05,,,,
2018-07-10,,,,
2018-07-15,,,,
2018-07-20,,,,
2018-07-25,0.20409733,0.064615004,0.14347085,0.1083438
2018-07-30,0.2004194,0.06286345,0.14168082,0.12765492
2018-08-04,0.19965765,0.06070848,0.13963968,0.10449884
2018-08-09,,,,
2018-08-14,,,,
2018-08-19,0.31316406,0.095737636,0.21361819,0.26395395
2018-08-24,,,,
2018-08-29,,,,
2018-09-03,0.3916387,0.12743331,0.27171245,0.43150088
2018-09-08,0.43993354,0.13956168,0.2970809,0.46981895
2018-09-13,,,,
2018-09-18,,,,
2018-09-23,0.13636032,0.03219303,0.08323864,-0.03344475
2018-09-28,0.14104961,0.034100715,0.08740156,-0.024985233
2018-10-03,0.14167911,0.03452409,0.08812442,-0.022465186
2018-10-08,,,,
2018-10-13,0.17009373,0.043488838,0.10651314,0.012061306
2018-10-18,,,,
2018-10-23,0.19831902,0.040076688,0.10908966,-0.006739859
2018-10-28,,,,
2018-11-02,,,,
2018-11-07,,,,
