t,NDVI,NIRv,EVI2,PPI
2017-01-10,,,,
2017-01-30,,,,
2017-02-09,,,,
2017-02-19,0.7605958,0.11438795,0.2704173,0.26163396
2017-03-01,,,,
2017-03-11,0.70572776,0.10901389,0.26193938,0.29282483
2017-03-21,,,,
2017-03-26,,,,
2017-03-31,,,,
2017-04-05,0.77234876,0.12621306,0.29291135,0.42931476
2017-04-10,0.74976957,0.1224556,0.28657088,0.42252755
2017-04-15,,,,
2017-04-20,0.730434,0.12801008,0.2976798,0.49709833
2017-04-25,,,,
2017-04-30,,,,
2017-05-05,,,,
2017-05-10,,,,
2017-05-15,0.7212159,0.092131734,0.22682586,0.26444027
2017-05-20,0.74279046,0.13612099,0.31222594,0.61345214
2017-05-25,0.7324368,0.15453081,0.34519818,0.8773605
2017-05-30,0.7148624,0.15678626,0.34908003,0.95291007
2017-06-04,,,,
2017-06-09,0.65678823,0.1367315,0.31413242,0.7052154
2017-06-14,0.7013361,0.1498581,0.33715647,0.8539745
2017-06-19,0.70436925,0.15134329,0.33965617,0.8761005
2017-06-24,0.69504124,0.14881651,0.33521375,0.84410155
2017-06-29,0.71604264,0.15522881,0.34629652,0.925002
2017-07-04,0.72595096,0.15988101,0.354303,0.98575014
2017-07-09,,,,
2017-07-14,0.7250748,0.1624001,0.35861558,1.0210135
2017-07-19,0.7095984,0.16222163,0.35819992,1.0439315
2017-07-24,0.7219457,0.15749183,0.35030586,0.9200894
2017-07-29,0.7302925,0.15146361,0.33984414,0.8085149
2017-08-03,,,,
2017-08-08,0.63932425,0.13776757,0.31607,0.6832671
2017-08-13,0.73626006,0.15169087,0.3402469,0.77597475
2017-08-18,0.742552,0.15048046,0.33807683,0.74388313
2017-08-23,,,,
2017-08-28,0.7148817,0.136749,0.31398296,0.5797834
2017-09-02,0.73549956,0.14229035,0.322252,0.6489633
2017-09-07,0.76883686,0.1553004,0.34598577,0.73315775
2017-09-12,0.73329866,0.15806857,0.35170367,0.7780121
2017-09-17,0.75530195,0.14668757,0.33119193,0.60426515
2017-09-22,,,,
2017-09-27,0.7835801,0.14363253,0.3249834,0.51957715
2017-10-02,,,,
2017-10-07,0.7797445,0.1408488,0.3200444,0.4677728
2017-10-12,0.78227025,0.14102857,0.3203129,0.451798
2017-10-17,0.7809087,0.1379232,0.31462166,0.41425192
2017-10-22,0.77827686,0.1366633,0.31235605,0.39232078
2017-10-27,0.77956325,0.13515322,0.30947596,0.36805636
2017-11-01,0.7762008,0.13980447,0.31821173,0.38528576
2017-11-06,,,,
2017-11-11,,,,
2017-11-16,0.7990765,0.13548297,0.30923313,0.31324095
2017-11-21,0.8110719,0.13985531,0.31695282,0.32079408
2017-11-26,0.8123641,0.14082764,0.3186946,0.31552395
2017-12-01,,,,
2017-12-06,,,,
2017-12-11,,,,
2017-12-16,0.80420625,0.13577366,0.30938748,0.27100915
2017-12-21,0.80113935,0.13454637,0.30719808,0.26452643
2017-12-26,,,,
2017-12-31,,,,
2018-01-05,0.79611135,0.12723462,0.29353598,0.23747107
2018-01-10,,,,
2018-01-15,,,,
2018-01-20,0.75192684,0.124144144,0.289443,0.25357777
2018-01-25,,,,
2018-01-30,,,,
2018-02-04,0.80816644,0.13146521,0.30128095,0.29869136
2018-02-09,0.80346745,0.13240147,0.3033186,0.3166834
2018-02-14,0.770555,0.1295506,0.2992652,0.32598487
2018-02-19,,,,
2018-02-24,,,,
2018-03-01,,,,
2018-03-06,,,,
2018-03-11,,,,
2018-03-16,,,,
2018-03-21,,,,
2018-03-26,0.7469791,0.13750227,0.3147923,0.5129763
2018-03-31,,,,
2018-04-05,,,,
2018-04-10,,,,
2018-04-15,0.69392973,0.13257843,0.3068476,0.55294925
2018-04-20,0.73268914,0.13856286,0.31713188,0.59431463
2018-04-25,0.7735741,0.14780556,0.3329337,0.67062396
2018-04-30,0.7621187,0.14805718,0.3336673,0.6945028
2018-05-05,,,,
2018-05-10,,,,
2018-05-15,,,,
2018-05-20,0.6456004,0.14471015,0.32750952,0.81130064
2018-05-25,0.6845549,0.14103475,0.32192615,0.7189265
2018-05-30,,,,
2018-06-04,,,,
2018-06-09,0.73703355,0.14029664,0.32013416,0.66838187
2018-06-14,,,,
2018-06-19,0.72313917,0.14072365,0.32109314,0.6883813
2018-06-24,,,,
2018-06-29,0.71131456,0.1513817,0.33966175,0.8612656
2018-07-04,0.72158116,0.14684972,0.33199617,0.7654216
2018-07-09,0.71472394,0.14276738,0.3248524,0.71407926
2018-07-14,0.69900036,0.13920318,0.3186297,0.6809086
2018-07-19,0.7245657,0.14276524,0.32473204,0.69674194
2018-07-24,0.7376046,0.14519168,0.3288597,0.7106577
2018-07-29,0.7406335,0.14540163,0.32918414,0.70457095
2018-08-03,,,,
2018-08-08,,,,
2018-08-13,0.6771404,0.15454046,0.34488818,0.8862099
2018-08-18,,,,
2018-08-23,0.7492873,0.13964929,0.31876868,0.58990115
2018-08-28,0.76177126,0.14212774,0.3230138,0.5945247
2018-09-02,0.77576077,0.1441511,0.32632738,0.5932266
2018-09-07,0.78269535,0.14348431,0.32493025,0.5690902
2018-09-12,,,,
2018-09-17,,,,
2018-09-22,,,,
2018-09-27,0.77798,0.14528671,0.32837868,0.53417575
2018-10-02,0.778451,0.14318883,0.3245354,0.50028557
2018-10-07,,,,
2018-10-12,,,,
2018-10-17,,,,
2018-10-22,,,,
2018-10-27,,,,
2018-11-01,,,,
2018-11-06,,,,
2018-11-11,,,,
2018-11-16,,,,
2018-11-21,,,,
2018-11-26,,,,
2018-12-01,,,,
2018-12-06,0.8257472,0.12832165,0.2943041,0.2387522
2018-12-11,0.82885796,0.12929921,0.29600894,0.23766641
2018-12-16,,,,
2018-12-21,,,,
2018-12-26,,,,
2018-12-31,0.782658,0.13075855,0.30082464,0.25315088
2019-01-05,0.8041697,0.13333657,0.3048404,0.26130414
2019-01-10,0.8202781,0.13534364,0.307937,0.27011964
2019-01-15,0.82332057,0.13646166,0.3099676,0.28015143
2019-01-20,,,,
2019-01-25,0.82910156,0.13796116,0.31259686,0.30240574
2019-01-30,0.8292318,0.13737978,0.31156233,0.30931482
2019-02-04,0.8236608,0.13460201,0.306607,0.30810994
2019-02-09,,,,
2019-02-14,0.82063586,0.13557845,0.3086308,0.33959663
2019-02-19,,,,
2019-02-24,0.7963923,0.13232116,0.3035852,0.35717466
2019-03-01,0.7973393,0.13240206,0.30371103,0.37131244
2019-03-06,,,,
2019-03-11,0.7963071,0.13857533,0.31539062,0.4430355
2019-03-16,0.7968007,0.14276963,0.32313457,0.49073127
2019-03-21,0.7912568,0.14270309,0.32317185,0.5089996
2019-03-26,,,,
