t,NDVI,NIRv,EVI2,PPI
2017-01-16,,,,
2017-01-26,0.4987292,0.07410059,0.19410926,0.03686951
2017-02-05,,,,
2017-02-15,0.53570896,0.075017974,0.19603372,0.042214435
2017-02-25,0.45221233,0.07203039,0.18980314,0.04933924
2017-03-07,,,,
2017-03-17,,,,
2017-03-19,,,,
2017-03-27,0.47820422,0.09168486,0.22856879,0.13148166
2017-04-01,,,,
2017-04-06,,,,
2017-04-11,,,,
2017-04-16,,,,
2017-04-21,0.8400609,0.27329865,0.53129214,1.2244658
2017-04-26,,,,
2017-05-01,,,,
2017-05-06,,,,
2017-05-11,,,,
2017-05-16,0.9278784,0.4415061,0.75215024,2.6658168
2017-05-21,0.9287195,0.43991125,0.75070375,2.68155
2017-05-26,0.9319218,0.41563556,0.7234589,2.79447
2017-06-05,,,,
2017-06-10,,,,
2017-06-15,,,,
2017-06-20,0.9685746,0.42227527,0.7367024,2.801659
2017-06-25,,,,
2017-06-30,,,,
2017-07-05,,,,
2017-07-10,,,,
2017-07-15,,,,
2017-07-20,,,,
2017-07-25,,,,
2017-07-30,,,,
2017-08-04,,,,
2017-08-09,,,,
2017-08-14,0.9078749,0.33551762,0.62082636,1.9464296
2017-08-19,0.8998884,0.3474774,0.6353967,2.0107915
2017-08-24,,,,
2017-08-29,0.8380514,0.28492743,0.54760766,1.3627247
2017-09-03,,,,
2017-09-08,,,,
2017-09-13,,,,
2017-09-18,,,,
2017-09-23,,,,
2017-09-28,,,,
2017-10-03,0.8062265,0.26278108,0.5123545,0.8932457
2017-10-08,,,,
2017-10-13,0.8215459,0.2012162,0.41799968,0.4485227
2017-10-18,,,,
2017-10-23,,,,
2017-10-28,,,,
2017-11-02,,,,
2017-11-07,0.71727973,0.16012289,0.35217866,0.23678167
2017-11-12,,,,
2017-11-17,,,,
2017-11-22,0.63951844,0.1045257,0.25297412,0.08402052
2017-11-27,,,,
2017-12-02,0.17059483,0.03511024,0.09328861,-0.017658265
2017-12-07,,,,
2017-12-12,,,,
2017-12-17,0.6592318,0.059655033,0.15652503,-0.0021299627
2017-12-22,,,,
2017-12-27,,,,
2018-01-01,,,,
2018-01-06,,,,
2018-01-11,,,,
2018-01-16,,,,
2018-01-21,,,,
2018-01-26,,,,
2018-01-31,,,,
2018-02-05,,,,
2018-02-10,0.2403553,0.059115775,0.14783573,0.03547451
2018-02-15,,,,
2018-02-20,,,,
2018-02-25,0.4962932,0.081177354,0.2087442,0.06888668
2018-03-02,,,,
2018-03-07,,,,
2018-03-12,,,,
2018-03-17,,,,
2018-03-22,,,,
2018-03-27,,,,
2018-04-01,,,,
2018-04-06,0.48955497,0.09308949,0.2315356,0.14248347
2018-04-11,,,,
2018-04-16,,,,
2018-04-21,,,,
2018-04-26,,,,
2018-05-01,,,,
2018-05-06,0.89839524,0.37873036,0.6746583,2.5493932
2018-05-11,0.9026185,0.39145714,0.690318,2.5466535
2018-05-16,0.8660002,0.40082484,0.69312364,1.8882755
2018-05-21,,,,
2018-05-26,,,,
2018-05-31,,,,
2018-06-05,,,,
2018-06-10,,,,
2018-06-15,,,,
2018-06-20,0.969405,0.3990982,0.70841837,2.7357883
2018-06-25,0.96654445,0.39709154,0.7056716,2.7070572
2018-06-30,0.9172817,0.36760372,0.6634612,2.6111171
2018-07-05,,,,
2018-07-10,0.9003564,0.3457286,0.6338881,2.387522
2018-07-15,0.87078786,0.33087945,0.6118369,2.2516418
2018-07-20,,,,
2018-07-25,0.8601025,0.30812827,0.58097905,1.8604419
2018-07-30,,,,
2018-08-04,0.8897803,0.31026942,0.5861018,1.7457509
2018-08-09,,,,
2018-08-14,,,,
2018-08-19,0.86754537,0.27957854,0.5422354,1.252714
2018-08-24,,,,
2018-08-29,,,,
2018-09-03,,,,
2018-09-08,,,,
2018-09-13,,,,
2018-09-18,0.7538162,0.19547279,0.4091284,0.5561327
2018-09-23,,,,
2018-09-28,,,,
2018-10-03,,,,
2018-10-08,0.8649793,0.2580069,0.50951385,0.7742487
2018-10-13,0.8296466,0.24124338,0.4837953,0.65211
2018-10-18,0.80540395,0.22926566,0.465064,0.5699727
2018-10-23,,,,
2018-10-28,,,,
2018-11-02,,,,
2018-11-07,,,,
2018-11-12,,,,
2018-11-17,0.5569751,0.11264714,0.26736885,0.11999054
2018-11-22,,,,
2018-11-27,,,,
2018-12-02,,,,
2018-12-07,,,,
2018-12-12,0.5762711,0.07573461,0.19656232,0.028257107
2018-12-17,,,,
2018-12-22,,,,
2018-12-27,,,,
2019-01-01,,,,
2019-01-06,,,,
2019-01-11,,,,
2019-01-16,,,,
2019-01-21,0.38405493,0.08074726,0.19764137,0.062679775
2019-01-26,,,,
2019-01-31,,,,
2019-02-05,0.52553004,0.07329879,0.19238122,0.035577174
2019-02-10,,,,
2019-02-15,0.51262283,0.07622913,0.19867665,0.047847204
2019-02-20,,,,
2019-02-25,0.47221264,0.073911674,0.19384722,0.05171856
2019-03-02,,,,
2019-03-07,,,,
2019-03-12,,,,
2019-03-17,,,,
2019-03-22,0.44307238,0.080700606,0.20653175,0.093408644
2019-03-27,0.3972386,0.08258584,0.20607069,0.114947364
2019-04-01,0.44404855,0.091250256,0.22572432,0.14247409
2019-04-06,,,,
2019-04-11,0.62594676,0.14374155,0.32495618,0.3329506
2019-04-16,,,,
2019-04-21,,,,
2019-04-26,0.85864776,0.36331457,0.6490659,2.086402
2019-05-01,0.8410053,0.34528723,0.6257394,2.2766037
2019-05-06,0.8693972,0.36645454,0.6554163,2.4150603
2019-05-11,,,,
2019-05-16,0.9065184,0.38786677,0.6827264,1.7877021
2019-05-26,0.9155898,0.43231398,0.7397196,2.4285116
2019-05-31,,,,
2019-06-05,,,,
2019-06-15,,,,
2019-06-20,,,,
2019-06-25,0.9366417,0.39111522,0.695096,2.8658226
2019-06-30,0.93838054,0.38794905,0.69138306,2.8111222
2019-07-05,,,,
2019-07-10,0.91136855,0.3577372,0.65054816,2.610027
2019-07-15,,,,
2019-07-20,,,,
2019-07-25,0.85439694,0.32152918,0.59809583,2.148638
2019-07-30,,,,
2019-08-04,0.8940279,0.34002534,0.62584454,2.1505375
2019-08-09,,,,
2019-08-14,,,,
2019-08-19,,,,
2019-08-24,,,,
2019-08-29,,,,
2019-09-03,0.8942084,0.317281,0.5954448,1.6462868
2019-09-08,,,,
2019-09-13,,,,
2019-09-18,0.8918666,0.30075344,0.57246065,1.3072162
2019-09-28,,,,
2019-10-03,,,,
2019-10-08,,,,
2019-10-13,0.86068475,0.2573128,0.5084945,0.7432941
2019-10-18,,,,
2019-10-23,,,,
2019-10-28,,,,
2019-11-02,,,,
2019-11-07,,,,
2019-11-12,,,,
2019-11-17,0.6540415,0.15369919,0.33993626,0.21566285
2019-11-22,,,,
2019-11-27,,,,
2019-12-02,0.59935963,0.079654336,0.20429015,0.034833487
2019-12-07,,,,
2019-12-12,,,,
2019-12-17,,,,
2019-12-22,,,,
2019-12-27,,,,
2020-01-01,,,,
2020-01-06,0.5873051,0.07284175,0.19004877,0.022688534
2020-01-11,,,,
2020-01-16,0.58119637,0.07248021,0.18949912,0.023813516
2020-01-21,0.5819309,0.075104624,0.1951649,0.029485933
2020-01-26,,,,
2020-01-31,,,,
2020-02-05,,,,
2020-02-10,,,,
2020-02-15,,,,
2020-02-20,,,,
2020-02-25,,,,
2020-03-01,,,,
2020-03-06,,,,
2020-03-11,,,,
2020-03-16,,,,
2020-03-21,,,,
2020-03-26,0.48925343,0.08874786,0.22341509,0.1171196
2020-03-31,,,,
2020-04-05,0.5907183,0.1220551,0.28674626,0.23643164
2020-04-10,0.71050054,0.18140738,0.38909885,0.49560934
2020-04-15,0.8414576,0.27611867,0.5356235,1.2160541
2020-04-20,0.8849689,0.33806446,0.622107,1.9843786
2020-04-25,,,,
2020-04-30,,,,
2020-05-05,,,,
2020-05-10,,,,
2020-05-15,0.92096335,0.39608434,0.6988413,2.7576928
2020-05-20,0.92452407,0.392436,0.6950185,2.8173633
2020-05-25,,,,
2020-05-30,0.93418413,0.40242958,0.70830923,2.8553011
2020-06-04,,,,
2020-06-09,,,,
2020-06-14,,,,
2020-06-19,,,,
2020-06-24,0.93921334,0.4008393,0.7071086,2.78162
2020-06-29,,,,
2020-07-04,,,,
2020-07-09,0.87934124,0.36926997,0.6606672,2.7583356
2020-07-14,0.7165042,0.32404616,0.5778818,2.727858
2020-07-19,,,,
2020-07-24,,,,
2020-07-29,,,,
2020-08-03,,,,
2020-08-08,0.85952127,0.30911586,0.5819983,1.8293914
2020-08-13,,,,
2020-08-18,,,,
2020-08-23,0.8920315,0.3501646,0.6381352,2.0759661
2020-08-28,,,,
2020-09-02,,,,
2020-09-07,0.8809426,0.29217407,0.5601574,1.3273662
2020-09-12,0.8504249,0.28434795,0.547381,1.2338935
2020-09-17,0.8319501,0.26625943,0.5208804,1.0138665
2020-09-22,0.8372322,0.26467535,0.51884514,0.9587543
2020-09-27,,,,
2020-10-02,,,,
2020-10-07,,,,
2020-10-12,,,,
2020-10-17,,,,
2020-10-27,,,,
2020-11-01,,,,
2020-11-06,0.7683615,0.19859916,0.41512614,0.3630447
2020-11-11,,,,
2020-11-16,,,,
2020-11-21,0.6382873,0.12698844,0.29402897,0.13740489
2020-11-26,0.6293554,0.11903997,0.2799634,0.11485528
2020-12-01,,,,
2020-12-06,,,,
2020-12-11,,,,
2020-12-16,,,,
2020-12-21,,,,
2020-12-26,0.59354115,0.073985584,0.19228807,0.023550421
2020-12-31,,,,
2021-01-05,,,,
2021-01-10,0.5918549,0.07523177,0.19513902,0.026907295
2021-01-15,,,,
2021-01-20,,,,
2021-01-25,,,,
2021-01-30,,,,
2021-02-04,,,,
2021-02-09,,,,
2021-02-14,0.2803252,0.066274814,0.16563863,0.052586105
2021-02-19,,,,
2021-02-24,0.3959192,0.06712388,0.17831731,0.042697296
2021-03-01,0.43725276,0.07307332,0.19159997,0.056553774
2021-03-06,0.4647729,0.07774427,0.2015391,0.069382995
2021-03-11,,,,
2021-03-16,,,,
2021-03-21,,,,
2021-03-26,,,,
2021-03-31,0.48831,0.09325856,0.23185243,0.1388258
2021-04-05,,,,
2021-04-10,,,,
2021-04-15,,,,
2021-04-20,,,,
2021-04-25,0.75197643,0.20488784,0.42708388,0.66149664
2021-04-30,0.5937114,0.19029438,0.3932746,0.6895979
2021-05-05,,,,
2021-05-10,,,,
2021-05-15,,,,
2021-05-20,,,,
2021-05-25,,,,
2021-05-30,0.9231911,0.39926323,0.7029523,2.8607774
2021-06-04,,,,
2021-06-09,0.91897583,0.34918326,0.6403117,2.4370544
2021-06-14,0.9383611,0.38276058,0.6850243,2.817703
2021-06-19,0.9389705,0.39652833,0.7021576,2.9306538
2021-06-24,,,,
2021-06-29,,,,
2021-07-04,,,,
2021-07-09,,,,
2021-07-14,,,,
2021-07-19,0.8889343,0.32147285,0.60143274,2.0744202
2021-07-24,,,,
2021-07-29,,,,
2021-08-03,,,,
2021-08-08,0.9032252,0.35614946,0.6472367,2.2595208
2021-08-13,0.8828225,0.31712466,0.5948735,1.8691417
2021-08-18,,,,
2021-08-23,,,,
2021-08-28,0.7250217,0.13538651,0.3081125,0.28043273
2021-09-02,0.85759044,0.24408045,0.4898993,0.8280233
2021-09-07,0.883785,0.2892919,0.55655724,1.2582577
2021-09-12,,,,
2021-09-17,0.8907029,0.2832407,0.5479155,1.1111336
2021-09-22,0.9026271,0.2780456,0.5407818,1.0002348
2021-09-27,,,,
2021-10-02,,,,
2021-10-07,,,,
2021-10-12,,,,
2021-10-17,,,,
2021-10-22,0.84969246,0.23194416,0.47005907,0.53045344
2021-10-27,0.81209946,0.21036749,0.43636224,0.41758728
2021-11-01,,,,
2021-11-06,0.71966696,0.1540948,0.3423355,0.21618426
2021-11-11,,,,
2021-11-16,,,,
2021-11-21,,,,
2021-11-26,,,,
2021-12-01,0.4230247,0.08886547,0.21818766,0.07172272
2021-12-06,,,,
2021-12-11,,,,
2021-12-16,,,,
2021-12-21,0.5999707,0.0768684,0.19840193,0.027637452
2021-12-26,,,,
2021-12-31,0.5968858,0.0676943,0.17845629,0.013345208
2022-01-05,0.56146085,0.06765275,0.17948402,0.01587889
2022-01-10,,,,
2022-01-15,0.56618315,0.06936243,0.18301477,0.019452887
2022-01-20,,,,
2022-01-25,,,,
2022-01-30,0.5519448,0.06816124,0.18091343,0.02072535
2022-02-04,,,,
2022-02-09,0.5504268,0.07400859,0.19359523,0.035942435
2022-02-14,,,,
2022-02-19,0.49778327,0.07724611,0.20083652,0.054425728
2022-02-24,0.3678562,0.06300925,0.16916606,0.03422451
2022-03-01,,,,
2022-03-06,0.47138035,0.08021857,0.2065156,0.07593602
2022-03-11,,,,
2022-03-16,,,,
2022-03-21,0.4377421,0.07587732,0.1971587,0.07639647
2022-03-26,0.45356423,0.0815196,0.2085877,0.09706763
2022-03-31,,,,
2022-04-05,,,,
2022-04-10,,,,
2022-04-15,0.70510715,0.19582462,0.41057283,0.6032281
2022-04-20,0.7883685,0.26467234,0.51606005,1.1855904
2022-04-25,,,,
2022-04-30,,,,
2022-05-05,,,,
2022-05-10,,,,
2022-05-15,0.90123045,0.37739703,0.673542,2.665998
2022-05-20,,,,
2022-05-25,,,,
2022-05-30,,,,
2022-06-04,0.9419268,0.38528255,0.68844134,2.68822
2022-06-09,,,,
2022-06-14,,,,
2022-06-19,0.89756507,0.3628176,0.65535414,2.727497
2022-06-24,,,,
2022-06-29,,,,
2022-07-04,0.9232614,0.37093145,0.66841185,2.6671214
2022-07-09,0.8903733,0.36545384,0.65744525,2.2930305
2022-07-14,,,,
2022-07-19,0.8881144,0.33838108,0.62334013,2.3075247
2022-07-24,0.9019881,0.33372727,0.6186649,2.1882412
2022-07-29,0.8984733,0.33067852,0.6143628,2.1366012
2022-08-03,0.90922034,0.32680967,0.6100173,2.0263019
2022-08-08,0.9079778,0.3215348,0.60285676,1.9062443
2022-08-13,0.9033347,0.3149775,0.59356314,1.7747371
2022-08-18,0.869775,0.2945063,0.5635168,1.4507431
2022-08-23,,,,
2022-08-28,,,,
2022-09-02,,,,
2022-09-07,,,,
2022-09-12,,,,
2022-09-22,0.90505,0.2848624,0.55074525,1.0793494
2022-09-27,,,,
2022-10-02,,,,
2022-10-07,0.8157859,0.25897324,0.5102094,0.8061852
2022-10-12,0.7174923,0.22191167,0.44678912,0.6252639
2022-10-17,,,,
2022-10-22,,,,
2022-10-27,,,,
2022-11-01,0.8386467,0.24026328,0.48202205,0.54366595
2022-11-06,,,,
2022-11-11,,,,
2022-11-16,,,,
2022-11-21,,,,
2022-11-26,,,,
2022-12-01,,,,
2022-12-06,,,,
2022-12-11,,,,
2022-12-16,,,,
2022-12-21,,,,
2022-12-26,,,,
2022-12-31,,,,
2023-01-05,,,,
2023-01-10,,,,
2023-01-15,0.49783877,0.08087449,0.20702213,0.046627864
2023-01-20,,,,
2023-01-25,,,,
2023-01-30,,,,
2023-02-04,,,,
2023-02-09,0.4955418,0.080764905,0.2078893,0.0580419
2023-02-14,0.50156486,0.07975793,0.20595069,0.05757449
2023-02-19,,,,
2023-02-24,,,,
2023-03-01,,,,
2023-03-06,,,,
2023-03-11,,,,
2023-03-16,,,,
2023-03-21,,,,
2023-03-26,,,,
