t,NDVI,NIRv,EVI2,PPI
2017-01-03,,,,
2017-01-10,,,,
2017-01-13,,,,
2017-01-30,,,,
2017-02-02,,,,
2017-02-09,,,,
2017-02-12,,,,
2017-02-19,0.5449765,0.0950807,0.23653261,0.081602804
2017-02-22,,,,
2017-03-01,,,,
2017-03-04,,,,
2017-03-11,0.5058183,0.09513168,0.23591371,0.10638335
2017-03-14,,,,
2017-03-21,,,,
2017-03-24,,,,
2017-03-26,0.4706172,0.09219244,0.2292409,0.116757184
2017-03-29,,,,
2017-03-31,,,,
2017-04-03,0.4867575,0.111584626,0.2638752,0.19937699
2017-04-05,0.5035184,0.113205954,0.26778746,0.201546
2017-04-08,0.5137673,0.11211472,0.26646987,0.19857265
2017-04-10,0.499491,0.10708408,0.2572594,0.18187158
2017-04-13,,,,
2017-04-15,,,,
2017-04-18,,,,
2017-04-20,,,,
2017-04-23,0.61460537,0.14984047,0.33415803,0.35813078
2017-04-25,,,,
2017-04-28,0.6382785,0.16356674,0.35728034,0.4303277
2017-04-30,0.6567871,0.16669664,0.36338905,0.4355004
2017-05-03,,,,
2017-05-05,,,,
2017-05-08,,,,
2017-05-10,0.85696644,0.29254934,0.55988085,1.3254977
2017-05-13,,,,
2017-05-15,,,,
2017-05-18,,,,
2017-05-20,,,,
2017-05-23,,,,
2017-05-25,,,,
2017-05-28,,,,
2017-05-30,,,,
2017-06-02,,,,
2017-06-04,0.9292711,0.46856457,0.783057,2.564582
2017-06-07,,,,
2017-06-09,,,,
2017-06-12,0.9245473,0.4060039,0.711639,2.510013
2017-06-14,0.8928151,0.39337555,0.6917325,2.3494775
2017-06-17,,,,
2017-06-19,0.9330046,0.4310062,0.7421684,2.5845952
2017-06-22,,,,
2017-06-24,,,,
2017-06-27,,,,
2017-06-29,0.8444877,0.42675808,0.7176827,2.9524622
2017-07-02,,,,
2017-07-04,,,,
2017-07-07,,,,
2017-07-09,,,,
2017-07-12,,,,
2017-07-14,,,,
2017-07-17,0.8890565,0.38015142,0.67558897,2.785793
2017-07-19,0.88402253,0.37642172,0.6703855,2.7715204
2017-07-22,,,,
2017-07-24,,,,
2017-07-27,,,,
2017-07-29,0.9237186,0.37764362,0.67716473,2.7423234
2017-08-01,,,,
2017-08-03,,,,
2017-08-06,,,,
2017-08-08,,,,
2017-08-11,,,,
2017-08-13,,,,
2017-08-16,,,,
2017-08-18,,,,
2017-08-21,0.72010463,0.2755288,0.52224517,1.2454132
2017-08-23,0.75547683,0.28558064,0.5402019,1.2916828
2017-08-26,,,,
2017-08-28,0.8598848,0.31740016,0.59360015,1.5365441
2017-08-31,,,,
2017-09-02,0.82037723,0.3339527,0.6093747,2.1269658
2017-09-05,,,,
2017-09-07,,,,
2017-09-10,0.8058106,0.32308617,0.5924533,1.8076472
2017-09-12,0.82964945,0.30950752,0.5771103,1.3331195
2017-09-15,0.8628402,0.33235672,0.6120571,1.7175368
2017-09-17,0.8947349,0.36959434,0.6638839,2.4210136
2017-09-20,,,,
2017-09-22,0.8749839,0.29338104,0.5621867,1.013264
2017-09-25,0.8814972,0.29185206,0.56056404,0.9650863
2017-09-27,0.88391525,0.29349512,0.56300575,0.9560495
2017-09-30,,,,
2017-10-02,,,,
2017-10-05,0.6082206,0.25364262,0.4738674,0.9287965
2017-10-07,,,,
2017-10-10,,,,
2017-10-12,,,,
2017-10-15,0.79672366,0.23205508,0.4700114,0.51594573
2017-10-17,,,,
2017-10-20,,,,
2017-10-22,,,,
2017-10-25,0.6288248,0.16520764,0.3577384,0.28022924
2017-10-27,,,,
2017-10-30,0.5308083,0.15496546,0.3312089,0.26090968
2017-11-01,0.54044366,0.1572056,0.33575302,0.25811598
2017-11-04,,,,
2017-11-06,,,,
2017-11-09,,,,
2017-11-11,,,,
2017-11-14,0.0283914,0.018105995,0.028451921,-0.058947857
2017-11-16,,,,
2017-11-19,0.42189807,0.0900039,0.21269362,0.067956105
2017-11-21,,,,
2017-11-24,,,,
2017-11-26,,,,
2017-11-29,,,,
2017-12-01,,,,
2017-12-06,,,,
2017-12-09,,,,
2017-12-11,,,,
2017-12-14,,,,
2017-12-16,,,,
2017-12-19,,,,
2017-12-21,,,,
2017-12-24,,,,
2017-12-26,,,,
2017-12-29,,,,
2017-12-31,,,,
2018-01-03,,,,
2018-01-05,,,,
2018-01-08,,,,
2018-01-10,,,,
2018-01-13,,,,
2018-01-15,,,,
2018-01-18,,,,
2018-01-20,,,,
2018-01-23,,,,
2018-01-25,,,,
2018-01-28,,,,
2018-01-30,,,,
2018-02-02,,,,
2018-02-04,,,,
2018-02-07,,,,
2018-02-09,,,,
2018-02-12,,,,
2018-02-14,0.58059233,0.10485668,0.25542185,0.095892824
2018-02-17,,,,
2018-02-19,,,,
2018-02-22,,,,
2018-02-24,0.49343064,0.09830394,0.24124098,0.103599444
2018-02-27,,,,
2018-03-01,,,,
2018-03-04,0.50817686,0.091453396,0.22912431,0.08897902
2018-03-06,,,,
2018-03-09,,,,
2018-03-11,,,,
2018-03-14,0.5073454,0.09018236,0.22657903,0.09337918
2018-03-16,,,,
2018-03-19,,,,
2018-03-21,,,,
2018-03-24,0.49421725,0.09537803,0.2358259,0.12255258
2018-03-26,,,,
2018-03-29,,,,
2018-03-31,,,,
2018-04-03,,,,
2018-04-05,,,,
2018-04-08,,,,
2018-04-10,,,,
2018-04-13,,,,
2018-04-15,0.54370755,0.13057207,0.29902324,0.27809152
2018-04-18,0.5710073,0.13764606,0.3123561,0.30740052
2018-04-20,,,,
2018-04-23,,,,
2018-04-25,,,,
2018-04-28,,,,
2018-04-30,,,,
2018-05-03,,,,
2018-05-05,0.88982004,0.39015645,0.68751657,2.409694
2018-05-08,0.8953055,0.3917187,0.69023687,2.4208264
2018-05-10,,,,
2018-05-13,,,,
2018-05-15,,,,
2018-05-18,0.91161835,0.39076516,0.6916308,2.589911
2018-05-20,,,,
2018-05-23,,,,
2018-05-25,0.9151448,0.4013673,0.7047923,2.448304
2018-05-28,,,,
2018-05-30,0.91796404,0.4114511,0.7171053,2.42249
2018-06-02,,,,
2018-06-04,,,,
2018-06-07,,,,
2018-06-09,,,,
2018-06-12,,,,
2018-06-14,,,,
2018-06-17,,,,
2018-06-19,,,,
2018-06-22,,,,
2018-06-24,,,,
2018-06-27,0.92907804,0.38475418,0.6867084,2.8952186
2018-06-29,,,,
2018-07-02,0.8995847,0.3572911,0.6490874,2.8299441
2018-07-04,,,,
2018-07-07,0.8909082,0.39876664,0.69759774,2.106223
2018-07-09,0.90378374,0.3852556,0.68395454,2.894229
2018-07-12,,,,
2018-07-14,0.8857069,0.3752649,0.6693788,2.9957836
2018-07-17,0.8761272,0.3562966,0.64491063,2.8728113
2018-07-19,0.87623644,0.35008574,0.63725847,2.6610346
2018-07-22,,,,
2018-07-24,0.8793506,0.34809145,0.6351495,2.552339
2018-07-27,,,,
2018-07-29,0.7841727,0.2954133,0.5564677,1.5054544
2018-08-01,,,,
2018-08-03,0.85358095,0.30736157,0.57990986,1.4881872
2018-08-06,0.8631878,0.3059985,0.5789991,1.4399631
2018-08-08,,,,
2018-08-11,,,,
2018-08-13,,,,
2018-08-16,0.8786172,0.30837503,0.5834006,1.3995192
2018-08-18,0.8729816,0.30736846,0.5815995,1.3783207
2018-08-21,,,,
2018-08-23,0.86170924,0.3117631,0.58631575,1.4776125
2018-08-26,0.864485,0.31574804,0.5918094,1.5373518
2018-08-28,0.8629983,0.31564,0.59157974,1.503124
2018-08-31,,,,
2018-09-02,,,,
2018-09-05,0.8856756,0.30094603,0.57365054,1.1811949
2018-09-07,,,,
2018-09-10,,,,
2018-09-12,0.88407254,0.29514053,0.56547517,1.0686854
2018-09-17,0.8872259,0.2965126,0.5675449,1.0468659
2018-09-20,0.8853817,0.2934655,0.56317127,1.0067632
2018-09-22,0.8858608,0.30012783,0.57259697,1.0477933
2018-09-25,0.90052354,0.29927257,0.5720252,1.0114946
2018-09-27,0.9041782,0.29986972,0.5730555,0.990317
2018-09-30,0.89967644,0.2947729,0.56569767,0.9325163
2018-10-02,,,,
2018-10-05,0.89182985,0.27934664,0.5433346,0.78254914
2018-10-07,0.82907605,0.23410852,0.4750472,0.532399
2018-10-10,0.8690561,0.26874584,0.52708477,0.6998246
2018-10-12,0.85929483,0.26361114,0.5192725,0.6574823
2018-10-15,0.8424218,0.2536163,0.50403154,0.5987591
2018-10-17,,,,
2018-10-20,0.8037751,0.23746401,0.4785266,0.51509476
2018-10-22,0.7993258,0.23550235,0.4753486,0.49572036
2018-10-25,,,,
2018-10-27,,,,
2018-10-30,,,,
2018-11-01,,,,
2018-11-04,,,,
2018-11-06,,,,
2018-11-09,,,,
