t,NDVI,NIRv,EVI2,PPI
2017-01-01,0.63823694,0.107286006,0.26018852,0.20699799
2017-01-11,,,,
2017-01-31,,,,
2017-02-10,,,,
2017-02-20,,,,
2017-03-02,,,,
2017-03-12,,,,
2017-03-22,,,,
2017-03-27,,,,
2017-04-01,,,,
2017-04-06,,,,
2017-04-11,,,,
2017-04-16,,,,
2017-04-21,,,,
2017-04-26,,,,
2017-05-01,,,,
2017-05-06,,,,
2017-05-11,,,,
2017-05-16,,,,
2017-05-21,,,,
2017-05-31,,,,
2017-06-05,,,,
2017-06-10,,,,
2017-06-15,,,,
2017-06-20,,,,
2017-06-25,,,,
2017-06-30,,,,
2017-07-05,,,,
2017-07-10,,,,
2017-07-15,,,,
2017-07-20,,,,
2017-07-25,,,,
2017-07-30,,,,
2017-08-04,,,,
2017-08-09,,,,
2017-08-14,,,,
2017-08-19,,,,
2017-08-24,,,,
2017-08-29,,,,
2017-09-03,,,,
2017-09-08,,,,
2017-09-13,0.59631884,0.13763283,0.31394142,1.1440353
2017-09-18,0.6165091,0.12517664,0.29303813,0.812989
2017-09-23,,,,
2017-09-28,,,,
2017-10-03,,,,
2017-10-08,,,,
2017-10-13,,,,
2017-10-18,,,,
2017-10-23,,,,
2017-10-28,,,,
2017-11-02,,,,
2017-11-07,0.6404314,0.11316657,0.27136716,0.33140743
2017-11-12,,,,
2017-11-17,,,,
2017-11-22,,,,
2017-11-27,,,,
2017-12-02,,,,
2017-12-07,,,,
2017-12-12,,,,
2017-12-17,,,,
2017-12-22,,,,
2017-12-27,,,,
2018-01-01,,,,
2018-01-06,0.5915762,0.107887626,0.2615422,0.23148912
2018-01-11,,,,
2018-01-16,,,,
2018-01-21,,,,
2018-01-26,,,,
2018-01-31,,,,
2018-02-05,,,,
2018-02-10,,,,
2018-02-15,0.61704457,0.10904497,0.26371855,0.3478185
2018-02-20,,,,
2018-02-25,0.56803334,0.099534124,0.24549414,0.33560675
2018-03-02,,,,
2018-03-07,0.48923486,0.10732946,0.2560737,0.5252583
2018-03-12,,,,
2018-03-17,,,,
2018-03-22,,,,
2018-03-27,,,,
2018-04-01,,,,
2018-04-06,,,,
2018-04-11,,,,
2018-04-16,,,,
2018-04-21,0.5328142,0.093990564,0.23438454,0.48539224
2018-04-26,,,,
2018-05-01,,,,
2018-05-06,0.50678706,0.08591815,0.21833736,0.43577155
2018-05-11,,,,
2018-05-16,0.5303563,0.1018935,0.24895798,0.6473772
2018-05-21,,,,
2018-05-26,,,,
2018-05-31,,,,
2018-06-05,,,,
2018-06-10,,,,
2018-06-15,,,,
2018-06-20,,,,
2018-06-25,0.5354664,0.116174445,0.2745921,0.94227934
2018-06-30,,,,
2018-07-05,,,,
2018-07-10,0.57813203,0.11272342,0.26984894,0.79621595
2018-07-15,,,,
2018-07-20,,,,
2018-07-25,,,,
2018-07-30,,,,
2018-08-04,,,,
2018-08-09,,,,
2018-08-14,,,,
2018-08-19,,,,
2018-08-24,,,,
2018-08-29,,,,
2018-09-03,,,,
2018-09-08,,,,
2018-09-13,,,,
2018-09-18,,,,
2018-09-23,,,,
2018-09-28,,,,
2018-10-03,,,,
2018-10-08,,,,
2018-10-13,,,,
2018-10-18,0.6219511,0.116138734,0.27691224,0.46709806
2018-10-23,,,,
2018-10-28,0.6379374,0.11673024,0.2780339,0.41130438
2018-11-02,,,,
2018-11-07,,,,
2018-11-12,,,,
2018-11-17,,,,
2018-11-22,,,,
2018-11-27,,,,
2018-12-02,,,,
2018-12-07,0.61615825,0.100817315,0.24803907,0.1882398
2018-12-12,,,,
2018-12-17,,,,
2018-12-22,,,,
2018-12-27,,,,
2019-01-01,,,,
2019-01-06,,,,
2019-01-11,,,,
2019-01-16,,,,
2019-01-21,,,,
2019-01-26,,,,
2019-01-31,,,,
2019-02-05,,,,
2019-02-10,0.54754114,0.10775597,0.25857663,0.39737096
2019-02-15,,,,
2019-02-20,,,,
2019-02-25,,,,
2019-03-02,,,,
2019-03-07,,,,
2019-03-12,,,,
2019-03-17,,,,
2019-03-22,,,,
2019-03-27,0.498498,0.103774205,0.247701,0.7720974
2019-04-01,,,,
2019-04-06,,,,
2019-04-11,,,,
2019-04-16,,,,
2019-04-21,0.54597235,0.09321633,0.23295966,0.4673008
2019-04-26,,,,
2019-05-01,,,,
2019-05-06,,,,
2019-05-11,,,,
2019-05-16,,,,
2019-05-21,,,,
2019-05-26,,,,
2019-05-31,,,,
2019-06-05,,,,
2019-06-10,,,,
2019-06-15,,,,
2019-06-20,,,,
2019-06-25,,,,
2019-06-30,,,,
2019-07-05,,,,
2019-07-10,,,,
2019-07-15,,,,
2019-07-20,,,,
2019-07-25,,,,
2019-07-30,,,,
2019-08-04,0.58385795,0.15376638,0.33710182,1.6530449
2019-08-09,,,,
2019-08-14,,,,
2019-08-19,,,,
2019-08-24,,,,
2019-08-29,,,,
2019-09-03,,,,
2019-09-08,,,,
2019-09-13,,,,
2019-09-18,0.63240194,0.11575753,0.27601463,0.6084454
2019-09-23,,,,
2019-09-28,,,,
2019-10-03,,,,
2019-10-08,,,,
2019-10-13,,,,
2019-10-18,,,,
2019-10-23,,,,
2019-10-28,0.6367764,0.10502688,0.25574067,0.31348434
2019-11-02,,,,
2019-11-07,,,,
2019-11-12,0.5678921,0.110323496,0.26571935,0.33554602
2019-11-17,0.48839742,0.10103848,0.24543475,0.2966855
2019-11-22,,,,
2019-11-27,,,,
2019-12-02,,,,
2019-12-07,,,,
2019-12-12,,,,
2019-12-17,0.47917148,0.12022428,0.27135944,0.3884464
2019-12-22,0.62667245,0.0994936,0.2453496,0.16957194
2019-12-27,,,,
2020-01-01,,,,
2020-01-06,,,,
2020-01-11,,,,
2020-01-16,,,,
2020-01-21,,,,
2020-01-26,,,,
2020-01-31,,,,
2020-02-05,,,,
2020-02-10,,,,
2020-02-15,,,,
2020-02-20,0.64346135,0.11513605,0.27499554,0.41186076
2020-02-25,,,,
2020-03-01,,,,
2020-03-06,,,,
2020-03-11,,,,
2020-03-16,,,,
2020-03-21,,,,
2020-03-26,0.48820442,0.0905663,0.22703792,0.40421808
2020-03-31,,,,
2020-04-05,,,,
2020-04-10,,,,
2020-04-15,0.5466429,0.09555568,0.23749079,0.47925246
2020-04-20,0.54077774,0.096744604,0.23968956,0.511266
2020-04-25,0.5259744,0.09802299,0.24181503,0.5541262
2020-04-30,,,,
2020-05-05,,,,
2020-05-10,,,,
2020-05-15,,,,
2020-05-20,,,,
2020-05-25,,,,
2020-05-30,,,,
2020-06-04,,,,
2020-06-09,,,,
2020-06-14,0.5129702,0.12094059,0.2804311,1.0847785
2020-06-19,,,,
2020-06-24,,,,
2020-06-29,,,,
2020-07-04,,,,
2020-07-09,,,,
2020-07-14,,,,
2020-07-19,,,,
2020-07-24,,,,
2020-07-29,,,,
2020-08-03,,,,
2020-08-08,,,,
2020-08-13,,,,
2020-08-18,0.6116741,0.12190903,0.28724235,0.86065525
2020-08-23,,,,
2020-08-28,,,,
2020-09-02,,,,
2020-09-07,,,,
2020-09-12,,,,
2020-09-17,,,,
2020-09-22,,,,
2020-09-27,0.60496235,0.11820912,0.28055584,0.61358756
2020-10-02,,,,
2020-10-07,,,,
2020-10-12,0.61443365,0.12023811,0.28440854,0.56409174
2020-10-17,,,,
2020-10-22,0.5930489,0.142576,0.32196847,0.9902037
2020-10-27,0.60550594,0.12899889,0.29984194,0.65034467
2020-11-01,,,,
2020-11-06,0.65266716,0.12354113,0.29061425,0.43315464
2020-11-11,,,,
2020-11-21,0.5340444,0.13890372,0.31138113,0.7547248
2020-11-26,,,,
2020-12-01,,,,
2020-12-06,,,,
2020-12-11,,,,
2020-12-16,,,,
2020-12-21,,,,
2020-12-26,,,,
2020-12-31,,,,
2021-01-05,0.6061969,0.111412235,0.26814952,0.24716668
2021-01-10,,,,
2021-01-15,,,,
2021-01-20,,,,
2021-01-25,,,,
2021-01-30,,,,
2021-02-04,,,,
2021-02-09,,,,
2021-02-14,,,,
2021-02-19,,,,
2021-02-24,,,,
2021-03-01,,,,
2021-03-06,0.47799635,0.11328058,0.2643772,0.62455535
2021-03-11,,,,
2021-03-16,0.5823681,0.098341145,0.2421748,0.40733677
2021-03-21,,,,
2021-03-26,0.6029391,0.10889128,0.26334044,0.5404095
2021-03-31,,,,
2021-04-05,,,,
2021-04-10,,,,
2021-04-15,,,,
2021-04-20,,,,
2021-04-25,0.5344568,0.095298864,0.23694755,0.5104884
2021-04-30,,,,
2021-05-05,0.5654286,0.114513904,0.27337462,0.82166183
2021-05-10,,,,
2021-05-15,,,,
2021-05-20,,,,
2021-05-25,,,,
2021-05-30,,,,
2021-06-04,,,,
2021-06-09,,,,
2021-06-14,,,,
2021-06-19,,,,
2021-06-24,,,,
2021-06-29,0.57138157,0.10586127,0.25653693,0.69838285
2021-07-04,,,,
2021-07-09,,,,
2021-07-14,0.5874612,0.1208915,0.28393683,0.9657739
2021-07-19,0.62148356,0.13982488,0.31754383,1.1494826
2021-07-29,,,,
2021-08-03,,,,
2021-08-08,,,,
2021-08-13,,,,
2021-08-18,,,,
2021-08-23,,,,
2021-08-28,0.64461446,0.13182399,0.30501857,0.9645062
2021-09-02,,,,
2021-09-07,0.6237277,0.12044046,0.28456888,0.7197429
2021-09-12,,,,
2021-09-17,,,,
2021-09-22,,,,
2021-09-27,,,,
2021-10-02,,,,
2021-10-07,,,,
2021-10-12,,,,
2021-10-17,,,,
2021-10-22,,,,
2021-10-27,,,,
2021-11-01,,,,
2021-11-06,,,,
2021-11-11,,,,
2021-11-16,,,,
2021-11-21,0.6244532,0.10639799,0.25855857,0.24618588
2021-11-26,,,,
2021-12-01,0.57057405,0.13849327,0.31402072,0.5464911
2021-12-06,0.57865196,0.099935226,0.24631284,0.19833861
2021-12-11,,,,
2021-12-16,,,,
2021-12-21,,,,
2021-12-26,,,,
2021-12-31,,,,
2022-01-05,,,,
2022-01-10,,,,
2022-01-15,,,,
2022-01-20,,,,
2022-01-25,,,,
2022-01-30,,,,
2022-02-04,,,,
2022-02-09,,,,
2022-02-14,,,,
2022-02-19,,,,
2022-02-24,,,,
2022-03-01,0.5896089,0.10177098,0.24989891,0.35856175
2022-03-06,0.5826327,0.098314784,0.2428351,0.35735857
2022-03-11,,,,
2022-03-16,0.50620353,0.089523666,0.22582226,0.3458704
2022-03-21,0.5221467,0.09441654,0.23515114,0.40510008
2022-03-26,0.5357283,0.095359355,0.23716371,0.42382225
2022-03-31,0.54926443,0.09649397,0.23954062,0.44621667
2022-04-05,,,,
2022-04-10,,,,
2022-04-15,,,,
2022-04-20,0.538491,0.0903196,0.22732766,0.4351507
2022-04-25,,,,
2022-04-30,,,,
2022-05-05,,,,
2022-05-10,,,,
2022-05-15,,,,
2022-05-20,,,,
2022-05-25,,,,
2022-05-30,,,,
2022-06-04,,,,
2022-06-09,,,,
2022-06-14,,,,
2022-06-19,,,,
2022-06-24,,,,
2022-06-29,,,,
2022-07-04,,,,
2022-07-09,,,,
2022-07-14,,,,
2022-07-19,,,,
2022-07-24,,,,
2022-07-29,,,,
2022-08-03,0.59344345,0.11744533,0.27876148,0.8230863
2022-08-08,,,,
2022-08-13,0.59098035,0.116272375,0.27674785,0.78900725
2022-08-18,,,,
2022-08-23,0.6108512,0.15287222,0.33869773,1.6814182
2022-08-28,,,,
2022-09-02,,,,
2022-09-07,,,,
2022-09-12,,,,
2022-09-17,,,,
2022-09-22,,,,
2022-09-27,,,,
2022-10-02,,,,
2022-10-07,0.6146466,0.11936959,0.28282687,0.57107127
2022-10-12,,,,
2022-10-17,,,,
2022-10-22,,,,
2022-10-27,,,,
2022-11-01,,,,
2022-11-06,0.5953869,0.10198568,0.25033447,0.2775142
2022-11-11,,,,
2022-11-16,0.63866884,0.11444264,0.2738505,0.31169355
2022-11-21,,,,
2022-11-26,,,,
2022-12-01,,,,
