t,NDVI,NIRv,EVI2,PPI
2017-01-03,,,,
2017-01-13,0.6102993,0.12397651,0.28918228,0.3204718
2017-01-16,,,,
2017-01-26,0.7821485,0.13399407,0.30555275,0.35696226
2017-02-02,,,,
2017-02-05,,,,
2017-02-12,,,,
2017-02-15,0.77040863,0.12933281,0.2980899,0.41256553
2017-02-22,,,,
2017-02-25,,,,
2017-03-04,,,,
2017-03-07,,,,
2017-03-14,,,,
2017-03-17,,,,
2017-03-19,,,,
2017-03-24,,,,
2017-03-27,0.7863969,0.13395317,0.30677164,0.63389826
2017-03-29,,,,
2017-04-01,,,,
2017-04-03,,,,
2017-04-06,,,,
2017-04-08,,,,
2017-04-11,,,,
2017-04-13,0.67844576,0.18094982,0.3870458,1.5532291
2017-04-16,,,,
2017-04-18,,,,
2017-04-21,,,,
2017-04-23,,,,
2017-04-26,,,,
2017-04-28,,,,
2017-05-01,,,,
2017-05-03,,,,
2017-05-06,0.7271723,0.15261437,0.3425778,1.3011152
2017-05-08,,,,
2017-05-11,0.73008317,0.13566358,0.3119539,0.86357856
2017-05-13,,,,
2017-05-16,,,,
2017-05-18,,,,
2017-05-21,,,,
2017-05-23,,,,
2017-05-26,0.7071775,0.14048254,0.32105842,1.0381228
2017-05-28,0.695821,0.1408915,0.32185003,1.0662308
2017-06-02,,,,
2017-06-05,,,,
2017-06-07,,,,
2017-06-10,,,,
2017-06-12,,,,
2017-06-15,,,,
2017-06-17,,,,
2017-06-20,,,,
2017-06-22,,,,
2017-06-25,,,,
2017-06-27,,,,
2017-06-30,,,,
2017-07-02,,,,
2017-07-05,,,,
2017-07-07,,,,
2017-07-10,,,,
2017-07-12,,,,
2017-07-15,,,,
2017-07-17,,,,
2017-07-20,,,,
2017-07-22,0.73224366,0.16889285,0.36999097,1.7577169
2017-07-25,,,,
2017-07-27,,,,
2017-07-30,,,,
2017-08-01,,,,
2017-08-04,,,,
2017-08-06,,,,
2017-08-09,,,,
2017-08-11,,,,
2017-08-14,,,,
2017-08-16,,,,
2017-08-19,,,,
2017-08-21,,,,
2017-08-24,,,,
2017-08-26,,,,
2017-08-29,0.8034313,0.15126559,0.33838168,1.014665
2017-08-31,,,,
2017-09-03,,,,
2017-09-05,,,,
2017-09-08,,,,
2017-09-10,,,,
2017-09-13,,,,
2017-09-15,,,,
2017-09-18,,,,
2017-09-20,,,,
2017-09-23,,,,
2017-09-25,,,,
2017-09-28,,,,
2017-09-30,,,,
2017-10-03,0.7655406,0.14195369,0.3219323,0.6880525
2017-10-05,,,,
2017-10-08,,,,
2017-10-10,,,,
2017-10-13,,,,
2017-10-15,0.7742951,0.14555049,0.32834756,0.6480052
2017-10-18,,,,
2017-10-20,,,,
2017-10-23,,,,
2017-10-25,,,,
2017-10-28,,,,
2017-10-30,,,,
2017-11-02,,,,
2017-11-04,0.806675,0.15079793,0.3365023,0.5453796
2017-11-07,0.8089301,0.1479902,0.3313446,0.5036867
2017-11-09,,,,
2017-11-12,,,,
2017-11-14,,,,
2017-11-17,0.82897943,0.13427605,0.3047695,0.34185696
2017-11-19,0.8247871,0.1344133,0.30521953,0.33402866
2017-11-22,,,,
2017-11-24,,,,
2017-11-27,,,,
2017-11-29,,,,
2017-12-02,,,,
2017-12-07,,,,
2017-12-09,,,,
2017-12-12,,,,
2017-12-14,,,,
2017-12-17,0.77712685,0.12556817,0.28911003,0.2487149
2017-12-19,,,,
2017-12-22,,,,
2017-12-24,,,,
2017-12-27,,,,
2017-12-29,,,,
2018-01-01,,,,
2018-01-03,,,,
2018-01-06,,,,
2018-01-08,0.80714446,0.1333634,0.3027342,0.28008267
2018-01-11,,,,
2018-01-13,,,,
2018-01-16,,,,
2018-01-18,,,,
2018-01-21,,,,
2018-01-23,,,,
2018-01-26,,,,
2018-01-28,,,,
2018-01-31,,,,
2018-02-02,0.72788274,0.1323378,0.30621094,0.3607003
2018-02-05,,,,
2018-02-07,0.82751286,0.14661533,0.3277789,0.4648571
2018-02-10,,,,
2018-02-12,,,,
2018-02-15,,,,
2018-02-17,,,,
2018-02-20,,,,
2018-02-22,0.7758603,0.13760062,0.31363145,0.51197547
2018-02-25,0.78438693,0.13671458,0.31172532,0.5158849
2018-02-27,0.7163293,0.12948255,0.29960832,0.4988764
2018-03-02,,,,
2018-03-04,0.73145473,0.13041073,0.3017197,0.5214666
2018-03-07,,,,
2018-03-09,,,,
2018-03-12,,,,
2018-03-14,,,,
2018-03-17,,,,
2018-03-19,0.7623482,0.13557896,0.3104652,0.63860416
2018-03-22,,,,
2018-03-24,,,,
2018-03-27,,,,
2018-03-29,,,,
2018-04-01,,,,
2018-04-03,,,,
2018-04-06,,,,
2018-04-08,,,,
2018-04-11,,,,
2018-04-13,,,,
2018-04-16,0.548779,0.11771337,0.27837276,0.699626
2018-04-18,0.6443963,0.12179035,0.28710103,0.6624113
2018-04-21,0.66163707,0.1256295,0.29426226,0.72226846
2018-04-23,0.66343707,0.131959,0.30580014,0.84069294
2018-04-26,,,,
2018-04-28,,,,
2018-05-01,,,,
2018-05-03,0.6998528,0.13859992,0.31762353,0.954965
2018-05-06,0.7025622,0.13568224,0.31236035,0.8939542
2018-05-08,0.702793,0.13374479,0.30884174,0.8528038
2018-05-11,0.7042709,0.13268983,0.3068881,0.8402478
2018-05-13,,,,
2018-05-16,,,,
2018-05-18,,,,
2018-05-21,0.7089548,0.12823977,0.29862362,0.76658434
2018-05-23,,,,
2018-05-26,,,,
2018-05-28,0.6866553,0.13624111,0.31350696,0.9646587
2018-05-31,,,,
2018-06-02,,,,
2018-06-05,0.7321947,0.14749782,0.3332081,1.2051989
2018-06-07,,,,
2018-06-10,,,,
2018-06-12,,,,
2018-06-15,,,,
2018-06-17,,,,
2018-06-20,,,,
2018-06-22,,,,
2018-06-25,,,,
2018-06-27,0.73534256,0.16549826,0.36435804,1.8353584
2018-06-30,0.7495902,0.1672286,0.36729893,1.8458923
2018-07-02,0.7544252,0.16822049,0.36896506,1.8126293
2018-07-05,,,,
2018-07-07,0.72974765,0.16736025,0.36739925,1.8623444
2018-07-10,,,,
2018-07-12,0.72726876,0.16417629,0.36198503,1.7520672
2018-07-15,0.73242855,0.16466363,0.3628061,1.6900617
2018-07-17,0.73173416,0.16497967,0.363323,1.6971374
2018-07-20,,,,
2018-07-22,,,,
2018-07-25,,,,
2018-07-27,0.71591,0.1387792,0.31806824,0.93444663
2018-07-30,0.6461962,0.15119167,0.33865038,1.5503677
2018-08-01,,,,
2018-08-04,0.62747145,0.14367062,0.32543176,1.3663945
2018-08-06,0.64450854,0.14664967,0.33093396,1.3704484
2018-08-09,,,,
2018-08-11,,,,
2018-08-14,0.7086133,0.15827547,0.35123193,1.290102
2018-08-16,,,,
2018-08-19,,,,
2018-08-21,,,,
2018-08-24,,,,
2018-08-26,0.75719446,0.1645114,0.36227494,1.3653446
2018-08-29,,,,
2018-08-31,,,,
2018-09-03,,,,
2018-09-05,,,,
2018-09-08,,,,
2018-09-10,,,,
2018-09-13,0.79503566,0.14900838,0.33424816,0.8986793
2018-09-18,0.7798739,0.14256796,0.32296675,0.78334236
2018-09-20,,,,
2018-09-23,,,,
2018-09-25,,,,
2018-09-28,,,,
2018-09-30,0.75858086,0.1563562,0.3479055,0.9445259
2018-10-03,,,,
2018-10-05,,,,
2018-10-08,,,,
2018-10-10,0.7822379,0.15229812,0.34025416,0.77761203
2018-10-13,,,,
2018-10-15,,,,
2018-10-18,,,,
2018-10-20,,,,
2018-10-23,,,,
