date,FAPAR,perc_cloudfree
2017-01-03T00:00:00Z,,0
2017-01-10T00:00:00Z,,0
2017-01-13T00:00:00Z,,0
2017-01-30T00:00:00Z,,0
2017-02-02T00:00:00Z,,0
2017-02-09T00:00:00Z,,0
2017-02-12T00:00:00Z,,0
2017-02-19T00:00:00Z,0.4283062328856195,100
2017-02-22T00:00:00Z,,0
2017-03-01T00:00:00Z,,0
2017-03-04T00:00:00Z,,0
2017-03-11T00:00:00Z,0.3958426908100071,100
2017-03-14T00:00:00Z,,0
2017-03-21T00:00:00Z,,0
2017-03-24T00:00:00Z,,0
2017-03-26T00:00:00Z,0.35113235378552926,100
2017-03-29T00:00:00Z,,0
2017-03-31T00:00:00Z,,0
2017-04-03T00:00:00Z,0.38106097056714794,79
2017-04-05T00:00:00Z,0.396833369238772,100
2017-04-08T00:00:00Z,0.3954957471071176,100
2017-04-10T00:00:00Z,,0
2017-04-13T00:00:00Z,,0
2017-04-15T00:00:00Z,,0
2017-04-18T00:00:00Z,0.4081518490261502,18
2017-04-20T00:00:00Z,,0
2017-04-23T00:00:00Z,0.5002808177238733,100
2017-04-25T00:00:00Z,,0
2017-04-28T00:00:00Z,0.45192345601452044,97
2017-04-30T00:00:00Z,0.5457752879387171,100
2017-05-03T00:00:00Z,,0
2017-05-05T00:00:00Z,,0
2017-05-08T00:00:00Z,,0
2017-05-10T00:00:00Z,0.762044041619229,100
2017-05-13T00:00:00Z,,0
2017-05-15T00:00:00Z,,0
2017-05-18T00:00:00Z,,0
2017-05-20T00:00:00Z,,0
2017-05-23T00:00:00Z,,0
2017-05-25T00:00:00Z,,0
2017-05-28T00:00:00Z,,0
2017-05-30T00:00:00Z,,0
2017-06-02T00:00:00Z,,0
2017-06-04T00:00:00Z,0.9306608176379949,100
2017-06-07T00:00:00Z,,0
2017-06-09T00:00:00Z,,0
2017-06-12T00:00:00Z,0.9060942253994585,100
2017-06-14T00:00:00Z,0.8734597405975189,100
2017-06-17T00:00:00Z,,0
2017-06-19T00:00:00Z,0.9123767254239951,100
2017-06-22T00:00:00Z,,0
2017-06-24T00:00:00Z,,0
2017-06-27T00:00:00Z,,0
2017-06-29T00:00:00Z,0.6814864725237516,100
2017-07-02T00:00:00Z,,0
2017-07-04T00:00:00Z,,0
2017-07-07T00:00:00Z,,0
2017-07-09T00:00:00Z,,0
2017-07-12T00:00:00Z,,0
2017-07-14T00:00:00Z,,0
2017-07-17T00:00:00Z,0.8981242214490421,100
2017-07-19T00:00:00Z,0.8586534644658841,100
2017-07-22T00:00:00Z,,0
2017-07-24T00:00:00Z,,0
2017-07-27T00:00:00Z,,0
2017-07-29T00:00:00Z,0.8869666825337627,100
2017-08-01T00:00:00Z,,0
2017-08-03T00:00:00Z,,0
2017-08-06T00:00:00Z,,0
2017-08-08T00:00:00Z,,0
2017-08-11T00:00:00Z,,0
2017-08-13T00:00:00Z,,0
2017-08-16T00:00:00Z,,0
2017-08-18T00:00:00Z,,0
2017-08-21T00:00:00Z,0.5444712437922032,100
2017-08-23T00:00:00Z,0.8666983094181848,100
2017-08-26T00:00:00Z,,0
2017-08-28T00:00:00Z,0.8664208889908527,100
2017-08-31T00:00:00Z,,0
2017-09-02T00:00:00Z,0.8351066943828878,52
2017-09-05T00:00:00Z,,0
2017-09-07T00:00:00Z,,0
2017-09-10T00:00:00Z,0.834531677552803,100
2017-09-12T00:00:00Z,0.8452231570449905,100
2017-09-15T00:00:00Z,0.881507172704342,100
2017-09-17T00:00:00Z,0.9112278971354166,0
2017-09-20T00:00:00Z,,0
2017-09-22T00:00:00Z,0.8704510977740264,100
2017-09-25T00:00:00Z,0.8509576575504476,100
2017-09-27T00:00:00Z,0.8654659117118798,100
2017-09-30T00:00:00Z,,0
2017-10-02T00:00:00Z,,0
2017-10-05T00:00:00Z,0.5313192756384462,100
2017-10-07T00:00:00Z,,0
2017-10-10T00:00:00Z,,0
2017-10-12T00:00:00Z,,0
2017-10-15T00:00:00Z,0.7923383239439385,100
2017-10-17T00:00:00Z,,0
2017-10-20T00:00:00Z,,0
2017-10-22T00:00:00Z,,0
2017-10-25T00:00:00Z,0.6269783102524341,100
2017-10-27T00:00:00Z,,0
2017-10-30T00:00:00Z,0.3110212612746349,100
2017-11-01T00:00:00Z,0.7070086435595949,100
2017-11-04T00:00:00Z,,0
2017-11-06T00:00:00Z,,0
2017-11-09T00:00:00Z,,0
2017-11-11T00:00:00Z,,0
2017-11-14T00:00:00Z,0.266563222804214,8
2017-11-16T00:00:00Z,,0
2017-11-19T00:00:00Z,0.5076074967817826,44
2017-11-21T00:00:00Z,,0
2017-11-24T00:00:00Z,,0
2017-11-26T00:00:00Z,,0
2017-11-29T00:00:00Z,,0
2017-12-01T00:00:00Z,,0
2017-12-06T00:00:00Z,,0
2017-12-09T00:00:00Z,,0
2017-12-11T00:00:00Z,,0
2017-12-14T00:00:00Z,,0
2017-12-16T00:00:00Z,,0
2017-12-19T00:00:00Z,,0
2017-12-21T00:00:00Z,,0
2017-12-24T00:00:00Z,,0
2017-12-26T00:00:00Z,,0
2017-12-29T00:00:00Z,,0
2017-12-31T00:00:00Z,,0
2018-01-03T00:00:00Z,,0
2018-01-05T00:00:00Z,,0
2018-01-08T00:00:00Z,,0
2018-01-10T00:00:00Z,,0
2018-01-13T00:00:00Z,,0
2018-01-15T00:00:00Z,,0
2018-01-18T00:00:00Z,,0
2018-01-20T00:00:00Z,,0
2018-01-23T00:00:00Z,,0
2018-01-25T00:00:00Z,,0
2018-01-28T00:00:00Z,,0
2018-01-30T00:00:00Z,,0
2018-02-02T00:00:00Z,,0
2018-02-04T00:00:00Z,,0
2018-02-07T00:00:00Z,,0
2018-02-09T00:00:00Z,,0
2018-02-12T00:00:00Z,,0
2018-02-14T00:00:00Z,0.4973951769344771,100
2018-02-17T00:00:00Z,,0
2018-02-19T00:00:00Z,,0
2018-02-22T00:00:00Z,,0
2018-02-24T00:00:00Z,0.4145593457399301,100
2018-02-27T00:00:00Z,,0
2018-03-01T00:00:00Z,,0
2018-03-04T00:00:00Z,0.40619507234659624,100
2018-03-06T00:00:00Z,,0
2018-03-09T00:00:00Z,,0
2018-03-11T00:00:00Z,,0
2018-03-14T00:00:00Z,0.37854186422836844,100
2018-03-16T00:00:00Z,,0
2018-03-19T00:00:00Z,,0
2018-03-21T00:00:00Z,0.3963766550439036,58
2018-03-24T00:00:00Z,0.37951427504956414,100
2018-03-26T00:00:00Z,,0
2018-03-29T00:00:00Z,,0
2018-03-31T00:00:00Z,,0
2018-04-03T00:00:00Z,,0
2018-04-05T00:00:00Z,,0
2018-04-08T00:00:00Z,,0
2018-04-10T00:00:00Z,,0
2018-04-13T00:00:00Z,,0
2018-04-15T00:00:00Z,0.36065374013622803,100
2018-04-18T00:00:00Z,0.5190975743586095,100
2018-04-20T00:00:00Z,,0
2018-04-23T00:00:00Z,,0
2018-04-25T00:00:00Z,,0
2018-04-28T00:00:00Z,,0
2018-04-30T00:00:00Z,,0
2018-05-03T00:00:00Z,,0
2018-05-05T00:00:00Z,0.8843392157319803,100
2018-05-08T00:00:00Z,0.8973738016253141,100
2018-05-10T00:00:00Z,,0
2018-05-13T00:00:00Z,,0
2018-05-15T00:00:00Z,0.8505689395463647,100
2018-05-18T00:00:00Z,0.9028650482637801,100
2018-05-20T00:00:00Z,,0
2018-05-23T00:00:00Z,,0
2018-05-25T00:00:00Z,0.8969784519521437,100
2018-05-28T00:00:00Z,,0
2018-05-30T00:00:00Z,0.8964296619817839,100
2018-06-02T00:00:00Z,,0
2018-06-04T00:00:00Z,,0
2018-06-07T00:00:00Z,,0
2018-06-09T00:00:00Z,,0
2018-06-12T00:00:00Z,,0
2018-06-14T00:00:00Z,,0
2018-06-17T00:00:00Z,,0
2018-06-19T00:00:00Z,,0
2018-06-22T00:00:00Z,,0
2018-06-24T00:00:00Z,,0
2018-06-27T00:00:00Z,0.8961113767077575,100
2018-06-29T00:00:00Z,,0
2018-07-02T00:00:00Z,0.8678483678156407,100
2018-07-04T00:00:00Z,,0
2018-07-07T00:00:00Z,0.8836468118178784,100
2018-07-09T00:00:00Z,0.8918043719574434,100
2018-07-12T00:00:00Z,,0
2018-07-14T00:00:00Z,0.8915337149615263,100
2018-07-17T00:00:00Z,0.8441352456864402,100
2018-07-19T00:00:00Z,0.8798427994464509,100
2018-07-22T00:00:00Z,,0
2018-07-24T00:00:00Z,0.8555610243600817,100
2018-07-27T00:00:00Z,0.6722742553710938,100
2018-07-29T00:00:00Z,0.6761558726283483,35
2018-08-01T00:00:00Z,,0
2018-08-03T00:00:00Z,0.8450035326780386,100
2018-08-06T00:00:00Z,0.8282531859738145,100
2018-08-08T00:00:00Z,,0
2018-08-11T00:00:00Z,,0
2018-08-13T00:00:00Z,,0
2018-08-16T00:00:00Z,0.8465959520502906,100
2018-08-18T00:00:00Z,0.8559302749097047,100
2018-08-21T00:00:00Z,,0
2018-08-23T00:00:00Z,0.854877877301547,100
2018-08-26T00:00:00Z,0.8649253031514996,100
2018-08-28T00:00:00Z,0.833205242889251,100
2018-08-31T00:00:00Z,,0
2018-09-02T00:00:00Z,,0
2018-09-05T00:00:00Z,0.8370698813893687,100
2018-09-07T00:00:00Z,,0
2018-09-10T00:00:00Z,,0
2018-09-12T00:00:00Z,0.8448781672032035,100
2018-09-17T00:00:00Z,0.8529226249656485,100
2018-09-20T00:00:00Z,0.8169764334367149,100
2018-09-22T00:00:00Z,0.7781825521295721,88
2018-09-25T00:00:00Z,0.8771040463548211,100
2018-09-27T00:00:00Z,0.8732135068653816,100
2018-09-30T00:00:00Z,0.8439320273241206,100
2018-10-02T00:00:00Z,,0
2018-10-05T00:00:00Z,0.8643502338351917,100
2018-10-07T00:00:00Z,0.5590251091097608,20
2018-10-10T00:00:00Z,0.8582583466649655,100
2018-10-12T00:00:00Z,0.8376144952055198,100
2018-10-15T00:00:00Z,0.8264121856842809,100
2018-10-17T00:00:00Z,,0
2018-10-20T00:00:00Z,0.751727033482844,100
2018-10-22T00:00:00Z,0.8185534021425487,100
2018-10-25T00:00:00Z,,0
2018-10-27T00:00:00Z,,0
2018-10-30T00:00:00Z,,0
2018-11-01T00:00:00Z,,0
2018-11-04T00:00:00Z,,0
2018-11-06T00:00:00Z,,0
2018-11-09T00:00:00Z,,0
2018-11-11T00:00:00Z,0.5310652011277089,100
2018-11-14T00:00:00Z,0.5451419966041143,100
2018-11-16T00:00:00Z,,0
2018-11-19T00:00:00Z,,0
2018-11-21T00:00:00Z,,0
2018-11-24T00:00:00Z,,0
2018-11-26T00:00:00Z,,0
2018-11-29T00:00:00Z,,0
2018-12-01T00:00:00Z,,0
2018-12-04T00:00:00Z,,0
2018-12-06T00:00:00Z,,0
2018-12-09T00:00:00Z,,0
2018-12-11T00:00:00Z,,0
2018-12-14T00:00:00Z,,0
2018-12-16T00:00:00Z,,0
2018-12-19T00:00:00Z,,0
2018-12-21T00:00:00Z,,0
2018-12-24T00:00:00Z,,0
2018-12-26T00:00:00Z,,0
2018-12-29T00:00:00Z,,0
2018-12-31T00:00:00Z,,0
2019-01-03T00:00:00Z,,0
2019-01-05T00:00:00Z,,0
2019-01-08T00:00:00Z,,0
2019-01-10T00:00:00Z,,0
2019-01-13T00:00:00Z,,0
2019-01-15T00:00:00Z,,0
2019-01-18T00:00:00Z,,0
2019-01-20T00:00:00Z,,0
2019-01-23T00:00:00Z,,0
2019-01-25T00:00:00Z,,0
2019-01-28T00:00:00Z,,0
2019-01-30T00:00:00Z,,0
2019-02-02T00:00:00Z,,0
2019-02-04T00:00:00Z,,0
2019-02-07T00:00:00Z,,0
2019-02-09T00:00:00Z,,0
2019-02-12T00:00:00Z,,0
2019-02-14T00:00:00Z,0.4515062456447277,100
2019-02-17T00:00:00Z,0.4238483391076477,100
2019-02-19T00:00:00Z,,0
2019-02-22T00:00:00Z,,0
2019-02-24T00:00:00Z,0.4221432796919167,100
2019-02-27T00:00:00Z,0.40676359311204463,100
2019-03-01T00:00:00Z,,0
2019-03-04T00:00:00Z,,0
2019-03-06T00:00:00Z,,0
2019-03-09T00:00:00Z,,0
2019-03-11T00:00:00Z,,0
2019-03-14T00:00:00Z,,0
2019-03-16T00:00:00Z,,0
2019-03-19T00:00:00Z,0.3711043614066426,100
2019-03-21T00:00:00Z,0.3568786522946765,100
2019-03-24T00:00:00Z,0.2940977414231804,100
2019-03-26T00:00:00Z,,0
2019-03-29T00:00:00Z,0.3594995068727426,100
2019-03-31T00:00:00Z,0.348623611833582,100
2019-04-03T00:00:00Z,,0
2019-04-05T00:00:00Z,,0
2019-04-08T00:00:00Z,,0
2019-04-10T00:00:00Z,,0
2019-04-13T00:00:00Z,,0
2019-04-15T00:00:00Z,0.38327333788081036,100
2019-04-18T00:00:00Z,0.42503644590138195,100
2019-04-20T00:00:00Z,0.48942250485827576,100
2019-04-23T00:00:00Z,,0
2019-04-25T00:00:00Z,,0
2019-04-28T00:00:00Z,,0
2019-04-30T00:00:00Z,,0
2019-05-03T00:00:00Z,,0
2019-05-05T00:00:00Z,,0
2019-05-08T00:00:00Z,,0
2019-05-10T00:00:00Z,,0
2019-05-13T00:00:00Z,,0
2019-05-15T00:00:00Z,0.8942633982902796,100
2019-05-18T00:00:00Z,,0
2019-05-20T00:00:00Z,,0
2019-05-23T00:00:00Z,0.8791583096144787,100
2019-05-25T00:00:00Z,,0
2019-05-28T00:00:00Z,0.9453010591394759,34
2019-05-30T00:00:00Z,,0
2019-06-02T00:00:00Z,0.895467518378023,100
2019-06-04T00:00:00Z,0.9019464643775519,100
2019-06-07T00:00:00Z,0.8978895263671876,100
2019-06-09T00:00:00Z,,0
2019-06-12T00:00:00Z,,0
2019-06-14T00:00:00Z,,0
2019-06-17T00:00:00Z,0.895079146342062,100
2019-06-19T00:00:00Z,0.8767944090570038,100
2019-06-22T00:00:00Z,,0
2019-06-24T00:00:00Z,0.8950772765193153,100
2019-06-27T00:00:00Z,0.8633196698826163,100
2019-06-29T00:00:00Z,0.9064748601405466,100
2019-07-02T00:00:00Z,0.8916876120102467,100
2019-07-04T00:00:00Z,0.9040527329027953,100
2019-07-07T00:00:00Z,,0
2019-07-09T00:00:00Z,,0
2019-07-12T00:00:00Z,,0
2019-07-14T00:00:00Z,,0
2019-07-17T00:00:00Z,0.8843654155788709,100
2019-07-19T00:00:00Z,,0
2019-07-22T00:00:00Z,0.8926698456884029,100
2019-07-24T00:00:00Z,0.8872637083120682,100
2019-07-27T00:00:00Z,,0
2019-07-29T00:00:00Z,0.7970514398162689,100
2019-08-01T00:00:00Z,0.868871229315523,100
2019-08-03T00:00:00Z,0.8916639244249133,45
2019-08-06T00:00:00Z,,0
2019-08-08T00:00:00Z,,0
2019-08-11T00:00:00Z,0.8517250813393137,100
2019-08-13T00:00:00Z,,0
