t,GPP
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,0.0
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,0.0
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,0.0
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,0.0012293991099265
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,0.0
2017-03-02,0.0
2017-03-03,0.0
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,0.0
2017-03-07,0.0
2017-03-08,0.0
2017-03-09,0.0
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,0.0
2017-03-13,0.0
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,0.0
2017-03-17,0.0
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,0.0
2017-03-22,0.0
2017-03-23,0.0
2017-03-24,0.0
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,0.0
2017-03-28,0.0
2017-03-29,0.0
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.2326134630381807
2017-05-02,0.2912282370056567
2017-05-03,0.2724087179246413
2017-05-04,0.4409735377699511
2017-05-05,0.3116549659383333
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,1.3736392039056255
2017-05-17,0.8800193037726557
2017-05-18,1.6645722851575109
2017-05-19,1.0010281479530785
2017-05-20,1.346973050687354
2017-05-21,1.757956249468881
2017-05-22,1.7372658421340916
2017-05-23,1.8283976659944647
2017-05-24,1.8349505577584957
2017-05-25,1.7887353168098803
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,1.974405580040088
2017-05-29,2.5293811796708328
2017-05-30,2.731568732169077
2017-05-31,2.6419298118200025
2017-06-01,2.0146068610479304
2017-06-02,2.1220394162199328
2017-06-03,1.9468519592637925
2017-06-04,1.356975220307005
2017-06-05,1.4068514216827035
2017-06-06,4.01163666827439
2017-06-07,4.785239926197233
2017-06-08,5.873805073303755
2017-06-09,6.533445173696247
2017-06-10,4.662098130928995
2017-06-11,4.574485527789179
2017-06-12,5.475052385886197
2017-06-13,3.621162413896021
2017-06-14,3.4106735380123383
2017-06-15,6.17705253652963
2017-06-16,5.7587914070339945
2017-06-17,4.132198773179991
2017-06-18,1.726093626541661
2017-06-19,0.6891171854903425
2017-06-20,1.6310831293412733
2017-06-21,1.806835331248937
2017-06-22,1.0689376290166537
2017-06-23,1.9878587534549932
2017-06-24,2.860107022487579
2017-06-25,4.384345298671827
2017-06-26,1.638165948679982
2017-06-27,4.154577415240622
2017-06-28,2.7907722850444845
2017-06-29,4.453101292070127
2017-06-30,6.347648116249457
2017-07-01,8.215130878955206
2017-07-02,9.213992226155233
2017-07-03,6.348258800554965
2017-07-04,8.42376616023815
2017-07-05,4.561835953069059
2017-07-06,0.5340982563869491
2017-07-07,4.234566586989567
2017-07-08,6.162098868572414
2017-07-09,9.037614137281508
2017-07-10,8.111696535167098
2017-07-11,6.498540212022558
2017-07-12,3.043025670984622
2017-07-13,4.439028730001006
2017-07-14,5.064389576293622
2017-07-15,4.073704500158652
2017-07-16,8.495857321662644
2017-07-17,7.143222731051414
