t,GPP
2017-01-01,
2017-01-02,
2017-01-03,0.0199561
2017-01-04,0.163615
2017-01-05,
2017-01-06,
2017-01-07,
2017-01-08,
2017-01-09,
2017-01-10,
2017-01-11,
2017-01-12,
2017-01-13,
2017-01-14,0.115249
2017-01-15,0.0359258
2017-01-16,
2017-01-17,
2017-01-18,
2017-01-19,
2017-01-20,
2017-01-21,
2017-01-22,
2017-01-23,
2017-01-24,0.166827
2017-01-25,0.00719296
2017-01-26,
2017-01-27,
2017-01-28,
2017-01-29,
2017-01-30,
2017-01-31,0.0329217
2017-02-01,
2017-02-02,0.23358
2017-02-03,0.316275
2017-02-04,0.12241
2017-02-05,0.0976852
2017-02-06,0.617628
2017-02-07,0.198127
2017-02-08,0.064225
2017-02-09,
2017-02-10,
2017-02-11,0.284911
2017-02-12,0.302292
2017-02-13,0.239746
2017-02-14,0.124135
2017-02-15,0.171342
2017-02-16,0.0367191
2017-02-17,
2017-02-18,0.777569
2017-02-19,
2017-02-20,
2017-02-21,0.785976
2017-02-22,0.285348
2017-02-23,
2017-02-24,
2017-02-25,
2017-02-26,
2017-02-27,
2017-02-28,
2017-03-01,
2017-03-02,
2017-03-03,0.0601743
2017-03-04,0.00462229
2017-03-05,0.0300752
2017-03-06,
2017-03-07,
2017-03-08,
2017-03-09,0.0752627
2017-03-10,
2017-03-11,
2017-03-12,
2017-03-13,
2017-03-14,
2017-03-15,0.0646133
2017-03-16,0.148787
2017-03-17,0.0336857
2017-03-18,
2017-03-19,
2017-03-20,
2017-03-21,0.183209
2017-03-22,
2017-03-23,0.108164
2017-03-24,
2017-03-25,0.15542
2017-03-26,0.347175
2017-03-27,
2017-03-28,0.495439
2017-03-29,0.393595
2017-03-30,0.137789
2017-03-31,0.908313
2017-04-01,1.10263
2017-04-02,1.36665
2017-04-03,1.71098
2017-04-04,2.36081
2017-04-05,1.56302
2017-04-06,1.93136
2017-04-07,1.23991
2017-04-08,2.607
2017-04-09,3.52187
2017-04-10,3.1219
2017-04-11,3.64822
2017-04-12,3.70779
2017-04-13,2.79188
2017-04-14,4.25327
2017-04-15,3.89625
2017-04-16,3.95937
2017-04-17,3.78773
2017-04-18,3.52883
2017-04-19,1.32669
2017-04-20,2.09167
2017-04-21,3.47452
2017-04-22,2.74518
2017-04-23,3.95784
2017-04-24,4.38357
2017-04-25,5.3243
2017-04-26,4.1126
2017-04-27,3.07179
2017-04-28,2.96181
2017-04-29,5.45386
2017-04-30,
2017-05-01,5.81209
2017-05-02,
2017-05-03,5.2645
2017-05-04,5.98376
2017-05-05,6.73697
2017-05-06,7.6809
2017-05-07,8.21139
2017-05-08,8.1799
2017-05-09,6.41058
2017-05-10,
2017-05-11,7.69695
2017-05-12,8.69443
2017-05-13,9.07655
2017-05-14,9.49119
2017-05-15,10.3864
2017-05-16,11.5401
2017-05-17,10.8982
2017-05-18,10.8856
2017-05-19,9.86699
2017-05-20,4.74391
2017-05-21,12.3221
2017-05-22,11.5622
2017-05-23,11.935
2017-05-24,11.0752
2017-05-25,6.65511
2017-05-26,11.5117
2017-05-27,12.1946
2017-05-28,12.2724
2017-05-29,12.4255
2017-05-30,12.3477
2017-05-31,11.8144
2017-06-01,13.0532
2017-06-02,13.0649
2017-06-03,13.2454
2017-06-04,11.3021
2017-06-05,14.8654
2017-06-06,13.9179
2017-06-07,13.7191
2017-06-08,12.878
2017-06-09,12.4177
2017-06-10,9.13204
2017-06-11,13.254
2017-06-12,12.5409
2017-06-13,12.6683
2017-06-14,13.3573
2017-06-15,13.0087
2017-06-16,8.57763
2017-06-17,10.8226
2017-06-18,12.9272
2017-06-19,11.9724
2017-06-20,11.2864
2017-06-21,10.9685
2017-06-22,13.3358
2017-06-23,11.8684
2017-06-24,12.5932
2017-06-25,10.9514
2017-06-26,13.5157
2017-06-27,13.3565
2017-06-28,12.8523
2017-06-29,13.6787
2017-06-30,12.5447
2017-07-01,13.4629
2017-07-02,12.0736
2017-07-03,12.2849
2017-07-04,11.0672
2017-07-05,12.0856
2017-07-06,12.6923
2017-07-07,11.1662
2017-07-08,10.7975
2017-07-09,11.7027
2017-07-10,12.732
2017-07-11,12.4336
2017-07-12,13.5365
2017-07-13,12.6434
2017-07-14,
2017-07-15,
2017-07-16,
2017-07-17,
2017-07-18,13.6458
2017-07-19,12.5817
2017-07-20,13.0702
2017-07-21,12.8399
2017-07-22,11.9479
2017-07-23,13.5192
2017-07-24,7.12534
2017-07-25,13.1089
2017-07-26,11.3117
2017-07-27,8.5499
2017-07-28,12.1936
2017-07-29,11.8574
2017-07-30,9.82219
2017-07-31,8.8194
2017-08-01,8.5868
2017-08-02,8.69937
2017-08-03,8.50807
2017-08-04,10.1481
2017-08-05,8.80131
2017-08-06,4.83028
2017-08-07,9.90419
2017-08-08,9.1229
2017-08-09,10.6469
2017-08-10,8.97267
2017-08-11,9.44499
2017-08-12,10.5079
2017-08-13,8.84815
2017-08-14,8.8565
2017-08-15,7.43326
2017-08-16,9.57211
2017-08-17,8.1734
2017-08-18,7.11032
2017-08-19,3.01225
2017-08-20,
2017-08-21,
2017-08-22,
2017-08-23,
2017-08-24,
2017-08-25,7.68366
2017-08-26,
2017-08-27,5.91469
2017-08-28,7.5724
2017-08-29,8.16377
2017-08-30,7.11943
2017-08-31,8.22192
2017-09-01,6.46843
2017-09-02,7.65914
2017-09-03,6.09298
2017-09-04,9.3129
2017-09-05,9.63563
2017-09-06,7.89351
2017-09-07,8.96474
2017-09-08,8.77355
2017-09-09,7.70216
2017-09-10,6.71482
2017-09-11,3.58613
2017-09-12,5.69812
2017-09-13,7.12043
2017-09-14,5.99382
2017-09-15,7.83588
2017-09-16,2.27826
2017-09-17,1.38413
2017-09-18,
2017-09-19,4.13243
2017-09-20,2.93418
2017-09-21,6.06148
2017-09-22,7.89939
2017-09-23,5.21883
2017-09-24,4.4664
2017-09-25,
2017-09-26,
2017-09-27,
2017-09-28,6.83149
2017-09-29,6.2638
2017-09-30,5.81985
2017-10-01,5.46724
2017-10-02,4.86606
2017-10-03,1.3688
2017-10-04,5.10306
2017-10-05,3.70799
2017-10-06,3.7125
2017-10-07,3.73786
2017-10-08,1.81194
2017-10-09,3.05458
2017-10-10,2.32035
2017-10-11,2.81363
2017-10-12,3.35767
2017-10-13,3.31494
2017-10-14,3.69896
2017-10-15,3.83207
2017-10-16,3.72662
2017-10-17,3.18717
2017-10-18,3.43369
2017-10-19,3.04925
2017-10-20,0.717784
2017-10-21,1.11773
2017-10-22,1.16541
2017-10-23,0.47547
2017-10-24,0.972189
2017-10-25,0.772533
2017-10-26,1.80735
2017-10-27,0.414839
2017-10-28,0.656178
2017-10-29,0.155072
2017-10-30,0.202706
2017-10-31,0.238667
2017-11-01,0.0839156
2017-11-02,0.383429
2017-11-03,
2017-11-04,0.409303
2017-11-05,
2017-11-06,
2017-11-07,0.187534
2017-11-08,
2017-11-09,
2017-11-10,0.179264
2017-11-11,0.189808
2017-11-12,0.12241
2017-11-13,
2017-11-14,
2017-11-15,
2017-11-16,
2017-11-17,0.171629
2017-11-18,
2017-11-19,0.213824
2017-11-20,0.15034
2017-11-21,0.170602
2017-11-22,0.197641
2017-11-23,
2017-11-24,0.0335167
2017-11-25,0.117719
2017-11-26,0.026087
2017-11-27,
2017-11-28,
2017-11-29,
2017-11-30,
2017-12-01,
2017-12-02,
2017-12-03,
2017-12-04,
2017-12-05,0.228037
2017-12-06,0.514404
2017-12-07,
2017-12-08,
2017-12-09,
2017-12-10,
2017-12-11,0.259828
2017-12-12,0.0586354
2017-12-13,
2017-12-14,0.085422
2017-12-15,0.259741
2017-12-16,0.0985508
2017-12-17,0.0883113
2017-12-18,
2017-12-19,
2017-12-20,
2017-12-21,0.0327776
2017-12-22,0.441962
2017-12-23,0.252138
2017-12-24,0.0310707
2017-12-25,0.156825
2017-12-26,
2017-12-27,0.177389
2017-12-28,0.0314212
2017-12-29,
2017-12-30,0.139677
2017-12-31,0.325846
2018-01-01,
2018-01-02,0.120991
2018-01-03,
2018-01-04,0.337975
2018-01-05,0.311827
2018-01-06,0.212336
2018-01-07,0.0830272
2018-01-08,0.086194
2018-01-09,0.108698
2018-01-10,0.27482
2018-01-11,0.124839
2018-01-12,0.0204287
2018-01-13,
2018-01-14,0.100999
2018-01-15,0.209269
2018-01-16,0.211676
2018-01-17,0.15865
2018-01-18,0.20948
2018-01-19,0.0196375
2018-01-20,0.181344
2018-01-21,0.0251767
2018-01-22,0.135945
2018-01-23,0.063014
2018-01-24,0.093466
2018-01-25,0.166874
2018-01-26,0.00551522
2018-01-27,0.0858239
