t,GPP
2022-01-01,0.257015
2022-01-02,0.299962
2022-01-03,0.181502
2022-01-04,0.195503
2022-01-05,0.0270885
2022-01-06,0.045455
2022-01-07,0.0324549
2022-01-08,
2022-01-09,0.147267
2022-01-10,0.189798
2022-01-11,
2022-01-12,
2022-01-13,
2022-01-14,
2022-01-15,
2022-01-16,0.130034
2022-01-17,0.102996
2022-01-18,0.242199
2022-01-19,0.057672
2022-01-20,
2022-01-21,
2022-01-22,0.0973781
2022-01-23,0.101764
2022-01-24,0.0688675
2022-01-25,0.0264166
2022-01-26,0.0783922
2022-01-27,0.0506225
2022-01-28,
2022-01-29,
2022-01-30,
2022-01-31,
2022-02-01,
2022-02-02,
2022-02-03,
2022-02-04,
2022-02-05,0.00709662
2022-02-06,
2022-02-07,
2022-02-08,
2022-02-09,
2022-02-10,
2022-02-11,
2022-02-12,
2022-02-13,
2022-02-14,0.0328609
2022-02-15,
2022-02-16,
2022-02-17,
2022-02-18,
2022-02-19,0.011626
2022-02-20,
2022-02-21,0.0826499
2022-02-22,
2022-02-23,
2022-02-24,
2022-02-25,
2022-02-26,
2022-02-27,
2022-02-28,
2022-03-01,
2022-03-02,
2022-03-03,0.0326803
2022-03-04,0.077409
2022-03-05,
2022-03-06,
2022-03-07,
2022-03-08,
2022-03-09,
2022-03-10,
2022-03-11,
2022-03-12,0.025454
2022-03-13,0.0693622
2022-03-14,
2022-03-15,
2022-03-16,0.0898457
2022-03-17,0.214063
2022-03-18,
2022-03-19,
2022-03-20,
2022-03-21,
2022-03-22,
2022-03-23,
2022-03-24,
2022-03-25,
2022-03-26,
2022-03-27,
2022-03-28,
2022-03-29,
2022-03-30,
2022-03-31,0.299433
2022-04-01,0.0642938
2022-04-02,
2022-04-03,0.0131244
2022-04-04,0.00542256
2022-04-05,
2022-04-06,
2022-04-07,
2022-04-08,
2022-04-09,0.0802353
2022-04-10,
2022-04-11,
2022-04-12,
2022-04-13,
2022-04-14,
2022-04-15,
2022-04-16,
2022-04-17,
2022-04-18,
2022-04-19,
2022-04-20,
2022-04-21,0.0419501
2022-04-22,
2022-04-23,
2022-04-24,0.138247
2022-04-25,0.192521
2022-04-26,0.304433
2022-04-27,
2022-04-28,
2022-04-29,0.05523
2022-04-30,0.153438
2022-05-01,0.156594
2022-05-02,0.139965
2022-05-03,0.394903
2022-05-04,0.158621
2022-05-05,0.624406
2022-05-06,0.846314
2022-05-07,0.585416
2022-05-08,0.877004
2022-05-09,1.15421
2022-05-10,1.76023
2022-05-11,1.42871
2022-05-12,1.79974
2022-05-13,2.57704
2022-05-14,2.65055
2022-05-15,3.00584
2022-05-16,3.34472
2022-05-17,3.43017
2022-05-18,3.57712
2022-05-19,3.0332
2022-05-20,
2022-05-21,
2022-05-22,
2022-05-23,
2022-05-24,
2022-05-25,
2022-05-26,
2022-05-27,
2022-05-28,
2022-05-29,
2022-05-30,
2022-05-31,
2022-06-01,6.75124
2022-06-02,7.0217
2022-06-03,7.39518
2022-06-04,7.02585
2022-06-05,6.88377
2022-06-06,7.845
2022-06-07,7.72627
2022-06-08,
2022-06-09,5.74294
2022-06-10,7.14915
2022-06-11,7.41565
2022-06-12,7.10812
2022-06-13,8.49351
2022-06-14,7.18163
2022-06-15,8.32302
2022-06-16,6.80442
2022-06-17,7.1126
2022-06-18,4.8348
2022-06-19,6.97778
2022-06-20,6.41071
2022-06-21,6.12376
2022-06-22,5.65178
2022-06-23,6.57473
2022-06-24,5.15046
2022-06-25,7.16886
2022-06-26,7.02382
2022-06-27,7.42787
2022-06-28,4.65735
2022-06-29,7.57923
2022-06-30,6.29413
2022-07-01,7.5389
2022-07-02,6.71733
2022-07-03,6.13073
2022-07-04,6.72654
2022-07-05,7.19695
2022-07-06,6.85467
2022-07-07,6.13092
2022-07-08,4.48293
2022-07-09,5.11092
2022-07-10,4.21028
2022-07-11,3.79442
2022-07-12,3.30152
2022-07-13,2.76002
2022-07-14,2.60937
2022-07-15,2.32702
2022-07-16,2.27497
2022-07-17,2.44193
2022-07-18,2.20589
2022-07-19,1.66618
2022-07-20,1.92656
2022-07-21,1.9157
2022-07-22,2.3064
2022-07-23,2.86923
2022-07-24,2.23579
2022-07-25,2.09459
2022-07-26,1.93253
2022-07-27,2.21793
2022-07-28,2.01698
2022-07-29,1.44555
2022-07-30,1.18839
2022-07-31,1.20657
2022-08-01,0.98543
2022-08-02,0.95742
2022-08-03,1.16002
2022-08-04,1.04036
2022-08-05,1.10711
2022-08-06,0.928414
2022-08-07,1.12237
2022-08-08,0.973914
2022-08-09,0.833455
2022-08-10,0.432078
2022-08-11,0.561199
2022-08-12,0.587599
2022-08-13,0.779582
2022-08-14,0.323754
2022-08-15,0.0647396
2022-08-16,0.321187
2022-08-17,0.993761
2022-08-18,0.925886
2022-08-19,0.564812
2022-08-20,0.848798
2022-08-21,0.690318
2022-08-22,0.850665
2022-08-23,0.859876
2022-08-24,1.21714
2022-08-25,1.20504
2022-08-26,1.16587
2022-08-27,1.12761
2022-08-28,1.37161
2022-08-29,1.35512
2022-08-30,0.778523
2022-08-31,1.42857
2022-09-01,1.28942
2022-09-02,1.58096
2022-09-03,1.44935
2022-09-04,1.77309
2022-09-05,1.99421
2022-09-06,2.29453
2022-09-07,1.90349
2022-09-08,1.55547
2022-09-09,1.47101
2022-09-10,1.17294
2022-09-11,1.84511
2022-09-12,1.30061
2022-09-13,0.974533
2022-09-14,0.770838
2022-09-15,0.987578
2022-09-16,1.76516
2022-09-17,1.47776
2022-09-18,1.61872
2022-09-19,1.25963
2022-09-20,1.39603
2022-09-21,1.53865
2022-09-22,1.49651
2022-09-23,1.73436
2022-09-24,1.4146
2022-09-25,1.96125
2022-09-26,1.26443
2022-09-27,0.78384
2022-09-28,2.31504
2022-09-29,0.747527
2022-09-30,1.16545
2022-10-01,2.73105
2022-10-02,0.804824
2022-10-03,0.811342
2022-10-04,0.743109
2022-10-05,1.066
2022-10-06,1.15183
2022-10-07,1.41397
2022-10-08,1.15309
2022-10-09,0.814937
2022-10-10,0.731627
2022-10-11,0.691245
2022-10-12,0.73372
2022-10-13,0.659527
2022-10-14,0.760758
2022-10-15,0.706
2022-10-16,0.920801
2022-10-17,1.16648
2022-10-18,1.07025
2022-10-19,1.31157
2022-10-20,1.49671
2022-10-21,1.0788
2022-10-22,1.2777
2022-10-23,1.27879
2022-10-24,1.16865
2022-10-25,0.995183
2022-10-26,1.33123
2022-10-27,1.4499
2022-10-28,1.48631
2022-10-29,1.56789
2022-10-30,
2022-10-31,
2022-11-01,
2022-11-02,
2022-11-03,
2022-11-04,
2022-11-05,
2022-11-06,
2022-11-07,
2022-11-08,
2022-11-09,
2022-11-10,
2022-11-11,
2022-11-12,
2022-11-13,
2022-11-14,
2022-11-15,
2022-11-16,
2022-11-17,
2022-11-18,
2022-11-19,
2022-11-20,
2022-11-21,
2022-11-22,
2022-11-23,
2022-11-24,
2022-11-25,
2022-11-26,
2022-11-27,
2022-11-28,
2022-11-29,
2022-11-30,
2022-12-01,
2022-12-02,
2022-12-03,
2022-12-04,
2022-12-05,
2022-12-06,
2022-12-07,
2022-12-08,
2022-12-09,
2022-12-10,
2022-12-11,
2022-12-12,
2022-12-13,
2022-12-14,
2022-12-15,
2022-12-16,
2022-12-17,
2022-12-18,
2022-12-19,
2022-12-20,
2022-12-21,
2022-12-22,
2022-12-23,
2022-12-24,
2022-12-25,
2022-12-26,
2022-12-27,
2022-12-28,
2022-12-29,
2022-12-30,
2022-12-31,
