t,GPP
2017-01-01,
2017-01-02,0.10275
2017-01-03,0.0240435
2017-01-04,0.20132
2017-01-05,0.337443
2017-01-06,
2017-01-07,
2017-01-08,0.163087
2017-01-09,0.243146
2017-01-10,0.380853
2017-01-11,0.210885
2017-01-12,0.168825
2017-01-13,0.290642
2017-01-14,0.359698
2017-01-15,0.247629
2017-01-16,0.219224
2017-01-17,0.0438692
2017-01-18,0.0664798
2017-01-19,0.388498
2017-01-20,0.353401
2017-01-21,0.247751
2017-01-22,0.200921
2017-01-23,0.0109131
2017-01-24,0.0431115
2017-01-25,
2017-01-26,0.163294
2017-01-27,0.165541
2017-01-28,0.364616
2017-01-29,0.228337
2017-01-30,0.356441
2017-01-31,0.348091
2017-02-01,0.372712
2017-02-02,0.627488
2017-02-03,0.53172
2017-02-04,0.265949
2017-02-05,0.39402
2017-02-06,0.642154
2017-02-07,0.35778
2017-02-08,0.230852
2017-02-09,0.354087
2017-02-10,0.277796
2017-02-11,0.047748
2017-02-12,0.560802
2017-02-13,0.556414
2017-02-14,0.665365
2017-02-15,1.18641
2017-02-16,0.92447
2017-02-17,0.964997
2017-02-18,1.03309
2017-02-19,0.718341
2017-02-20,0.76201
2017-02-21,1.26128
2017-02-22,0.843037
2017-02-23,0.796246
2017-02-24,1.96125
2017-02-25,
2017-02-26,2.14935
2017-02-27,0.828123
2017-02-28,1.53915
2017-03-01,1.49845
2017-03-02,2.58371
2017-03-03,2.38864
2017-03-04,1.38025
2017-03-05,1.33526
2017-03-06,2.90269
2017-03-07,3.07327
2017-03-08,1.73712
2017-03-09,3.64897
2017-03-10,4.84034
2017-03-11,5.33927
2017-03-12,5.55074
2017-03-13,4.5603
2017-03-14,4.74276
2017-03-15,
2017-03-16,
2017-03-17,
2017-03-18,
2017-03-19,
2017-03-20,
2017-03-21,
2017-03-22,
2017-03-23,
2017-03-24,
2017-03-25,
2017-03-26,
2017-03-27,
2017-03-28,
2017-03-29,
2017-03-30,
2017-03-31,
2017-04-01,
2017-04-02,
2017-04-03,
2017-04-04,14.687
2017-04-05,12.4714
2017-04-06,11.9466
2017-04-07,15.9363
2017-04-08,18.0008
2017-04-09,19.0778
2017-04-10,14.6503
2017-04-11,17.4364
2017-04-12,17.406
2017-04-13,15.4
2017-04-14,14.1368
