t,GPP
2017-01-01,1.39017
2017-01-02,2.13192
2017-01-03,2.40275
2017-01-04,
2017-01-05,2.25958
2017-01-06,
2017-01-07,
2017-01-08,1.79701
2017-01-09,2.51192
2017-01-10,2.30092
2017-01-11,2.27121
2017-01-12,3.99553
2017-01-13,2.14549
2017-01-14,1.92061
2017-01-15,2.24951
2017-01-16,3.1369
2017-01-17,1.63412
2017-01-18,1.62268
2017-01-19,1.77721
2017-01-20,1.99579
2017-01-21,2.59921
2017-01-22,1.16451
2017-01-23,2.30832
2017-01-24,2.21184
2017-01-25,1.821
2017-01-26,1.3747
2017-01-27,0.82616
2017-01-28,
2017-01-29,3.26654
2017-01-30,2.68987
2017-01-31,0.582628
2017-02-01,0.754154
2017-02-02,0.734792
2017-02-03,1.9467
2017-02-04,3.55039
2017-02-05,1.93669
2017-02-06,2.35636
2017-02-07,3.35552
2017-02-08,2.93981
2017-02-09,3.26063
2017-02-10,1.30771
2017-02-11,1.06608
2017-02-12,0.873084
2017-02-13,2.18424
2017-02-14,0.549077
2017-02-15,0.707934
2017-02-16,2.5449
2017-02-17,4.79571
2017-02-18,4.09896
2017-02-19,4.12983
2017-02-20,4.6792
2017-02-21,5.0114
2017-02-22,5.03437
2017-02-23,4.97234
2017-02-24,4.34384
2017-02-25,4.67242
2017-02-26,4.23281
2017-02-27,2.98882
2017-02-28,4.30689
2017-03-01,5.09342
2017-03-02,5.94646
2017-03-03,0.931657
2017-03-04,3.92879
2017-03-05,3.81289
2017-03-06,4.45724
2017-03-07,4.17709
2017-03-08,5.27574
2017-03-09,5.78427
2017-03-10,6.52196
2017-03-11,5.93408
2017-03-12,2.92069
2017-03-13,5.85726
2017-03-14,6.13876
2017-03-15,6.08214
2017-03-16,6.21528
2017-03-17,6.45692
2017-03-18,6.42169
2017-03-19,5.32863
2017-03-20,6.85187
2017-03-21,6.43784
2017-03-22,6.43505
2017-03-23,3.68666
2017-03-24,1.10584
2017-03-25,3.43829
2017-03-26,6.09267
2017-03-27,5.74712
2017-03-28,
2017-03-29,6.79182
2017-03-30,6.65427
2017-03-31,7.23713
2017-04-01,4.54801
2017-04-02,5.19009
2017-04-03,6.24181
2017-04-04,5.84661
2017-04-05,5.63746
2017-04-06,6.05484
2017-04-07,6.17164
2017-04-08,5.9016
2017-04-09,6.12054
2017-04-10,5.14814
2017-04-11,7.02165
2017-04-12,6.95232
2017-04-13,4.78856
2017-04-14,6.1576
2017-04-15,6.83717
2017-04-16,6.30878
2017-04-17,6.44422
2017-04-18,6.44066
2017-04-19,4.12609
