t,GPP
2018-01-01,0.332678
2018-01-02,0.0903695
2018-01-03,0.834493
2018-01-04,0.735021
2018-01-05,0.93527
2018-01-06,
2018-01-07,0.571988
2018-01-08,0.0273429
2018-01-09,0.269687
2018-01-10,0.385328
2018-01-11,
2018-01-12,0.254962
2018-01-13,0.146962
2018-01-14,0.243377
2018-01-15,0.845934
2018-01-16,0.573371
2018-01-17,1.15816
2018-01-18,1.76176
2018-01-19,1.74181
2018-01-20,1.2035
2018-01-21,1.14461
2018-01-22,1.70823
2018-01-23,1.99997
2018-01-24,2.01663
2018-01-25,1.00696
2018-01-26,0.680707
2018-01-27,1.58003
2018-01-28,
2018-01-29,1.61744
2018-01-30,0.65813
2018-01-31,1.69953
2018-02-01,1.22242
2018-02-02,1.14955
2018-02-03,1.73128
2018-02-04,1.49423
2018-02-05,0.667209
2018-02-06,1.27631
2018-02-07,1.24441
2018-02-08,0.197484
2018-02-09,1.47055
2018-02-10,1.6922
2018-02-11,0.828133
2018-02-12,2.09347
2018-02-13,0.749962
2018-02-14,0.878056
2018-02-15,2.12089
2018-02-16,2.49223
2018-02-17,1.42134
2018-02-18,2.09416
2018-02-19,1.0956
2018-02-20,0.731696
2018-02-21,2.4361
2018-02-22,1.30288
2018-02-23,1.1668
2018-02-24,2.20191
2018-02-25,3.13154
2018-02-26,2.14724
2018-02-27,1.59918
2018-02-28,
2018-03-01,0.621564
2018-03-02,3.19315
2018-03-03,3.13903
2018-03-04,2.40048
2018-03-05,1.09291
2018-03-06,2.48597
2018-03-07,2.24225
2018-03-08,
2018-03-09,2.53779
2018-03-10,3.40594
2018-03-11,3.85541
2018-03-12,3.8542
2018-03-13,3.18984
2018-03-14,3.29811
2018-03-15,4.56768
2018-03-16,2.85366
2018-03-17,3.20811
2018-03-18,3.82038
2018-03-19,2.65887
2018-03-20,1.1167
2018-03-21,3.45539
2018-03-22,3.77639
2018-03-23,4.05276
2018-03-24,2.62146
2018-03-25,3.31555
2018-03-26,2.40166
2018-03-27,1.52989
2018-03-28,4.50788
2018-03-29,4.05964
2018-03-30,4.65638
2018-03-31,2.73661
2018-04-01,4.96395
2018-04-02,3.88294
2018-04-03,5.10973
2018-04-04,5.91989
2018-04-05,6.16823
2018-04-06,5.34633
2018-04-07,4.74872
2018-04-08,0.868739
2018-04-09,5.63375
2018-04-10,5.77339
2018-04-11,3.85751
2018-04-12,4.96959
2018-04-13,6.06985
2018-04-14,5.15728
2018-04-15,6.31845
2018-04-16,5.75328
2018-04-17,7.69894
2018-04-18,7.9999
2018-04-19,7.53534
2018-04-20,7.1305
2018-04-21,8.14583
2018-04-22,7.47786
2018-04-23,6.60793
2018-04-24,7.6887
2018-04-25,3.88753
2018-04-26,7.65953
2018-04-27,7.87267
2018-04-28,7.61014
2018-04-29,4.77846
2018-04-30,5.89537
2018-05-01,6.83253
2018-05-02,7.98921
2018-05-03,6.32247
2018-05-04,2.56433
2018-05-05,7.22673
2018-05-06,
2018-05-07,
2018-05-08,1.66328
2018-05-09,4.53736
2018-05-10,8.23196
2018-05-11,
2018-05-12,2.92137
2018-05-13,5.26893
2018-05-14,3.57634
2018-05-15,2.57711
2018-05-16,7.82127
2018-05-17,9.93906
2018-05-18,9.72119
2018-05-19,9.10975
2018-05-20,11.8701
2018-05-21,9.37842
2018-05-22,9.60689
2018-05-23,9.68591
2018-05-24,8.80953
2018-05-25,8.29776
2018-05-26,9.45304
2018-05-27,9.0399
2018-05-28,3.29931
2018-05-29,7.87446
2018-05-30,6.10894
2018-05-31,9.81522
2018-06-01,11.5956
2018-06-02,10.4849
2018-06-03,9.1004
2018-06-04,9.53234
2018-06-05,5.3088
2018-06-06,6.10748
2018-06-07,9.41709
2018-06-08,11.1849
2018-06-09,10.9927
2018-06-10,5.78657
2018-06-11,7.35518
2018-06-12,6.12071
2018-06-13,8.97158
2018-06-14,9.32948
2018-06-15,8.21347
2018-06-16,9.18431
2018-06-17,8.50639
2018-06-18,8.51046
2018-06-19,10.0499
2018-06-20,9.59562
2018-06-21,8.41342
2018-06-22,8.38713
2018-06-23,8.68829
2018-06-24,8.8106
2018-06-25,8.02371
2018-06-26,7.49671
2018-06-27,7.2312
2018-06-28,6.29056
2018-06-29,5.04333
2018-06-30,5.92675
2018-07-01,6.00553
2018-07-02,6.95949
2018-07-03,6.63957
2018-07-04,6.6285
2018-07-05,5.70828
2018-07-06,7.16442
2018-07-07,
2018-07-08,
2018-07-09,
2018-07-10,
2018-07-11,
2018-07-12,
2018-07-13,
2018-07-14,5.04652
2018-07-15,5.54622
2018-07-16,
2018-07-17,4.81384
2018-07-18,4.25698
2018-07-19,
2018-07-20,3.15736
2018-07-21,3.95204
2018-07-22,4.79749
2018-07-23,5.21084
2018-07-24,4.89125
2018-07-25,5.1781
2018-07-26,
2018-07-27,4.39055
2018-07-28,3.63869
2018-07-29,
2018-07-30,4.34029
2018-07-31,4.04311
2018-08-01,3.69369
2018-08-02,3.07107
2018-08-03,2.8221
2018-08-04,2.46574
2018-08-05,2.3765
2018-08-06,1.95306
2018-08-07,1.75304
2018-08-08,1.80478
2018-08-09,1.39448
2018-08-10,1.57167
2018-08-11,
2018-08-12,1.84343
2018-08-13,0.632957
2018-08-14,0.855033
2018-08-15,2.22432
2018-08-16,2.29214
2018-08-17,2.35534
2018-08-18,2.06449
2018-08-19,2.13916
2018-08-20,1.88165
2018-08-21,1.65386
2018-08-22,1.84004
2018-08-23,1.41482
2018-08-24,1.62094
2018-08-25,1.16156
2018-08-26,1.12105
2018-08-27,1.06179
2018-08-28,0.958388
2018-08-29,0.631713
2018-08-30,1.12861
2018-08-31,0.783384
2018-09-01,1.23115
2018-09-02,0.817958
2018-09-03,
2018-09-04,1.12962
2018-09-05,
2018-09-06,
2018-09-07,
2018-09-08,
2018-09-09,
2018-09-10,
2018-09-11,1.04858
2018-09-12,0.567243
2018-09-13,0.933925
2018-09-14,1.07267
2018-09-15,1.19418
2018-09-16,
2018-09-17,1.54614
2018-09-18,1.237
2018-09-19,1.09744
2018-09-20,1.2206
2018-09-21,0.928612
2018-09-22,0.870842
2018-09-23,0.728344
2018-09-24,0.687401
2018-09-25,0.711836
2018-09-26,0.608299
2018-09-27,0.683223
2018-09-28,0.529016
2018-09-29,0.257203
2018-09-30,0.523321
2018-10-01,1.05502
2018-10-02,0.311588
2018-10-03,0.264506
2018-10-04,0.454671
2018-10-05,0.365128
2018-10-06,0.846614
2018-10-07,0.976084
2018-10-08,0.6491
2018-10-09,
2018-10-10,0.0438505
2018-10-11,0.895533
2018-10-12,1.01809
2018-10-13,1.28548
2018-10-14,1.33682
2018-10-15,
2018-10-16,0.333281
2018-10-17,0.696782
2018-10-18,
2018-10-19,
2018-10-20,
2018-10-21,
2018-10-22,
2018-10-23,
2018-10-24,0.570451
2018-10-25,1.07741
2018-10-26,
2018-10-27,0.0552391
2018-10-28,0.450585
2018-10-29,0.149864
2018-10-30,2.11609
2018-10-31,0.454412
2018-11-01,1.113
2018-11-02,0.472014
2018-11-03,2.48302
2018-11-04,2.58717
2018-11-05,1.97926
2018-11-06,1.90174
2018-11-07,1.39859
2018-11-08,1.98864
2018-11-09,
2018-11-10,2.49245
2018-11-11,2.80929
2018-11-12,2.99191
2018-11-13,1.81744
2018-11-14,2.69853
2018-11-15,2.36591
2018-11-16,1.83531
2018-11-17,1.64329
2018-11-18,1.58261
2018-11-19,
2018-11-20,0.739719
2018-11-21,1.69936
2018-11-22,1.76393
2018-11-23,1.01649
2018-11-24,1.26239
2018-11-25,1.02571
2018-11-26,0.408225
2018-11-27,1.64888
2018-11-28,1.5233
2018-11-29,1.70011
2018-11-30,0.825739
2018-12-01,1.0838
2018-12-02,0.998678
2018-12-03,1.30077
2018-12-04,1.42418
2018-12-05,1.36709
2018-12-06,1.57991
2018-12-07,1.59094
2018-12-08,1.47331
2018-12-09,1.2864
2018-12-10,1.64591
2018-12-11,0.9387
2018-12-12,0.119567
2018-12-13,0.063964
2018-12-14,0.238301
2018-12-15,0.666338
2018-12-16,0.554131
2018-12-17,1.80622
2018-12-18,1.47002
2018-12-19,1.82961
2018-12-20,1.80264
2018-12-21,1.42774
2018-12-22,1.30679
2018-12-23,1.18648
2018-12-24,0.761866
2018-12-25,1.28099
2018-12-26,2.05215
2018-12-27,
2018-12-28,0.640498
2018-12-29,0.893369
2018-12-30,
2018-12-31,0.279809
2019-01-01,0.319766
2019-01-02,1.77895
2019-01-03,1.53787
2019-01-04,1.44805
2019-01-05,1.37949
2019-01-06,0.680846
2019-01-07,0.00383328
2019-01-08,1.09791
2019-01-09,1.33838
2019-01-10,1.23179
2019-01-11,0.933221
2019-01-12,1.23549
2019-01-13,1.29242
2019-01-14,1.15932
2019-01-15,2.01014
2019-01-16,1.731
2019-01-17,1.43451
2019-01-18,1.2058
2019-01-19,1.41689
2019-01-20,0.836691
2019-01-21,0.610735
2019-01-22,1.02223
2019-01-23,1.12663
2019-01-24,1.30844
2019-01-25,0.821089
2019-01-26,2.18757
2019-01-27,2.09772
2019-01-28,1.56164
2019-01-29,1.05857
2019-01-30,1.46358
2019-01-31,1.16595
2019-02-01,1.8922
2019-02-02,0.613779
2019-02-03,1.84302
2019-02-04,2.18541
2019-02-05,1.16631
2019-02-06,1.31748
2019-02-07,1.44239
2019-02-08,2.91832
2019-02-09,2.99697
2019-02-10,1.31825
2019-02-11,2.91766
2019-02-12,
2019-02-13,
2019-02-14,2.61012
2019-02-15,2.90328
2019-02-16,
2019-02-17,2.7529
2019-02-18,2.87706
2019-02-19,2.41878
2019-02-20,3.21836
2019-02-21,
2019-02-22,
2019-02-23,
2019-02-24,
2019-02-25,
2019-02-26,3.31068
2019-02-27,3.63372
2019-02-28,3.45825
2019-03-01,2.30213
2019-03-02,3.22652
2019-03-03,
2019-03-04,2.14926
2019-03-05,3.77823
2019-03-06,3.751
2019-03-07,3.88023
2019-03-08,2.94743
2019-03-09,2.94825
2019-03-10,3.05567
2019-03-11,3.20441
2019-03-12,3.89066
2019-03-13,3.62535
2019-03-14,3.43741
2019-03-15,2.75303
2019-03-16,4.25105
2019-03-17,3.22918
2019-03-18,3.85134
2019-03-19,2.44879
2019-03-20,4.2209
2019-03-21,
2019-03-22,
2019-03-23,3.58678
2019-03-24,3.21515
2019-03-25,3.87947
2019-03-26,
2019-03-27,
2019-03-28,3.23786
2019-03-29,2.99926
2019-03-30,3.35429
2019-03-31,4.41711
2019-04-01,4.07646
2019-04-02,2.94613
2019-04-03,2.36131
2019-04-04,4.10309
2019-04-05,4.93959
2019-04-06,3.09728
2019-04-07,4.54959
2019-04-08,4.637
2019-04-09,4.99019
2019-04-10,5.16846
2019-04-11,2.77011
2019-04-12,5.77466
2019-04-13,6.41232
2019-04-14,
2019-04-15,5.96116
2019-04-16,6.00021
2019-04-17,5.66373
2019-04-18,5.13232
2019-04-19,6.58884
2019-04-20,6.80062
2019-04-21,4.24724
2019-04-22,6.40667
2019-04-23,6.35451
2019-04-24,6.44864
2019-04-25,5.62288
2019-04-26,6.33627
2019-04-27,6.25218
2019-04-28,6.98899
2019-04-29,7.3761
2019-04-30,7.725
2019-05-01,7.65895
2019-05-02,6.55515
2019-05-03,5.16719
2019-05-04,5.78323
