t,GPP
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,
2021-01-05,
2021-01-06,
2021-01-07,0.0810493
2021-01-08,0.0649493
2021-01-09,0.0412621
2021-01-10,
2021-01-11,
2021-01-12,0.36338
2021-01-13,0.588284
2021-01-14,0.842763
2021-01-15,0.409604
2021-01-16,0.382513
2021-01-17,1.06933
2021-01-18,0.268133
2021-01-19,0.543061
2021-01-20,0.553991
2021-01-21,0.856635
2021-01-22,0.485778
2021-01-23,0.647363
2021-01-24,0.171181
2021-01-25,0.937313
2021-01-26,0.35036
2021-01-27,0.928783
2021-01-28,1.26725
2021-01-29,0.633094
2021-01-30,1.4503
2021-01-31,1.03737
2021-02-01,0.656772
2021-02-02,1.07774
2021-02-03,1.28663
2021-02-04,1.65774
2021-02-05,
2021-02-06,1.04739
2021-02-07,1.10431
2021-02-08,1.28849
2021-02-09,1.79714
2021-02-10,1.2831
2021-02-11,1.06593
2021-02-12,0.624255
2021-02-13,
2021-02-14,
2021-02-15,0.430218
2021-02-16,1.1937
2021-02-17,1.0628
2021-02-18,1.21832
2021-02-19,1.27222
2021-02-20,0.85668
2021-02-21,1.16144
2021-02-22,1.1007
2021-02-23,2.07578
2021-02-24,2.35181
2021-02-25,2.37812
2021-02-26,2.7043
2021-02-27,0.835988
2021-02-28,2.91875
2021-03-01,2.73149
2021-03-02,3.02425
2021-03-03,2.4569
2021-03-04,2.91731
2021-03-05,2.29795
2021-03-06,0.974693
2021-03-07,1.91714
2021-03-08,3.02826
2021-03-09,2.63701
2021-03-10,3.87117
2021-03-11,3.67833
2021-03-12,2.84378
2021-03-13,3.22689
2021-03-14,4.88864
2021-03-15,5.36445
2021-03-16,4.21161
2021-03-17,3.66149
2021-03-18,3.22154
2021-03-19,2.71011
2021-03-20,3.37671
2021-03-21,3.58546
2021-03-22,3.56294
2021-03-23,
2021-03-24,
2021-03-25,3.36376
2021-03-26,3.47104
2021-03-27,3.15882
2021-03-28,3.46423
2021-03-29,4.05762
2021-03-30,5.19709
2021-03-31,5.3078
2021-04-01,5.81462
2021-04-02,6.22502
2021-04-03,5.687
2021-04-04,5.11274
2021-04-05,7.28338
2021-04-06,7.45292
2021-04-07,5.37761
2021-04-08,4.54337
2021-04-09,4.50172
2021-04-10,2.28103
2021-04-11,3.85406
2021-04-12,6.03631
2021-04-13,4.48362
2021-04-14,4.45022
2021-04-15,2.78752
2021-04-16,
2021-04-17,4.70711
2021-04-18,5.49235
2021-04-19,6.02899
2021-04-20,5.80361
2021-04-21,4.14891
2021-04-22,6.40484
2021-04-23,6.76314
2021-04-24,6.79835
2021-04-25,6.62881
2021-04-26,
2021-04-27,
2021-04-28,
2021-04-29,
2021-04-30,
2021-05-01,
2021-05-02,
2021-05-03,
2021-05-04,
2021-05-05,
2021-05-06,
2021-05-07,
2021-05-08,
2021-05-09,
2021-05-10,
2021-05-11,
2021-05-12,
2021-05-13,
2021-05-14,
2021-05-15,
2021-05-16,
2021-05-17,
2021-05-18,
2021-05-19,
2021-05-20,
2021-05-21,
2021-05-22,
2021-05-23,
2021-05-24,
2021-05-25,
2021-05-26,
2021-05-27,
2021-05-28,
2021-05-29,
2021-05-30,
2021-05-31,
2021-06-01,
2021-06-02,
2021-06-03,
2021-06-04,
2021-06-05,
2021-06-06,
2021-06-07,
2021-06-08,
2021-06-09,
2021-06-10,
2021-06-11,
2021-06-12,
2021-06-13,
2021-06-14,
2021-06-15,
2021-06-16,
2021-06-17,
2021-06-18,
2021-06-19,
2021-06-20,
2021-06-21,
2021-06-22,
2021-06-23,
2021-06-24,
2021-06-25,
2021-06-26,
2021-06-27,
2021-06-28,
2021-06-29,11.7379
2021-06-30,12.09
2021-07-01,10.5974
2021-07-02,8.87805
2021-07-03,7.29666
2021-07-04,7.62812
2021-07-05,9.65756
2021-07-06,7.42819
2021-07-07,7.93215
2021-07-08,3.83989
2021-07-09,9.14622
2021-07-10,10.4343
2021-07-11,9.72609
2021-07-12,8.54642
2021-07-13,4.09769
2021-07-14,7.88928
2021-07-15,7.25021
2021-07-16,6.15362
2021-07-17,9.07018
2021-07-18,8.78896
2021-07-19,
2021-07-20,9.24978
2021-07-21,
2021-07-22,
2021-07-23,
2021-07-24,
2021-07-25,
2021-07-26,
2021-07-27,
2021-07-28,
2021-07-29,
2021-07-30,6.72253
2021-07-31,
2021-08-01,
2021-08-02,7.26892
2021-08-03,
2021-08-04,
2021-08-05,
2021-08-06,
2021-08-07,5.85922
2021-08-08,7.58899
2021-08-09,6.83535
2021-08-10,5.38034
2021-08-11,4.86657
2021-08-12,5.08986
2021-08-13,4.86512
2021-08-14,4.46458
2021-08-15,4.09278
2021-08-16,4.22493
2021-08-17,3.10593
2021-08-18,2.81299
2021-08-19,2.95293
2021-08-20,
2021-08-21,
2021-08-22,
2021-08-23,
2021-08-24,0.664038
2021-08-25,0.888327
2021-08-26,2.24472
2021-08-27,2.099
2021-08-28,1.69704
2021-08-29,2.40497
2021-08-30,3.61238
2021-08-31,2.9557
2021-09-01,3.78445
2021-09-02,
2021-09-03,3.49435
2021-09-04,3.18785
2021-09-05,3.17849
2021-09-06,1.84548
2021-09-07,0.75564
2021-09-08,
2021-09-09,
2021-09-10,
2021-09-11,
2021-09-12,
2021-09-13,
2021-09-14,
2021-09-15,
2021-09-16,
2021-09-17,
2021-09-18,
2021-09-19,
2021-09-20,
2021-09-21,
2021-09-22,
2021-09-23,
2021-09-24,
2021-09-25,
2021-09-26,
2021-09-27,
2021-09-28,
2021-09-29,
2021-09-30,
2021-10-01,
2021-10-02,
2021-10-03,
2021-10-04,
2021-10-05,
2021-10-06,
2021-10-07,
2021-10-08,
2021-10-09,
2021-10-10,
2021-10-11,
2021-10-12,
2021-10-13,
2021-10-14,
2021-10-15,
2021-10-16,
2021-10-17,
2021-10-18,
2021-10-19,
2021-10-20,
2021-10-21,
2021-10-22,
2021-10-23,
2021-10-24,
2021-10-25,
2021-10-26,
2021-10-27,
2021-10-28,
2021-10-29,
2021-10-30,
2021-10-31,
2021-11-01,
2021-11-02,
2021-11-03,
2021-11-04,
2021-11-05,
2021-11-06,
2021-11-07,
2021-11-08,
2021-11-09,
2021-11-10,
2021-11-11,
2021-11-12,
2021-11-13,
2021-11-14,
2021-11-15,
2021-11-16,
2021-11-17,
2021-11-18,
2021-11-19,
2021-11-20,
2021-11-21,
2021-11-22,
2021-11-23,
2021-11-24,
2021-11-25,
2021-11-26,
2021-11-27,
2021-11-28,
2021-11-29,
2021-11-30,
2021-12-01,
2021-12-02,
2021-12-03,
2021-12-04,
2021-12-05,
2021-12-06,
2021-12-07,
2021-12-08,
2021-12-09,
2021-12-10,
2021-12-11,
2021-12-12,
2021-12-13,
2021-12-14,
2021-12-15,
2021-12-16,
2021-12-17,
2021-12-18,
2021-12-19,
2021-12-20,
2021-12-21,
