t,GPP
2020-01-01,5.94534
2020-01-02,5.69141
2020-01-03,6.49374
2020-01-04,6.88613
2020-01-05,6.32894
2020-01-06,5.60231
2020-01-07,6.67984
2020-01-08,6.1788
2020-01-09,6.59875
2020-01-10,7.04973
2020-01-11,5.96953
2020-01-12,6.64351
2020-01-13,5.54265
2020-01-14,7.57166
2020-01-15,8.19043
2020-01-16,8.04052
2020-01-17,7.17361
2020-01-18,5.53692
2020-01-19,6.55334
2020-01-20,5.15829
2020-01-21,6.85297
2020-01-22,6.4237
2020-01-23,6.65767
2020-01-24,2.85417
2020-01-25,6.10969
2020-01-26,6.79167
2020-01-27,7.23762
2020-01-28,2.60018
2020-01-29,
2020-01-30,6.62407
2020-01-31,4.33248
2020-02-01,4.2778
2020-02-02,5.68799
2020-02-03,7.07362
2020-02-04,7.31511
2020-02-05,7.58191
2020-02-06,7.14378
2020-02-07,7.07093
2020-02-08,5.70875
2020-02-09,6.61967
2020-02-10,2.67517
2020-02-11,8.11015
2020-02-12,8.50541
2020-02-13,7.9863
2020-02-14,7.9012
2020-02-15,7.62144
2020-02-16,8.55085
2020-02-17,8.83425
2020-02-18,6.6184
2020-02-19,8.90953
2020-02-20,9.03101
2020-02-21,9.62795
2020-02-22,8.45138
2020-02-23,9.24076
2020-02-24,8.19307
2020-02-25,8.71864
2020-02-26,8.9151
2020-02-27,9.62035
2020-02-28,7.84365
2020-02-29,8.8064
2020-03-01,4.87445
2020-03-02,5.02588
2020-03-03,6.22437
2020-03-04,
2020-03-05,
2020-03-06,8.58055
2020-03-07,9.96342
2020-03-08,9.74712
2020-03-09,8.70239
2020-03-10,10.9848
2020-03-11,10.8206
2020-03-12,9.41612
2020-03-13,7.45335
2020-03-14,8.44904
2020-03-15,11.1507
2020-03-16,9.76118
2020-03-17,11.678
2020-03-18,11.7535
2020-03-19,9.5984
2020-03-20,12.0017
2020-03-21,11.3715
2020-03-22,9.73638
2020-03-23,10.1961
2020-03-24,10.2452
2020-03-25,10.5001
2020-03-26,4.67022
2020-03-27,9.12907
2020-03-28,10.5382
2020-03-29,10.9051
2020-03-30,11.9098
2020-03-31,11.0993
2020-04-01,10.6602
2020-04-02,10.52
2020-04-03,9.95889
2020-04-04,9.99621
2020-04-05,10.1069
2020-04-06,9.9621
2020-04-07,10.2026
2020-04-08,10.4771
2020-04-09,10.8425
2020-04-10,11.3807
2020-04-11,10.6844
2020-04-12,10.323
2020-04-13,12.9472
2020-04-14,7.07379
2020-04-15,11.4421
2020-04-16,10.6387
2020-04-17,10.6041
2020-04-18,11.7003
2020-04-19,
2020-04-20,4.6552
2020-04-21,7.83829
2020-04-22,5.86723
2020-04-23,11.2756
2020-04-24,11.8189
2020-04-25,11.3624
2020-04-26,10.9197
2020-04-27,11.1233
2020-04-28,10.9092
2020-04-29,10.9693
2020-04-30,10.7289
2020-05-01,11.4538
2020-05-02,11.3645
2020-05-03,9.90078
2020-05-04,9.8421
2020-05-05,10.1363
2020-05-06,9.54395
2020-05-07,10.2084
2020-05-08,9.93244
2020-05-09,10.4336
2020-05-10,7.95526
2020-05-11,8.3502
2020-05-12,8.79976
2020-05-13,7.47371
2020-05-14,7.95416
2020-05-15,9.7708
2020-05-16,8.55692
2020-05-17,11.1154
2020-05-18,9.14246
2020-05-19,10.1248
2020-05-20,9.46091
2020-05-21,8.88005
2020-05-22,10.8918
2020-05-23,9.84882
2020-05-24,11.2542
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,5.58074
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,11.853
2020-06-04,
2020-06-05,
2020-06-06,9.66778
2020-06-07,9.14964
2020-06-08,9.81075
2020-06-09,10.6045
2020-06-10,10.7753
2020-06-11,5.53028
2020-06-12,7.89794
2020-06-13,9.13527
2020-06-14,12.8501
2020-06-15,11.6888
2020-06-16,11.681
2020-06-17,12.0358
2020-06-18,11.7924
2020-06-19,9.96688
2020-06-20,11.35
2020-06-21,11.8708
2020-06-22,10.8329
2020-06-23,9.54656
2020-06-24,10.2726
2020-06-25,11.5675
2020-06-26,12.2173
2020-06-27,11.2908
2020-06-28,11.0977
2020-06-29,12.2
2020-06-30,11.4019
2020-07-01,10.3166
2020-07-02,10.7144
2020-07-03,10.6649
2020-07-04,10.2724
2020-07-05,8.86752
2020-07-06,8.67312
2020-07-07,8.66414
2020-07-08,8.60942
2020-07-09,8.29871
2020-07-10,9.37666
2020-07-11,8.85988
2020-07-12,7.99939
2020-07-13,8.51445
2020-07-14,8.13714
2020-07-15,9.54274
2020-07-16,8.1541
2020-07-17,7.93284
2020-07-18,8.97938
2020-07-19,6.00385
2020-07-20,7.59272
2020-07-21,6.50907
2020-07-22,6.17553
2020-07-23,7.25093
2020-07-24,6.66921
2020-07-25,6.90683
2020-07-26,7.16721
2020-07-27,5.47147
2020-07-28,6.36504
2020-07-29,6.55323
2020-07-30,6.33567
2020-07-31,6.24847
2020-08-01,6.57944
2020-08-02,6.12457
2020-08-03,6.4009
2020-08-04,6.2726
2020-08-05,5.90325
2020-08-06,5.75594
2020-08-07,5.39325
2020-08-08,4.86997
2020-08-09,4.54012
2020-08-10,5.02647
2020-08-11,5.19852
2020-08-12,5.36219
2020-08-13,4.80135
2020-08-14,6.17165
2020-08-15,6.13675
2020-08-16,4.64348
2020-08-17,5.99944
2020-08-18,6.42716
2020-08-19,4.86745
2020-08-20,5.58833
2020-08-21,4.50556
2020-08-22,5.50196
2020-08-23,5.221
2020-08-24,4.67305
2020-08-25,4.98191
2020-08-26,5.33633
2020-08-27,5.13542
2020-08-28,5.91739
2020-08-29,5.47926
2020-08-30,5.93972
2020-08-31,0.646249
2020-09-01,6.6785
2020-09-02,8.58012
2020-09-03,9.21418
2020-09-04,9.01485
2020-09-05,8.75953
2020-09-06,7.8861
2020-09-07,7.88437
2020-09-08,6.83146
2020-09-09,7.45043
2020-09-10,6.31211
2020-09-11,5.49783
2020-09-12,6.92302
2020-09-13,3.9265
2020-09-14,4.23204
2020-09-15,3.86391
2020-09-16,4.9762
2020-09-17,5.18978
2020-09-18,4.58655
2020-09-19,5.92579
2020-09-20,5.3862
2020-09-21,5.86495
2020-09-22,5.10362
2020-09-23,3.44942
2020-09-24,5.43983
2020-09-25,5.85397
2020-09-26,2.87971
2020-09-27,2.10316
2020-09-28,4.14164
2020-09-29,8.18712
2020-09-30,8.72746
2020-10-01,8.2904
2020-10-02,7.60312
2020-10-03,6.57087
2020-10-04,6.82194
2020-10-05,9.73168
2020-10-06,8.87253
2020-10-07,7.8518
2020-10-08,7.82002
2020-10-09,8.20187
2020-10-10,7.76262
2020-10-11,6.05228
2020-10-12,6.9744
2020-10-13,8.42161
2020-10-14,5.39132
2020-10-15,8.14547
2020-10-16,8.59763
2020-10-17,9.02775
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,7.21695
2020-10-22,8.02401
2020-10-23,7.51619
2020-10-24,6.04798
2020-10-25,9.07649
2020-10-26,6.75921
2020-10-27,8.87916
2020-10-28,8.51393
2020-10-29,8.1069
2020-10-30,
2020-10-31,
2020-11-01,
2020-11-02,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,
2020-11-20,
2020-11-21,
2020-11-22,
2020-11-23,
2020-11-24,
2020-11-25,
2020-11-26,
2020-11-27,
2020-11-28,
2020-11-29,
2020-11-30,
2020-12-01,
2020-12-02,
2020-12-03,
2020-12-04,
2020-12-05,
2020-12-06,
2020-12-07,
2020-12-08,
2020-12-09,
2020-12-10,
2020-12-11,
2020-12-12,
2020-12-13,
2020-12-14,
2020-12-15,
2020-12-16,
2020-12-17,
2020-12-18,
2020-12-19,
2020-12-20,
2020-12-21,
2020-12-22,
2020-12-23,
2020-12-24,
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,
2020-12-29,
2020-12-30,
2020-12-31,
2022-01-01,4.47246
2022-01-02,2.88292
2022-01-03,2.88492
2022-01-04,4.28595
2022-01-05,3.79492
2022-01-06,5.07247
2022-01-07,4.57666
2022-01-08,3.60962
2022-01-09,1.23095
2022-01-10,5.55425
2022-01-11,4.79289
2022-01-12,4.69582
2022-01-13,4.3342
2022-01-14,
2022-01-15,5.23727
2022-01-16,5.30289
2022-01-17,5.32995
2022-01-18,5.06099
2022-01-19,5.22443
2022-01-20,3.01348
2022-01-21,5.3256
2022-01-22,5.53193
2022-01-23,
2022-01-24,
2022-01-25,4.89588
2022-01-26,4.87587
2022-01-27,
2022-01-28,5.99725
2022-01-29,4.97767
2022-01-30,3.43846
2022-01-31,2.44791
2022-02-01,5.6064
2022-02-02,4.5889
2022-02-03,4.99085
2022-02-04,5.24308
2022-02-05,
2022-02-06,
2022-02-07,6.55346
2022-02-08,5.50062
2022-02-09,4.63443
2022-02-10,5.81848
2022-02-11,6.80186
2022-02-12,7.08947
2022-02-13,6.67576
2022-02-14,6.50578
2022-02-15,6.70701
2022-02-16,7.89251
2022-02-17,6.20755
2022-02-18,5.65234
2022-02-19,4.92355
2022-02-20,7.19828
2022-02-21,6.58301
2022-02-22,7.35262
2022-02-23,
2022-02-24,
2022-02-25,
2022-02-26,7.03424
2022-02-27,6.82516
2022-02-28,7.08289
2022-03-01,7.08644
2022-03-02,7.21507
2022-03-03,7.0662
2022-03-04,7.55665
2022-03-05,7.23485
2022-03-06,7.79794
2022-03-07,5.83859
2022-03-08,7.0681
2022-03-09,6.97372
2022-03-10,6.74263
2022-03-11,8.0117
2022-03-12,7.16703
2022-03-13,7.08168
2022-03-14,8.11135
2022-03-15,7.65636
2022-03-16,7.46016
2022-03-17,
2022-03-18,
2022-03-19,4.73774
2022-03-20,8.40562
2022-03-21,8.93977
2022-03-22,8.68794
2022-03-23,8.4162
2022-03-24,8.40179
2022-03-25,8.55489
2022-03-26,
2022-03-27,
2022-03-28,
2022-03-29,
2022-03-30,
2022-03-31,
2022-04-01,
2022-04-02,
2022-04-03,
2022-04-04,
2022-04-05,
2022-04-06,4.96641
