t,GPP
2017-01-01,1.6681
2017-01-02,1.46638
2017-01-03,1.78749
2017-01-04,1.64518
2017-01-05,2.0412
2017-01-06,2.19157
2017-01-07,
2017-01-08,0.923299
2017-01-09,0.431076
2017-01-10,1.49324
2017-01-11,0.883276
2017-01-12,1.51535
2017-01-13,1.69039
2017-01-14,2.20186
2017-01-15,2.22873
2017-01-16,2.53193
2017-01-17,1.43551
2017-01-18,1.566
2017-01-19,1.98619
2017-01-20,2.26863
2017-01-21,2.22676
2017-01-22,1.54443
2017-01-23,2.02697
2017-01-24,1.21231
2017-01-25,
2017-01-26,
2017-01-27,
2017-01-28,1.95566
2017-01-29,0.909898
2017-01-30,0.159418
2017-01-31,0.601546
2017-02-01,2.23907
2017-02-02,2.18592
2017-02-03,1.44139
2017-02-04,1.2922
2017-02-05,1.46993
2017-02-06,0.740462
2017-02-07,0.582917
2017-02-08,1.0895
2017-02-09,0.668817
2017-02-10,0.471609
2017-02-11,0.649001
2017-02-12,1.88418
2017-02-13,2.21982
2017-02-14,2.06101
2017-02-15,2.91529
2017-02-16,1.65741
2017-02-17,1.59537
2017-02-18,3.03544
2017-02-19,1.02714
2017-02-20,1.12012
2017-02-21,2.23567
2017-02-22,0.42474
2017-02-23,1.18456
2017-02-24,1.94136
2017-02-25,3.13559
2017-02-26,1.26577
2017-02-27,1.34691
2017-02-28,2.42952
2017-03-01,2.39866
2017-03-02,1.99942
2017-03-03,3.31553
2017-03-04,3.10013
2017-03-05,4.75049
2017-03-06,2.23945
2017-03-07,2.84709
2017-03-08,1.07257
2017-03-09,2.72663
2017-03-10,5.61788
2017-03-11,5.83471
2017-03-12,
2017-03-13,5.17057
2017-03-14,
2017-03-15,
2017-03-16,
2017-03-17,
2017-03-18,
2017-03-19,
2017-03-20,
2017-03-21,
2017-03-22,
2017-03-23,
2017-03-24,
2017-03-25,
2017-03-26,
2017-03-27,7.31105
2017-03-28,7.19456
2017-03-29,2.9125
2017-03-30,6.68081
2017-03-31,6.55163
2017-04-01,3.0456
2017-04-02,6.84191
2017-04-03,7.98227
2017-04-04,7.42586
2017-04-05,
2017-04-06,
2017-04-07,5.04944
2017-04-08,6.46531
2017-04-09,
2017-04-10,7.48433
2017-04-11,8.17222
2017-04-12,4.28408
2017-04-13,7.12182
2017-04-14,4.71336
2017-04-15,6.67263
2017-04-16,5.18847
2017-04-17,7.7576
2017-04-18,6.4244
2017-04-19,6.32859
2017-04-20,8.05651
2017-04-21,5.29024
2017-04-22,6.95815
2017-04-23,6.86755
2017-04-24,5.32714
2017-04-25,7.5394
2017-04-26,6.98053
2017-04-27,6.88866
2017-04-28,6.77842
2017-04-29,7.02911
2017-04-30,7.27382
2017-05-01,3.61571
2017-05-02,5.24276
2017-05-03,5.02282
2017-05-04,5.8577
2017-05-05,3.52727
2017-05-06,8.96478
2017-05-07,8.44112
2017-05-08,6.83352
2017-05-09,8.05202
2017-05-10,7.83162
2017-05-11,7.80139
2017-05-12,7.8399
2017-05-13,7.9644
2017-05-14,9.90969
2017-05-15,10.8145
2017-05-16,8.43254
2017-05-17,9.4208
