t,PPI_mean
2017-01-03,
2017-01-13,
2017-01-16,
2017-01-26,
2017-02-02,
2017-02-05,
2017-02-12,
2017-02-15,0.06851157
2017-02-22,
2017-02-25,
2017-03-04,
2017-03-07,
2017-03-14,
2017-03-17,
2017-03-19,
2017-03-24,
2017-03-27,0.15671569
2017-03-29,
2017-04-01,
2017-04-03,
2017-04-06,
2017-04-08,0.21044628
2017-04-11,
2017-04-13,
2017-04-16,
2017-04-18,
2017-04-21,
2017-04-23,
2017-04-26,
2017-04-28,
2017-05-01,
2017-05-03,
2017-05-06,0.32978925
2017-05-08,
2017-05-11,
2017-05-13,
2017-05-16,
2017-05-18,
2017-05-21,
2017-05-23,
2017-05-26,0.53640664
2017-05-28,0.5663471
2017-06-02,0.6808678
2017-06-05,
2017-06-07,
2017-06-10,
2017-06-12,
2017-06-15,
2017-06-17,
2017-06-20,
2017-06-22,
2017-06-25,
2017-06-27,
2017-06-30,
2017-07-02,
2017-07-05,
2017-07-07,
2017-07-10,
2017-07-12,
2017-07-15,
2017-07-17,
2017-07-20,
2017-07-22,
2017-07-25,
2017-07-27,
2017-07-30,
2017-08-01,
2017-08-04,
2017-08-06,
2017-08-09,
2017-08-11,
2017-08-14,0.65676117
2017-08-16,
2017-08-19,
2017-08-21,0.72096574
2017-08-24,
2017-08-26,0.82224625
2017-08-29,0.40183055
2017-08-31,
2017-09-03,
2017-09-05,
2017-09-08,
2017-09-10,
2017-09-13,
2017-09-15,
2017-09-18,
2017-09-20,
2017-09-23,
2017-09-25,0.33154878
2017-09-28,0.32194132
2017-09-30,
2017-10-03,
2017-10-05,
2017-10-08,
2017-10-10,
2017-10-13,
2017-10-15,0.24554545
2017-10-18,
2017-10-20,
2017-10-23,
2017-10-25,
2017-10-28,
2017-10-30,0.21451572
2017-11-02,
2017-11-04,
2017-11-07,0.16252562
2017-11-09,
2017-11-12,
2017-11-14,
2017-11-17,
2017-11-19,
2017-11-22,
2017-11-24,
2017-11-27,
2017-11-29,
2017-12-02,
2017-12-07,
2017-12-09,
2017-12-12,
2017-12-14,
2017-12-17,
2017-12-19,
2017-12-22,
2017-12-24,
2017-12-27,
2017-12-29,
2018-01-01,
2018-01-03,
2018-01-06,
2018-01-08,
2018-01-11,
2018-01-13,
2018-01-16,
2018-01-18,
2018-01-21,
2018-01-23,
2018-01-26,
2018-01-28,
2018-01-31,
2018-02-02,
2018-02-05,0.13214958
2018-02-07,0.16379504
2018-02-10,
2018-02-12,
2018-02-15,
2018-02-17,
2018-02-20,0.048224792
2018-02-22,0.17479172
2018-02-25,0.17186528
2018-02-27,0.18511488
2018-03-02,
2018-03-04,0.1720942
2018-03-07,
2018-03-09,
2018-03-12,
2018-03-14,
2018-03-17,
2018-03-19,
2018-03-22,
2018-03-24,
2018-03-27,
2018-03-29,
2018-04-01,
2018-04-03,0.056270245
2018-04-06,
2018-04-08,
2018-04-11,
2018-04-13,
2018-04-16,
2018-04-18,
2018-04-21,0.33759585
2018-04-23,
2018-04-26,
2018-04-28,
2018-05-01,
2018-05-03,
2018-05-06,0.4800752
2018-05-08,0.63720006
2018-05-11,0.7918726
2018-05-13,
2018-05-16,
2018-05-18,
2018-05-21,0.6272975
2018-05-23,
2018-05-26,0.6136777
2018-05-28,
2018-05-31,
2018-06-02,
2018-06-05,
2018-06-07,
2018-06-10,
2018-06-12,
2018-06-15,
2018-06-17,
2018-06-20,
2018-06-22,
2018-06-25,
2018-06-27,0.8961074
2018-06-30,0.7868107
2018-07-02,0.99367017
2018-07-05,
2018-07-07,
2018-07-10,
2018-07-12,0.82724464
2018-07-15,0.69367933
2018-07-17,
2018-07-20,0.9016529
2018-07-22,0.7991272
2018-07-25,0.71215045
2018-07-27,0.7645763
2018-07-30,
2018-08-01,
2018-08-04,
2018-08-06,0.7074752
2018-08-09,
2018-08-11,
2018-08-14,
2018-08-16,
2018-08-19,
2018-08-21,
2018-08-24,
2018-08-26,
2018-08-29,
2018-08-31,
2018-09-03,
2018-09-05,
2018-09-08,
2018-09-10,
2018-09-13,
2018-09-18,0.3669595
2018-09-20,
2018-09-23,
2018-09-25,
2018-09-28,
2018-09-30,0.355895
2018-10-03,
2018-10-05,0.36443716
2018-10-08,
2018-10-10,0.29738763
2018-10-13,0.2297529
2018-10-15,
2018-10-18,
2018-10-20,
2018-10-23,
2018-10-25,
2018-10-28,
2018-10-30,
2018-11-02,
2018-11-04,
2018-11-07,
2018-11-09,
2018-11-12,
2018-11-14,
2018-11-17,0.14436363
2018-11-19,
2018-11-22,
2018-11-24,
2018-11-27,
2018-11-29,
2018-12-02,
2018-12-04,0.058604132
2018-12-07,
2018-12-09,
2018-12-12,0.102053724
2018-12-14,
2018-12-17,
2018-12-19,
2018-12-22,
2018-12-24,
2018-12-27,
2018-12-29,
2019-01-01,
2019-01-03,
2019-01-06,
2019-01-08,
2019-01-11,
2019-01-13,
2019-01-16,
2019-01-18,
2019-01-21,0.12272892
2019-01-23,
2019-01-26,
2019-01-28,
2019-01-31,
2019-02-02,
2019-02-05,
2019-02-07,
2019-02-10,
2019-02-12,
2019-02-15,0.14158265
2019-02-17,
2019-02-20,
2019-02-22,
2019-02-25,0.14257519
2019-02-27,0.17583801
2019-03-02,
2019-03-04,
2019-03-07,
2019-03-09,
2019-03-12,
2019-03-14,
2019-03-17,
2019-03-19,
2019-03-22,0.17982644
2019-03-24,
2019-03-27,
2019-03-29,0.21308348
2019-04-01,0.20133801
2019-04-03,
2019-04-06,
2019-04-08,
2019-04-11,0.29314873
2019-04-13,
2019-04-16,0.28229088
2019-04-18,0.2869124
2019-04-21,0.31101322
2019-04-23,
2019-04-26,
2019-04-28,
2019-05-01,
2019-05-03,
2019-05-06,
2019-05-08,
2019-05-11,
2019-05-13,0.64288014
2019-05-16,0.60481757
2019-05-18,0.70326275
2019-05-23,0.6489322
2019-05-26,
2019-05-28,
2019-05-31,
2019-06-02,
2019-06-05,
2019-06-07,
2019-06-12,
2019-06-15,
2019-06-17,
2019-06-20,
2019-06-22,
2019-06-25,
2019-06-27,0.9798487
2019-06-30,0.9248642
2019-07-02,
2019-07-05,
2019-07-07,1.2511091
2019-07-10,
2019-07-12,
2019-07-15,
2019-07-17,
2019-07-20,
2019-07-22,0.8884314
2019-07-25,0.72137105
2019-07-27,
2019-07-30,
2019-08-01,
2019-08-04,
2019-08-06,
