t,PPI_mean
2017-01-07,
2017-01-10,
2017-01-27,
2017-01-30,
2017-02-06,
2017-02-09,
2017-02-16,
2017-02-19,
2017-02-26,
2017-03-01,
2017-03-08,
2017-03-11,
2017-03-18,
2017-03-21,
2017-03-23,
2017-03-26,
2017-03-28,
2017-03-31,
2017-04-02,
2017-04-05,
2017-04-07,
2017-04-10,
2017-04-12,
2017-04-15,
2017-04-17,
2017-04-20,
2017-04-22,
2017-04-25,
2017-04-27,
2017-04-30,0.0
2017-05-02,
2017-05-05,
2017-05-07,
2017-05-10,0.022402704
2017-05-12,
2017-05-15,
2017-05-17,
2017-05-20,
2017-05-22,
2017-05-25,
2017-05-27,0.00462562
2017-05-30,0.04193884
2017-06-01,
2017-06-04,
2017-06-06,
2017-06-09,
2017-06-11,
2017-06-14,
2017-06-16,
2017-06-19,0.60246855
2017-06-21,
2017-06-24,
2017-06-26,
2017-06-29,
2017-07-01,
2017-07-04,
2017-07-06,
2017-07-09,
2017-07-11,
2017-07-14,1.6467148
2017-07-16,
2017-07-19,
2017-07-21,
2017-07-24,
2017-07-26,
2017-07-29,
2017-07-31,
2017-08-03,
2017-08-05,
2017-08-08,
2017-08-10,
2017-08-13,
2017-08-15,
2017-08-18,
2017-08-20,
2017-08-23,1.3057173
2017-08-25,
2017-08-28,
2017-08-30,
2017-09-02,
2017-09-04,
2017-09-07,1.6985009
2017-09-09,
2017-09-12,
2017-09-14,
2017-09-17,
2017-09-19,
2017-09-22,0.60549015
2017-09-24,
2017-09-27,
2017-09-29,
2017-10-02,
2017-10-04,
2017-10-07,
2017-10-09,
2017-10-12,
2017-10-14,
2017-10-17,0.04276363
2017-10-19,0.021770248
2017-10-22,
2017-10-24,
2017-10-27,
2017-10-29,
2017-11-01,
2017-11-03,
2017-11-06,
2017-11-08,
2017-11-11,
2017-11-13,
2017-11-16,
2017-11-18,
2017-11-21,
2017-11-23,0.010059505
2017-11-26,
2017-11-28,
2017-12-01,
2017-12-03,
2017-12-06,
2017-12-08,
2017-12-11,
2017-12-13,
2017-12-16,
2017-12-18,
2017-12-21,
2017-12-23,
2017-12-26,
2017-12-28,
2017-12-31,
2018-01-02,
2018-01-05,0.0
2018-01-07,
2018-01-10,
2018-01-12,
2018-01-15,
2018-01-17,
2018-01-20,
2018-01-22,
2018-01-25,
2018-01-27,
2018-01-30,0.005502479
2018-02-01,0.003989256
2018-02-04,
2018-02-06,
2018-02-09,
2018-02-11,
2018-02-14,
2018-02-16,
2018-02-19,
2018-02-21,
2018-02-24,
2018-02-26,
2018-03-01,0.018263636
2018-03-03,
2018-03-06,
2018-03-08,
2018-03-11,
2018-03-13,
2018-03-16,
2018-03-18,
2018-03-21,
2018-03-23,
2018-03-26,
2018-03-28,
2018-03-31,
2018-04-02,
2018-04-05,
2018-04-07,0.041000824
2018-04-10,0.012185124
2018-04-12,
2018-04-15,0.0034531914
2018-04-17,0.005002479
2018-04-20,
2018-04-22,0.0029280991
2018-04-25,0.0
2018-04-27,
2018-04-30,
2018-05-02,
2018-05-05,1.6528925e-06
2018-05-07,0.0010289255
2018-05-10,0.014382222
2018-05-12,
2018-05-15,
2018-05-17,
2018-05-20,0.02898595
2018-05-22,
2018-05-25,0.079690084
2018-05-30,
2018-06-01,
2018-06-04,0.42607436
2018-06-06,0.5438355
2018-06-09,0.62837106
2018-06-11,0.8808935
2018-06-14,1.0567834
2018-06-16,
2018-06-19,
2018-06-21,
2018-06-24,
2018-06-26,
2018-06-29,1.6157414
2018-07-01,2.3130486
2018-07-04,2.022014
2018-07-06,
2018-07-09,
2018-07-11,
2018-07-14,1.9263644
2018-07-16,
2018-07-19,1.9141686
2018-07-21,
2018-07-24,1.821418
2018-07-26,
2018-07-29,2.1535933
2018-07-31,0.2240347
2018-08-03,1.7249669
2018-08-05,
2018-08-08,1.4700215
2018-08-10,
2018-08-13,
2018-08-15,
2018-08-18,
2018-08-20,
2018-08-23,1.2429521
2018-08-25,1.5076356
2018-08-28,
2018-08-30,
2018-09-02,
2018-09-04,0.6228925
2018-09-07,
2018-09-09,
2018-09-12,0.4482496
2018-09-14,0.47378427
2018-09-17,
2018-09-19,0.3559446
2018-09-22,
2018-09-24,
2018-09-27,0.14250498
2018-09-29,0.20431322
2018-10-02,
2018-10-04,
2018-10-07,
2018-10-09,0.08042314
2018-10-12,0.03642892
2018-10-14,0.055808265
2018-10-17,0.0
2018-10-19,
2018-10-22,
2018-10-24,
2018-10-27,
2018-10-29,
2018-11-01,
2018-11-03,
2018-11-06,
2018-11-08,
2018-11-11,
2018-11-16,
2018-11-18,
2018-11-21,
2018-11-23,
2018-11-26,
2018-11-28,
2018-12-01,
2018-12-03,
2018-12-06,
2018-12-08,
2018-12-11,
2018-12-13,
2018-12-16,
2018-12-18,
2018-12-21,
2018-12-23,
2018-12-26,
2018-12-28,
2018-12-31,
2019-01-02,
2019-01-05,
2019-01-07,
2019-01-10,
2019-01-12,
2019-01-15,
2019-01-17,
2019-01-20,0.054163635
2019-01-22,0.07114711
2019-01-25,
2019-01-27,
2019-01-30,
2019-02-01,
2019-02-04,
2019-02-06,
2019-02-09,0.07143637
2019-02-11,
2019-02-14,0.07775785
2019-02-16,0.08867769
2019-02-19,
2019-02-21,
2019-02-24,0.11446776
2019-02-26,
2019-03-01,
2019-03-03,
2019-03-06,
2019-03-08,
2019-03-11,
2019-03-13,
2019-03-16,
2019-03-18,
2019-03-21,0.27757025
2019-03-23,0.41126195
2019-03-26,
2019-03-28,
2019-03-31,
2019-04-02,
2019-04-05,
2019-04-07,
2019-04-10,
2019-04-12,
2019-04-15,0.76944125
2019-04-17,1.0539571
2019-04-20,1.0660677
2019-04-22,1.2657651
2019-04-25,1.0884529
2019-04-27,
2019-04-30,1.029776
2019-05-02,
2019-05-05,
2019-05-07,
2019-05-10,
2019-05-12,
2019-05-15,
2019-05-17,
2019-05-20,
2019-05-25,
2019-05-27,
2019-05-30,
2019-06-01,
2019-06-04,1.6799031
2019-06-06,
2019-06-09,
2019-06-11,
2019-06-14,
2019-06-16,
2019-06-19,1.2063894
2019-06-21,
2019-06-24,1.2753729
2019-06-26,1.2708265
2019-06-29,1.1507272
2019-07-01,
2019-07-04,0.7957893
2019-07-06,
2019-07-09,
2019-07-11,
2019-07-14,
2019-07-16,
2019-07-19,
2019-07-21,0.041208923
2019-07-24,0.0
2019-07-26,
2019-07-29,
2019-07-31,
2019-08-03,
2019-08-05,
2019-08-08,
2019-08-10,
2019-08-13,
2019-08-15,
2019-08-18,
2019-08-20,
2019-08-23,0.0
2019-08-25,7.4380164e-06
2019-08-28,0.06898309
2019-08-30,
2019-09-02,
2019-09-04,0.009933334
2019-09-07,
2019-09-09,
2019-09-12,
2019-09-14,0.0053950413
2019-09-17,
2019-09-19,
2019-09-22,0.00029999996
2019-09-24,0.00717438
2019-09-27,
2019-09-29,
2019-10-02,
2019-10-04,
2019-10-07,0.012434711
2019-10-09,
2019-10-12,
2019-10-14,0.11220165
2019-10-17,
2019-10-19,
2019-10-22,
2019-10-24,
2019-10-27,
2019-10-29,0.0
2019-11-01,
2019-11-03,
2019-11-06,
2019-11-08,
2019-11-11,
2019-11-13,
2019-11-16,
2019-11-18,
2019-11-21,
2019-11-23,
2019-11-26,
2019-11-28,
2019-12-01,
2019-12-03,
2019-12-06,
2019-12-08,
2019-12-11,
2019-12-13,
2019-12-16,
2019-12-18,
2019-12-21,
2019-12-23,
2019-12-26,
2019-12-28,
2019-12-31,
2020-01-02,0.42523304
2020-01-05,
2020-01-07,
2020-01-10,
2020-01-12,
2020-01-15,0.30945536
2020-01-17,0.30673224
2020-01-20,
2020-01-22,
2020-01-25,
2020-01-27,
2020-01-30,
2020-02-01,
2020-02-04,
2020-02-06,
2020-02-09,
2020-02-11,
2020-02-14,
2020-02-16,
2020-02-19,
2020-02-21,
2020-02-24,
2020-02-26,
2020-02-29,
2020-03-02,
2020-03-05,
2020-03-07,
2020-03-10,
2020-03-12,
2020-03-15,
2020-03-17,0.18244298
2020-03-20,
2020-03-22,0.19549257
2020-03-25,0.1384157
2020-03-27,0.0053999997
2020-03-30,
2020-04-01,5.0413222e-05
2020-04-04,0.0
2020-04-06,3.305785e-06
2020-04-09,3.305785e-06
2020-04-11,0.0
2020-04-14,
2020-04-16,
2020-04-19,0.0
2020-04-21,0.0013793388
2020-04-24,
2020-04-26,0.0077991737
2020-04-29,
2020-05-01,
2020-05-04,
2020-05-06,0.01542066
2020-05-09,
2020-05-11,
2020-05-14,
2020-05-16,
2020-05-19,
2020-05-21,0.067100815
2020-05-24,
2020-05-26,
2020-05-29,0.19487105
2020-05-31,
2020-06-03,0.37755126
2020-06-05,
2020-06-08,
2020-06-10,
2020-06-13,
2020-06-15,
2020-06-18,
2020-06-20,
2020-06-23,1.4006801
2020-06-25,
2020-06-28,
2020-06-30,
2020-07-03,
2020-07-05,2.9849596
2020-07-08,
2020-07-10,
2020-07-13,
2020-07-15,
2020-07-18,
2020-07-20,
2020-07-23,2.7383387
2020-07-25,
2020-07-28,
2020-07-30,2.4607272
2020-08-02,
2020-08-04,
2020-08-07,2.3964372
2020-08-09,
2020-08-12,2.254905
2020-08-14,
2020-08-17,
2020-08-19,2.3072
2020-08-22,
2020-08-24,
2020-08-27,
2020-08-29,
2020-09-01,
2020-09-03,
2020-09-06,2.0048347
2020-09-08,1.8239603
2020-09-11,1.6644437
2020-09-13,
2020-09-16,
2020-09-18,1.5859257
2020-09-21,1.1763917
2020-09-23,
2020-09-26,
2020-09-28,
2020-10-01,
2020-10-03,0.93900746
2020-10-06,
2020-10-08,
2020-10-11,
2020-10-13,
2020-10-16,0.10175001
2020-10-18,
2020-10-21,
2020-10-23,
2020-10-26,
2020-10-28,
2020-10-31,
2020-11-02,
2020-11-05,
2020-11-07,0.0
2020-11-10,
2020-11-12,
2020-11-15,
2020-11-17,
2020-11-20,
2020-11-22,
2020-11-25,
2020-11-27,0.016357023
2020-11-30,0.028908264
2020-12-02,
2020-12-05,
2020-12-07,
2020-12-10,
2020-12-12,
2020-12-15,
2020-12-17,
2020-12-20,
2020-12-22,
2020-12-25,
2020-12-27,
2020-12-30,
2021-01-01,
2021-01-04,
2021-01-06,
2021-01-09,
2021-01-11,
2021-01-14,
2021-01-16,
2021-01-19,
2021-01-21,
2021-01-24,
2021-01-26,
2021-01-29,
2021-01-31,0.04552066
2021-02-03,
2021-02-05,
2021-02-08,
2021-02-10,
2021-02-13,
2021-02-15,
2021-02-18,
2021-02-20,
2021-02-23,0.045929752
2021-02-25,0.088347934
2021-02-28,0.10307437
2021-03-02,0.11219751
2021-03-05,
2021-03-07,
2021-03-10,
2021-03-12,
2021-03-15,
2021-03-17,
2021-03-20,0.1710281
2021-03-22,
2021-03-25,
2021-03-27,
2021-03-30,0.49503472
2021-04-01,0.6872016
2021-04-04,
2021-04-06,
2021-04-09,
2021-04-11,
2021-04-14,
2021-04-16,
2021-04-19,
2021-04-21,1.0022207
2021-04-24,
2021-04-26,1.3874255
2021-04-29,
2021-05-01,
2021-05-04,
2021-05-06,
2021-05-09,
2021-05-11,
2021-05-14,
2021-05-16,
2021-05-19,
2021-05-21,
2021-05-24,
2021-05-26,
2021-05-29,
2021-05-31,0.34165785
2021-06-03,1.2057099
2021-06-05,
2021-06-08,
2021-06-10,1.5411594
2021-06-13,2.8891454
2021-06-15,1.0363199
2021-06-18,2.1104362
2021-06-20,
2021-06-23,
2021-06-25,
2021-06-28,
2021-06-30,
2021-07-03,
2021-07-05,
2021-07-08,
2021-07-10,
2021-07-13,
2021-07-15,0.73983717
2021-07-18,
2021-07-20,
2021-07-23,0.18264793
2021-07-25,
2021-07-28,
2021-07-30,
2021-08-02,
2021-08-04,
2021-08-07,
2021-08-09,
2021-08-12,
2021-08-14,6.2809915e-05
2021-08-17,
2021-08-19,
2021-08-22,
2021-08-24,
2021-08-27,
2021-08-29,
2021-09-01,
2021-09-03,0.0071107433
2021-09-06,0.03905207
2021-09-08,0.037676025
2021-09-11,0.0
2021-09-13,
2021-09-16,
2021-09-18,
2021-09-21,
2021-09-23,
2021-09-26,0.0
2021-09-28,
2021-10-01,
2021-10-03,
2021-10-06,
2021-10-08,0.0
2021-10-11,
2021-10-13,
2021-10-16,0.04260702
2021-10-18,
2021-10-21,
2021-10-23,
2021-10-26,
2021-10-28,0.104721494
2021-10-31,
2021-11-02,
