t,PPI_mean
2017-01-07,
2017-01-10,
2017-01-27,
2017-01-30,
2017-02-06,
2017-02-09,
2017-02-16,0.022497518
2017-02-19,0.01315785
2017-02-26,0.025429754
2017-03-01,0.025892561
2017-03-08,0.03414876
2017-03-11,0.019736364
2017-03-18,
2017-03-21,
2017-03-23,
2017-03-26,
2017-03-28,-780.1207
2017-03-31,
2017-04-02,
2017-04-05,
2017-04-07,0.27175042
2017-04-10,0.4185669
2017-04-12,
2017-04-15,
2017-04-17,0.9491702
2017-04-20,1.1329942
2017-04-22,
2017-04-25,
2017-04-27,
2017-04-30,
2017-05-02,
2017-05-05,
2017-05-07,
2017-05-10,
2017-05-12,
2017-05-15,
2017-05-17,2.0648768
2017-05-20,
2017-05-22,
2017-05-25,
2017-05-27,2.1622708
2017-05-30,
2017-06-01,
2017-06-04,
2017-06-06,2.8993356
2017-06-09,
2017-06-11,
2017-06-14,
2017-06-16,
2017-06-19,
2017-06-21,
2017-06-24,
2017-06-26,
2017-06-29,
2017-07-01,2.6832523
2017-07-04,1.5146503
2017-07-06,-7691.5845
2017-07-09,
2017-07-11,
2017-07-14,1.5278966
2017-07-16,1.8221678
2017-07-19,
2017-07-21,
2017-07-24,
2017-07-26,
2017-07-29,
2017-07-31,1.633262
2017-08-03,
2017-08-05,1.4162785
2017-08-08,
2017-08-10,
2017-08-13,
2017-08-15,1.2225903
2017-08-18,0.84018844
2017-08-20,1.3540809
2017-08-23,0.88042474
2017-08-25,0.89969176
2017-08-28,
2017-08-30,
2017-09-02,0.9954784
2017-09-04,
2017-09-07,0.6279628
2017-09-09,
2017-09-12,0.6393083
2017-09-14,
2017-09-17,
2017-09-19,0.8289049
2017-09-22,
2017-09-24,0.505395
2017-09-27,
2017-09-29,
2017-10-02,
2017-10-04,
2017-10-07,0.31786117
2017-10-09,
2017-10-12,0.10551639
2017-10-14,0.252
2017-10-17,0.18843718
2017-10-19,
2017-10-22,0.19490744
2017-10-24,
2017-10-27,0.11366032
2017-10-29,
2017-11-01,
2017-11-03,
2017-11-06,
2017-11-08,
2017-11-11,
2017-11-13,0.074439675
2017-11-16,0.042250417
2017-11-18,
2017-11-21,0.03891405
2017-11-23,
2017-11-26,0.04113884
2017-11-28,
2017-12-01,
2017-12-03,
2017-12-06,
2017-12-08,
2017-12-11,
2017-12-13,
2017-12-16,
2017-12-18,
2017-12-21,
2017-12-23,
2017-12-26,
2017-12-28,
2017-12-31,
2018-01-02,
2018-01-05,
2018-01-07,
2018-01-10,
2018-01-12,
2018-01-15,0.019432232
2018-01-17,
2018-01-20,
2018-01-22,
2018-01-25,
2018-01-27,
2018-01-30,
2018-02-01,
2018-02-04,
2018-02-06,
2018-02-09,
2018-02-11,0.03973884
2018-02-14,0.025497518
2018-02-16,
2018-02-19,
2018-02-21,
2018-02-24,
2018-02-26,
2018-03-01,
2018-03-03,
2018-03-06,
2018-03-08,
2018-03-11,
2018-03-13,0.04118347
2018-03-16,0.032956198
2018-03-18,
2018-03-21,
2018-03-23,0.044476856
2018-03-26,0.035561983
2018-03-28,
2018-03-31,
2018-04-02,
2018-04-05,0.043621488
2018-04-07,
2018-04-10,
2018-04-12,
2018-04-15,
2018-04-17,
2018-04-20,0.12544464
2018-04-22,0.2848843
2018-04-25,0.55113715
2018-04-27,0.18444712
2018-04-30,
2018-05-02,
2018-05-05,
2018-05-07,2.333589
2018-05-10,
2018-05-12,
2018-05-15,1.5200454
2018-05-17,2.7812314
2018-05-20,
2018-05-22,
2018-05-25,1.6322371
2018-05-30,
2018-06-01,2.3355932
2018-06-04,
2018-06-06,
2018-06-09,1.697302
2018-06-11,
2018-06-14,1.6448652
2018-06-16,
2018-06-19,1.5073216
2018-06-21,1.9796445
2018-06-24,
2018-06-26,2.0736346
2018-06-29,1.54038
2018-07-01,1.8375256
2018-07-04,1.5629239
2018-07-06,2.9478967
2018-07-09,
2018-07-11,1.9649307
2018-07-14,1.3008537
2018-07-16,
2018-07-19,1.3234009
2018-07-21,1.8550403
2018-07-24,1.3343768
2018-07-26,1.5682148
2018-07-29,1.1102189
2018-07-31,1.3991421
2018-08-03,1.0003579
2018-08-05,
2018-08-08,0.99174464
2018-08-10,1.2698545
2018-08-13,
2018-08-15,
2018-08-18,
2018-08-20,
2018-08-23,0.7578322
2018-08-25,
2018-08-28,0.74712723
2018-08-30,0.88634956
2018-09-02,
2018-09-04,0.8993991
2018-09-07,
2018-09-09,
2018-09-12,0.53915703
2018-09-14,
2018-09-17,
2018-09-19,0.63005286
2018-09-22,0.33244464
2018-09-24,
2018-09-27,0.49263555
2018-09-29,0.49098262
2018-10-02,0.48198178
2018-10-04,0.45589536
2018-10-07,
2018-10-09,0.44486547
2018-10-12,
2018-10-14,
2018-10-17,
2018-10-19,
2018-10-22,
2018-10-24,0.2946132
2018-10-27,
2018-10-29,
2018-11-01,
2018-11-03,
2018-11-06,
2018-11-08,
2018-11-11,
2018-11-16,
2018-11-18,
2018-11-21,
2018-11-23,
2018-11-26,
2018-11-28,
2018-12-01,
2018-12-03,0.030350413
2018-12-06,
2018-12-08,0.006339669
2018-12-11,0.006913223
2018-12-13,
2018-12-16,
2018-12-18,
2018-12-21,
2018-12-23,0.0
2018-12-26,
2018-12-28,
2018-12-31,0.0
2019-01-02,0.0
2019-01-05,0.0026103447
2019-01-07,0.0030814435
2019-01-10,0.02062605
2019-01-12,0.01667686
2019-01-15,0.021404957
2019-01-17,
2019-01-20,0.0
2019-01-22,0.035053913
2019-01-25,0.042475
2019-01-27,
2019-01-30,
2019-02-01,
2019-02-04,
2019-02-06,
2019-02-09,
2019-02-11,
2019-02-14,
2019-02-16,
2019-02-19,
2019-02-21,0.03910104
2019-02-24,0.018617354
2019-02-26,
2019-03-01,
2019-03-03,0.045903303
2019-03-06,
2019-03-08,
2019-03-11,
2019-03-13,0.05431157
2019-03-16,
2019-03-18,0.05300084
2019-03-21,0.042106614
2019-03-23,0.06909422
2019-03-26,0.06246446
2019-03-28,0.07167355
2019-03-31,0.059531406
2019-04-02,
2019-04-05,0.106604956
2019-04-07,
2019-04-10,
2019-04-12,
2019-04-15,
2019-04-17,
2019-04-20,
2019-04-22,
2019-04-25,
2019-04-27,
2019-04-30,0.7195397
2019-05-02,
2019-05-05,
2019-05-07,
2019-05-10,1.126081
2019-05-12,
2019-05-15,
2019-05-17,
2019-05-20,1.864838
2019-05-25,
2019-05-27,
2019-05-30,1.8025576
2019-06-01,2.1301768
2019-06-04,1.4833447
2019-06-06,
2019-06-09,
2019-06-11,
2019-06-14,1.4118346
2019-06-16,2.2741625
2019-06-19,1.674876
2019-06-21,
2019-06-24,1.5369239
2019-06-26,
2019-06-29,0.8875429
2019-07-01,1.932313
2019-07-04,1.4301496
2019-07-06,1.7149032
2019-07-09,1.4947734
2019-07-11,
2019-07-14,1.4035238
2019-07-16,1.9372572
2019-07-19,1.3564538
2019-07-21,
2019-07-24,1.1715487
2019-07-26,1.7107718
2019-07-29,1.3960494
2019-07-31,1.167077
2019-08-03,1.3500496
2019-08-05,1.2587694
2019-08-08,1.258538
2019-08-10,1.3396033
2019-08-13,
2019-08-15,1.3289992
2019-08-18,1.5298413
2019-08-20,
2019-08-23,
2019-08-25,1.1104462
2019-08-28,
2019-08-30,1.070905
2019-09-02,0.89412314
2019-09-04,0.14036374
2019-09-07,
2019-09-09,0.97024053
2019-09-12,0.7257752
2019-09-14,0.80633885
2019-09-17,0.6033273
2019-09-19,
2019-09-22,
2019-09-24,
2019-09-27,0.4982851
2019-09-29,0.6097835
2019-10-02,0.56660163
2019-10-04,0.64706194
2019-10-07,0.49044544
2019-10-09,
2019-10-12,
2019-10-14,
2019-10-17,0.36649832
2019-10-19,
2019-10-22,
2019-10-24,
2019-10-27,0.1786438
2019-10-29,
2019-11-01,
2019-11-03,
2019-11-06,0.114510834
2019-11-08,0.13687356
2019-11-11,
2019-11-13,0.10057107
2019-11-16,
2019-11-18,
2019-11-21,
2019-11-23,
2019-11-26,
2019-11-28,0.026120001
2019-12-01,
2019-12-03,
2019-12-06,0.016362712
2019-12-08,0.0046157017
2019-12-11,
2019-12-13,
2019-12-16,
2019-12-18,
2019-12-21,0.0
2019-12-23,
2019-12-26,
2019-12-28,
2019-12-31,
2020-01-02,0.0
2020-01-05,0.0016033058
2020-01-07,0.0010735537
2020-01-10,
2020-01-12,0.017506123
2020-01-15,0.015974166
2020-01-17,
2020-01-20,
2020-01-22,
2020-01-25,0.016295867
2020-01-27,
2020-01-30,0.0147917345
2020-02-01,
2020-02-04,
2020-02-06,
2020-02-09,0.013877685
2020-02-11,
2020-02-14,0.022991735
2020-02-16,
2020-02-19,
2020-02-21,
2020-02-24,0.023616528
2020-02-26,
2020-02-29,
2020-03-02,
2020-03-05,
2020-03-07,0.045485124
2020-03-10,
2020-03-12,
2020-03-15,
2020-03-17,0.01644876
2020-03-20,
2020-03-22,
2020-03-25,
2020-03-27,
2020-03-30,
2020-04-01,
2020-04-04,0.050632227
2020-04-06,0.07130496
2020-04-09,0.0917281
2020-04-11,0.18322398
2020-04-14,0.28898343
2020-04-16,
2020-04-19,
2020-04-21,
2020-04-24,0.80050415
2020-04-26,
2020-04-29,1.0589117
2020-05-01,
2020-05-04,1.3584751
2020-05-06,1.7705901
2020-05-09,1.3803604
2020-05-11,
2020-05-14,
2020-05-16,
2020-05-19,
2020-05-21,2.0222726
2020-05-24,
2020-05-26,2.332857
2020-05-29,
2020-05-31,
2020-06-03,1.9387496
2020-06-05,2.8228142
2020-06-08,
2020-06-10,
2020-06-13,
2020-06-15,2.3998356
2020-06-18,
2020-06-20,2.060248
2020-06-23,1.4709908
2020-06-25,1.5121042
2020-06-28,
2020-06-30,1.8154794
2020-07-03,
2020-07-05,1.9277405
2020-07-08,2.0190265
2020-07-10,1.6355249
2020-07-13,
2020-07-15,
2020-07-18,
2020-07-20,1.5822867
2020-07-23,1.1921157
2020-07-25,1.6980948
2020-07-28,1.011248
2020-07-30,1.2731935
2020-08-02,
2020-08-04,1.447671
2020-08-07,0.97554964
2020-08-09,1.1900678
2020-08-12,0.845234
2020-08-14,1.2280205
2020-08-17,1.0286678
2020-08-19,1.1686959
2020-08-22,0.9703884
2020-08-24,
2020-08-27,0.82853305
2020-08-29,
2020-09-01,0.77192146
2020-09-03,
2020-09-06,0.7148115
2020-09-08,0.7763901
2020-09-11,
2020-09-13,0.711933
2020-09-16,0.55816114
2020-09-18,0.5940108
2020-09-21,
2020-09-23,0.6483016
2020-09-26,0.48372146
2020-09-28,0.5366612
2020-10-01,
2020-10-03,
2020-10-06,
2020-10-08,0.437219
2020-10-11,0.40775618
2020-10-13,0.4300347
2020-10-16,
2020-10-18,
2020-10-21,
2020-10-23,
2020-10-26,
2020-10-28,
2020-10-31,0.123379335
2020-11-02,0.098796695
2020-11-05,0.07733305
2020-11-07,0.079228096
2020-11-10,0.05186033
2020-11-12,
2020-11-15,
2020-11-17,0.053074375
2020-11-20,0.04350661
2020-11-22,0.030938016
2020-11-25,0.042509913
2020-11-27,0.03700084
2020-11-30,0.027842972
2020-12-02,
2020-12-05,
2020-12-07,
2020-12-10,
2020-12-12,
2020-12-15,
2020-12-17,0.0
2020-12-20,
2020-12-22,
2020-12-25,
2020-12-27,
2020-12-30,
2021-01-01,
2021-01-04,
2021-01-06,
2021-01-09,
2021-01-11,
2021-01-14,0.029871074
2021-01-16,0.03369915
2021-01-19,0.044575207
2021-01-21,
2021-01-24,
2021-01-26,
2021-01-29,
2021-01-31,0.033531662
2021-02-03,
2021-02-05,
2021-02-08,0.02440661
2021-02-10,
2021-02-13,
2021-02-15,
2021-02-18,
2021-02-20,
2021-02-23,0.016113222
2021-02-25,0.020600826
2021-02-28,
2021-03-02,0.035980992
2021-03-05,0.019210745
2021-03-07,
2021-03-10,0.02791157
2021-03-12,
2021-03-15,
2021-03-17,
2021-03-20,0.04458843
2021-03-22,
2021-03-25,
2021-03-27,0.058390908
2021-03-30,0.046737194
2021-04-01,0.07881735
2021-04-04,
2021-04-06,
2021-04-09,0.14578347
2021-04-11,
2021-04-14,0.22153059
2021-04-16,
2021-04-19,
2021-04-21,
2021-04-24,0.47812313
2021-04-26,
2021-04-29,
2021-05-01,
2021-05-04,
2021-05-06,
2021-05-09,
2021-05-11,
2021-05-14,
2021-05-16,
2021-05-19,1.6333356
2021-05-21,
2021-05-24,
